SPK_SPKC03a (excited),SPK_SPKC09a (inhibited),SPK_SPKC10a (inhibited),SPK_SPKC10c (no effect)
187.742525,56.440475,18.8047,166.9695
187.917075,56.5143,18.826925,167.443725
188.0649,56.546525,18.8491,167.5843
188.67485,56.597225,18.8576,167.633775
188.847775,56.675,18.914875,167.70775
189.035225,56.905775,18.9363,167.799
189.22615,56.9944,18.980475,167.8386
189.8042,57.094625,18.9954,167.924225
189.807825,57.2198,19.0172,167.9552
189.852025,57.44735,19.0384,168.068
190.084925,57.5997,19.06045,168.360875
190.305975,57.782125,19.081875,168.4629
190.3082,57.933975,19.109325,168.55715
190.75105,58.140475,19.138875,168.64205
191.4782,58.224625,19.156675,169.365825
192.995375,58.286125,19.174375,169.5387
193.204425,58.364375,19.19585,169.665975
193.2423,58.4352,19.2017,169.895725
193.606775,58.593925,19.214225,169.97515
193.75115,58.6826,19.222725,170.346075
194.915225,58.735925,19.238625,170.4165
