SPK_SPKC04a (inhibited),SPK_SPKC16a (short excitation)
57.752425,38.60365
57.7698,38.673725
57.785325,38.690475
57.832825,38.727375
57.850525,38.737125
57.86825,38.747075
57.894425,38.78475
57.92035,38.83025
58.0214,38.872625
58.0464,38.894125
58.1603,38.901675
58.183875,38.910825
58.21615,38.923775
58.281875,38.95005
58.343975,38.985075
58.38655,39.04815
58.406575,39.14495
58.4894,39.152375
58.514425,39.19425
58.53755,39.29155
58.5571,39.329825
58.64655,39.561175
58.68365,39.872725
58.7138,40.03965
58.739825,40.069075
58.745725,40.090825
58.782475,40.126325
58.8145,40.220375
58.83525,40.2416
59.0078,40.2544
59.0386,40.26855
59.0735,40.285725
59.1669,40.3275
59.1996,40.36655
59.214175,40.406225
59.237375,40.434975
59.28295,40.4376
59.30295,40.474325
59.38275,40.492925
59.40845,40.511425
59.503025,40.544925
59.520925,40.567775
59.576425,40.60475
59.595325,40.660975
59.6346,40.705025
59.6886,40.7419
59.737225,40.808325
59.8163,40.863375
59.867625,40.867975
59.876925,40.883275
59.9201,40.906225
59.972275,40.91555
60.005975,40.924475
60.0596,40.96725
60.1656,41.0299
60.201925,41.18785
60.325725,41.216575
60.347325,41.25635
60.39135,41.295375
60.427075,41.31005
60.5105,41.33275
60.62075,41.35575
60.665975,41.3754
60.712,41.44355
60.756625,41.506975
60.777775,41.523825
60.819475,41.549775
60.85195,41.575775
60.88445,41.59665
60.92895,41.637225
60.98085,41.684975
61.0534,41.7289
61.120625,41.808025
61.197775,41.8472
61.245475,41.888125
61.2701,41.9239
61.3075,42.016325
61.33015,42.073575
61.438875,42.0992
61.5223,42.128275
61.552325,42.184775
61.623025,42.201825
61.6769,42.2199
61.757425,42.26305
61.813925,42.301
61.86155,42.31635
61.94745,42.34515
61.9905,42.384825
62.04215,42.414125
62.083375,42.45335
62.1169,42.4798
62.1524,42.515375
62.245825,42.538075
62.29215,42.575875
62.34545,42.653975
62.38025,42.695375
62.436775,42.724025
62.4753,42.766925
62.5048,42.7858
62.5304,42.800925
62.548225,42.8534
62.666575,42.9362
62.69445,43.0151
62.75035,43.05325
62.792,43.076725
62.80725,43.11545
62.827575,43.175575
62.8592,43.20595
62.8906,43.244825
62.944675,43.268775
62.98305,43.31385
63.0079,43.3705
63.02495,43.399875
63.042375,43.4473
63.08675,43.49565
63.099225,43.515725
63.151825,43.52805
63.201925,43.557025
63.264825,43.57225
63.2969,43.591325
63.3551,43.6121
63.384175,43.73485
63.41795,43.7478
63.45,43.7619
63.5082,43.77385
63.55405,43.7965
63.622275,43.853525
63.726025,43.87325
63.7686,43.898
63.8159,43.9197
