SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC04b,SPK_SPKC05a
57.84565,16.93235,29.836725,24.948075,27.551575
57.887675,16.9713,29.8446,25.084,27.59095
57.989775,17.094,29.893475,25.1551,27.617275
58.25335,17.18635,30.0458,25.19025,27.657575
58.3336,17.232175,30.068525,25.2158,27.69865
58.793075,17.276725,30.140925,25.29345,27.77445
58.80785,17.303125,30.3034,25.358825,27.9299
58.888,17.32555,30.393025,25.413375,28.02925
58.923125,17.3551,30.45515,25.45255,28.2111
58.96155,17.3721,30.5552,25.529275,28.373025
59.2158,17.4055,30.64765,25.676725,28.39715
59.2526,17.460425,30.733475,25.777725,28.41015
59.29195,17.465775,30.81935,25.82515,28.417525
59.371075,17.4962,31.01595,25.86445,28.466325
59.415525,17.527525,31.1025,25.935125,28.513425
59.601375,17.590025,31.165975,25.967875,28.5292
59.74225,17.65715,31.25145,26.10765,28.662275
59.82195,17.662525,31.3286,26.16395,28.667925
59.875775,17.7335,31.410075,26.235525,28.692325
60.0133,17.77135,31.46085,26.2864,28.763825
60.049725,17.853675,31.5498,26.50855,28.765175
60.129025,17.921075,31.645175,26.5734,28.794625
60.173825,17.92975,31.733125,26.6437,29.00985
60.211525,18.0032,31.802525,26.6959,29.0183
60.425375,18.0577,31.80675,26.743025,29.0498
60.462925,18.203225,31.848375,26.778475,29.054775
60.509425,18.212275,31.855175,26.834625,29.082225
60.554625,18.299275,31.916625,26.901575,29.11245
60.670425,18.346625,32.1078,27.0677,29.1327
60.848225,18.378575,32.223675,27.329375,29.16915
60.899475,18.413075,32.33035,27.4039,29.17495
60.9468,18.44285,32.3969,27.460825,29.21325
61.0138,18.467525,32.4785,27.65645,29.338075
61.054075,18.474825,32.5558,27.734325,29.5412
61.304975,18.535075,32.8396,27.83415,29.58635
61.484925,18.5528,33.02265,28.088825,29.5981
61.6099,18.646375,33.09485,28.1842,29.640875
61.8197,18.694375,33.1864,28.2454,29.66665
62.087425,18.736825,33.298475,28.350475,29.684025
62.10645,18.780925,33.40315,28.410125,29.87045
62.1496,18.810975,33.48795,28.743725,29.9251
62.318175,18.827175,33.55265,28.8514,29.97565
62.358375,18.846725,33.665675,28.880675,29.99265
62.638575,18.885025,33.93585,28.950175,30.040625
62.82815,18.919825,34.072225,29.008425,30.10815
62.976825,19.007125,34.12705,29.132775,30.16105
63.01505,19.079,34.203975,29.348075,30.20805
63.14245,19.14305,34.29835,29.41535,30.23065
63.83895,19.238775,34.5887,29.655375,30.254375
63.9526,19.288475,34.669075,29.8424,30.295825
64.100875,19.327075,34.755775,29.8589,30.29725
64.152175,19.370375,34.914425,29.908925,30.327975
64.23205,19.37225,34.98105,29.98575,30.452925
64.396375,19.385175,35.085775,30.028675,30.5696
64.501275,19.400075,35.15515,30.05255,30.60915
64.737825,19.5711,35.3152,30.095275,30.66485
65.058875,19.645125,35.406475,30.207425,30.67705
65.21895,19.691775,35.594,30.262975,30.771875
65.595225,19.717725,35.663825,30.34,30.849275
65.625375,19.751575,35.8422,30.50225,30.97085
65.7074,19.825875,35.9462,30.576925,31.002675
65.967725,19.83735,36.060075,30.621225,31.0272
66.6412,19.926275,36.181925,30.684175,31.05565
66.850775,19.9315,36.25405,30.730425,31.149125
66.894975,19.958825,36.31,30.79375,31.168225
67.0451,20.017325,36.4575,30.985975,31.193425
67.12015,20.057975,36.5186,31.042875,31.253725
67.2465,20.087225,36.578925,31.0732,31.292225
67.2941,20.1405,36.678425,31.1318,31.33015
67.451375,20.177475,36.7942,31.17995,31.43505
67.57285,20.19945,36.8547,31.285475,31.43875
68.11875,20.260525,36.942425,31.3677,31.49665
68.42315,20.29495,37.069775,31.447475,31.564825
68.5459,20.317925,37.102,31.511175,31.631625
68.596775,20.345775,37.1756,31.57895,31.6351
69.3585,20.38685,37.343725,31.67495,31.671225
69.430375,20.405175,37.386125,31.728125,31.7421
69.4675,20.449975,37.503,31.79415,31.77625
69.587775,20.5171,37.604925,31.82405,31.817925
69.67455,20.563825,37.66475,31.870025,31.88245
69.71735,20.592425,37.74235,31.906825,31.96205
69.94165,20.60315,37.78575,32.001325,31.96575
69.96005,20.656625,37.84535,32.0403,32.046175
70.03455,20.863725,37.94235,32.172975,32.059
70.6215,21.040425,38.1061,32.26555,32.137775
70.74255,21.0739,38.209275,32.3446,32.183075
70.9623,21.09835,38.2775,32.4242,32.222825
71.346625,21.17295,38.291375,32.631475,32.3006
71.46275,21.2488,38.3179,32.7297,32.36525
71.5032,21.2731,38.348025,33.068975,32.409225
71.852125,21.297625,38.556675,33.119875,32.50225
72.228,21.356175,38.6322,33.2096,32.548725
72.31645,21.45695,38.664875,33.30545,32.610375
72.36405,21.542525,38.71115,33.355325,32.647375
72.45825,21.56535,38.73425,33.3951,32.70815
72.557775,21.57525,38.763125,33.45915,32.7399
72.67565,21.67195,38.823,33.504875,32.8375
72.783325,21.78055,38.882175,33.587575,32.96955
72.864525,21.830625,38.94125,33.64535,33.00855
72.908275,21.856975,38.97045,33.7013,33.22625
72.993375,21.896875,39.02225,33.742625,33.236275
73.062875,21.908275,39.0899,33.801075,33.27095
73.26195,21.9941,39.140575,33.86065,33.2742
73.49815,22.12375,39.2146,33.923775,33.31615
73.657125,22.159625,39.244775,33.9893,33.32355
73.69585,22.180775,39.280475,34.0526,33.36785
73.768575,22.231125,39.294975,34.11115,33.396675
73.843275,22.27905,39.362525,34.156525,33.398125
73.873625,22.304625,39.456325,34.2274,33.49275
73.989175,22.3225,39.485925,34.364425,33.556075
74.092225,22.344975,39.53015,34.472075,33.57715
74.2188,22.40225,39.61245,34.54,33.627275
74.488225,22.424525,39.6437,34.584175,33.7466
74.748225,22.452,39.6836,34.635025,33.8575
74.85395,22.478,39.73795,34.644125,33.982675
74.9395,22.4874,39.848675,34.69335,34.006225
75.147925,22.499875,39.90655,34.7485,34.0562
75.193575,22.5297,39.956325,34.82465,34.133475
75.4044,22.553975,40.0081,34.890725,34.3099
75.449175,22.570325,40.039125,35.0022,34.344625
75.6585,22.594925,40.08015,35.068475,34.442275
75.671175,22.628825,40.08385,35.111225,34.490125
75.8304,22.65645,40.209675,35.199075,34.5767
75.87245,22.732725,40.24305,35.23575,34.61655
76.051375,22.79275,40.319825,35.299675,34.651
76.13665,22.82375,40.4267,35.387675,34.6674
76.21815,22.864425,40.53335,35.446925,34.7222
76.552575,22.89325,40.564425,35.49705,34.829175
76.588,22.93605,40.5957,35.538375,34.83215
76.74715,22.960425,40.743975,35.59845,34.8691
77.009175,22.98325,40.835025,35.76475,34.964075
77.17425,23.0517,40.86075,35.799875,35.1445
77.2396,23.1249,40.903475,35.936075,35.209075
77.290225,23.127375,40.946625,35.98875,35.311275
77.36625,23.2085,41.00685,36.0965,35.313625
77.454425,23.31005,41.04175,36.153225,35.3328
77.5074,23.341075,41.281875,36.186675,35.36245
77.592475,23.35415,41.37815,36.234975,35.366425
77.675325,23.37305,41.5398,36.287025,35.404975
77.830625,23.47795,41.662675,36.334,35.575
77.9257,23.517475,41.75485,36.3848,35.589025
