SPK_SPKC03a (exci),SPK_SPKC09a (exc),SPK_SPKC12a (inhi),SPK_SPKC15a (inhi)
19.06505,57.50685,24.089925,29.141875
19.112375,57.522175,24.124975,29.1943
19.13325,57.564075,24.186025,29.24625
19.15175,57.583975,24.205225,29.29865
19.16775,57.609375,24.2461,29.325375
19.193175,57.61955,24.29015,29.356825
19.21285,57.66185,24.3102,29.413975
19.230625,57.80795,24.356675,29.436225
19.25675,57.863575,24.391175,29.447775
19.27975,57.90685,24.42605,29.517325
19.3204,57.967275,24.449975,29.556675
19.347,57.997675,24.4714,29.6945
19.37805,58.019875,24.50495,29.71265
19.409425,58.031325,24.54065,29.73045
19.466225,58.0401,24.567275,29.76725
19.4864,58.044275,24.59625,29.773625
19.50585,58.04925,24.612525,29.802775
19.51945,58.05995,24.6593,29.834325
19.537125,58.0747,24.6709,29.86365
19.550125,58.0824,24.6883,29.9757
19.578675,58.09325,24.728375,30.00465
19.590575,58.10515,24.745975,30.0239
19.612875,58.14345,24.780825,30.0936
19.643675,58.15535,24.798325,30.125375
19.653825,58.18105,24.831925,30.1401
19.67735,58.21125,24.850825,30.15815
19.69675,58.256625,24.876575,30.182075
19.736,58.2954,24.90225,30.2184
19.76335,58.312075,24.941875,30.22285
19.80605,58.359875,24.993925,30.275825
19.86875,58.3987,25.0238,30.351225
19.8951,58.440225,25.0516,30.384625
19.938325,58.485575,25.076975,30.432
19.98445,58.558225,25.12685,30.468375
20.022,58.618375,25.147125,30.529675
20.054575,58.6493,25.17525,30.5535
20.083625,58.6786,25.20825,30.574275
20.1103,58.715775,25.2308,30.599675
20.15565,58.7579,25.26835,30.633575
20.210825,58.787275,25.30605,30.697175
20.256275,58.81305,25.330725,30.744525
