SPK_SPKC03a (inhibited),SPK_SPKC07b (inhibited),SPK_SPKC08b (no effect),SPK_SPKC08c (excited),SPK_SPKC10a (weak inhibition)
6.301225,116.59135,17.697275,24.9182,7.729475
6.317175,116.7176,17.72025,24.936575,7.757475
6.340975,116.8251,17.7944,24.987825,7.78865
6.351075,116.900975,17.8227,25.088475,7.852125
6.362825,117.0755,17.870875,25.095175,7.8713
6.37435,117.09315,17.902025,25.22015,7.893375
6.383125,117.161575,17.958825,25.307,7.911075
6.4122,117.26695,18.000625,25.420575,7.9369
6.43055,117.550025,18.06445,25.61225,7.955575
6.446275,117.78385,18.106425,25.63795,7.977375
6.461475,118.469275,18.154275,25.66955,8.000375
6.471025,118.754875,18.172675,25.75045,8.036425
6.4963,119.01885,18.205675,25.79415,8.056725
6.5085,119.108525,18.238225,25.90185,8.08895
6.525475,119.18235,18.328525,25.915925,8.1145
6.54915,119.2159,18.382175,26.071225,8.150975
6.5562,119.234925,18.434,26.0865,8.211125
6.574725,119.302275,18.457975,26.1075,8.230025
6.595025,119.452075,18.4728,26.126425,8.257325
6.607475,119.6836,18.492575,26.21265,8.273775
6.624025,119.716625,18.5267,26.311275,8.34895
6.628175,120.354975,18.643625,26.4035,8.37645
6.64575,120.44775,18.694425,26.43515,8.397375
6.659425,120.613475,18.71605,26.46125,8.41985
6.6694,120.639725,18.753375,26.5183,8.433875
6.67755,120.8893,18.794375,26.53595,8.453675
6.680825,121.19085,18.835725,26.570525,8.474825
6.695375,121.2707,18.878925,26.719625,8.491075
6.7055,121.436225,18.981825,26.750075,8.506675
6.721875,121.533775,19.029175,26.808825,8.533875
6.73405,121.558225,19.06785,27.003175,8.582025
6.745875,121.79155,19.0931,27.0835,8.6075
6.7738,121.8701,19.118275,27.232225,8.609575
6.78305,122.055125,19.138425,27.245275,8.62345
6.795825,122.118725,19.161875,27.41475,8.644125
6.815225,122.18205,19.17925,27.536,8.659625
6.820625,122.296525,19.23495,27.556675,8.687825
6.837875,122.5175,19.292225,27.6406,8.719425
6.84895,122.628625,19.316025,27.6849,8.739875
6.859975,122.739275,19.374225,27.72625,8.749425
6.869575,122.871325,19.419975,27.759175,8.76325
6.87705,122.9275,19.54385,27.77035,8.774
6.889825,123.12885,19.594425,27.7849,8.792925
6.90215,123.183775,19.628325,27.796475,8.806875
6.91795,123.30735,19.651675,27.831725,8.820075
6.93365,123.5475,19.6738,27.88645,8.854225
6.94465,123.61255,19.747325,27.94665,8.86875
6.962275,123.6603,19.83685,28.03205,8.886175
6.9675,124.01435,19.910025,28.091775,8.896725
6.994775,124.0858,19.962775,28.1496,8.913575
7.0031,124.1451,20.033375,28.185825,8.9588
7.0154,124.257,20.075325,28.211025,8.977625
7.037575,124.293375,20.10785,28.263175,9.001975
7.0489,124.504025,20.1282,28.27905,9.02835
7.074075,124.686775,20.1703,28.34175,9.052775
7.0885,125.04155,20.2174,28.424675,9.078325
7.10885,125.16245,20.274425,28.52305,9.0921
7.11965,125.355825,20.33505,28.6032,9.111225
7.1358,125.4201,20.359775,28.623375,9.1306
7.155275,125.475825,20.4227,28.628225,9.15495
7.16425,125.823775,20.4423,28.712825,9.177175
7.179975,125.846775,20.470175,28.798475,9.1936
7.1868,125.880225,20.5012,28.864975,9.218175
7.20085,125.9418,20.517275,28.890425,9.23485
7.219,126.033575,20.5754,28.910725,9.257075
7.232125,126.11415,20.601975,28.951475,9.267325
7.2456,126.155475,20.6266,29.00145,9.276675
7.258225,126.191,20.66225,29.033975,9.3154
7.27095,126.239,20.762775,29.0436,9.336725
7.287375,126.328375,20.918725,29.071125,9.355
7.302525,126.5153,20.96055,29.1126,9.390125
7.33525,126.614625,21.021925,29.2374,9.432125
7.344225,126.7689,21.0453,29.375925,9.461325
7.369075,126.82895,21.0716,29.43315,9.4803
7.388675,126.9032,21.155625,29.453325,9.49405
7.409575,127.0552,21.19255,29.53905,9.5119
7.428275,127.092325,21.2088,29.6265,9.531225
7.441625,127.139725,21.227,29.763925,9.548025
7.456975,127.63595,21.2905,29.834325,9.567875
7.474625,127.824475,21.327275,29.8648,9.58965
7.4794,128.07625,21.349575,29.892325,9.60505
7.4877,128.13735,21.365375,29.9827,9.628325
7.502925,128.29965,21.3915,30.079225,9.652325
7.5078,128.579525,21.41595,30.120975,9.675275
7.5133,128.615375,21.4611,30.246425,9.701625
7.522675,128.64415,21.51465,30.3787,9.724775
7.53305,128.727325,21.546525,30.416475,9.746
7.544925,128.79575,21.5898,30.4938,9.76125
7.561525,128.847025,21.628775,30.73575,9.778125
7.5721,129.186975,21.660625,30.794525,9.792625
7.59,129.22705,21.704425,30.87865,9.804775
7.602975,129.303325,21.735725,30.93805,9.815875
7.62335,129.329425,21.7565,30.959125,9.824
7.637525,129.37455,21.82095,30.9812,9.835275
7.657175,129.417975,21.8698,31.060975,9.84375
7.673,129.552525,21.996525,31.079925,9.8561
7.693475,129.649375,22.042125,31.187175,9.86835
7.702,129.806,22.07145,31.26725,9.886925
7.715925,129.860375,22.12435,31.376875,9.90385
7.72595,129.9096,22.15435,31.50235,9.937825
7.74095,130.1413,22.208425,31.525825,9.9595
7.756525,130.264,22.24745,31.584025,9.9727
7.7706,130.28375,22.2891,31.60845,10.00615
7.783775,130.308775,22.3423,31.646,10.028625
7.79145,130.458225,22.444,31.7555,10.0547
7.808775,130.497025,22.48165,31.778775,10.0801
7.828625,130.540875,22.549525,31.881075,10.120775
7.8364,130.567875,22.624925,31.957525,10.1422
7.8494,130.57305,22.656625,31.992575,10.167875
7.8696,130.6637,22.68725,32.06675,10.18545
7.8894,130.692325,22.724975,32.102825,10.205625
7.90885,130.724725,22.76385,32.17145,10.2217
7.921,130.888475,22.789375,32.298575,10.2509
7.94725,130.975625,22.827525,32.312225,10.278775
7.966325,131.13125,22.877025,32.3337,10.299875
7.988375,131.257325,22.921175,32.36785,10.324575
7.9964,131.2719,22.987175,32.469175,10.3401
8.013425,131.345775,23.06285,32.717025,10.3619
8.035525,131.3963,23.08465,32.73825,10.381475
8.0512,131.453675,23.10615,32.76705,10.404625
8.07035,131.751475,23.128875,32.795625,10.429575
8.085225,131.787675,23.1773,32.808575,10.45095
8.099125,131.807175,23.234925,32.8994,10.482175
8.1142,131.9381,23.298775,33.1728,10.504725
8.125075,132.009425,23.340975,33.1951,10.529925
8.1504,132.0581,23.3878,33.359075,10.570225
8.16435,132.162125,23.4747,33.384225,10.589425
8.1822,132.319975,23.581525,33.44535,10.6045
8.20045,132.592475,23.630675,33.458075,10.623525
8.221925,132.619225,23.664375,33.479425,10.64355
8.238475,132.694775,23.746725,33.4919,10.679375
8.250225,132.7574,23.7896,33.49555,10.70695
8.270375,132.87775,23.901725,33.633975,10.72435
8.278875,132.962725,23.986175,33.6526,10.741075
8.29965,133.114825,24.0131,33.669525,10.752775
8.30995,133.452175,24.073325,33.6921,10.776175
8.3283,133.60755,24.094925,33.768225,10.7867
8.34085,133.784825,24.121475,33.770225,10.802675
8.356325,133.905925,24.147125,33.805925,10.8169
8.365475,134.089475,24.176375,33.870625,10.82955
8.381575,134.163025,24.24355,33.963125,10.841025
8.408975,134.4048,24.277725,33.96635,10.85445
8.427475,134.4464,24.3025,33.995175,10.869075
8.446,134.4862,24.368325,34.0954,10.892325
8.457,134.89725,24.448025,34.15295,10.90755
