SPK_SPKC03a (inhibited),SPK_SPKC08a (no effect),SPK_SPKC11a (inhibited)
38.10755,133.91045,35.963125
38.15405,133.956375,36.078425
38.183825,134.03885,36.1198
38.2048,134.10585,36.17915
38.24225,134.490425,36.2033
38.25485,134.522,36.275075
38.321225,134.624775,36.30305
38.350525,134.989525,36.32995
38.446125,135.10105,36.37715
38.472925,135.52245,36.420175
38.50935,135.881975,36.43655
38.551925,136.290875,36.4746
38.649175,136.39105,36.496075
38.665975,136.4699,36.536875
38.684025,136.570025,36.660525
38.701675,136.681,36.68355
38.749175,136.97105,36.70615
38.826225,137.109625,36.734425
38.907725,137.118925,36.77975
38.9318,137.192525,36.7865
38.9701,137.4524,36.8018
39.003875,137.58045,36.850975
39.06795,137.8772,36.86935
39.1671,137.91035,36.940075
39.26365,138.019125,36.975625
39.37975,138.05965,37.0631
39.403325,138.358175,37.110625
39.480975,138.464475,37.139775
39.5152,138.768075,37.1733
39.61395,138.87045,37.2092
39.657475,139.304275,37.23635
39.66495,139.40125,37.42665
39.7368,139.560325,37.511975
39.75225,139.6002,37.541075
39.8073,139.921875,37.580625
39.817475,140.1393,37.636775
39.84545,140.239525,37.66105
39.853675,140.84395,37.696775
39.864475,140.8979,37.76205
39.8861,141.087775,37.82325
39.8975,141.171225,37.8698
39.9304,141.4661,37.898675
40.09625,141.513925,37.937425
40.20035,141.57225,37.999525
40.245475,142.263175,38.04485
40.25585,142.380575,38.0872
40.3547,142.596975,38.1891
40.377075,142.640125,38.2068
40.464325,143.13365,38.2152
40.489825,143.59625,38.2459
40.529125,143.751425,38.28505
40.54615,143.85265,38.329475
40.56895,143.960975,38.359225
40.60675,144.300875,38.38975
40.6231,144.3418,38.422125
40.6521,144.624325,38.457975
40.678925,144.87715,38.4988
40.70265,145.28395,38.55325
40.7493,145.409875,38.63095
40.83885,145.741875,38.656225
40.873125,146.066375,38.692275
40.905,146.1096,38.73515
40.9342,146.162675,38.764275
40.990325,146.503175,38.80355
41.042325,146.569425,38.8317
41.099525,146.5868,38.843075
41.120825,146.660025,38.9619
41.179325,146.70745,39.000775
41.197625,147.42915,39.019225
41.2683,147.512275,39.0473
41.35595,147.95105,39.080625
41.40465,148.054025,39.11065
41.564075,148.137825,39.169075
41.572,148.229475,39.2036
41.596175,148.63145,39.2732
41.624625,148.685225,39.31285
41.64235,149.03475,39.40005
41.657575,149.094025,39.4307
41.68095,149.2193,39.461875
41.7015,149.3784,39.527225
41.715625,149.416475,39.538225
41.765425,149.6613,39.6846
41.918025,149.710375,39.71255
41.9451,149.753275,39.7573
41.978175,149.861175,39.8093
42.038925,149.87995,39.81935
42.085875,149.9193,39.8519
42.18695,150.0608,39.960475
42.25735,150.2282,40.232025
42.31985,150.4487,40.2469
42.425125,150.535875,40.286175
42.495375,150.96635,40.30615
42.549,151.209575,40.3392
42.599375,151.2665,40.416575
42.651975,152.013125,40.510775
42.70095,152.04735,40.611675
42.704575,152.1169,40.6662
42.761225,152.233575,40.683875
42.842475,152.317875,40.77945
42.872025,152.6523,40.800675
42.95885,153.38855,40.827675
42.99865,153.6578,40.865375
43.036975,153.853375,40.88545
43.058175,153.884025,41.014925
43.096025,153.9629,41.113775
43.129125,154.01555,41.14615
43.157625,154.341275,41.184
43.2536,154.62625,41.196225
43.29365,154.759325,41.2171
43.38015,154.872575,41.262425
43.42595,154.926625,41.3874
43.518,154.983975,41.451125
43.5971,155.030825,41.49155
43.667425,155.14895,41.52985
43.69295,155.192175,41.559825
43.741075,155.289025,41.594825
43.756275,155.61,41.81325
43.7953,155.66625,41.89665
43.82355,155.702925,42.01745
43.849225,155.859675,42.04265
43.88145,155.9834,42.078775
43.889925,156.0241,42.118575
43.92465,156.525275,42.148625
43.984525,156.5587,42.2709
44.042825,156.79385,42.3025
44.072875,156.935175,42.493675
44.11665,157.162625,42.52775
44.24355,157.221575,42.7366
44.3345,157.274075,42.842225
44.3782,157.609,42.895875
44.3939,157.6632,42.977775
44.413175,157.72205,43.0405
44.4545,158.079475,43.071675
44.50195,158.413825,43.15095
44.522225,158.436575,43.244
44.595225,158.908825,43.266675
44.65945,158.94415,43.314475
44.67375,159.115725,43.348475
44.709625,159.14985,43.393575
44.7342,159.272175,43.449425
44.773475,159.6426,43.554775
44.7902,159.737825,43.598525
44.902325,160.446025,43.6182
44.927975,160.484325,43.705575
44.9982,160.5098,43.737125
45.013525,161.101325,43.76085
45.05895,161.211525,43.796825
45.11905,161.411375,43.8703
45.161275,161.47665,43.95845
45.19605,161.510875,44.012125
45.2497,161.69425,44.028
45.277425,162.082125,44.05045
45.34785,162.154075,44.12875
45.42995,162.50605,44.1489
45.450875,162.871425,44.2796
45.468775,163.422475,44.366275
45.506525,163.453525,44.38725
45.5262,163.5167,44.523675
45.546225,163.685975,44.554925
45.5994,163.7854,44.599575
45.6271,163.8151,44.6387
45.650625,164.09585,44.6665
45.668575,164.137,44.6782
45.724025,164.190175,44.70925
45.836975,164.243925,44.738225
45.92065,164.3029,44.770775
45.9755,164.66345,44.805
46.0212,164.71415,44.849925
46.0618,164.79465,44.934725
46.12195,165.18755,44.97365
46.18085,165.812175,45.07725
46.19795,166.07785,45.1143
46.21835,166.1571,45.168775
46.236275,166.4033,45.193275
46.26365,166.511475,45.218075
46.28095,166.796925,45.29245
46.29545,167.058075,45.349
46.339225,167.22955,45.3965
46.369325,167.286875,45.43505
46.48065,167.4294,45.51785
46.5279,167.49295,45.59285
46.547425,167.52465,45.61555
46.648725,167.7247,45.67765
46.691125,167.7547,45.71485
46.73565,167.8237,45.752825
46.7586,167.865475,45.78645
46.849175,167.914625,45.810025
46.88465,168.0188,45.86775
