SPK_SPKC01a (no response),SPK_SPKC03a (late inhi?),SPK_SPKC10a (inhi),SPK_SPKC12a (inhi)
455.567275,416.708675,425.673125,451.239675
455.585825,416.73755,425.7082,451.2985
455.59985,416.77745,425.74515,451.32555
455.61565,416.814875,425.84985,451.69385
455.62815,416.86345,425.94695,451.784975
455.687675,416.89535,426.004,451.826275
455.69645,416.937075,426.061775,451.86245
455.739575,416.9637,426.119075,451.950725
455.750975,416.9986,426.184825,452.149175
455.9061,417.03625,426.2408,452.175875
456.1201,417.05845,426.36055,452.2002
456.2875,417.10145,426.3843,452.30175
456.6602,417.1491,426.462,452.331725
456.7135,417.19095,426.64215,452.35705
457.019525,417.225775,426.6938,452.553375
457.06585,417.261275,426.765425,452.6471
457.120975,417.306325,426.8448,452.70725
457.13305,417.329925,426.908575,452.73955
457.164075,417.36355,426.94715,452.8049
457.174325,417.38645,426.978,452.91595
457.2971,417.409575,427.006825,453.1032
457.32455,417.42715,427.050925,453.126825
457.3403,417.4405,427.105875,453.181125
457.36425,417.450475,427.1662,453.3455
457.3863,417.4651,427.1897,453.5263
457.41125,417.479375,427.211125,453.584925
457.428875,417.4956,427.321475,453.69655
457.44395,417.517525,427.356975,453.724675
457.999575,417.5377,427.38255,453.76945
458.259025,417.55715,427.4136,453.87155
458.28515,417.58175,427.4504,454.07875
458.3067,417.604025,427.4783,454.12645
458.3255,417.63245,427.517275,454.254675
458.348625,417.65215,427.5515,454.27
458.361875,417.68635,427.586425,454.50405
458.401925,417.714825,427.6248,454.663675
458.5757,417.739625,427.66135,454.72655
458.651575,417.7569,427.7188,454.752625
458.663875,417.767875,427.740175,454.857275
458.7305,417.790775,427.7664,454.906025
458.74745,417.81735,427.795725,455.104
458.7665,417.842225,427.823225,455.177375
458.777725,417.868725,427.88075,455.2128
458.79635,417.891525,427.9114,455.3521
458.840125,417.919275,427.95535,455.493625
