SPK_SPKC01a (excited),SPK_SPKC08b (excited),SPK_SPKC09a (excited),SPK_SPKC11a (no effect)
25.306375,180.7758,11.490475,235.1934
25.34065,181.0101,11.52125,235.22365
25.366025,181.1793,11.54795,235.28925
25.39645,181.977825,11.591225,235.3368
25.420475,181.991575,11.612975,235.39
25.460075,182.1487,11.642125,235.449375
25.472175,182.2193,11.675525,235.49575
25.48145,182.423,11.6932,235.550575
25.5166,182.754625,11.711525,235.633625
25.551375,182.91595,11.732275,235.7271
25.5943,183.208175,11.75445,236.228625
25.68555,183.5098,11.7835,236.515425
25.720575,183.6467,11.811925,237.2455
25.735075,184.035325,11.8334,237.90105
25.74695,184.6782,11.864325,237.9716
25.778775,184.7548,11.89455,238.043425
25.80515,185.197325,11.9232,238.304325
25.820575,185.46485,11.9472,238.371825
25.885475,185.480625,11.96795,238.42955
26.0284,185.53735,12.00055,238.70965
26.08785,185.5915,12.033025,238.8172
26.16675,186.365325,12.07625,238.87975
26.204725,186.686025,12.119425,238.9403
26.22195,186.882975,12.14395,239.0005
26.23355,186.921575,12.1729,239.07195
26.2387,186.994825,12.196,239.141275
26.358675,187.034275,12.22285,239.2683
26.395225,187.395725,12.2459,239.32775
26.42335,187.49195,12.265275,239.48325
26.42975,187.67915,12.286675,239.6751
26.4569,187.8538,12.301525,239.788175
26.48915,187.92595,12.317725,239.876675
26.51395,189.186,12.32785,239.9515
26.527225,189.3422,12.361825,240.080075
26.53115,189.428475,12.3861,240.19365
26.575025,189.8961,12.4192,240.252975
26.59115,190.9544,12.44425,240.280175
26.63145,191.300525,12.485225,240.3199
26.64725,191.659275,12.520625,240.3587
26.682475,192.5724,12.545125,240.390175
26.751775,192.809825,12.581625,240.42525
26.7578,192.99555,12.598775,240.4916
26.767875,193.2946,12.638075,240.53305
26.7893,193.448025,12.666175,240.582825
26.8062,193.465,12.681825,240.68505
26.821975,193.6024,12.71335,240.72465
26.8367,193.87995,12.735425,240.756475
26.863475,193.932975,12.761125,240.831225
26.8797,194.073975,12.79385,240.907925
26.89325,194.09505,12.833125,240.983125
26.909625,194.233025,12.8635,241.0623
26.925775,194.4571,12.89805,241.1033
26.947125,194.53135,12.91915,241.180225
26.9593,194.5931,12.9379,241.252
26.970025,194.604075,12.9652,241.297525
26.976675,194.64245,12.996675,241.36245
26.9847,194.973625,13.0273,241.4247
26.997375,195.01765,13.04755,241.58755
27.00685,195.4288,13.075975,241.634725
27.012875,195.73085,13.11975,241.863525
27.0234,195.803925,13.13475,244.27415
27.030225,195.86885,13.151075,244.4053
27.036075,195.93595,13.1707,244.65765
27.04565,196.452275,13.204325,244.8424
27.076175,196.614375,13.22335,245.1569
27.088925,196.73555,13.252425,245.365375
27.12215,197.9647,13.27275,245.464175
27.13375,198.285975,13.2935,245.7667
27.149975,198.75775,13.3364,246.101
