SPK_SPKC09a (no effect),SPK_SPKC12a (short inhibition),SPK_SPKC14a (inhibited)
,,31.738325
,,31.7503
,,31.771575
,,31.7872
,,31.802875
,,31.8252
,,31.843575
,,31.870275
,,31.88915
,,31.911025
,,31.9351
,,31.951775
,,31.9645
,,31.98
,,31.992175
,,32.005125
,,32.021325
,,32.0446
,,32.064675
,,32.0869
,,32.108575
,,32.129625
,,32.161725
,,32.198025
,,32.245575
,,32.2987
,,32.326375
,,32.35295
,,32.367175
,,32.410225
,,32.4174
,,32.4241
,,32.46085
,,32.483075
,,32.51595
,,32.5981
,,32.63095
,,32.681075
,,32.722075
,,32.7699
,,32.8144
,,32.84185
,,32.85665
,,32.88975
,,32.901525
,,32.923175
,,33.067125
,,33.14405
,,33.16865
,,33.201375
,,33.2206
,,33.236875
,,33.277575
,,33.309625
,,33.337025
,,33.38265
,,33.4136
,,33.441925
,,33.471125
,,33.478175
,,33.507825
,,33.556625
,,33.6498
,,33.713225
,,33.7704
,,33.825875
,,33.83465
,,33.842025
,,33.84875
,,33.8782
,,33.90295
,,33.94065
,,33.97375
,,34.0327
,,34.0658
,,34.08825
,,34.10275
,,34.109825
,,34.117775
,,34.139175
,,34.18075
,,34.197125
,,34.217375
,,34.2362
,,34.252975
,,34.2706
,,34.290275
,,34.30605
,,34.3239
,,34.3457
,,34.38
,,34.401
,,34.4458
,,34.489625
,,34.5307
,,34.6447
,,34.674625
,,34.70595
,,34.729275
,,34.74855
,,34.78665
,,34.80325
,,34.81685
,,34.83265
,,34.851775
,,34.866
,,34.8806
,,34.8972
,,34.91905
,,34.93955
,,34.96035
,,34.989525
,,35.029625
,,35.059125
,,35.082775
,,35.108575
,,35.125225
,,35.145425
,,35.16555
,,35.205375
,,35.247275
,,35.30475
,,35.353725
,,35.37055
,,35.3894
,,35.404475
,,35.418925
,,35.4287
,,35.438075
,,35.4508
,,35.46695
,,35.477425
,,35.4912
,,35.508075
,,35.526275
,,35.5507
,,35.56635
,,35.584225
,,35.59495
,,35.606825
,,35.62155
,,35.654625
,,35.692675
,,35.737975
,,35.774175
,,35.8588
,,35.925475
,,35.95475
,,35.9688
,,35.983675
,,36.0014
,,36.012825
,,36.022175
,,36.0472
,,36.056475
,,36.074275
,,36.089775
,,36.1025
,,36.1184
,,36.135725
,,36.162025
,,36.207375
,,36.2533
,,36.305975
,,36.365125
,,36.38365
,,36.41245
,,36.42185
,,36.43585
,,36.44635
,,36.459025
,,36.47585
,,36.4925
,,36.50735
,,36.5529
,,36.5921
