SPK_SPKC05c (inhi),SPK_SPKC08a (no opto-tagging),SPK_SPKC09a (no response),SPK_SPKC13a (exc)
277.8629,270.98145,273.790425,268.34635
277.882075,271.001975,273.8191,268.395225
277.988075,271.024275,273.833025,268.45295
278.019575,271.069225,273.8415,268.531025
278.155025,271.080275,273.854275,268.567975
278.1568,271.1031,273.8614,268.581575
278.212125,271.128525,273.869575,268.685225
278.265325,271.1374,273.878925,268.6988
278.300775,271.14235,273.89285,268.711325
278.31015,271.160875,273.9153,268.808775
278.44965,271.187125,273.9312,268.8148
278.5993,271.22485,273.938225,268.82585
278.64685,271.24175,273.951875,268.91155
278.67165,271.291625,273.964725,268.947375
278.7391,271.331125,273.998575,268.9671
278.772575,271.38615,274.01425,268.99395
278.804275,271.41215,274.02285,269.04625
278.901325,271.4582,274.05855,269.11185
278.952575,271.577,274.0912,269.1435
279.106875,271.6197,274.124225,269.240775
279.1657,271.656175,274.202875,269.3567
279.2068,271.71045,274.2318,269.437625
279.32015,271.806975,274.2576,269.48805
279.370675,271.88615,274.2779,269.518125
279.40305,271.971075,274.332475,269.55075
279.443525,271.98625,274.344625,269.6672
279.445975,272.024325,274.3577,269.72505
279.705175,272.04665,274.390125,269.80125
279.727375,272.10015,274.404,269.82815
279.776,272.17705,274.415275,269.85355
279.79325,272.178875,274.421,269.854625
279.816925,272.214625,274.433525,269.871725
279.896,272.305575,274.4533,269.91355
279.928675,272.3778,274.46625,269.931925
280.07125,272.3879,274.484,269.986825
280.14615,272.45465,274.50235,270.08995
280.1574,272.470475,274.526175,270.28215
280.2113,272.54325,274.568,270.307075
280.2203,272.579125,274.582925,270.34665
280.2962,272.61315,274.59385,270.40595
280.3871,272.6412,274.61075,270.479825
280.40585,272.839225,274.631,270.53255
280.48985,272.862275,274.644325,270.5752
280.511025,272.92885,274.6728,270.68015
280.51555,272.97475,274.702725,270.787725
280.542925,273.04915,274.716275,270.8067
280.56905,273.155625,274.734525,270.812475
280.76665,273.204725,274.7558,270.8815
280.787525,273.21885,274.794525,270.96495
280.85605,273.233175,274.8253,271.0135
281.0645,273.2788,274.8601,271.056225
281.258925,273.2852,274.876125,271.1007
281.271675,273.297725,274.95795,271.11525
281.373425,273.38715,275.0109,271.13905
281.421675,273.392375,275.05975,271.162425
281.42335,273.4342,275.101275,271.23855
281.476975,273.45975,275.17255,271.277225
281.5681,273.49085,275.22015,271.319875
281.620825,273.500175,275.250325,271.352725
281.658825,273.5405,275.2803,271.373825
281.73635,273.550275,275.327475,271.3768
281.76165,273.580875,275.375675,271.4294
281.826675,273.590475,275.42355,271.4548
281.84745,273.622,275.55975,271.4797
281.8761,273.64575,275.5745,271.509525
281.960575,273.726125,275.685825,271.5521
282.062175,273.738725,275.704475,271.5752
282.0714,273.7557,275.7286,271.63365
282.07605,273.90465,275.781675,271.6468
282.111925,273.937,275.846725,271.691225
282.128375,274.042775,275.88055,271.7329
282.249125,274.063575,275.8998,271.799825
282.287025,274.121525,275.92565,271.84565
282.323175,274.1524,275.964275,271.853975
282.351625,274.177175,276.008,271.9751
282.464275,274.206075,276.117275,272.0331
282.5161,274.2746,276.1872,272.11215
282.5353,274.324325,276.210425,272.29495
282.616325,274.356575,276.22575,272.3213
282.63365,274.4137,276.24215,272.355275
282.786125,274.4493,276.284025,272.360025
282.99715,274.6664,276.408375,272.386625
283.023925,274.744025,276.525625,272.432075
283.256325,274.798825,276.611675,272.450725
283.357325,274.831725,276.66305,272.472225
283.383325,274.85375,276.6905,272.50705
283.41075,274.971025,276.821675,272.561375
283.47245,275.00335,276.941875,272.64345
283.49645,275.06165,277.3054,272.80925
283.5,275.089625,277.4029,272.8336
283.533075,275.1447,277.409075,272.886975
283.557425,275.207175,277.4296,272.9383
283.612725,275.21235,277.470375,272.991425
283.690775,275.387875,277.62305,273.02275
283.7029,275.42865,277.63005,273.0944
283.7229,275.4533,277.715925,273.096525
283.773575,275.4703,277.747175,273.127225
283.799875,275.6049,277.76275,273.1572
283.87975,275.634975,277.775975,273.17865
283.9588,275.652425,277.803525,273.24285
284.1358,275.740975,278.15475,273.2655
284.1853,275.774025,278.218875,273.29225
284.200825,275.800425,278.295725,273.35245
284.2666,275.93435,278.4343,273.38525
284.28815,275.95785,278.440325,273.409125
284.3057,275.9924,278.482125,273.4321
284.355875,276.029375,278.52445,273.45625
284.48685,276.08685,278.557275,273.562525
284.53255,276.117525,278.60785,273.601425
284.714,276.169275,278.618675,273.619825
284.7441,276.179575,278.62585,273.676075
284.84075,276.230725,278.646025,273.690125
284.9676,276.33465,278.682675,273.70845
285.0724,276.347475,278.770325,273.736525
285.104025,276.379625,278.848675,273.76025
285.109775,276.403925,278.9191,273.77915
285.219375,276.475925,279.02045,273.79475
285.4365,276.58385,279.031925,273.807925
285.49845,276.720375,279.0709,273.856375
285.620975,276.7439,279.146875,273.8796
285.6934,276.758925,279.225025,273.903125
285.708725,276.7912,279.397975,273.94205
285.882375,276.833625,279.413825,274.0567
286.45095,276.88275,279.42375,274.08955
286.46715,276.934525,279.49645,274.11075
286.4973,276.950825,279.518425,274.181975
286.550025,276.985225,279.55005,274.219025
286.556925,277.01305,279.614775,274.31465
286.596,277.0619,279.669675,274.45365
286.62495,277.197325,279.756025,274.4719
286.7395,277.208475,280.01185,274.497725
286.771225,277.26045,280.109875,274.5198
286.9124,277.369925,280.154225,274.545725
286.935675,277.37905,280.2245,274.561025
287.0518,277.421125,280.3395,274.580875
287.1351,277.43225,280.41975,274.62715
287.205225,277.519625,280.53005,274.647
287.2323,277.54805,280.54215,274.67785
287.2928,277.603,280.71715,274.731875
287.315425,277.66535,280.800175,274.787875
287.333275,277.68225,280.812175,274.9124
287.393225,277.7105,280.817125,274.937825
287.464775,277.71545,281.0373,274.963275
287.481125,277.788925,281.04655,275.1086
287.50885,277.866575,281.061975,275.1322
287.693775,277.90475,281.08495,275.21525
287.71995,277.930875,281.1178,275.261875
287.7589,277.934375,281.132575,275.362675
287.795625,277.962575,281.142325,275.381975
288.0215,277.9805,281.151875,275.39
288.043875,278.035675,281.160825,275.4252
288.06575,278.1634,281.183525,275.478625
288.13535,278.231925,281.1957,275.531025
288.155225,278.267725,281.221575,275.56315
288.209675,278.35855,281.487875,275.564425
288.2801,278.419925,281.527375,275.64995
288.3029,278.460625,281.704725,275.713475
288.34515,278.4624,281.82335,275.744175
288.481175,278.476275,281.932825,275.7714
288.500175,278.498825,282.601875,275.77785
288.619,278.525325,282.69055,275.836575
288.784975,278.532825,282.843525,275.8567
288.973125,278.56885,282.912275,275.862725
288.986275,278.592575,283.162275,275.881075
289.01095,278.630025,283.1727,276.018075
289.0256,278.63505,283.1823,276.046675
289.0431,278.655425,283.24055,276.10245
289.09255,278.71245,283.286825,276.175625
289.105575,278.739725,283.31015,276.199675
289.160725,278.763375,283.64875,276.224925
289.20355,278.7971,283.672125,276.33915
289.32555,278.845375,283.94235,276.46145
289.372225,278.877825,284.0665,276.524775
289.43555,278.895575,284.190325,276.55745
289.546825,278.9271,284.195575,276.58705
289.54925,278.953825,284.204475,276.5956
289.5676,278.976775,284.2144,276.639125
289.636675,279.11475,284.23365,276.6606
289.693775,279.1744,284.658225,276.672525
289.7264,279.252525,284.932125,276.67675
289.8057,279.301525,284.986375,276.697725
289.9121,279.386025,285.023075,276.756425
289.9606,279.407225,285.038375,276.815975
290.037425,279.4538,285.0643,276.856075
290.16545,279.502225,285.1294,276.857525
290.1795,279.5408,285.177225,276.904225
290.1851,279.55165,285.189775,276.98135
290.20715,279.58785,285.228725,277.00945
290.22925,279.62115,285.255,277.02415
290.240125,279.62325,285.2938,277.05015
290.3792,279.649625,285.4219,277.081475
290.415775,279.6787,285.47265,277.16155
290.449075,279.739475,285.51675,277.1663
290.47935,279.773825,285.5262,277.202225
290.49235,279.8463,285.541525,277.21695
290.698875,279.975625,285.575575,277.278775
290.747625,280.014725,285.768075,277.32945
290.78935,280.045575,285.78335,277.384075
290.7995,280.099775,285.852575,277.440725
290.8457,280.121875,285.983075,277.46555
290.891125,280.200275,286.083725,277.490825
290.91035,280.21865,286.233525,277.548425
290.9861,280.251,286.256675,277.59055
290.988975,280.30025,286.289375,277.675875
291.059375,280.3067,286.353775,277.749425
291.074025,280.335225,286.441625,277.7772
291.179,280.372375,286.4475,277.786825
291.21305,280.448125,286.45785,277.8121
291.32595,280.473325,286.516075,277.9293
291.37625,280.544375,286.549125,277.957175
291.42185,280.567125,286.69625,278.055425
291.43195,280.57125,286.77065,278.1068
291.519575,280.618825,286.823425,278.13755
291.545125,280.642325,286.860275,278.1921
291.56955,280.703425,286.905425,278.26015
291.700475,280.76405,286.949375,278.358975
291.898275,280.9028,287.151675,278.371375
291.92315,280.917925,287.217575,278.454725
292.04575,280.948725,287.272025,278.473925
292.1097,280.985175,287.331825,278.503
292.181975,281.0179,287.44735,278.579375
292.18465,281.045925,287.520425,278.6052
292.22295,281.067825,287.570675,278.618325
292.3361,281.10085,287.60705,278.768325
292.39335,281.149975,287.62515,278.794275
292.42725,281.255475,287.661125,278.9115
292.449575,281.286075,287.7958,279.00125
292.5609,281.30585,287.873225,279.01255
292.734075,281.344275,287.903675,279.023325
292.7555,281.3833,287.9747,279.122425
292.8588,281.560425,288.00265,279.15645
292.892425,281.598775,288.01705,279.185275
292.91155,281.6367,288.0344,279.21205
292.944975,281.714625,288.051025,279.2481
293.159275,281.817625,288.0819,279.400525
293.27755,281.8445,288.09525,279.48965
293.290325,281.87575,288.12145,279.5185
293.296,281.9402,288.132525,279.52955
293.4599,282.0057,288.16515,279.54635
293.558675,282.023425,288.247175,279.600875
293.6277,282.075825,288.34465,279.633475
293.801875,282.1173,288.38035,279.7511
293.80425,282.182925,288.49715,279.8712
293.8796,282.23365,288.6084,279.907675
294.077025,282.26865,288.791125,279.958075
294.159925,282.33735,288.81005,280.0074
294.18075,282.47665,288.897825,280.028075
294.206475,282.5381,289.070075,280.161975
294.273,282.576025,289.260625,280.25205
294.280925,282.5918,289.35035,280.298425
294.3095,282.626725,289.40725,280.403375
294.3663,282.636575,289.4515,280.432475
294.620025,282.66995,289.50525,280.4696
294.6945,282.760475,289.5992,280.585525
294.711225,282.802575,289.830075,280.59685
294.939725,282.860975,289.8416,280.63275
294.9428,282.948925,289.90295,280.658825
295.0621,283.00495,290.027325,280.721925
295.1615,283.056675,290.08385,280.73105
295.184425,283.064675,290.0942,280.763275
295.206225,283.177525,290.121875,280.7996
295.329025,283.184975,290.14175,280.935375
295.3526,283.204975,290.161275,280.938725
295.4548,283.285,290.1817,280.9637
295.599375,283.328575,290.199975,281.0101
295.70605,283.331675,290.22665,281.07185
295.75075,283.386475,290.231375,281.08475
295.82385,283.455875,290.25105,281.0874
295.9069,283.4885,290.272025,281.11565
295.91075,283.522275,290.2843,281.17535
295.937075,283.567625,290.333625,281.1986
296.06585,283.6151,290.350075,281.27055
296.072425,283.6411,290.3687,281.289575
296.166025,283.7056,290.440825,281.335325
296.2471,283.771925,290.51825,281.361375
296.4716,283.825175,290.5305,281.448275
296.487425,283.845475,290.5473,281.4667
296.5038,283.855575,290.56445,281.4931
296.50515,283.9255,290.5799,281.587175
296.543725,283.9412,290.680125,281.661275
296.74995,283.965475,290.70095,281.698075
296.921675,284.0392,290.7457,281.702575
296.94445,284.080675,290.774625,281.7235
297.05495,284.1423,290.81835,281.749025
297.1509,284.2359,290.834275,281.80475
297.158275,284.26815,290.846925,281.8986
297.181175,284.2963,290.856675,281.992425
297.223525,284.31305,290.913,282.03785
297.23905,284.31995,291.022925,282.0669
297.264925,284.350875,291.033475,282.08915
297.291525,284.380825,291.07205,282.1032
297.416725,284.536,291.104975,282.207525
297.450725,284.596675,291.116625,282.329475
297.493375,284.655475,291.12365,282.4238
297.544375,284.707825,291.294875,282.4861
297.605875,284.742725,291.33155,282.5243
297.6092,284.787,291.53415,282.530275
297.62445,284.81435,291.5488,282.60235
297.765875,284.8857,291.5776,282.62205
297.7849,284.9093,291.603725,282.654275
297.834825,284.97315,291.669,282.74115
297.873525,284.980375,291.7197,282.77395
297.904175,285.0048,291.770425,282.8522
298.0027,285.0405,291.7832,282.905375
298.038125,285.1075,291.79365,283.01345
298.1264,285.15115,291.802975,283.211475
298.145425,285.1755,291.81085,283.232875
298.21875,285.1865,291.827475,283.326275
298.32645,285.21705,291.8355,283.4207
298.44545,285.230825,291.857725,283.5047
298.462225,285.25175,291.870775,283.580975
298.5249,285.26215,291.900625,283.6098
298.55595,285.308875,291.94265,283.6836
298.824225,285.3249,291.953475,283.8209
298.871575,285.35775,291.978625,283.874875
