SPK_SPKC02a (no response),SPK_SPKC09a (no response)
130.8431,130.022
130.84835,130.05885
130.912275,130.12685
131.199875,130.2206
131.229525,130.364375
132.0326,130.5766
132.059575,130.653625
132.08665,130.675425
132.1034,130.722725
132.16,130.739725
132.300925,130.757975
132.416875,130.7766
132.539775,130.785325
132.548625,130.80285
133.625875,130.843075
133.646725,130.848325
133.6646,130.912275
133.668375,131.2295
133.6782,131.790225
133.699925,132.032575
133.712025,132.059575
134.00335,132.086625
134.06115,132.1034
134.073275,132.159975
134.0986,132.3009
134.24395,132.41685
136.461975,132.473
136.7061,132.53975
137.127725,132.8422
137.160425,133.62585
138.82725,133.6467
138.8388,133.6646
138.919375,133.66835
138.92215,133.678175
138.930375,133.699925
139.081375,134.003325
139.0905,134.07325
139.109625,134.098575
139.1192,134.243925
139.13065,134.5949
139.225825,136.461925
139.6615,136.7061
140.61895,137.127675
140.6394,137.1604
141.44275,137.84485
142.383,138.827225
143.320375,138.838775
143.506375,138.91935
144.32835,138.92215
144.690175,138.93035
145.77465,139.08135
145.946625,139.0905
147.44015,139.119175
148.70865,139.2258
149.115675,139.661475
149.185875,140.618925
149.2505,140.639375
149.273425,141.4427
150.134,141.59515
150.15015,141.9302
150.1812,142.988775
151.009925,142.990275
151.476625,143.320375
151.881725,143.50635
152.563525,143.68275
153.86205,143.691175
153.88755,144.3283
154.065075,144.3957
154.1381,144.46415
154.2365,144.651
154.247925,144.690125
154.251925,144.73025
154.2982,145.77465
154.373875,145.920575
154.389,146.27985
154.499725,147.4401
154.59985,148.708675
154.63485,149.115675
154.652575,149.18585
154.656375,149.273375
154.744475,150.133975
154.753275,150.150125
154.764275,150.181125
154.7968,151.009875
154.7984,151.4766
154.81965,151.881725
154.9847,152.5635
155.062975,153.7569
155.211325,153.862025
155.2259,153.88755
155.23835,154.065075
155.3929,154.138075
155.42365,154.23655
155.520925,154.2519
155.7038,154.29815
155.710575,154.373875
155.715225,154.389
155.7313,154.499725
155.7561,154.5998
155.757375,154.634825
155.78385,154.65255
155.902725,154.74445
156.102425,154.75325
156.227725,154.764225
156.238375,154.79835
156.319375,154.828025
156.383875,155.06295
156.385925,155.169225
156.6585,155.211325
156.888225,155.23835
156.915975,155.31005
156.930975,155.39285
156.971925,155.423625
157.137975,155.520875
157.366725,155.710525
157.460075,155.7152
157.6157,155.731225
157.7342,155.75735
157.8616,155.783825
157.9697,156.1024
158.013425,156.2277
158.058275,156.238375
158.169225,156.319375
158.249575,156.348875
158.539,156.383875
158.54875,156.385875
158.827375,156.48635
158.93595,156.658475
159.0605,156.8882
159.069525,156.915975
159.074225,156.930975
159.12945,156.9719
159.132975,157.13795
159.192875,157.366725
159.21935,157.460075
159.2595,157.6157
159.279125,157.7342
159.38735,157.861575
159.43745,157.969675
159.76905,158.013425
160.061275,158.058275
160.098775,158.1692
160.110375,158.2496
160.12345,158.538975
160.14015,158.54875
160.14635,158.827375
160.15675,158.935925
160.16915,159.0605
160.26245,159.069475
160.284875,159.074225
160.31085,159.192875
160.3912,159.21935
160.48655,159.2595
160.51155,159.279125
160.55325,159.387325
160.819425,159.437425
160.829825,159.769025
161.86325,160.06125
162.021175,160.09875
162.0885,160.1061
162.099725,160.110375
162.115675,160.12345
162.131125,160.140125
162.1678,160.156725
162.17695,160.169125
162.21675,160.262425
162.558625,160.278675
163.28965,160.28485
163.47825,160.310875
164.38375,160.391175
164.6713,160.486525
165.687075,160.51155
165.917525,160.5532
165.92105,160.819375
165.92215,160.829825
165.94035,161.863225
165.988325,162.021175
166.0062,162.040125
166.049625,162.0537
166.45415,162.0885
166.75055,162.099725
166.782875,162.115675
166.8233,162.131125
166.832075,162.1678
166.8412,162.216725
166.856,162.28725
167.101375,162.504125
167.300275,162.5586
167.6005,163.3606
167.7018,163.478225
167.7131,164.2358
167.73255,164.2922
167.979325,164.383725
167.986925,164.67125
168.000625,165.687075
168.0206,165.921025
168.0269,165.925
168.0705,166.0496
168.07525,166.2022
169.600675,166.496775
171.086275,166.750525
172.026,166.758025
172.063175,166.823275
172.683725,166.832025
172.993225,166.87635
174.07905,167.300275
174.5939,167.430125
176.376625,167.60045
176.681225,167.701775
180.760975,167.7131
180.8282,167.979325
181.469575,168.070475
181.984475,169.600675
182.339275,171.086275
182.569075,171.784525
182.84165,172.025975
183.388225,172.063175
183.9079,172.2129
184.25905,172.5149
184.362625,172.683725
184.9931,172.993225
185.02045,174.593875
185.078775,175.9635
185.082375,176.3766
185.092325,176.681175
185.10275,177.1662
185.11105,180.760975
185.125625,180.828175
185.154225,181.46955
185.165675,181.68795
185.1745,181.98445
185.271125,182.33925
185.278175,182.340975
185.308575,182.56905
185.4748,182.72845
185.482975,182.83945
185.5866,182.8416
185.600075,183.388225
185.652875,183.907875
185.71885,184.259025
185.8143,184.993075
185.868075,185.02045
185.925275,185.0788
185.932625,185.082375
185.95485,185.0923
186.22885,185.102725
186.2347,185.1216
186.23925,185.154225
186.3857,185.160325
186.423175,185.271125
186.445825,185.474775
186.843075,185.482975
187.00405,185.586575
187.0195,185.60005
187.07315,185.632
187.09245,185.65285
187.17275,185.71885
187.19835,185.73535
187.29325,185.86805
187.387975,185.92525
187.4335,185.9326
187.522175,185.95485
187.625925,186.22885
187.746225,186.23925
187.8705,186.423175
