SPK_SPKC01a (no effect),SPK_SPKC03a (no effect),SPK_SPKC12a (no effect),SPK_SPKC13a (no effect)
121.1529,21.175775,11.2735,84.737875
121.2473,21.19105,11.28905,84.82115
121.2609,21.2093,11.2994,84.8749
121.293225,21.226325,11.31155,84.911175
122.1375,21.2405,11.32855,84.990875
122.154025,21.28015,11.344325,85.2416
122.803175,21.3369,11.356725,85.2439
122.8226,21.351975,11.37565,85.3505
123.475775,21.364225,11.407125,85.6283
123.544575,21.389625,11.447025,85.9311
124.4926,21.488925,11.47225,86.480675
124.844675,21.514125,11.4847,86.574725
125.52705,21.61945,11.495,87.0945
126.707,21.69425,11.502425,87.5235
126.918375,21.76275,11.515075,87.587175
126.923225,21.7959,11.54355,88.79105
126.946,21.8302,11.56305,88.843725
127.039,21.848075,11.57265,89.2477
127.044275,21.875075,11.592975,89.286725
127.139925,21.9097,11.615375,89.7908
127.255775,21.9497,11.63575,89.883875
127.467175,21.9581,11.670575,90.058125
127.73635,21.9829,11.690675,90.42275
128.1203,22.047075,11.71735,90.4762
129.9602,22.1002,11.73495,90.485925
129.973125,22.259575,11.744375,90.513925
130.020925,22.376625,11.755325,90.5974
130.239425,22.4044,11.77475,91.2153
131.213025,22.444875,11.811425,93.392
131.375725,22.46535,11.836675,93.781325
132.125425,22.521325,11.8601,94.842425
132.866425,22.574125,11.891225,94.9712
132.937625,22.6037,11.9048,95.10805
133.540175,22.63235,11.9352,95.162875
134.179775,22.66755,11.967025,95.46595
134.359825,22.7047,11.98245,95.7413
134.843825,22.767925,11.999725,95.88815
135.99,22.772325,12.037325,96.752325
136.22735,22.810175,12.051575,96.77455
136.34525,22.8405,12.0789,97.45575
136.73435,22.8784,12.1142,97.5397
137.0344,22.907275,12.134425,97.5439
137.051725,22.9226,12.166625,97.8278
137.14705,22.9691,12.1814,98.13205
137.376425,22.99185,12.190975,98.173425
137.469775,22.996325,12.198475,98.5008
137.585275,23.087475,12.207275,98.507625
137.780325,23.132125,12.216675,98.522575
137.824375,23.180875,12.224475,98.647275
138.1287,23.212825,12.237475,98.708675
139.01175,23.299875,12.25055,98.758825
139.027225,23.357125,12.27325,98.840575
139.221025,23.3921,12.279025,98.9386
139.2935,23.49985,12.292475,99.033275
139.32835,23.793375,12.335675,99.116875
139.543025,23.8163,12.3647,99.126325
140.035375,23.82895,12.3664,99.171175
140.145525,23.844425,12.38585,99.259475
140.153825,23.858125,12.3974,99.393275
140.159775,23.88565,12.414,99.41035
140.169425,23.93775,12.42435,99.4206
140.21485,23.965775,12.459425,99.513125
140.227025,23.974325,12.488425,99.85755
141.177875,24.0528,12.531125,99.984075
141.394425,24.0622,12.548125,100.013075
141.4067,24.088525,12.5619,100.232375
141.416275,24.095775,12.585,100.53765
141.420575,24.1218,12.621025,100.59615
141.438875,24.133525,12.63905,100.6203
141.798025,24.153625,12.653,100.67225
141.85345,24.193925,12.663325,100.692275
141.9852,24.240375,12.6866,100.831425
142.475925,24.25085,12.69915,100.91905
143.821125,24.31085,12.7103,100.9303
143.8335,24.400625,12.74635,101.302275
143.843175,24.453375,12.76335,101.595825
144.9049,24.471625,12.77845,101.63365
144.91525,24.489475,12.8007,101.662675
144.933675,24.581825,12.819325,101.72275
144.947475,24.596,12.841675,101.7606
144.95875,24.66995,12.88225,101.870825
144.970525,24.77435,12.895825,102.04585
145.4107,24.823325,12.915225,102.09125
145.892575,24.866425,12.916675,102.098275
145.911225,24.877875,12.930925,102.215775
145.92555,24.89465,12.996125,102.2572
146.224775,24.91035,13.006325,102.40095
146.240275,24.9223,13.031375,102.459825
146.25605,24.964375,13.0458,102.5804
146.265125,24.9757,13.055575,102.59315
146.304925,24.9808,13.05765,102.791825
146.626225,24.9875,13.083475,102.82535
