SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC05b,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC15a
17.118825,24.63085,85.1213,233.01945,31.892125,7.2882,26.72635,39.849275,15.9076
17.158875,24.70655,85.4729,234.014175,32.4588,7.302275,26.869775,39.979725,15.9764
17.206625,24.965925,85.7769,234.779775,32.7507,7.30585,27.10725,40.48575,15.992625
17.259975,25.57815,85.90695,234.788675,32.907325,7.32145,27.4681,40.722,16.011975
17.304975,25.723,86.07595,235.73555,32.9381,7.327025,27.48705,40.82025,16.111125
17.437825,25.82855,86.161475,236.256175,33.039925,7.36985,27.71705,41.312225,16.22715
17.44795,26.142,86.22835,236.43655,33.328175,7.3733,28.00955,41.71935,16.329175
17.66595,26.30875,87.175725,236.761675,34.1672,7.378275,28.42835,41.8728,16.37685
17.8598,26.42485,87.229025,237.3705,34.9146,7.3869,28.53345,42.45395,16.456875
18.047425,26.4882,87.5882,238.280275,34.99385,7.39425,28.556125,42.712575,16.491675
18.11285,26.5575,88.63495,239.499375,35.081475,7.42315,28.9103,42.7979,16.539025
18.179,26.57715,89.67425,239.6802,35.8754,7.433875,29.12185,43.52215,16.730225
18.56095,26.618725,91.9151,240.6112,36.037225,7.46215,29.298825,43.6918,16.75245
18.665,26.646875,93.4179,242.178475,36.14455,7.467125,29.4178,43.8187,16.836775
18.833825,26.732,93.948925,242.39045,36.274925,7.47775,29.88045,44.0017,16.85095
19.87395,27.54085,96.663975,242.692325,36.594025,7.50065,29.9902,44.021125,16.956275
20.71195,27.9129,97.9554,242.85215,36.69955,7.524525,30.037075,44.326575,16.96695
20.727825,28.19915,98.8662,243.0157,36.710225,7.535575,30.234725,44.433875,17.043275
20.747925,28.426875,99.838025,243.5447,36.74055,7.552775,30.641275,44.44995,17.20905
20.763875,28.440475,99.925725,245.139075,36.8995,7.575175,30.7264,44.675425,17.299475
20.838825,28.492325,101.987175,245.1507,36.954425,7.6416,30.804025,44.9297,17.31625
20.866375,28.5131,104.27905,247.622425,37.164175,7.682225,31.119575,45.025575,17.418425
21.222075,28.541475,106.27695,248.374625,37.471525,7.7956,31.157775,46.15285,17.70505
21.442225,28.560925,106.5743,248.586125,37.70835,8.1838,31.3685,46.60415,17.8644
22.28205,28.592775,107.09875,250.639325,38.565225,8.1891,31.448675,46.69445,17.94205
22.39145,28.686175,107.54885,250.885875,38.73255,8.197525,31.611425,46.82205,17.96005
23.036875,28.7633,107.599475,251.676975,38.790125,8.222525,31.703675,46.8971,17.99435
23.109775,28.986975,108.47085,253.9569,38.8469,8.2352,31.750775,47.210025,18.11015
23.175425,31.065575,109.0696,253.9973,38.89055,8.243225,31.8971,47.29615,18.114975
23.22455,31.49135,109.113325,258.059225,39.06785,8.2639,31.919325,47.47895,18.257975
23.2761,31.7357,110.1427,260.309825,39.1207,8.2775,31.97865,47.545925,18.331075
23.51465,31.903925,110.36045,262.585625,39.1942,8.33695,32.1645,47.7723,18.354575
23.5697,32.909275,112.017125,263.300375,39.319725,8.35915,32.38945,47.9864,18.39415
23.6175,33.085775,114.57545,266.95455,40.16525,8.3645,32.429625,48.273675,18.43555
23.797425,33.24805,115.569475,267.993425,40.425025,8.393925,32.446375,48.5774,18.6629
23.853925,33.2855,115.743375,269.43695,40.56305,8.4005,32.90675,48.73425,18.77705
23.85785,33.347975,116.206625,270.3424,40.94745,8.43175,32.95505,49.338925,18.783525
23.8968,33.65315,116.218625,270.41265,41.756475,8.46725,33.092525,49.52175,18.797175
23.93965,33.7407,116.857825,270.5143,41.815625,8.4734,33.292775,49.587925,18.83415
23.976,34.558225,117.411975,271.68615,41.865,8.489325,33.4989,49.801125,19.0716
24.073,34.66465,118.00025,271.833625,41.87025,8.5141,33.54,49.958625,19.17645
24.20815,34.889325,118.10525,272.1208,41.925875,8.5446,33.6118,50.14125,19.201325
24.2504,34.90885,118.2997,272.40725,41.943325,8.58255,33.68825,51.027525,19.5467
24.337125,34.943325,118.3032,277.05785,42.024,8.658475,33.813825,51.0907,19.684825
24.373775,35.071975,118.401375,277.8455,42.16385,8.673325,34.0274,51.1221,19.690225
24.434375,35.115975,118.7987,282.045425,42.30165,8.689275,34.28065,51.33555,19.723525
24.850675,36.11215,119.7618,282.962675,42.323025,8.707575,34.569025,51.559775,19.757075
24.9663,36.20565,119.902075,283.550425,42.3365,8.7525,34.726175,51.945175,19.896375
25.0962,36.42565,121.26785,289.746625,42.34215,8.771175,34.98305,52.037825,19.9292
25.389075,36.4874,121.723925,290.16675,42.519475,8.81675,35.595,52.266525,19.9304
25.5201,36.613325,122.7365,290.325225,42.63435,8.836175,36.168375,52.29465,19.995875
25.69135,36.7624,123.601225,290.844675,42.6944,8.845225,36.253175,52.317325,20.173375
25.7364,36.806425,125.76245,290.891,42.77045,8.859475,36.745925,52.434275,20.3767
25.8936,36.85235,125.922925,291.58865,43.068475,8.8652,36.765425,52.569625,20.400225
25.922575,36.880675,128.548725,291.97865,43.5739,8.89265,36.79595,52.5939,20.414875
26.01545,36.89235,129.0266,292.135975,43.637,8.92685,36.808475,52.669525,20.566
26.201625,37.20415,129.9323,292.3903,44.05905,8.928175,37.627625,53.290575,20.643725
26.290025,37.4347,129.99495,293.0613,44.08885,8.93425,37.7144,53.639325,20.728075
26.360125,37.8028,130.138975,293.131275,44.127525,8.952375,37.746075,53.8614,20.883875
26.653825,37.98555,130.1607,294.077125,44.18975,9.006425,37.75645,54.27685,21.12945
26.68265,38.06345,131.746875,294.80865,46.2297,9.035525,38.004675,54.356775,21.459125
26.92035,38.148625,131.86405,297.716325,46.82165,9.04015,38.140525,54.523925,21.49095
26.990025,38.50175,131.904425,298.4219,46.830225,9.06745,38.28725,54.792675,21.761425
27.4483,38.639625,132.805025,298.523425,46.886975,9.08835,38.860325,54.961675,21.906825
27.560325,39.02665,132.874675,299.3351,47.17285,9.099725,38.97635,54.998025,22.144575
27.90415,39.907925,133.46975,,47.4087,9.123625,39.03325,55.072025,22.159575
27.916725,40.3105,135.867,,47.78645,9.1507,39.10835,55.327475,22.293525
28.0157,40.4121,136.83665,,47.791925,9.153875,39.39015,55.498825,22.438975
28.17515,40.649125,136.911975,,48.620675,9.166675,39.506975,55.664125,22.46065
28.2303,40.6573,137.358475,,48.66525,9.235275,40.241475,55.757925,22.81905
28.422325,40.732025,137.498775,,48.73025,9.24285,40.308025,55.76245,22.9951
28.44165,40.850175,139.393425,,49.14275,9.280125,40.3494,56.0036,23.049525
28.48045,41.1199,139.754975,,49.54905,9.281475,40.4419,56.02855,23.41535
28.513025,41.3124,142.6201,,50.7266,9.3015,40.646225,56.110725,23.524225
28.5531,41.596675,144.42705,,51.2665,9.305775,40.78105,56.136425,23.790725
28.927225,41.931025,144.538625,,51.504375,9.318775,41.01055,56.33605,23.8883
28.979425,42.19285,144.8098,,51.51435,9.33435,41.108225,56.4177,23.93
29.880275,42.29765,146.673825,,51.7991,9.357325,41.154325,57.08905,24.1033
31.379925,42.46505,148.70185,,51.8278,9.382725,41.222725,57.1581,24.107625
31.721325,42.518775,149.044575,,51.83455,9.480225,41.502325,57.187925,24.1182
31.789975,42.5516,149.250125,,51.87475,9.48555,41.5165,57.232575,24.138
31.81685,42.570825,149.71995,,52.05735,9.5365,41.538775,57.286875,24.17625
31.8787,42.621975,150.13515,,52.209925,9.644175,41.632425,57.363925,24.205525
31.953425,43.1456,151.870375,,52.289075,9.6576,41.78985,57.376125,24.35715
32.0194,43.3359,152.0927,,52.303225,9.673875,41.974025,57.5636,24.4007
32.07415,44.055525,152.6045,,52.410075,9.736725,42.0537,57.646375,24.42345
32.099075,44.1017,152.639625,,52.47975,9.741725,42.48395,57.704,24.48875
32.185525,44.16535,152.6808,,52.5211,9.762675,42.834525,57.7502,24.637075
32.2183,44.29125,152.88855,,53.726575,9.788275,43.211725,58.014175,24.808825
32.22595,44.823375,153.2543,,54.171075,9.79565,43.5926,58.500575,24.814625
32.56665,44.988,153.981,,54.348375,9.796725,43.945875,58.5323,24.87275
32.6177,45.2099,154.424725,,54.57615,9.81805,43.9852,59.578725,25.232425
32.6663,45.327275,154.79815,,54.943025,9.84165,44.212575,60.054075,25.527775
32.832225,45.569325,155.2565,,54.997775,9.854325,44.254625,60.238425,25.7178
32.90235,45.9288,155.7954,,55.03245,9.8768,44.411375,60.288,25.7277
32.9883,46.332575,155.82365,,55.06795,9.888725,44.577425,60.405775,25.8028
33.06445,46.39075,156.014775,,55.257025,9.896175,44.7131,61.083725,25.828775
33.2926,46.45655,156.101625,,55.335775,9.912025,44.8296,61.300375,25.878
33.32785,46.778325,157.188425,,55.393675,9.928575,44.9097,61.835725,25.952475
33.35785,46.89345,157.755925,,55.466875,9.936925,44.9382,61.861425,26.201125
33.382975,46.9679,157.893025,,55.748675,9.953025,45.0105,61.990175,26.28995
33.428375,47.05135,158.122725,,55.768,9.986625,45.156425,62.51315,26.3741
33.554425,47.305525,159.2595,,56.1996,10.011075,45.181275,62.632325,26.448525
33.69365,47.4459,160.733225,,56.234125,10.027675,45.227575,62.65035,26.45595
34.1826,47.57905,160.957975,,56.4688,10.2001,45.26955,63.013125,26.521175
34.2939,47.62695,161.25585,,56.50805,10.226075,45.30445,63.204375,26.552075
34.4707,47.769975,161.3362,,56.7155,10.340425,45.56295,63.245025,26.555875
34.484225,48.05895,162.41085,,57.1556,10.3633,45.6758,63.412325,26.601775
34.706625,48.205,162.5101,,57.7681,10.37215,45.740875,63.51085,26.643875
34.896675,48.294,162.613475,,57.823,10.44935,45.93535,63.651225,26.65405
34.993675,48.396125,163.084175,,57.89715,10.458175,46.0875,63.67145,26.80235
35.167,48.6817,163.38255,,58.013825,10.46505,46.20035,63.73305,26.842
35.247225,48.84045,163.4766,,58.107625,10.477225,46.417875,64.11985,27.043075
35.915875,48.87005,164.634175,,58.159225,10.487275,46.450375,64.3172,27.218725
35.916925,48.94255,165.163675,,58.4058,10.504375,46.46295,64.403925,27.370775
36.00935,48.9647,165.642775,,58.52845,10.513925,46.514475,64.42335,27.444575
36.083425,49.030825,165.8557,,58.944075,10.5211,46.7342,64.475725,27.4713
36.08725,49.157875,167.448375,,59.100525,10.53225,46.843625,64.59985,27.473075
36.126375,49.53,167.5335,,59.116775,10.5378,46.98025,64.653425,27.534675
36.1664,49.71645,168.33045,,59.1658,10.546325,47.08995,64.737925,27.733575
36.227925,49.8586,168.5296,,59.58355,10.554725,47.54185,65.114225,27.740325
36.28315,49.992575,169.3705,,59.961025,10.5597,47.6229,65.299025,27.8704
36.328925,50.10925,171.797925,,60.0576,10.56525,47.6625,65.3671,27.96225
36.405425,51.248925,172.7221,,60.1718,10.577575,47.7458,65.801325,28.142475
36.41865,51.559575,173.474325,,60.305475,10.5854,48.3784,65.978525,28.3026
36.5892,51.7355,174.7074,,60.86285,10.592275,48.517325,66.069725,28.3493
36.7163,51.836775,175.959,,61.194075,10.60655,48.898175,66.3107,28.6279
36.749475,51.8578,176.133075,,61.3343,10.610675,48.9104,66.34345,28.6579
36.78445,51.9045,176.509775,,61.53905,10.621125,48.9895,66.410525,29.000125
