SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11b
176.82125,140.80545,106.15375,124.483425,115.109975
176.8791,141.183075,106.172325,124.491625,115.120225
176.92605,141.186925,106.1841,124.5139,115.127
177.0672,141.2851,106.191225,124.524025,115.1874
177.3045,141.540675,106.201,124.547525,115.2736
177.648175,141.565925,106.207875,124.56055,115.2977
177.7019,141.57,106.215,124.5764,115.5135
177.7735,141.580875,106.22265,124.58905,115.52415
177.790875,141.584975,106.231875,124.602275,115.53745
177.95165,141.588375,106.242675,124.61645,115.54725
178.244125,141.8119,106.250175,124.62555,115.55755
178.57715,141.870425,106.256525,124.6772,115.586425
178.63865,141.89445,106.261,124.842525,115.626775
178.661125,141.9203,106.26965,124.95125,115.646725
178.75715,142.228375,106.2773,124.959875,115.663525
178.790725,142.237025,106.28285,124.98645,115.703
179.51925,142.2431,106.29045,125.005925,115.73265
179.553025,142.251825,106.297575,125.0308,115.78065
179.5783,142.266125,106.306,125.10575,115.80105
179.618025,142.2718,106.317075,125.122525,115.807025
179.7584,142.277675,106.340475,125.143425,115.837625
179.958875,142.29215,106.36445,125.157775,115.8571
180.109625,142.320225,106.3782,125.545425,115.8757
180.20695,142.358325,106.3925,125.56615,115.888225
180.429075,142.684875,106.409825,125.57305,115.91195
180.598475,142.7906,106.425475,125.579725,115.92715
180.78845,143.125075,106.443925,125.60375,115.93675
180.878275,143.1398,106.4598,125.614175,115.954925
181.105825,143.1516,106.481275,125.62405,115.9896
181.224475,143.171825,106.50245,125.645925,116.047925
181.371625,143.1977,106.517975,125.66795,116.065225
181.42485,143.47065,106.541,125.721525,116.088725
181.5781,143.4788,106.5564,125.73605,116.107025
181.847875,143.493375,106.57575,125.75815,116.144425
181.891525,143.503675,106.6007,125.781125,116.3761
181.937375,143.510725,106.6196,125.792075,116.4512
182.14375,143.52115,106.63705,125.8376,116.463
182.21305,143.538625,106.6439,125.852725,116.46945
182.275675,143.5489,106.6509,125.88905,116.477975
182.4747,143.559275,106.660525,125.97345,116.485025
182.77015,143.597875,106.671625,126.018425,116.49205
182.781475,143.612625,106.6827,126.4269,116.5035
182.8347,143.92245,106.6938,126.46015,116.50965
182.869375,143.931275,106.70555,126.467425,116.53055
182.9083,143.94865,106.718875,126.4827,116.616625
183.0316,143.95925,106.729,127.01095,116.62955
183.09115,144.01985,106.754025,127.063325,116.66025
183.1311,144.286925,106.767525,127.07295,116.70145
183.372325,144.294025,106.798825,127.09415,116.717675
183.433025,144.301125,106.813375,127.103925,116.7358
183.4972,144.3121,106.82985,127.11305,116.75605
183.603475,144.607125,106.84895,127.14345,116.803375
183.664225,144.62445,106.869475,127.162525,116.848575
183.777475,144.641875,106.8925,127.19025,116.913025
184.2136,144.65445,106.933275,127.2253,116.9731
184.51735,144.6693,106.958775,127.25545,117.0692
185.7217,144.6815,106.97315,127.2694,117.07695
186.045825,144.952475,106.9971,127.28985,117.083125
186.2051,144.9653,107.010625,127.559425,117.1011
186.441625,144.990025,107.0286,127.5914,117.149375
186.45735,145.00275,107.042725,127.602375,117.166125
186.479425,145.008425,107.072275,127.621175,117.191475
186.620375,145.055625,107.089325,127.630925,117.2061
186.673025,145.081225,107.104325,127.6425,117.243725
186.933975,145.3314,107.11695,127.65055,117.35465
187.158225,145.3395,107.1333,127.659375,117.427075
187.5595,145.345325,107.15255,127.66785,117.43845
187.58335,145.4262,107.1692,127.688925,117.515525
187.843125,145.466025,107.186875,127.7007,117.53795
188.08465,145.697975,107.20305,127.71625,117.572825
188.179,145.7056,107.22755,127.741475,117.585675
188.35195,145.7155,107.248175,127.7522,117.600825
188.4091,145.72085,107.264275,127.761875,117.613525
188.838925,145.763725,107.29775,127.7746,117.651475
188.953175,145.782625,107.323075,127.79075,117.711525
189.193925,146.05285,107.341425,127.8007,117.79305
189.267075,146.06855,107.357325,127.81285,117.826125
189.287525,146.0886,107.367775,127.836,117.853275
189.744175,146.0938,107.37735,128.1652,117.9129
190.006375,146.098625,107.3879,128.17385,118.01845
190.166625,146.107425,107.397575,128.2306,118.029975
190.5215,146.4314,107.40525,128.312475,118.0398
190.543625,146.436475,107.413675,128.32155,118.0686
190.838275,146.4415,107.432325,128.349475,118.084
191.033475,146.4451,107.444675,128.36325,118.11185
191.05815,146.449325,107.458125,128.38805,118.125125
191.0681,146.4653,107.473575,128.414675,118.140725
191.36615,146.51665,107.484575,128.568925,118.15955
191.489075,146.536425,107.5017,128.60765,118.170725
191.601775,146.557025,107.515075,128.61695,118.1802
191.95485,146.92725,107.529725,128.625975,118.20855
191.9947,146.932625,107.54415,128.65115,118.234525
192.1794,146.943825,107.586525,128.65905,118.25975
192.872625,147.342025,107.604925,128.6763,118.27995
192.962575,147.3705,107.617975,128.684725,118.334275
193.15265,147.7397,107.632925,128.69805,118.3638
193.1912,147.748625,107.6463,128.73105,118.4031
193.30415,147.758675,107.667225,128.74745,118.5459
193.6235,147.7695,107.6858,128.780325,118.5617
193.64565,148.106575,107.6994,128.793625,118.5741
193.711475,148.129025,107.73385,128.80305,118.599075
193.752775,148.15545,107.75385,128.819475,118.763725
193.825275,148.166775,107.7712,128.832,118.773175
194.13785,148.197425,107.7886,128.845525,118.78325
194.4288,148.58795,107.820375,129.05215,118.800125
194.516975,148.681175,107.840325,129.076325,118.82035
194.6158,148.705975,107.8621,129.083675,118.839525
194.848775,149.046775,107.879075,129.090325,118.8512
194.90595,149.062725,107.890175,129.10755,118.88715
194.988075,149.072775,107.91115,129.11435,118.9152
195.076625,149.081625,107.92215,129.12315,118.968375
195.182525,149.09695,107.9413,129.1314,119.21505
195.282875,149.974225,107.95385,129.13955,119.235125
195.544575,150.042325,107.976175,129.148275,119.2482
195.663875,150.05665,108.00015,129.154475,119.270425
195.9116,150.066125,108.047325,129.16255,119.28685
195.982125,150.074775,108.06275,129.168875,119.297475
196.118425,150.0908,108.08195,129.1813,119.31385
196.2095,150.106775,108.1004,129.189425,119.33975
196.526725,150.5194,108.1149,129.1973,119.35765
196.56405,150.534825,108.137,129.20395,119.41975
196.5927,150.5658,108.1514,129.2262,119.484275
197.106825,150.587775,108.16275,129.238775,119.50185
197.184225,150.658675,108.166375,129.251,119.581775
197.1909,150.9883,108.175425,129.260175,119.66515
197.6836,151.02875,108.185725,129.26945,119.85705
197.7087,151.055475,108.203,129.284725,119.879425
197.7433,151.11495,108.2357,129.294475,119.883
197.7713,151.14955,108.247575,129.302025,119.888475
197.804675,151.475925,108.260425,129.319375,119.893175
197.853075,151.4875,108.2777,129.3313,119.9083
198.256525,151.494175,108.293125,129.343875,119.91395
198.279225,151.505575,108.3077,129.35845,119.947525
198.551425,151.604725,108.322275,129.373075,119.956475
198.635875,151.614675,108.338075,129.393425,119.973
198.772425,151.64395,108.358775,129.408625,119.994
198.79835,151.646825,108.369575,129.427875,120.026275
198.99875,152.523825,108.39005,129.647725,120.0562
199.2403,152.54625,108.406,129.655225,120.1292
199.257675,152.5783,108.4227,129.6902,120.15115
199.65115,152.5943,108.440825,129.699275,120.206475
199.821875,152.64645,108.4564,129.706175,120.28435
199.848825,152.676425,108.4733,129.713775,120.32535
200.011525,152.8069,108.5098,129.7215,120.480625
200.349125,153.13385,108.5273,129.748425,120.489175
200.396375,153.1496,108.542925,129.75525,120.4993
200.53635,153.175625,108.55755,129.761125,120.5298
