SPK_SPKC05a,SPK_SPKC05b,SPK_SPKC05c,SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC14a
434.75515,419.384725,464.584025,413.87205,417.425425,421.215675
434.964775,419.42,464.5866,413.91885,417.4579,421.259625
435.062925,419.461075,464.748,413.99805,417.527675,421.3662
435.2897,419.5617,465.031625,414.028175,417.560025,421.4771
435.484175,419.58465,465.0646,414.041325,417.607525,421.564025
435.624625,419.6478,465.444225,414.0529,417.655825,421.62705
435.647875,419.690625,465.54115,414.1069,417.65955,421.68725
435.680375,419.736,465.80065,414.137575,417.766075,421.78695
435.741325,419.78915,465.984775,414.21875,417.833075,421.9197
435.936175,419.846375,466.6065,414.22275,418.038475,421.97785
436.036575,420.002825,466.700575,414.31095,418.147175,421.9962
436.052775,420.093025,466.80295,414.378325,418.245475,422.0517
436.6021,420.136825,466.8609,414.39735,418.300325,422.10375
436.6047,420.25645,467.4323,414.54835,418.343475,422.125125
436.6265,420.3065,467.955075,414.5966,418.37685,422.166675
436.6926,420.395125,467.96995,414.625825,418.412325,422.35175
436.745825,420.436275,468.206525,414.6629,418.431825,422.468525
436.7608,420.4652,468.231925,414.670575,418.4914,422.49585
436.83425,420.54895,468.58395,414.68515,418.524875,422.54055
436.976775,420.629175,468.613525,414.69745,418.655,422.6131
437.11505,420.630425,468.784425,414.71625,418.778825,422.741025
437.155075,420.681325,468.903225,414.72825,418.788175,422.790725
437.174525,420.72695,469.016825,414.7722,418.843125,423.03235
437.255675,420.771375,469.798225,414.78845,418.883925,423.225875
437.269375,420.821925,469.85915,414.87775,418.901075,423.2421
437.287525,420.870725,470.066225,414.90925,418.9483,423.2653
437.3217,420.960675,470.11265,414.94515,419.075875,423.31045
437.335375,420.996125,470.77925,414.96,419.1191,423.345725
437.45525,421.041675,470.938675,414.99205,419.18305,423.396475
437.5075,421.0869,471.134475,415.0094,419.29875,423.43995
437.5862,421.137025,471.400725,415.091125,419.40545,423.46125
437.66545,421.212875,471.659275,415.128825,419.437475,423.629375
437.7483,421.244775,471.865625,415.171625,419.4878,423.7078
437.78265,421.35395,471.88155,415.187975,419.53215,423.74945
437.814275,421.411075,471.9345,415.21075,419.5443,423.83495
437.8676,421.53865,472.033125,415.244775,419.56145,423.8604
438.02155,421.5832,472.06315,415.29175,419.59935,423.89405
438.49935,421.617275,472.0732,415.34005,419.733075,424.082125
438.583875,421.695575,472.109775,415.40345,419.7706,424.196725
438.6112,421.71725,472.4821,415.508275,419.81205,424.5223
438.62005,421.841375,472.58565,415.5985,419.8523,424.5852
438.65205,421.877175,472.6625,415.644825,420.00545,424.5989
438.66345,421.901625,473.369475,415.671075,420.05915,424.6548
438.70275,421.98195,473.471375,415.687,420.083675,424.85055
438.73705,422.027525,473.571175,415.704975,420.12305,424.9185
438.743725,422.061725,473.624525,415.71265,420.14845,424.947825
439.096825,422.13035,474.037575,415.717425,420.1807,424.9938
439.1816,422.1578,474.0724,415.740425,420.2235,424.997175
439.292725,422.20825,474.361425,415.7912,420.2389,425.009475
439.33155,422.238025,474.83575,415.881125,420.32125,425.11065
439.36495,422.29225,475.21045,415.88785,420.3513,425.17005
439.386925,422.3858,475.297075,415.924,420.39635,425.217925
439.400225,422.465025,475.314625,415.925,420.448775,425.320825
439.481925,422.544725,475.3301,415.9434,420.511575,425.369975
439.5106,422.58915,475.987975,415.975125,420.545525,425.4851
439.73275,422.7116,476.44075,415.987475,420.5725,425.5454
439.84005,422.73855,477.0609,416.001275,420.6442,425.7896
439.9726,422.799325,477.402075,416.039575,420.71515,425.856925
440.038525,422.865975,477.609925,416.0633,420.752025,425.889575
440.04695,422.89255,477.7044,416.06885,420.792825,426.1119
440.11335,422.92745,477.733775,416.098025,420.843,426.17465
440.167575,423.0102,478.14295,416.1405,420.8916,426.2052
440.552225,423.06,478.602675,416.207175,420.9601,426.25325
440.784575,423.0872,478.717775,416.223325,420.98285,426.299925
440.843,423.146725,478.8476,416.2407,421.191975,426.342325
