SPK_SPKC06a (inhi),SPK_SPKC10a (no response),SPK_SPKC15a (no response)
15.8728,17.017175,97.631025
15.90825,17.03505,97.65715
15.965975,17.083175,97.701325
15.9888,17.10335,97.771775
16.008775,17.13005,97.82335
16.0413,17.185675,97.9211
16.102,17.218825,97.99025
16.134125,17.421575,98.0453
16.161925,17.4259,98.117425
16.18485,17.4293,98.351375
16.21535,17.4681,98.434125
16.229725,17.4694,98.460075
16.265425,17.4997,98.6256
16.27965,17.519025,98.89685
16.2867,17.572,98.915575
16.298825,17.580875,99.00725
16.330125,17.58765,99.04
16.3431,17.6122,99.061825
16.3549,17.669075,99.20945
16.370975,17.677725,99.3089
16.389175,17.680375,99.43195
16.402175,17.6816,99.5312
16.421575,17.682775,99.820225
16.44,17.6921,99.8702
16.457825,17.706075,99.872925
16.477025,17.718175,99.87535
16.536575,17.7357,99.9678
16.563425,17.752925,100.05775
16.603825,17.805425,100.110775
16.6504,17.822875,100.1722
16.6807,17.8535,100.19125
16.7245,17.8595,100.33895
16.7784,17.872775,100.449725
16.813375,17.8906,100.4716
16.8567,17.906825,100.74705
16.8831,17.99515,100.7748
16.9025,17.997425,100.89225
16.915175,18.042575,100.96175
16.93675,18.114125,101.037
16.948,18.192675,101.0923
16.95795,18.20565,101.354775
16.973,18.213425,101.453625
17.004125,18.217975,101.53335
17.045025,18.28015,101.639275
17.069925,18.346275,101.666575
17.08975,18.3507,101.884475
17.1142,18.381325,102.035275
17.134875,18.399375,102.077
17.1769,18.443475,102.20865
17.206675,18.456375,102.771625
17.3302,18.471525,102.7771
17.3887,18.508425,102.8906
17.41915,18.5132,103.064175
17.446925,18.577875,103.1683
17.4983,18.592575,103.200975
17.5238,18.682575,103.347225
17.541675,18.68675,103.47755
17.551925,18.795325,103.578325
17.576375,18.814775,103.67235
17.585925,18.835675,103.919975
17.605,18.858075,103.98175
17.61185,18.8721,104.023975
17.640375,18.880725,104.151075
17.68065,18.89625,104.44445
17.719575,18.903325,104.648525
17.7447,18.927675,104.687725
17.75365,18.930525,104.706375
17.8028,18.945325,104.845825
17.821375,18.994125,105.07105
17.835,19.0239,105.077475
17.849825,19.067075,105.162275
17.8642,19.075175,105.510675
17.885125,19.1488,105.562625
17.908425,19.192675,105.6293
17.94465,19.20145,105.716325
18.00525,19.228125,105.756075
18.0289,19.232775,106.04635
18.042175,19.2507,106.216075
18.07335,19.299475,106.23485
18.1164,19.36995,106.39835
18.14145,19.380775,106.5387
18.203825,19.405725,106.62305
18.2518,19.4129,106.810975
18.28395,19.41965,106.884775
18.317475,19.430425,106.8927
18.337825,19.4463,107.0235
18.35925,19.448025,107.067
18.370475,19.4593,107.466125
18.38735,19.48875,107.519675
18.400225,19.496475,107.628325
18.4124,19.5301,107.68685
18.429375,19.54165,107.93735
18.452625,19.569375,108.061275
18.485525,19.641925,108.116425
18.525575,19.663225,108.122725
18.554325,19.680125,108.2862
18.613675,19.75025,108.301275
18.6546,19.819975,108.48185
18.697925,19.850175,108.59715
18.73665,19.864325,108.694225
18.76925,19.878325,108.721
18.7945,19.8845,108.722225
18.809625,19.88605,109.13605
18.825625,19.9132,109.2258
18.836425,19.9522,109.2731
18.84735,19.992175,109.278975
18.85615,20.013925,109.47285
18.868375,20.025375,109.5669
18.884075,20.0333,109.57305
18.893175,20.075175,109.7688
18.90055,20.143875,109.807
18.910175,20.1883,109.87885
18.929075,20.207675,110.25925
18.93825,20.2173,110.30515
18.950025,20.23095,110.37505
18.95855,20.253175,110.57
18.969675,20.25695,110.58395
18.977375,20.280525,110.797025
18.98915,20.3067,111.014675
19.003125,20.3366,111.04695
19.014325,20.345625,111.070375
19.025275,20.3981,111.226675
19.048075,20.45865,111.242125
19.064225,20.47375,111.3289
19.078225,20.47665,111.363825
19.104225,20.63115,111.514525
19.1338,20.665575,111.7103
19.19035,20.673475,111.7302
19.2014,20.67735,111.7466
19.2332,20.7251,111.8002
19.25215,20.7481,111.941
19.26805,20.75905,112.059575
19.2882,20.78115,112.09945
19.304775,20.789725,112.17865
19.325525,20.811525,112.3414
19.336675,20.8351,112.50885
19.351575,20.882975,112.799
19.367325,20.906675,112.915925
19.379525,20.934125,113.0041
19.38745,20.942425,113.193625
19.403025,21.012175,113.272725
19.4152,21.0384,113.398325
19.42285,21.042525,113.49455
19.431475,21.098125,113.533075
19.451625,21.110975,113.738425
19.47925,21.112525,113.856175
19.493375,21.1352,113.89685
19.50185,21.15305,113.959825
19.51375,21.1674,114.1113
19.52215,21.177575,114.1496
19.54,21.192175,114.2227
19.555125,21.2006,114.54625
19.5713,21.220375,114.622475
19.586175,21.25535,114.9412
19.602225,21.25905,114.947525
19.628075,21.2625,115.43705
19.63925,21.267,115.45205
19.65645,21.2875,115.652275
19.673,21.293575,115.817025
19.686675,21.321275,115.82415
19.702,21.335325,115.9707
19.7388,21.352175,116.071275
19.756425,21.375375,116.11025
19.772125,21.38645,116.262825
19.786325,21.39475,116.27985
19.79525,21.411925,116.370975
19.805325,21.431975,116.3838
19.815025,21.440925,116.632225
19.82575,21.496875,116.789
19.84395,21.498575,116.807975
19.85345,21.51,117.14365
19.85895,21.511375,117.174125
19.872225,21.51495,117.433325
19.886575,21.532675,117.489325
19.9129,21.554625,117.6051
19.922775,21.5696,117.8877
19.942425,21.59755,117.896675
19.96835,21.615325,118.025325
19.9843,21.64665,118.068975
20.024275,21.72115,118.122375
20.048825,21.779975,118.48325
20.06545,21.797125,118.4908
20.087775,21.827775,118.585875
20.11405,21.84035,118.63645
20.133325,21.857775,118.867425
20.151925,21.87875,118.88605
20.178825,21.88575,119.307675
20.20225,21.963025,119.372575
20.2155,21.978825,119.689175
20.225075,22.014675,119.876975
20.2357,22.108375,120.0842
20.2515,22.144875,120.094325
20.25895,22.19235,120.7113
20.264775,22.217275,121.1533
20.270975,22.2559,121.475025
20.284775,22.258775,121.519325
20.29035,22.291475,121.8783
20.29655,22.399925,121.965275
20.316675,22.422675,122.174
20.323525,22.45065,122.185775
20.338075,22.485575,122.424825
20.350725,22.495725,122.43935
20.368425,22.51465,122.52595
20.37465,22.567075,122.703025
20.387775,22.6064,122.932525
20.410025,22.6101,122.95935
20.424525,22.62895,123.18805
20.45515,22.65325,123.237175
20.4703,22.654375,123.407
20.499675,22.6784,123.574375
20.507775,22.75985,123.605425
20.520525,22.792475,123.6654
20.539675,22.829825,123.84115
20.55405,22.855575,123.956575
20.57895,22.901075,124.143725
20.6108,22.920225,124.222325
20.637575,22.937975,124.36865
20.6539,22.96565,124.4113
20.68915,23.017375,124.51245
20.71055,23.058925,124.561575
20.745,23.1112,124.608125
20.78845,23.158225,124.87335
20.823325,23.1803,124.977525
20.860425,23.196925,124.991025
20.88765,23.2072,125.162675
20.89705,23.224575,125.387975
20.909075,23.26645,125.41825
20.922375,23.2851,125.47825
20.931975,23.287975,125.75985
20.95745,23.3717,125.880375
20.968575,23.3798,125.938725
20.978275,23.598525,126.196275
20.98905,23.640075,126.254375
21.001875,23.715825,126.426825
21.02015,23.732175,126.83325
21.036875,23.745375,126.868725
21.063675,23.76305,127.153225
21.07435,23.767575,127.18485
21.1226,23.7898,127.1937
21.1358,23.820175,127.491675
21.150275,23.857625,127.5772
21.167025,23.872075,127.583875
21.185325,23.8836,127.6685
21.21485,23.914425,127.856725
21.253875,23.982425,127.9267
21.2766,24.0182,128.01095
21.28955,24.101325,128.02915
21.301975,24.1616,128.3041
21.309125,24.17825,128.780725
21.3208,24.211725,129.07785
21.33185,24.2241,129.127225
21.3371,24.2427,129.1337
21.348975,24.24425,129.5513
21.3561,24.27035,129.64385
21.369025,24.30695,129.982925
21.38565,24.341225,130.06735
21.3961,24.398025,130.1282
21.40355,24.4169,130.546575
21.40975,24.4382,130.604125
21.42495,24.447175,130.70625
21.43395,24.452225,130.863875
21.443675,24.54185,130.955625
21.461525,24.552875,130.965475
21.475375,24.609925,131.348825
21.50015,24.6155,131.4741
21.5201,24.6459,131.555
21.529825,24.70265,131.76035
21.540125,24.80255,131.768875
21.5522,24.816225,132.011875
21.56665,24.847775,132.018375
21.580725,24.902725,132.202275
21.590175,24.9083,132.22425
21.600975,24.97125,132.623975
21.60765,25.019925,132.670225
21.61495,25.045975,132.6979
21.62675,25.04735,132.748025
21.636225,25.063875,132.92245
21.66905,25.1253,132.9428
21.683175,25.165975,133.23575
21.696875,25.19025,133.8329
21.710725,25.23,134.5
21.7237,25.26345,134.505475
21.73265,25.28975,134.7161
21.750475,25.299925,134.7497
21.772925,25.357725,134.758075
