SPK_SPKC03a (inhi),SPK_SPKC04a (no response),SPK_SPKC16a (no opto-tagging)
330.28185,338.624025,335.69435
330.315575,338.673375,335.699625
330.355525,338.679925,335.7859
330.438325,338.730225,336.0074
330.47365,338.760325,336.0397
330.55015,338.796525,336.072225
330.59195,338.817925,336.200975
330.64635,338.835625,336.393725
330.740475,338.851325,336.451925
330.7943,338.867325,336.4691
330.831775,338.9079,336.511175
330.8953,338.9714,336.524
330.946,339.006925,336.5952
331.00845,339.0361,336.82905
331.052775,339.077475,337.0717
331.109225,339.1209,337.086975
331.151375,339.15385,337.1432
331.190675,339.386,337.158825
331.228125,339.403275,337.17025
331.295875,339.4819,337.181525
331.335175,339.526925,337.203175
331.3672,339.57435,337.206725
331.401675,339.61175,337.352275
331.43415,339.661725,337.508875
331.45995,339.734625,337.64585
331.496175,339.887,337.663775
331.5643,339.9392,337.815425
331.60585,340.03895,337.85315
331.65165,340.0907,337.8725
331.688325,340.140125,337.894475
331.7382,340.154475,337.900075
331.804175,340.19025,337.906175
331.8669,340.2911,337.909525
331.910675,340.33995,337.96565
331.973775,340.4171,337.9774
332.0516,340.473225,338.14155
332.130675,340.545,338.22875
332.1658,340.59005,338.3184
332.200625,340.666525,338.408475
332.24145,340.70875,338.555125
332.26925,340.76815,338.573675
332.35505,340.833275,338.615875
332.380525,340.875375,338.694175
332.3944,340.908175,338.7938
332.408125,340.9342,338.800575
332.421525,341.069,338.849525
332.440725,341.138075,338.881875
332.45475,341.271775,338.9514
332.471025,341.3249,338.992975
332.481725,341.3728,339.127925
332.5595,341.472775,339.1363
332.604125,341.499325,339.360025
332.679375,341.632525,339.446
332.7126,341.65625,339.47675
332.76455,341.811175,339.620225
332.811925,341.901475,339.64035
332.9085,341.982825,339.70555
332.941375,342.0306,339.73085
332.970875,342.135725,339.828825
332.990725,342.304075,339.90735
333.029925,342.3468,339.91315
333.057175,342.414375,339.922225
333.0826,342.485675,339.949
333.125525,342.610425,340.1835
333.326,342.669325,340.4261
333.365525,342.774375,340.69995
333.44085,342.85635,340.8147
333.50765,342.92315,340.950625
333.545875,342.993675,341.009575
333.587625,343.0913,341.04505
333.696625,343.1226,341.089825
333.72565,343.23775,341.328725
333.8446,343.3838,341.365825
333.891175,343.457375,341.485375
333.9375,343.50635,341.500475
334.011625,343.579675,341.505875
334.148875,343.634275,341.734675
334.3009,343.763425,341.738325
334.3367,343.811575,341.7824
334.377575,343.87725,341.796425
334.41275,343.946575,341.8016
334.4607,343.994225,342.002975
334.52915,344.0356,342.011275
334.5499,344.077575,342.0876
334.56095,344.10985,342.430225
334.6024,344.133925,342.5293
334.62445,344.158675,342.535
334.640675,344.20335,342.536075
334.705475,344.2503,342.542375
334.722825,344.30415,342.589675
334.746725,344.391425,342.592975
334.791375,344.47475,342.6248
334.885775,344.529,342.787725
334.91125,344.565875,342.855325
334.937525,344.6642,342.86195
334.959925,344.721375,342.865875
334.9971,344.80755,342.898975
335.04245,344.843525,342.951925
335.074825,344.888975,343.065175
