SPK_SPKC08a (inhibited),SPK_SPKC12a (inhibited),SPK_SPKC14a (short inhibition),SPK_SPKC14b (inhibited),SPK_SPKC16a (NA)
116.361975,71.09275,33.21865,34.211,24.66425
116.454225,71.317125,33.29465,34.37625,24.7257
116.645025,71.681,33.35775,34.39625,24.83865
116.7707,71.88265,33.432275,34.472525,24.86025
116.913675,71.8976,33.51075,34.4896,24.937675
116.989225,72.197925,33.526275,34.558125,25.1169
117.13615,72.242375,33.552125,34.6066,25.165775
117.2696,72.3293,33.579575,34.7609,25.2895
117.42625,72.4346,33.6526,34.9559,25.377175
117.4796,72.7178,33.75365,34.95775,25.463475
117.80065,72.849125,33.77435,34.9934,25.47395
117.992,72.855575,34.2514,35.094525,25.499375
118.206425,72.9464,34.30435,35.121075,25.581825
118.277675,73.082425,34.344225,35.2157,25.701775
118.52455,73.241775,34.5938,35.351125,25.778125
118.645625,73.32265,34.628675,35.360425,25.860875
118.7293,73.398875,34.6695,35.5657,25.88605
118.801225,73.461825,34.718125,35.939425,25.92165
118.990825,73.49675,34.8082,36.033575,25.938775
119.089775,73.793225,34.8711,36.086,25.96715
119.7968,73.83765,34.9096,36.095725,25.996525
119.9491,73.936575,34.9497,36.324775,26.043775
120.059625,74.046025,34.969925,36.514375,26.07805
120.33685,74.11315,35.017525,36.544875,26.154175
120.87705,74.292225,35.0474,36.608925,26.303925
122.013525,74.61405,35.07735,36.71425,26.39175
122.1501,74.763525,35.161,36.745125,26.4413
122.598125,75.292,35.241175,37.0262,26.54895
123.0714,75.38055,35.412825,37.188625,26.568775
123.2622,75.643725,35.478725,37.2079,26.63805
123.61675,75.98645,35.525725,37.557325,26.717575
123.77065,76.122925,35.59925,37.591175,26.8545
124.126875,76.21535,35.635125,37.592825,26.85755
124.435825,76.651975,35.683775,37.693075,27.034
124.682425,76.877,35.7143,37.83425,27.038375
124.854625,76.93535,35.786975,37.88875,27.072625
125.0097,77.014475,35.99175,37.9155,27.10745
125.260675,77.081825,36.051725,38.042075,27.14715
125.541075,77.89455,36.067075,38.12345,27.21685
125.66685,77.990825,36.144875,38.212475,27.30215
125.7595,78.045375,36.254325,38.23645,27.3746
126.12795,78.486,36.26305,38.316625,27.41595
126.5545,78.708925,36.3462,38.35495,27.54255
126.694325,78.7808,36.376625,38.40265,27.558575
126.755575,78.92585,36.451575,38.54135,27.620725
126.82295,79.3418,36.5881,38.8039,27.683875
126.906725,79.449975,36.64905,39.241275,27.759
127.12235,79.5002,36.67825,39.26195,27.81285
128.176025,79.585725,36.877525,39.5043,27.82355
128.2742,79.8087,36.981775,39.59325,27.864325
128.416125,79.968975,37.0911,39.6894,27.947525
128.55485,80.74845,37.1197,39.9082,27.996275
128.6594,80.96055,37.1592,40.0196,28.067775
128.796025,81.03505,37.232975,40.36335,28.132725
128.8859,81.07695,37.25695,40.44495,28.187325
129.0092,81.1929,37.273775,40.61845,28.219425
129.1276,81.349,37.305275,40.68935,28.5299
129.4414,81.52965,37.3648,40.815,28.645025
129.707325,81.7102,37.445625,40.82775,28.651575
129.9809,81.765875,37.538275,41.044675,28.82935
130.057575,81.788175,37.61315,41.0954,28.867425
130.24605,81.98505,37.6474,41.11985,28.9043
130.388525,82.10215,37.70855,41.2249,28.967825
130.581675,82.550725,37.725475,41.644875,29.014825
130.719475,82.6959,37.74415,41.692775,29.06935
131.11565,82.8678,37.764075,41.832375,29.154325
131.689675,82.9144,37.778375,42.087475,29.33945
131.9294,82.978275,37.8166,42.306225,29.344775
132.221,83.0816,37.927925,42.343975,29.3908
132.28215,83.265875,37.958675,42.577025,29.52805
132.354125,83.404,38.2783,42.671475,29.59925
132.6812,83.435525,38.442975,42.835275,29.697775
132.8325,83.54565,38.4968,42.8857,29.74925
132.89815,83.6136,38.5747,42.937175,29.8055
133.442875,83.900275,38.620025,43.34865,29.841375
133.7724,83.992275,38.678225,43.442925,30.0422
134.581125,84.01305,38.732475,43.4833,30.0583
134.78345,84.266375,38.86775,43.64965,30.09885
134.9677,84.352925,38.9123,43.761325,30.12375
135.101725,84.743325,38.984075,43.787475,30.186825
135.145875,85.0919,39.07185,43.947425,30.339175
135.42485,85.123575,39.134175,43.983575,30.4548
135.602325,85.281,39.185025,44.1385,30.46545
135.6721,85.35565,39.200975,44.268675,30.540925
135.74505,85.572825,39.22795,44.621775,30.675175
136.059925,85.6297,39.2352,44.65885,30.765675
136.19825,85.854275,39.2823,44.682825,30.945925
136.361975,86.079825,39.415275,45.0082,31.01865
136.524325,86.3274,39.543125,45.0646,31.17285
136.76485,86.45125,39.58095,45.2111,31.312675
136.867525,86.48385,39.60775,45.54875,31.44215
137.1077,86.4981,39.63355,45.644625,31.67835
137.314125,86.542375,39.736875,45.900225,31.75175
137.387525,86.582125,39.833575,46.013,31.754225
137.4428,86.715125,39.957325,46.054825,31.767775
137.552625,86.8217,40.04325,46.106725,31.808125
137.762925,86.8968,40.079875,46.21755,31.852075
137.971025,87.03285,40.1434,46.22845,31.942925
138.160575,87.19765,40.195125,46.68615,32.02145
138.225125,87.449525,40.249,46.757025,32.29345
138.350525,87.462625,40.321725,46.797925,32.31025
138.522175,87.474775,40.38185,46.85085,32.38755
138.75275,87.50785,40.499375,46.87395,32.491875
138.955275,87.5217,40.747525,46.94235,32.52675
139.078575,87.902575,40.7612,47.02005,32.652325
139.335125,87.990325,40.78145,47.102125,32.784525
139.512425,88.125925,40.857,47.24185,32.8302
139.581025,88.164725,40.916725,47.387625,32.9002
139.612025,88.187375,40.954525,47.48355,32.961375
139.63945,88.467475,41.1669,47.5989,33.1023
139.6668,88.50575,41.202075,47.96445,33.1928
139.68355,88.51515,41.316375,48.256925,33.322175
139.84425,88.997975,41.3391,48.436,33.48325
140.0003,89.009075,41.410325,48.527075,33.486175
140.423875,89.03705,41.446775,48.5952,33.517475
140.678775,89.073075,41.469675,48.69965,33.52885
140.735975,89.124075,41.4956,48.89115,33.541675
141.016125,89.1666,41.528225,49.185375,33.5747
141.396325,89.1863,41.74415,49.32195,33.615825
141.570325,89.32415,41.7929,49.347225,33.675625
141.68545,89.362975,41.856375,49.3637,33.718875
141.9549,89.554125,41.8931,49.416575,33.804225
142.556475,89.78745,41.927925,49.460725,33.80845
142.6131,89.8979,41.96385,49.4912,33.814375
142.7125,89.91865,42.0268,49.518225,33.83095
142.78595,90.000625,42.0564,49.5401,33.8459
143.085475,90.409375,42.165275,49.763925,33.878525
143.3308,90.615375,42.211475,49.791825,33.929975
143.38935,90.6549,42.26685,49.850575,34.059175
143.484875,90.694425,42.4299,50.0471,34.18635
143.978275,90.875775,42.490925,50.105325,34.469625
144.1723,90.99015,42.520675,50.23095,34.487525
144.31535,91.0607,42.6146,50.2654,34.533125
144.70915,91.07785,42.710575,50.308,34.538875
144.880725,91.25995,42.74275,50.392875,34.798825
145.05295,91.333475,42.785525,50.431775,34.811975
145.5498,91.536175,42.902975,50.482525,34.9643
145.745675,91.721125,42.964375,50.7227,35.047375
145.909175,91.771475,43.042725,50.90615,35.048825
146.00415,91.96215,43.103125,50.922,35.08335
146.703625,92.05685,43.152925,50.930225,35.1023
147.196025,92.09385,43.221425,50.99205,35.11895
147.240575,92.162525,43.26525,51.16,35.1399
147.710475,92.2968,43.300525,51.315025,35.169025
148.06165,92.628575,43.401975,51.33855,35.20995
