SPK_SPKC02a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a
8.318325,167.93925,6.3839,16.2534,10.22195
8.327375,168.309,6.391425,16.257225,10.236025
8.4348,168.557725,6.39475,16.26555,10.263775
8.51545,168.781675,6.3987,16.269,10.277325
8.531525,168.999325,6.4035,16.27125,10.289425
8.551825,169.013825,6.40715,16.27575,10.316075
8.6633,169.1062,6.413425,16.2827,10.362025
8.704175,169.837625,6.416075,16.2872,10.382975
8.711125,171.07915,6.4239,16.3449,10.39855
8.71245,171.2957,6.43545,16.40465,10.42105
8.73835,172.642475,6.43905,16.47505,10.470775
8.764825,173.168425,6.4517,16.50485,10.6967
8.776075,173.1835,6.4802,16.7738,10.7113
8.84405,173.517325,6.486075,16.83275,10.729675
8.857575,173.525025,6.496225,16.906775,10.75025
8.872525,173.787225,6.525775,16.934925,10.77085
8.879825,174.1051,6.621,16.940575,10.7945
8.88825,174.780875,6.628875,16.9524,10.834675
8.89805,176.682775,6.76315,16.95905,10.928525
8.910825,176.997175,6.800225,16.969225,10.94515
8.92205,177.032275,6.80995,17.033275,10.95625
8.950925,178.16325,7.3924,17.039525,10.9655
8.9699,179.3137,7.50725,17.253075,10.982075
9.0046,179.37,7.5241,17.2628,11.0049
9.08085,179.709225,7.542575,17.284075,11.020025
9.1096,180.53585,7.807675,17.291425,11.0413
9.123275,180.566575,7.814175,17.6188,11.11835
9.156075,180.587125,7.818725,17.6231,11.134625
9.188175,180.5982,7.8232,17.63765,11.1762
9.423425,181.04845,7.8329,17.643825,11.232375
9.429675,181.31825,7.8388,17.64655,11.27405
9.43185,181.359625,7.8481,17.670775,11.30325
9.440225,181.57345,7.86555,17.686275,11.369625
9.47775,181.80175,7.87245,17.705175,11.4307
9.534025,181.88975,7.885,17.720425,11.52695
9.55035,181.957075,7.88915,17.9254,11.545175
9.562875,182.543625,7.898725,18.151325,11.5998
9.57275,184.78625,7.904275,18.157275,11.6494
9.58095,185.19845,8.071175,18.1707,11.679625
9.608125,185.224225,8.08875,18.294975,11.683125
9.624725,185.71905,8.1036,18.308775,12.07065
9.636525,186.843725,8.1061,18.311125,12.07785
9.649175,187.0095,8.11375,18.330275,12.089975
9.676825,188.020675,8.12705,18.34245,12.098125
9.688325,188.3902,8.3103,18.467675,12.108875
9.693675,189.213025,8.34555,18.505725,12.128575
9.731725,190.26645,8.3521,18.5152,12.152075
9.759125,190.570275,8.360175,18.541875,12.17405
9.784475,191.195525,8.370375,18.550225,12.185725
9.809075,191.2194,8.393125,18.558,12.4225
9.897925,192.582025,8.402875,18.627425,12.484775
9.910125,192.691975,8.4059,18.71145,12.52745
9.949725,193.3001,8.417775,18.933,12.88615
9.986225,193.7495,8.42085,18.9416,12.89935
10.00935,194.21115,8.426125,18.945675,12.9063
10.0551,194.4361,8.430025,18.970825,12.91165
10.0587,194.948275,8.43325,19.218075,12.918125
10.093325,197.3838,8.4356,19.2223,12.92305
10.1216,197.550125,8.437775,19.2268,12.92975
10.179925,197.7683,8.44035,19.240625,12.936175
10.267825,197.794225,8.442775,19.264275,12.94975
10.27685,198.2862,8.4456,19.273625,12.96675
10.290275,198.39185,8.4507,19.441125,12.9926
10.306325,198.434975,8.45705,19.445925,13.00395
10.30965,199.0884,8.4598,19.44845,13.012025
10.324325,,8.46285,19.457075,13.018575
10.38095,,8.4727,19.495825,13.0251
10.394375,,8.481175,19.525825,13.034375
10.455975,,8.4848,19.54625,13.04475
10.458725,,8.488825,20.504025,13.05875
10.47415,,8.4913,20.527275,13.082125
10.4931,,8.496075,20.541975,13.103725
10.495575,,8.501975,20.55225,13.112175
10.5621,,8.505625,20.5595,13.13615
10.565675,,8.517875,20.570075,13.154725
10.6141,,8.5228,20.606025,13.1708
10.6934,,8.5343,20.692,13.30785
10.7005,,8.543275,20.751475,13.313675
10.71085,,8.55225,21.129775,13.3237
10.722425,,8.56385,21.582675,13.3334
10.7426,,8.57445,21.591375,13.341575
10.755625,,8.596275,21.59775,13.359775
10.768875,,8.836225,21.604675,13.36755
10.818575,,8.86905,21.607325,13.37435
10.88215,,8.876775,21.620225,13.383025
10.890225,,8.88865,21.62395,13.419325
10.904975,,8.89445,21.632875,13.4268
10.910975,,8.897275,21.650075,13.470425
10.950025,,8.906275,21.659625,13.48655
10.995,,8.914725,21.915675,13.49825
10.9972,,8.920325,21.928475,13.519875
11.01025,,8.923275,21.934375,13.528075
11.0169,,8.925925,21.961175,13.531375
11.0367,,8.934325,21.9686,13.54
11.042775,,8.94625,21.97765,13.56
11.0703,,8.957,21.980275,13.570975
11.07565,,8.961275,21.99255,13.60065
11.08045,,8.96925,21.995075,13.6183
11.082025,,8.9854,22.0113,13.6308
11.0936,,8.997,22.977025,13.6539
11.11395,,9.002525,22.980725,14.016625
11.114975,,9.005625,22.988475,14.23705
11.13655,,9.016025,23.14425,14.2551
11.2981,,9.0271,23.1541,14.295325
