SPK_SPKC01a (inhibited),SPK_SPKC04a (excited),SPK_SPKC07a (excited),SPK_SPKC12a (NA)
10.11475,13.7805,173.101425,18.238525
10.16535,13.8067,173.466,18.248625
10.184375,13.819575,173.923175,18.2637
10.220975,13.8295,174.451125,18.267775
10.247625,13.844525,176.0342,18.274225
10.25535,13.86745,176.686025,18.277675
10.27065,13.894025,177.759925,18.284225
10.2897,13.89675,178.07295,18.289825
10.3163,13.9268,181.50165,18.302925
10.33865,13.959275,183.30275,18.31495
10.353275,13.988925,183.668325,18.318725
10.415975,14.019875,184.564325,18.325225
10.43595,14.038625,185.4485,18.348625
10.469775,14.07875,185.6701,18.3552
10.4928,14.127925,186.180925,18.368425
10.5203,14.144225,186.684025,18.37665
10.532725,14.170475,186.927375,18.3806
10.557225,14.19785,187.08255,18.398025
10.5707,14.22405,187.171325,18.425275
10.592975,14.238125,187.335425,21.0363
10.603875,14.27865,187.476175,21.3307
10.625175,14.311875,188.082475,21.368925
10.670875,14.333025,188.259025,21.371375
10.721175,14.37215,188.443,21.373825
10.745575,14.411725,188.553925,21.376275
10.754725,14.423125,188.953225,21.378925
10.8727,14.435675,189.083,21.3813
10.884875,14.462375,189.39395,21.3838
10.892075,14.5144,189.6146,21.38635
10.9068,14.573525,189.916525,21.389325
10.936075,14.608475,190.36175,21.3947
10.950375,14.68295,191.5931,21.39715
10.981075,14.723975,195.834175,21.40715
11.001125,14.7576,195.976875,21.413425
11.03765,14.793525,196.94615,21.417025
11.0604,14.845375,198.4656,21.420725
11.0831,14.90555,200.1634,21.424375
11.096525,14.9351,200.80675,21.427525
11.1186,14.962675,200.8816,21.43485
11.214275,14.991975,200.95565,21.436575
11.227425,15.0418,201.48315,21.453225
11.238775,15.068875,201.850475,21.457425
11.251125,15.090425,202.140075,21.46585
11.25605,15.10225,202.306125,21.470275
11.301725,15.230275,202.6718,21.47825
11.33355,15.26195,202.832325,21.4926
11.36015,15.288675,202.9507,21.496525
11.390225,15.333625,203.067875,21.505625
11.456025,15.369275,203.335575,21.50885
11.461225,15.4061,204.3629,21.5204
11.51205,15.42885,205.17105,21.5275
11.53895,15.44385,205.777225,21.5407
11.6103,15.51285,205.86455,21.566225
11.6426,15.54845,205.951925,21.584725
11.658675,15.574075,206.05605,21.58695
11.729825,15.5957,206.246925,21.599925
11.75535,15.6112,206.611725,21.6055
11.8055,15.638275,207.02185,21.60675
11.81425,15.6804,207.17825,21.99665
11.8245,15.718275,207.4058,22.2616
