SPK_SPKC02a (short inhibition),SPK_SPKC04a (inhibited),SPK_SPKC05a (excited),SPK_SPKC07a (short excitation),SPK_SPKC10a (short excitation)
24.585775,16.06895,101.9621,10.632125,15.07945
24.601075,16.0988,102.353575,10.685375,15.0843
24.62385,16.10225,102.373825,10.7018,15.118175
24.735175,16.13295,102.47615,10.73135,15.177625
24.7913,16.16535,102.761225,10.7478,15.24975
24.84635,16.1992,102.8573,10.7747,15.267975
24.921175,16.214225,102.86155,10.8182,15.310625
24.963125,16.27105,102.976425,10.8444,15.339975
25.08465,16.32105,103.2109,10.8728,15.394675
25.37065,16.364175,103.353675,10.909925,15.436475
25.396175,16.382225,103.435425,10.926775,15.461475
25.4537,16.414975,103.487575,10.9676,15.489625
25.6562,16.4192,103.544425,11.027575,15.532225
25.832725,16.4335,103.634575,11.030125,15.5568
25.949725,16.469025,103.6573,11.1119,15.567325
25.980575,16.487775,103.87785,11.144525,15.6013
26.0151,16.529575,104.309,11.162,15.649475
26.045225,16.56345,104.46735,11.187675,15.67515
26.092125,16.640125,104.5649,11.201575,15.713825
26.121125,16.811875,104.6663,11.214775,15.733925
26.1895,16.840125,104.704525,11.2308,15.794125
26.2215,16.8728,104.708425,11.241275,15.83535
26.23335,16.91235,104.928775,11.256825,15.8546
26.260275,16.929975,105.2916,11.28015,15.8955
26.34535,16.948175,105.50855,11.288925,15.921025
26.35885,16.967125,105.560675,11.34895,15.96145
26.392375,17.024375,105.817325,11.353225,15.9882
26.45275,17.02915,105.839925,11.365175,16.02015
26.589725,17.0561,105.902225,11.382475,16.045025
26.624825,17.100925,106.29235,11.38785,16.083
26.6456,17.109925,106.44815,11.4026,16.116725
26.712675,17.135675,106.566325,11.4166,16.142025
26.7594,17.1625,106.60145,11.435925,16.21405
26.83165,17.206375,106.74695,11.4496,16.26515
26.86365,17.26325,107.1007,11.460575,16.29355
26.9287,17.331575,107.154775,11.5021,16.3021
26.9576,17.334575,107.439925,11.522075,16.3272
27.038025,17.391425,108.4886,11.541,16.367075
27.1232,17.43105,108.815775,11.56145,16.3921
27.13635,17.4413,110.439175,11.598875,16.474125
27.1941,17.465475,110.7035,11.625025,16.5045
27.3014,17.5096,110.833175,11.631775,16.56665
27.43535,17.5282,110.926275,11.65265,16.649225
27.560525,17.607775,111.10015,11.66485,16.71365
27.676575,17.645475,111.430275,11.674925,16.736025
27.741575,17.66715,112.4114,11.69975,16.782375
27.7885,17.68025,112.5116,11.70465,16.87715
27.82305,17.714,112.64485,11.737425,16.882475
27.909225,17.730525,112.6773,11.750925,16.930225
27.9236,17.744225,112.684,11.781125,16.9569
27.9631,17.784475,113.6539,11.808075,17.001825
28.09625,17.849275,113.719775,11.84135,17.02465
28.1869,17.909025,113.8532,11.8658,17.044875
28.276475,17.98335,114.020725,11.88495,17.085475
28.339475,18.00205,114.300975,11.930375,17.1231
28.4713,18.052175,114.660875,11.963875,17.15495
28.54445,18.05715,114.900025,11.985375,17.1961
28.671975,18.07925,115.04095,12.007475,17.2506
28.801875,18.103875,115.390925,12.02725,17.280575
28.858875,18.1111,115.884775,12.1066,17.312625
28.875925,18.121675,115.893175,12.138375,17.339275
28.916,18.173175,116.329725,12.17615,17.36925
29.048375,18.3109,116.3363,12.26395,17.4082
29.074125,18.318275,116.660575,12.29145,17.43635
29.090075,18.3221,117.24275,12.310825,17.48155
29.15115,18.35015,117.331225,12.326525,17.587275
29.168925,18.40115,117.486925,12.333275,17.677675
29.2141,18.458425,117.717675,12.3553,17.708725
29.341525,18.4807,117.8168,12.437025,17.711275
29.3823,18.577875,118.4375,12.46055,17.74475
29.4814,18.598575,118.732575,12.4665,17.80435
29.5297,18.632375,118.746325,12.4914,17.8548
29.552125,18.694825,118.84025,12.605475,17.90155
29.595875,18.696575,119.05445,12.618125,17.9377
29.871425,18.80185,119.1291,12.647875,17.9849
29.8972,18.818,119.374675,12.655,18.05235
29.92295,18.8597,119.648075,12.693725,18.076475
29.947125,18.9216,119.945,12.7484,18.11365
29.968925,18.933675,120.22475,12.768875,18.2166
29.99955,18.949525,120.54355,12.774875,18.298725
30.01735,18.99305,120.563575,12.8241,18.393025
30.076925,19.0152,120.577975,12.82895,18.42335
30.19615,19.0251,120.9918,12.84955,18.446325
30.25825,19.0336,121.230075,12.879325,18.51375
30.273625,19.059,121.256925,12.9269,18.595075
30.30665,19.079025,121.43755,12.958625,18.613025
30.6003,19.091825,122.04355,13.0019,18.6742
30.651275,19.107125,122.1385,13.089825,18.704325
30.6699,19.131125,122.2626,13.1201,18.7344
30.747925,19.158775,122.416575,13.123825,18.753825
30.9337,19.19545,122.61265,13.17245,18.777375
30.96345,19.22705,122.642875,13.182725,18.806025
31.0395,19.28875,122.84165,13.19725,18.83885
31.27325,19.31875,122.992575,13.280225,18.862275
31.317275,19.3517,123.495375,13.293275,18.941
31.344825,19.37135,123.841175,13.344,18.997325
31.448475,19.37745,123.90375,13.433875,19.04275
31.458025,19.39795,124.06605,13.46255,19.0451
31.49945,19.435475,124.1671,13.47265,19.09225
31.546825,19.536475,125.145475,13.51115,19.102175
31.55495,19.604225,125.41925,13.54015,19.1283
31.59215,19.6567,125.66205,13.555625,19.17265
31.6025,19.673075,125.883275,13.5573,19.24175
31.636875,19.691475,126.1108,13.614975,19.254375
31.6645,19.744775,126.25705,13.623225,19.276075
31.74185,19.819825,126.358,13.653325,19.307175
31.752675,19.861475,126.508875,13.663675,19.3826
31.832075,19.9304,126.63465,13.68885,19.412875
31.946475,19.968575,126.926925,13.7022,19.44095
31.9698,20.00105,127.5509,13.732275,19.4895
31.9962,20.0703,127.87775,13.779625,19.514925
32.023425,20.177175,128.096625,13.815225,19.5946
32.03965,20.29135,128.355025,13.843425,19.633325
32.1572,20.366325,128.80615,13.84455,19.638475
32.20585,20.368175,129.207925,13.8674,19.651625
32.234475,20.484325,129.363525,13.886125,19.68875
32.3245,20.489075,129.6332,13.89925,19.713375
32.587675,20.536,129.907625,13.915925,19.745675
32.621375,20.55425,130.060525,13.93465,19.773825
32.666775,20.5651,130.2601,13.9771,19.81495
32.80245,20.589775,130.270875,13.980575,19.85055
32.834975,20.60205,130.604975,14.000975,19.88745
32.99465,20.61825,130.6326,14.02705,19.937625
33.06975,20.651925,130.693375,14.0548,19.967675
33.07935,20.7094,130.932675,14.067725,20.005725
33.27655,20.7468,131.33325,14.09335,20.048125
33.35335,20.785,131.3734,14.105375,20.069025
33.37355,20.82925,131.389925,14.118775,20.1119
33.453425,20.9028,132.31425,14.14625,20.1314
33.47105,20.936925,132.99495,14.17655,20.15565
33.4937,21.01745,133.13425,14.188,20.196675
33.502225,21.055625,133.924575,14.23865,20.21465
33.547375,21.068575,133.940375,14.242275,20.242775
33.615625,21.09665,133.979375,14.289725,20.30095
33.6275,21.116225,134.5794,14.300975,20.327575
33.81725,21.13255,135.10645,14.307375,20.36855
33.8612,21.196025,135.9378,14.32555,20.391825
33.891675,21.24295,136.215775,14.339475,20.420475
33.91185,21.2544,136.561475,14.369875,20.42815
33.9914,21.319225,136.798175,14.3892,20.431575
34.043575,21.34615,136.948875,14.403725,20.4938
34.0553,21.38485,137.40295,14.45195,20.551175
34.132425,21.501275,137.532425,14.513125,20.60965
34.163475,21.521675,137.642275,14.5433,20.671675
34.2968,21.562525,137.9336,14.547125,20.686825
34.399275,21.569675,138.179825,14.56065,20.68815
34.441925,21.60585,138.262,14.582875,20.70765
34.47305,21.637075,138.62375,14.590175,20.74705
34.4761,21.652875,138.665925,14.63515,20.772325
34.586075,21.690975,138.691725,14.65835,20.862225
34.68675,21.718975,139.508525,14.699475,20.9521
34.7014,21.830675,139.731075,14.71625,21.00195
34.717775,21.884675,139.92695,14.763375,21.04435
34.7555,21.8895,140.08235,14.786725,21.101275
34.781775,21.9362,140.122575,14.83785,21.2013
34.80225,22.00975,140.1241,14.87815,21.241825
34.864625,22.0462,140.335525,14.9246,21.283375
34.93415,22.0735,140.467725,14.953875,21.311
35.11165,22.1999,140.494775,14.972975,21.346025
35.207025,22.227025,140.66055,15.02085,21.403425
35.24045,22.239475,140.794125,15.0718,21.453775
35.27435,22.35,140.925425,15.08655,21.48655
