SPK_SPKC01a (inhibited),SPK_SPKC05a (inhibited),SPK_SPKC07a (no effect),SPK_SPKC09a (no effect),SPK_SPKC13a (inhibited),SPK_SPKC14a (inhibited),SPK_SPKC16a (inhibited)
7.03395,70.027325,9.353525,18.414275,80.0974,36.48025,88.568875
7.057875,70.4665,9.382575,18.48155,80.128325,36.626525,88.591425
7.074975,70.556075,9.477425,18.582825,80.222925,36.91845,88.614275
7.10525,70.5573,9.502025,18.671225,80.254075,36.9939,88.684325
7.128625,70.5898,9.54015,18.822425,80.273675,37.003575,88.6953
7.15625,70.650675,9.5626,18.91385,80.319925,37.308225,88.7421
7.1939,70.722925,9.584975,19.037375,80.484025,37.617,88.954325
7.24435,70.745875,9.635575,19.077125,80.502775,37.68975,88.9696
7.27385,71.05245,9.6701,19.30695,80.507475,37.706775,88.97945
7.309025,71.061575,9.69845,19.407475,80.529375,37.75195,89.06315
7.340425,71.207975,9.7173,19.439125,80.552225,38.103025,89.13435
7.3706,71.417875,9.75535,19.625225,80.869975,38.136775,89.1622
7.394775,71.753625,9.78925,19.69595,80.955525,38.234925,89.204725
7.4236,72.0018,9.80455,19.7447,81.0312,38.621275,89.263875
7.441975,72.415925,9.831025,19.857325,81.163325,38.626675,89.304675
7.467,72.837475,9.8992,20.067375,81.417475,38.634875,89.34085
7.490125,73.027275,9.9202,20.0949,81.500425,38.776675,89.478975
7.521,73.084175,9.938875,20.112375,81.544325,39.074275,89.676275
7.576525,73.0915,9.978875,20.28475,81.694725,39.168,89.775
7.6045,73.1425,10.027475,20.3028,81.87105,39.3672,89.7976
7.640025,73.224725,10.066675,20.324175,82.489125,40.019375,89.80875
7.6793,73.660325,10.08425,20.341,82.5813,40.03745,89.83565
7.709725,73.804825,10.121725,20.3582,82.64875,40.103075,90.016975
7.722875,73.84765,10.139075,20.3717,82.684675,40.16455,90.03125
7.740575,74.496275,10.21285,20.381325,82.8209,40.238725,90.05725
7.808325,74.50785,10.2353,20.48875,82.9214,40.299675,90.173225
7.84485,74.8698,10.256925,20.5096,83.028275,40.4007,90.19085
7.865125,75.348925,10.288325,20.5909,83.054825,40.77345,90.2078
7.87635,75.547625,10.342225,20.6349,83.215,40.785575,90.470075
7.903325,75.97825,10.370225,20.69545,83.24595,41.0255,90.656225
7.91335,76.002075,10.397325,20.756825,83.314575,41.176875,90.697675
7.9318,76.36625,10.42865,20.9179,83.345125,41.225825,90.816825
7.952075,76.373625,10.43485,20.9485,83.434325,41.24205,90.843525
7.9834,76.392825,10.4631,20.9537,83.533,41.48645,90.97755
8.0355,76.44815,10.50035,21.002,83.675425,41.521175,91.023625
8.069725,76.7099,10.542025,21.013275,83.839475,41.770575,91.067075
8.107375,76.735125,10.5619,21.049075,84.432425,41.78445,91.111025
8.14745,77.047175,10.60335,21.128475,84.520075,41.88115,91.36105
8.159,77.12175,10.704325,21.25125,84.77065,41.98165,91.44985
8.181875,77.1474,10.784325,21.466975,84.819525,42.009225,91.589175
8.208325,77.181325,10.830275,21.524925,84.8887,42.017325,91.775775
8.2466,77.31955,10.891275,21.546,85.103625,42.089175,91.922425
8.26845,77.5153,10.920025,21.67015,85.130275,42.141925,92.030475
8.29625,77.632825,10.972075,21.67905,85.151075,42.346275,92.0446
8.312325,77.80035,10.973275,21.691775,85.65315,42.377,92.093525
8.3163,78.1038,10.987725,21.70755,85.725,42.494725,92.1249
8.333125,78.25235,11.0293,21.769175,85.81365,42.5347,92.157525
8.342075,78.406875,11.064475,22.03245,85.900725,42.578425,92.165175
8.35545,78.53315,11.111125,22.0354,85.948875,42.58565,92.170075
8.375925,78.535025,11.143025,22.224475,86.1098,42.629625,92.183975
8.40465,78.6097,11.16775,22.2795,86.3488,42.661425,92.20375
8.4163,78.6319,11.282,22.3475,86.62005,42.82785,92.27795
8.436,78.6478,11.4136,22.524725,86.8782,42.842775,92.29855
8.4575,78.690425,11.463875,22.78405,86.98835,43.0627,92.3107
8.498275,78.734325,11.4849,22.87275,87.274875,43.21075,92.38405
8.524325,78.7883,11.503325,22.934975,87.843725,43.7552,92.618925
8.5644,78.982925,11.5341,23.06755,87.85965,43.9038,92.746175
8.597525,79.45375,11.57055,23.076575,87.92625,44.206,93.00525
8.611,79.675,11.61375,23.107725,88.53205,44.251225,93.01625
8.629925,79.70545,11.6562,23.155,88.963725,44.3396,93.0285
8.6706,79.947725,11.700125,23.2577,89.0031,44.653475,93.318225
8.68845,79.9771,11.726975,23.276375,89.150075,44.89695,93.483325
8.759075,80.009675,11.80945,23.52705,89.434875,44.900625,93.523025
8.782925,80.213225,11.85705,23.5827,89.50155,45.121425,93.70145
8.806675,80.254,11.90755,23.616025,89.723225,45.12465,93.726575
8.8203,80.368575,11.951025,23.68565,89.85825,45.1791,93.798225
8.8549,80.3808,11.971875,23.7802,90.18145,45.342475,93.935625
8.889025,80.39225,11.991675,23.933125,90.386425,45.5816,94.085175
8.91105,80.5644,12.0059,24.109475,90.538875,45.689725,94.25445
8.938925,80.599575,12.054,24.205775,90.61885,46.134475,94.38945
8.96665,80.651475,12.087425,24.331925,91.03875,46.252025,94.610625
9.00435,80.685475,12.1042,24.34055,91.420275,46.628225,94.6438
9.060275,81.142775,12.191375,24.386475,91.531825,47.06155,94.805425
9.081475,81.2064,12.2099,24.451425,91.835525,47.2036,94.888575
9.10775,81.28095,12.240625,24.475375,91.96905,47.520425,95.024375
9.1491,81.44585,12.285925,24.504425,92.0518,48.24355,95.04945
9.1677,81.652675,12.317775,24.583375,92.15285,48.27605,95.0565
9.1946,81.755375,12.354275,24.59165,92.269575,48.34715,95.1021
9.223325,81.93,12.39425,24.828225,92.30485,48.662125,95.1894
9.266025,82.3503,12.436625,24.914775,92.426525,48.827125,95.213525
9.288275,82.5602,12.470875,25.0506,92.679925,48.837775,95.2285
9.341625,82.734875,12.517125,25.117175,92.809925,48.988075,95.241125
9.379925,82.776575,12.53865,25.19375,92.81795,49.5479,95.313925
9.40165,82.859825,12.55795,25.233525,92.839225,49.556025,95.348725
9.4214,82.867,12.64535,25.27955,92.844675,49.757625,95.411625
9.4402,82.8716,12.704825,25.35265,93.141225,49.784575,95.43235
9.4659,82.882425,12.7412,25.36805,93.1484,49.87235,95.452925
9.485225,82.9486,12.76825,25.40435,93.207375,49.971025,95.472725
9.501875,83.15525,12.78765,25.563075,93.223025,50.0435,95.488225
9.5206,83.31875,12.81735,25.7894,93.2806,50.096925,95.4908
9.54875,83.3913,12.847075,25.898325,93.601375,50.1136,95.646825
9.57395,83.39775,12.9096,26.065025,93.66735,50.232525,95.7146
9.595375,83.7265,12.93635,26.26725,94.03395,50.342875,95.73205
9.622925,84.0402,12.98615,26.3491,94.048075,50.537075,95.745925
9.666725,84.191575,13.04725,26.538125,94.1066,50.725575,95.758225
9.675375,84.1943,13.09865,26.58795,94.3088,50.953425,95.781675
9.71415,84.210225,13.117625,26.773025,94.3564,51.2452,95.795075
9.735325,84.474975,13.157075,26.916775,94.4444,51.905725,95.826775
9.762925,84.637875,13.205425,27.09425,94.571275,52.047075,95.84485
9.78775,84.801775,13.22205,27.104225,94.71735,52.112,95.864225
9.815875,84.83565,13.261125,27.35205,94.739275,52.9324,95.884675
9.83325,85.100025,13.29045,27.36185,94.936,53.525125,95.906725
9.851,85.5459,13.3864,27.43385,95.0023,53.832875,95.932825
9.86095,85.746025,13.4189,27.45845,95.129975,54.00885,95.95835
9.8946,85.749575,13.4527,27.473,95.180525,54.5959,95.983925
9.91915,85.9955,13.479175,27.515725,95.299525,55.0872,96.022575
9.946875,86.0093,13.49525,27.76665,95.31075,55.20115,96.04555
9.9708,86.056775,13.56455,27.84995,95.4692,55.23885,96.108775
10.00415,86.1393,13.593925,28.038275,95.588,55.350725,96.21025
10.024275,86.301275,13.6163,28.1769,95.6637,55.7529,96.3232
10.055125,86.4954,13.6442,28.2518,95.7542,55.768675,96.3507
10.073625,86.8008,13.65955,28.387125,95.7897,55.816775,96.393425
10.0815,87.2296,13.765,28.5026,96.011425,55.841625,96.40825
10.10445,87.99115,13.8378,28.58425,96.08555,56.019725,96.48015
10.122675,88.0924,13.860875,28.8751,96.11795,56.1031,96.588225
10.148475,88.177225,13.8883,28.948325,96.13215,56.448675,96.602525
10.166025,88.46665,13.948925,29.0443,96.360675,57.225275,96.618425
10.2173,88.5726,13.979925,29.110775,96.37555,57.3325,96.649525
10.24275,88.9222,13.9918,29.154675,96.515375,57.72685,96.78115
10.285025,89.048925,14.04775,29.206225,96.51715,58.842825,96.872575
10.329075,89.06915,14.0625,29.3906,96.5398,58.9449,96.8829
10.357,89.466475,14.09855,29.46535,96.624525,58.973675,96.902825
10.37555,89.483275,14.121275,29.52725,96.6337,59.29565,96.930425
10.39385,89.512775,14.202475,29.786225,96.663125,59.336975,97.015875
10.4217,89.6673,14.230725,30.1505,96.726375,59.498075,97.046825
10.439875,89.89065,14.270175,30.1612,96.891475,59.613525,97.06295
10.4629,90.123425,14.30165,30.2182,96.901175,59.87555,97.113025
10.486825,90.213375,14.318975,30.349275,97.160975,59.9818,97.133325
10.518575,90.2905,14.37845,30.4131,97.55515,60.081775,97.204575
10.5462,90.32425,14.4256,30.617575,97.65245,60.371325,97.2186
10.5839,90.378375,14.47625,30.6487,97.79955,61.258325,97.2537
10.600275,90.49265,14.5221,30.67655,98.037025,61.643125,97.34215
10.607325,90.846825,14.550525,30.7047,98.1116,61.705725,97.3857
10.622775,91.039,14.590725,30.921525,98.208,62.54515,97.4004
10.656775,91.122775,14.60815,30.954525,98.228125,63.05575,97.452075
10.683575,91.2122,14.62165,31.06505,98.284625,63.10105,97.507425
10.6991,91.2841,14.637575,31.085925,98.4754,63.104525,97.5709
10.707525,91.466925,14.6516,31.11015,98.7729,63.2667,97.630025
10.719775,91.50085,14.663525,31.31985,99.18835,63.550475,97.771675
10.729225,91.5594,14.692575,31.36135,99.229125,63.6071,97.7825
10.7466,91.770475,14.720675,31.464925,100.338025,64.3269,97.813325
10.76905,92.066225,14.7439,31.521675,100.362825,65.284875,97.909475
10.783375,92.073875,14.77825,31.5918,100.600375,65.71315,98.00695
10.80265,92.196775,14.819825,31.771,100.7879,66.0775,98.183825
10.82905,92.2797,14.840575,31.831,101.100975,66.386775,98.20945
10.8354,92.46015,14.879725,31.950925,101.4598,67.20795,98.28805
10.85325,92.66605,14.901675,32.0173,101.516,67.321325,98.3058
