SPK_SPKC01a (NA),SPK_SPKC04a (NA),SPK_SPKC11a (excited)
28.6787,271.46355,26.485225
28.696925,271.979275,26.53665
28.7017,271.984025,26.58765
28.77845,272.03385,26.616075
28.79005,273.587325,26.656125
28.9523,273.7219,26.69175
28.99365,275.7188,26.724525
29.0005,276.43685,26.786025
29.0071,277.624725,27.002475
29.01245,278.481925,27.03065
29.029125,278.988525,27.0802
29.071025,279.002825,27.1379
29.18065,279.7193,27.200825
29.298325,281.0286,27.25555
29.385175,281.264225,27.3139
29.390825,281.5359,27.375475
29.497775,281.74015,27.4509
29.541525,282.35805,27.495225
29.590425,283.3863,27.53435
29.630625,283.654925,27.591625
29.736975,283.702075,27.6472
29.863425,283.825675,27.724025
29.900225,284.237125,27.77015
29.910375,284.3528,27.84785
29.9299,284.461025,27.859025
29.941225,284.7722,27.867975
29.985,284.94965,27.927225
29.989,285.198,27.97185
30.034125,286.031775,28.050575
30.07175,286.22535,28.112675
30.082175,286.235625,28.172075
30.125225,286.281225,28.21735
30.15375,286.4559,28.238625
30.2543,286.93945,28.288325
30.521825,287.157775,28.325
30.53925,288.235625,28.356275
30.5991,289.023475,28.4078
30.66345,289.04705,28.45725
30.716625,289.1493,28.510675
30.784925,289.966925,28.57435
30.79825,292.58175,28.637075
30.806225,293.432175,28.685475
30.850125,293.569675,28.787575
30.925575,293.655475,28.8248
31.012375,294.453925,28.88915
31.130825,294.567275,28.9395
31.1453,294.9947,28.983875
31.2238,296.45375,29.045725
31.25695,296.628125,29.0996
31.29865,297.649125,29.147075
31.527325,298.18925,29.19385
31.559825,298.7416,29.24115
31.602625,298.938975,29.311275
31.9083,299.76545,29.3584
31.915575,299.835675,29.405975
31.97815,,29.458775
31.990625,,29.533075
32.0137,,29.619925
32.131125,,29.664825
32.141,,29.691925
32.199325,,29.73825
32.23045,,29.79255
32.260775,,29.859725
32.275925,,29.896125
32.28215,,29.93535
32.29255,,29.969775
32.318375,,30.01645
32.364475,,30.065475
32.4926,,30.119725
32.54125,,30.165625
32.5516,,30.196125
32.711675,,30.222425
32.81805,,30.2417
32.831225,,30.26215
32.844525,,30.287575
32.85885,,30.325025
32.874525,,30.4307
32.933625,,30.476925
32.995725,,30.516125
33.012075,,30.566025
33.1805,,30.5889
33.19395,,30.60715
33.345225,,30.62855
33.3694,,30.66245
33.37565,,30.69505
33.39275,,30.73985
33.443325,,30.77405
33.4911,,30.81485
33.508625,,30.8548
33.54415,,30.91115
33.551875,,30.9424
33.625025,,30.979525
33.700125,,31.031
33.74025,,31.055925
33.75315,,31.0948
33.95305,,31.133875
34.1519,,31.1627
34.1666,,31.201025
34.2009,,31.240075
34.206425,,31.27415
34.231225,,31.33545
