SPK_SPKC10a (inhibited),SPK_SPKC14a (weak inhibition)
156.870675,108.17475
156.880375,108.2121
157.012425,108.247325
157.02535,108.3755
157.149225,108.41235
157.206225,108.4638
157.3028,108.5033
157.720075,108.533875
157.7367,108.5627
158.656475,108.575625
158.661875,108.617725
158.876,108.7765
159.168,108.8354
159.23375,108.8578
159.240425,108.920875
159.628025,109.005375
159.643225,109.0454
159.64745,109.073625
160.04425,109.184425
160.06815,109.407525
160.1042,109.4383
160.4109,109.499425
160.4257,109.527525
160.63435,109.552325
160.6404,109.618375
160.75635,109.65595
160.783775,109.891275
160.803225,109.9649
161.47495,110.001075
161.82545,110.024425
161.8452,110.06615
161.931175,110.140175
162.23015,110.20305
162.24035,110.4516
162.272075,110.477825
162.323575,110.596875
162.5119,110.6613
162.646775,110.70165
162.8861,110.800525
162.899625,110.96685
162.989875,111.016175
163.2093,111.060375
163.30835,111.079825
163.6215,111.201775
163.639975,111.363125
163.65805,111.3851
163.782175,111.4067
164.0537,111.4381
164.107075,111.544475
164.187825,111.614775
164.2594,111.7088
164.4001,111.80585
164.450575,111.85825
164.828675,112.2998
164.843675,112.34375
164.87595,112.40005
165.299775,112.4671
165.301725,112.61025
165.3109,112.8861
165.3169,112.960925
165.3246,113.01385
165.390675,113.0638
165.7607,113.224075
165.766,113.312175
165.799025,113.423775
165.9131,113.49695
166.362575,113.579075
166.406,113.667075
166.469975,113.98065
166.89645,113.9875
166.918325,114.001325
166.9257,114.028275
167.4805,114.13865
167.78065,114.172725
167.790325,114.204425
168.36645,114.234025
168.382125,114.3001
168.414075,114.3591
168.71645,114.506825
168.7223,114.530075
168.728175,114.534225
168.734625,114.585575
169.0804,114.687475
169.093425,114.73165
169.174675,114.77075
169.3521,114.830825
169.36485,114.891
169.495525,115.17935
169.5577,115.39565
169.64145,115.436625
169.8907,115.569325
169.9668,115.85885
169.983225,115.879425
170.137625,115.898825
170.214,115.95555
170.523925,116.01685
170.6137,116.165875
170.825175,116.198375
170.891075,116.234875
170.898775,116.29475
171.2592,116.364325
171.35185,116.541525
171.364775,116.656475
171.7625,116.6932
171.845625,116.723425
172.08335,116.729475
172.169625,116.754175
172.546275,116.7916
172.761825,117.189575
173.013325,117.198575
173.720275,117.26475
174.013225,117.272425
174.02585,117.3091
174.0317,117.312425
174.07895,117.353825
174.390875,117.381925
174.619675,117.447475
174.6539,117.56305
174.689975,117.664075
175.125325,117.7022
175.135675,117.70545
175.245,117.735075
175.280075,117.77955
175.6946,117.816875
175.703975,117.859725
175.77555,118.0574
176.14715,118.314925
176.1657,118.336225
176.41665,118.492475
176.422,118.523925
176.567275,118.613375
176.653725,118.6439
176.8443,118.737825
176.860825,118.7722
177.3324,118.83185
177.35435,118.85775
177.381175,118.97465
177.685,119.070475
177.9575,119.38265
178.323075,119.4222
178.41075,119.44175
178.832675,119.540625
178.85285,119.603675
178.862225,119.701825
178.966425,119.767925
178.98885,119.840075
179.4384,119.87325
179.454225,119.894775
179.460575,119.9153
179.51735,119.96385
180.1788,120.087525
180.1845,120.148475
180.200175,120.21695
180.2262,120.279675
180.365175,120.31505
180.839725,120.439025
180.936225,120.55655
181.27085,120.61385
181.278725,120.757
181.2943,120.792275
181.388375,120.81905
181.41225,120.935025
181.566525,120.9794
182.14705,121.043175
182.396925,121.167875
182.4447,121.2119
182.72705,121.2575
182.763975,121.3008
182.793325,121.3862
183.31865,121.3986
183.336725,121.52085
183.46975,121.58085
184.1615,121.7451
184.189725,121.882475
184.3655,121.98395
184.442325,122.1381
184.74135,122.31665
184.770625,122.35985
184.80725,122.3906
184.8343,122.46775
184.853,122.5076
185.65565,122.57395
185.67585,122.618575
185.687275,122.800375
185.76275,123.075625
186.03585,123.1537
187.2053,123.23805
187.218025,123.5926
187.600725,123.65175
187.6808,123.688675
187.9711,123.789975
187.977,124.0439
188.00445,124.128725
188.040575,124.18145
188.663825,124.262725
188.757725,124.331025
188.76825,124.395275
189.144075,124.72595
189.2052,124.802325
189.280025,124.8487
189.3128,124.91535
189.387225,125.108575
189.61315,125.1859
189.636125,125.28845
189.715425,125.33175
189.94495,125.375975
189.989825,125.601175
190.259075,125.642525
190.29505,125.682775
190.3068,125.852375
190.3425,125.904175
190.483775,125.941175
190.535725,125.98395
191.1407,126.02185
191.5854,126.0824
192.15515,126.218525
192.2439,126.284525
192.669925,126.476125
193.036875,126.548875
193.197175,126.85545
193.413575,126.86195
193.44495,126.904225
193.50175,127.03935
193.959475,127.0784
194.19555,127.332475
194.19855,127.346175
194.229775,127.404025
194.25375,127.66015
194.325575,127.937625
194.537925,128.009525
194.562875,128.053525
194.8894,128.099475
194.908875,128.198
195.1912,128.4571
195.8286,128.504975
195.849525,128.559125
196.093375,128.607775
196.4459,128.693625
196.4691,128.968775
196.48005,129.009
196.63995,129.041225
196.9939,129.60475
197.1462,129.7432
197.2171,129.965875
197.5944,130.05125
197.676075,130.1237
197.736525,130.469475
197.9392,130.708975
198.72485,130.7548
198.8165,130.80565
198.84895,130.83815
198.93225,130.963875
199.33655,131.159925
199.347175,131.1921
199.35205,131.229875
200.26305,131.2679
200.3343,131.472375
200.356525,131.600675
200.380625,131.86095
200.54585,131.890325
200.6855,131.920625
200.9623,131.9837
200.97135,132.099575
201.0035,132.324225
201.01595,132.373925
201.17505,132.41575
201.3953,132.540325
201.70245,132.61455
201.7772,132.849075
201.88475,132.896375
202.631375,132.96285
202.7389,133.029175
