SPK_SPKC10a (excited),SPK_SPKC15a (inhibited),SPK_SPKC15b (inhibited),SPK_SPKC15c (inhibited)
161.39305,12.8432,65.589675,25.0323
161.642875,12.8531,65.613975,25.090225
161.77675,12.886375,65.71675,25.204275
161.96615,12.90505,65.781625,25.262925
162.0454,12.918375,65.9319,25.38435
162.0884,12.9396,66.3107,25.43655
162.12955,12.963075,66.3891,25.511375
162.5615,12.988275,66.5593,25.5455
162.594375,13.0389,66.665425,25.57505
163.505025,13.06615,66.781525,25.585275
163.723125,13.0939,66.943,25.586975
163.8975,13.1387,67.032725,25.600725
164.03945,13.1601,67.113775,25.677475
164.1303,13.186875,67.358875,25.7109
164.3463,13.19775,67.544425,25.76115
164.7195,13.210375,67.807275,25.7648
165.21435,13.22695,67.844,25.7976
165.571025,13.2345,68.117775,25.85455
165.5945,13.24205,68.123,25.869575
165.743625,13.2503,68.144625,26.08605
165.7604,13.26555,68.238825,26.116075
165.881475,13.274125,68.272375,26.255075
166.691175,13.2857,68.40105,26.2836
166.77785,13.29795,68.51825,26.3171
166.805025,13.3537,68.610075,26.3471
166.84205,13.3678,68.912525,26.36755
167.067425,13.3781,68.9916,26.413525
167.105375,13.395125,69.61135,26.477825
167.428625,13.42295,70.0404,26.505325
167.688625,13.444,70.41765,26.55845
167.872675,13.463775,70.635475,26.593975
167.8914,13.4865,70.823825,26.623075
168.002125,13.516925,71.012975,26.66165
168.46755,13.559425,71.1158,26.694325
168.55445,13.5934,71.159675,26.718475
168.71845,13.711775,71.660525,26.7542
168.76415,13.764425,71.73425,26.888625
168.847425,13.779225,71.789175,26.93855
169.034775,13.7997,72.162425,26.9899
169.194475,13.8174,72.23895,27.022225
169.829725,13.836775,72.448775,27.070925
169.9388,13.8629,72.7113,27.09365
170.171675,13.877975,72.71305,27.14725
170.205125,13.889575,72.729725,27.213975
170.2252,13.9125,72.741725,27.23685
170.42645,13.950875,72.928425,27.2538
170.621875,13.9715,73.0212,27.37695
171.328125,13.993825,73.257775,27.3794
171.357175,14.020325,74.5875,27.4781
171.432325,14.082775,74.6637,27.564775
171.497275,14.11655,74.80195,27.593825
171.627175,14.148025,75.041975,27.62135
171.764675,14.183375,75.077125,27.672275
171.813275,14.218075,75.31455,27.7064
172.157925,14.271675,75.389975,27.752575
172.279525,14.28375,75.426425,27.777375
172.2972,14.293425,75.447175,27.818775
172.32055,14.299825,75.933975,27.904275
172.3266,14.30895,76.10045,27.9474
172.393325,14.326325,76.122875,27.980325
172.511875,14.337,76.186375,28.009775
173.0819,14.362,76.325175,28.029625
173.158475,14.37865,76.39545,28.062175
173.17795,14.394775,76.6657,28.130325
173.2022,14.410025,77.2151,28.160725
173.823075,14.433275,77.272975,28.2232
173.9586,14.448625,77.321075,28.253175
173.99845,14.47525,77.3489,28.286075
174.0559,14.512775,77.39025,28.326475
174.3569,14.546525,77.473275,28.3577
174.430825,14.5844,77.7255,28.438725
174.728025,14.6183,77.79805,28.5384
175.057125,14.64315,78.38045,28.5683
175.50025,14.6673,78.6286,28.735
175.58795,14.682725,78.64385,28.76025
175.705675,14.69435,78.7437,28.78985
175.776025,14.7048,78.80035,28.818625
175.9311,14.715625,79.107475,28.898775
176.299925,14.723375,79.1587,28.982475
176.6055,14.74285,79.19955,29.00395
176.699125,14.7557,79.354675,29.0588
176.9928,14.8087,79.5893,29.087775
177.071125,14.8396,79.875,29.105525
177.7137,14.86015,79.88205,29.199125
177.8897,14.882425,79.91485,29.2157
178.03365,14.93005,80.081475,29.2494
178.043225,14.95905,80.271275,29.361175
178.68525,14.9734,80.329825,29.4273
178.69575,14.9982,80.360475,29.4695
178.971125,15.038175,80.42265,29.521525
179.1021,15.074225,80.42425,29.544625
179.2488,15.117,80.45635,29.5522
179.4162,15.1809,80.4877,29.62185
179.6902,15.22285,80.528975,29.654325
179.8403,15.255125,80.777075,29.672625
179.9427,15.26935,80.808175,29.698375
180.464725,15.2837,81.0188,29.73515
180.56,15.30335,81.0506,29.764
180.626425,15.31535,81.2944,29.7989
180.6838,15.3363,81.33055,29.826475
181.24485,15.35355,81.438925,29.8527
181.358825,15.373775,81.596225,29.88245
181.44415,15.3906,81.85575,29.90075
181.7059,15.418375,81.964425,29.917175
181.94075,15.45385,82.505875,29.92895
182.097825,15.501275,82.60945,29.97535
182.21975,15.5553,83.147825,29.99785
182.26225,15.618075,83.329175,30.054575
183.009875,15.66815,83.39055,30.1275
183.899425,15.70765,83.89185,30.201075
184.140375,15.727525,83.978125,30.2033
184.173725,15.744225,84.2927,30.2747
184.45205,15.754,84.362775,30.3101
185.1548,15.77305,84.647875,30.4239
185.2141,15.7866,84.7649,30.48035
185.667125,15.807,84.81665,30.511425
185.718475,15.822925,84.891675,30.548025
185.732075,15.8564,84.9804,30.610475
185.778,15.87945,85.404325,30.632625
186.156575,15.91085,85.495975,30.701175
186.21395,15.9447,85.558075,30.755675
186.22875,15.97895,85.71905,30.78315
186.252475,16.008175,85.78055,30.80855
186.270825,16.031475,85.855275,30.84465
186.75725,16.068925,85.863575,30.86305
187.13105,16.08675,85.9737,30.879025
187.207875,16.108525,86.066325,30.921025
187.44865,16.1297,86.64445,30.96655
187.5495,16.144175,86.870075,30.9902
187.834825,16.16645,87.130475,31.015425
187.913175,16.1779,87.174775,31.081675
187.946725,16.19815,87.423825,31.135525
188.065375,16.22765,88.060375,31.16245
188.139175,16.24505,88.2698,31.196225
188.2238,16.28465,88.6756,31.260775
188.533775,16.30555,88.713625,31.332275
188.6432,16.346025,88.873875,31.36325
189.47415,16.371725,88.96405,31.38895
189.55665,16.39435,89.186,31.4014
189.5741,16.426825,89.346075,31.423825
189.945225,16.470275,89.5933,31.4657
190.166025,16.514,89.7968,31.518475
190.23215,16.56665,89.80045,31.535875
190.438125,16.62995,89.802225,31.5571
190.45965,16.678275,90.190125,31.663125
190.630675,16.69005,90.231675,31.7272
190.8855,16.699075,90.35445,31.762
191.0136,16.710525,90.64125,31.788175
191.045575,16.72615,90.8538,31.80835
191.2319,16.7498,90.993475,31.8328
191.362525,16.76225,91.01045,31.853225
191.98845,16.780175,91.1478,31.8791
192.071675,16.794025,91.473575,31.8999
192.315575,16.814875,92.046775,31.9455
192.47855,16.839725,92.18025,31.985675
192.8547,16.863025,92.3563,32.073
192.976875,16.886975,92.43515,32.09195
193.054675,16.9408,92.65765,32.12865
193.31205,16.960075,92.7633,32.15435
193.39805,16.970425,93.03145,32.185775
193.555175,17.004475,93.3472,32.2167
193.66155,17.024275,93.56335,32.2448
193.799325,17.03585,93.643275,32.32715
193.884925,17.059375,93.68275,32.3729
193.945775,17.076825,93.8837,32.396075
193.999975,17.091675,93.9743,32.4256
194.022675,17.105825,94.010925,32.4809
194.160025,17.121975,94.29215,32.61865
194.174275,17.14355,94.35275,32.659375
195.20565,17.1665,94.47115,32.684425
195.472425,17.190325,94.79165,32.75095
195.505025,17.221325,94.973025,32.781375
195.61315,17.258775,95.015225,32.882575
195.894025,17.286075,95.0514,32.910625
196.692125,17.336625,95.06825,32.960125
196.95895,17.355825,95.372,32.993175
197.110975,17.406475,95.443775,33.05225
197.31325,17.42205,96.100775,33.080125
197.3479,17.433675,96.2755,33.11865
197.587425,17.4423,96.30905,33.150475
197.800575,17.453175,96.447675,33.207975
