SPK_SPKC01a (no effect),SPK_SPKC09a (weak excitation),SPK_SPKC15a (no effect)
229.8525,67.884225,26.9518
230.05085,67.921375,26.9746
230.198825,67.98495,26.9989
230.61955,68.0527,27.03835
230.72895,68.086875,27.05035
239.576675,68.1171,27.0626
239.688,68.319325,27.091725
242.20755,68.468875,27.1719
246.585075,68.717025,27.21365
246.636325,68.74505,27.239175
246.7082,68.874375,27.262225
246.891975,68.976725,27.287325
246.952625,69.04835,27.296775
246.9787,69.099975,27.308375
247.04355,69.141,27.3232
247.134775,69.358225,27.35715
247.23655,69.458225,27.414325
247.358975,69.506425,27.438825
247.533775,69.53895,27.47075
247.637875,69.570475,27.5286
247.6755,69.675325,27.5333
247.79565,69.711975,27.572375
247.998775,69.744025,27.62025
248.061575,69.79945,27.629575
248.2412,69.8238,27.66405
248.466125,69.8852,27.68645
248.7057,69.931925,27.70645
248.9362,69.9617,27.733
249.050925,70.049,27.7606
249.128625,70.158825,27.778425
249.21825,70.20615,27.8188
249.3047,70.3233,27.854525
249.347475,70.37765,27.882575
249.4401,70.472825,27.90965
249.54245,70.528375,27.926925
249.603675,70.551625,27.956375
249.67415,70.5826,28.02755
249.774325,70.63865,28.047
249.8384,70.67245,28.07975
249.955625,70.708575,28.094925
250.030925,70.731,28.151425
250.1129,71.09125,28.202275
250.264925,71.324625,28.25295
250.324825,71.36235,28.29715
250.37805,71.4607,28.328725
250.4334,71.5023,28.365175
250.484325,71.53,28.387725
250.573625,71.565725,28.4215
250.5894,71.626925,28.4377
250.624075,71.6526,28.4627
250.66165,71.713025,28.507025
250.74,71.733625,28.550225
250.956125,71.75255,28.57805
251.14285,71.804075,28.620975
251.911525,71.8366,28.63005
251.965925,71.9022,28.66695
252.31255,71.950775,28.747425
252.443225,71.988925,28.766475
252.9027,72.168425,28.796325
253.0453,72.271275,28.82275
255.9354,72.318175,28.828225
255.97215,72.499075,28.8488
257.99615,72.533175,28.867275
262.757625,72.60635,28.89465
263.0416,72.693575,28.909075
275.6532,72.7287,28.9213
279.45235,72.971875,28.95645
279.52865,72.993375,28.979275
279.615925,73.070875,29.00455
279.733825,73.106175,29.03475
279.78935,73.13515,29.075725
279.850325,73.175,29.09815
279.929525,73.203725,29.127975
280.077225,73.24795,29.158075
280.207225,73.27695,29.199975
280.309325,73.383725,29.23945
280.363375,73.413425,29.2636
280.431,73.49215,29.29065
280.4918,73.528825,29.33805
280.578125,73.63435,29.3404
280.7345,73.66675,29.383325
