SPK_SPKC04a (inh/exc),SPK_SPKC06a (inhi),SPK_SPKC09a (inhi)
313.228625,349.691025,321.665325
313.25055,349.70835,321.68695
313.3233,349.7356,321.720775
313.330175,349.7542,321.747625
313.340575,349.76165,321.777825
313.3582,349.7678,321.841825
313.381425,349.778475,321.85385
313.439875,349.783,321.8663
313.52635,349.832925,321.9115
313.552,349.837375,321.938225
313.5727,349.849625,321.981875
313.602025,349.869925,322.013925
313.61705,349.8748,322.0296
313.639425,349.88765,322.048375
313.6604,349.9077,322.065
313.668475,349.930875,322.08955
313.679875,349.95635,322.108425
313.6994,349.977075,322.127475
313.7124,349.985725,322.14905
313.7222,350.002175,322.170675
313.726,350.014675,322.18705
313.728875,350.032775,322.2113
313.7317,350.04635,322.272475
313.7363,350.053,322.301175
313.744575,350.063525,322.313875
313.74825,350.0683,322.334
313.751925,350.081575,322.35465
313.76035,350.087175,322.3687
313.765,350.09165,322.386975
313.77395,350.10885,322.40735
313.7881,350.120275,322.424275
313.805375,350.211675,322.45505
313.847575,350.29435,322.4729
313.87175,350.378075,322.488375
313.87905,350.444675,322.500775
313.8923,350.46135,322.515725
313.9378,350.50485,322.539375
313.9547,350.51195,322.549475
313.967975,350.532925,322.567575
313.989075,350.571075,322.57855
313.993425,350.588775,322.59855
313.99815,350.5968,322.6215
314.012425,350.60955,322.6395
314.0247,350.7016,322.65665
314.038675,350.775075,322.709975
314.063525,350.792075,322.74875
314.09235,350.80165,322.956
314.121775,350.8084,322.98295
314.140175,350.825375,323.0065
314.21765,350.88945,323.01255
314.238825,351.042575,323.03575
314.264425,351.05895,323.0636
314.3011,351.071075,323.08945
314.3341,351.0792,323.10675
314.379575,351.097475,323.13315
314.4279,351.1013,323.1466
314.4324,351.1135,323.162125
314.48485,351.12175,323.17675
314.528975,351.164725,323.19205
314.541075,351.169525,323.20775
314.682025,351.178875,323.2108
314.72035,351.190125,323.2303
314.7296,351.2084,323.25475
314.74175,351.2187,323.272625
314.748925,351.229925,323.29505
314.76505,351.253425,323.314075
314.779675,351.25865,323.324975
314.7822,351.263475,323.337075
314.812825,351.267675,323.347575
314.818825,351.273125,323.36795
314.82335,351.306925,323.424
314.82965,351.543825,323.4631
314.8428,351.56075,323.486575
314.850875,351.582475,323.525625
314.868975,351.59055,323.55345
314.87525,351.5951,323.610125
314.882575,351.598475,323.62975
314.891475,351.608275,323.8192
314.91265,351.61625,323.843775
314.952,351.648775,323.86295
314.968725,351.66975,323.886975
