SPK_SPKC05a (inh),SPK_SPKC09a (inhi),SPK_SPKC14a (no response or late inhi),SPK_SPKC15a (inhi)
90.191825,77.930575,51.906175,74.802975
90.21475,78.0166,51.942575,74.970625
90.371225,78.264275,52.0001,75.0787
90.48745,78.52725,52.15845,75.5262
90.552175,78.72865,52.20225,75.7828
91.0669,78.909325,52.2116,75.901925
91.849475,79.14395,52.340425,76.00015
91.937225,79.5145,52.352575,76.0824
92.191875,79.523775,52.424375,76.5584
92.3439,79.644125,52.547,76.756275
92.481325,80.712075,52.657075,77.0691
92.909625,80.8832,52.76225,77.467075
93.767525,81.092975,52.784,77.593875
93.891075,81.155225,52.787225,77.71555
94.251175,81.4044,52.80855,77.8123
94.4325,81.538625,52.93755,77.9718
94.4374,81.729275,53.0528,78.12605
94.556975,81.917525,53.335025,78.27625
94.95385,82.02975,53.40585,78.3693
94.9835,82.12865,53.468025,78.478425
95.3187,82.22575,53.59325,78.61295
95.336725,82.38955,53.823525,78.733625
95.476625,82.45345,53.9695,78.8701
95.617675,82.508675,54.079975,78.971675
95.686175,82.803825,54.208175,79.1214
95.9849,83.195775,54.619075,79.228575
96.06815,83.316225,54.952775,79.3399
96.25655,83.4648,55.230025,79.4615
96.5396,83.613475,55.38195,79.54585
96.716125,84.12235,55.478375,79.64245
97.50115,84.238875,55.61995,79.64765
97.616275,85.6063,55.91875,79.76855
97.9018,86.492775,56.2021,79.9035
98.718575,86.65675,56.5262,80.05655
98.882125,86.671625,56.75525,80.245975
99.221375,87.03985,56.860725,80.423025
99.44865,87.291175,56.94475,80.9078
99.46565,87.39365,57.156625,81.089575
99.644875,87.7164,57.24485,81.097825
99.744375,88.224575,57.724275,81.128025
99.965925,88.48115,57.86415,81.46875
100.060675,89.31085,57.932425,81.552325
100.2249,89.631825,58.21645,81.763175
100.432325,89.822,58.363225,82.520525
100.717825,90.01855,58.4078,82.718925
100.7436,90.18935,58.490175,82.923075
100.977425,90.511475,58.556475,83.23895
101.19015,90.7272,58.755175,83.4126
101.4372,90.942175,58.764075,83.417225
101.937225,91.053075,58.791425,83.6012
102.110475,91.1895,58.853575,83.764
102.118775,91.409275,58.91735,83.8795
102.208975,91.589425,58.9199,83.9037
102.310075,91.734225,59.04935,84.902725
102.4265,91.87035,59.06885,85.0946
102.607425,91.99945,59.11895,85.49865
102.626775,92.29395,59.1287,85.8626
102.6399,92.433175,59.142325,86.14935
102.779125,92.703225,59.197125,86.32235
103.021775,92.9118,59.249675,86.571475
103.2147,93.0559,59.251025,86.658225
103.34845,93.18315,59.5348,86.902475
103.450475,93.389875,59.542,87.11125
103.617525,93.613025,59.566725,87.328
103.670975,93.9675,59.597325,87.865825
103.91525,94.211975,59.792475,88.028675
103.953225,94.3878,59.8445,88.1717
104.16695,94.441275,59.88545,88.278125
104.1788,94.5119,59.971425,88.40055
104.379825,94.777975,60.010125,88.544375
104.4993,95.839325,60.032125,88.598875
104.572925,97.09995,60.15925,88.615675
104.89605,97.600925,60.210075,88.74145
104.90355,97.651875,60.253,88.921975
105.062225,97.716975,60.360725,89.23875
105.118625,97.92855,60.437625,89.451175
105.222225,98.54095,60.5737,89.57575
105.391225,98.90095,60.593,89.900925
105.53185,99.746525,60.77155,89.919525
105.626575,99.879525,60.77805,90.1145
105.83255,100.40065,60.8557,90.194125
105.952625,100.649575,60.95915,90.485675
106.13775,100.694375,61.107875,90.699825
106.34995,100.7822,61.251675,90.811375
106.52535,101.81955,61.31915,91.035375
106.749825,102.206975,61.428,91.5567
107.085425,102.3488,61.504625,91.8976
107.21645,102.621125,61.558925,92.029575
107.253525,103.4337,61.58565,92.406275
107.44805,104.013925,61.88925,92.5906
107.6078,104.355025,61.96435,92.865475
107.92395,104.7155,62.04105,93.141525
108.2455,105.148775,62.385225,93.217
108.540775,105.338825,62.42105,93.7139
109.277575,105.49505,62.509975,93.819275
109.419975,105.566875,63.286725,94.063075
110.0191,105.8289,63.475775,94.18635
110.373225,106.04725,63.819825,94.5065
110.513675,106.130925,63.926425,94.683725
110.660775,106.266675,64.0676,95.046575
110.668775,106.425225,64.7034,95.308
