SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC08a,SPK_SPKC10b,SPK_SPKC11a
154.5886,182.882775,155.63975,225.977425,160.576525
154.644625,182.9351,155.6638,225.99095,160.592475
154.6707,183.100925,155.681275,228.070775,160.6517
154.693025,183.111675,155.69185,228.4057,160.697675
154.725475,183.2688,155.7064,228.95775,160.79755
154.7516,183.32285,155.749475,229.026925,160.870475
154.774025,183.3805,155.76965,230.388175,160.898875
154.779,183.4715,155.793525,230.401925,160.916225
154.799075,183.494175,155.850525,230.412625,160.9472
154.816375,183.955375,155.91245,230.424775,160.9943
154.82475,184.12645,155.954025,230.447625,161.0163
154.83595,184.163275,155.966675,230.78585,161.02725
154.843025,184.24335,155.983775,230.8008,161.058625
154.8517,184.493775,155.997525,230.82505,161.227425
154.856875,184.5032,156.0101,230.83385,161.410725
154.86395,184.576325,156.025,230.844575,161.4252
154.871575,184.649925,156.0348,230.857775,161.48615
154.87365,184.695925,156.048225,230.88285,161.492575
154.87925,184.716825,156.071875,230.895725,161.531975
154.88055,184.722725,156.080275,230.925325,161.545775
154.885875,184.82325,156.0919,230.940675,161.5843
154.89675,184.83605,156.10145,231.6065,161.648675
154.9174,184.8434,156.115575,231.642825,161.660275
154.923675,184.903075,156.146925,231.67355,161.724925
154.9552,184.92635,156.153275,231.69255,161.775425
154.9818,185.303625,156.1635,231.7034,161.7908
155.01985,185.30935,156.1741,231.714875,161.8088
155.041125,185.35775,156.185425,231.745,161.842175
155.066275,185.37255,156.1988,232.045375,161.882575
155.089,185.5955,156.2134,232.366275,161.957975
155.09715,185.663025,156.223725,232.754575,161.968875
155.120975,185.72295,156.237025,232.7652,161.9891
155.1376,186.011775,156.2498,232.77985,162.002175
155.146325,186.045925,156.268625,232.8443,162.02605
155.154675,186.066325,156.2816,233.5257,162.035275
155.16115,186.10125,156.319425,233.543,162.069175
155.1658,186.11495,156.3399,233.555075,162.10515
155.173075,186.17435,156.356775,233.997075,162.131275
155.178875,186.409575,156.3761,234.0166,162.143625
155.18395,186.414125,156.397975,234.1098,162.16145
155.19215,186.420925,156.4139,234.1303,162.209925
155.199425,186.447575,156.442025,234.4427,162.2722
155.20675,186.587625,156.48985,234.4536,162.28795
155.21205,186.8474,156.5116,234.487,162.294875
155.2201,186.907625,156.55285,234.5243,162.343125
155.236025,187.000825,156.57585,234.7947,162.377825
155.25025,187.3522,156.58745,234.812125,162.41285
155.272825,187.458625,156.6025,234.853175,162.4266
155.2744,187.465925,156.614925,235.69365,162.45115
155.32505,187.483975,156.631275,235.709725,162.467675
155.3925,187.493575,156.681575,235.73585,162.47525
155.41825,187.548325,156.69735,237.09945,162.48945
155.4485,187.5659,156.713825,237.13335,162.51305
155.452925,187.591225,156.7562,237.262575,162.52255
