SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC12c,SPK_SPKC14a
113.8979,181.9314,110.3346,108.1479,124.250475
113.90695,182.0208,110.358375,108.1621,124.267175
113.92025,182.030975,110.368775,108.1774,124.388925
113.97185,182.0441,110.410025,108.195875,124.405275
113.9775,182.38145,110.44295,108.213175,124.44745
113.9881,182.9792,110.45995,108.2351,124.462775
114.0021,183.082925,110.4771,108.2507,124.4795
114.03135,183.133975,110.492425,108.267825,124.5246
114.0902,183.148675,110.502775,108.28615,124.6104
114.1012,183.193475,110.51215,108.30405,124.635375
114.153375,183.38805,110.542675,108.322425,124.709525
114.18305,183.475975,110.616475,108.341075,124.751725
114.20225,183.58375,110.663475,108.354975,124.783025
114.237525,183.761425,110.6725,108.396475,124.934
114.2526,183.937375,110.691675,108.414475,124.996875
114.3356,183.99065,110.7141,108.425375,125.053125
114.4623,184.0819,110.7385,108.43845,125.077375
114.486475,184.127825,110.7744,108.482125,125.0835
114.5041,184.196375,110.79505,108.5357,125.0899
114.52715,184.344125,110.82105,108.5535,125.11375
114.6185,184.78325,110.831375,108.5808,125.149475
114.663375,184.839975,110.874675,108.598475,125.23805
114.6704,184.97615,110.88605,108.62285,125.334975
114.6771,185.054925,110.97195,108.645875,125.3655
114.76645,185.27825,110.992325,108.66225,125.4248
114.806075,185.33175,111.0402,108.680625,125.471975
114.857475,185.34665,111.096375,108.697225,125.50555
114.892825,185.3959,111.1278,108.737975,125.515975
114.92005,185.62165,111.147725,108.758725,125.552175
114.927425,185.755125,111.20015,108.775925,125.592625
114.99455,185.769125,111.215875,108.7896,125.6069
115.0759,186.03575,111.274125,108.811475,125.652225
115.214725,186.255475,111.286175,108.8241,125.68555
115.31685,186.267325,111.30015,108.847125,125.7427
115.362775,186.2893,111.32435,108.8706,125.804925
115.43065,186.300375,111.405525,108.87415,125.83905
115.4741,186.4105,111.4237,108.878425,125.863075
115.54335,186.616675,111.44475,108.89575,125.945425
115.549175,186.674875,111.4853,108.90305,125.9496
115.5639,186.78515,111.496425,108.939025,126.024875
115.57615,187.118025,111.532225,108.945175,126.04575
115.588775,187.17,111.567975,108.963225,126.062225
115.654675,187.26635,111.616025,108.9812,126.09795
115.675325,187.62975,111.62995,108.99975,126.190425
115.7665,187.99765,111.64295,109.0182,126.2323
115.776325,188.350125,111.655825,109.03945,126.3874
115.7854,188.495225,111.701975,109.0597,126.40645
115.819475,189.308625,111.710725,109.090075,126.4234
115.84765,189.38925,111.71605,109.1083,126.481275
116.00185,189.50955,111.734925,109.1317,126.532925
116.069175,189.858575,111.74965,109.154125,126.54525
116.166725,190.003,111.765225,109.18115,126.549625
