SPK_SPKC03a (excited),SPK_SPKC06a (inhibited),SPK_SPKC08a (weak inhibition),SPK_SPKC09a (inhibited)
167.4912,65.098325,126.4226,11.417025
167.770325,65.199525,126.693,11.42645
168.1859,65.228225,126.760325,11.439625
168.24885,65.40395,126.8363,11.4511
168.477675,65.43165,127.229825,11.470575
168.4993,65.758875,127.2536,11.488925
169.0615,65.861725,127.422725,11.502425
169.2326,66.232025,127.431775,11.542775
169.468675,66.571125,127.747525,11.563725
170.41085,66.85375,127.798,11.584975
170.706125,66.920075,127.8369,11.610875
171.02055,67.003075,127.887475,11.6795
171.07435,67.14945,127.91355,11.689275
171.288925,67.214075,127.96065,11.6993
171.56605,67.546475,128.329125,11.71145
172.9298,67.650275,128.403775,11.716675
173.179475,67.935925,128.4675,11.72225
173.723075,68.101725,128.738,11.730475
174.07585,68.27765,128.75375,11.7492
174.804325,68.69675,128.82885,11.758625
175.077675,68.785975,128.8541,11.76695
175.223975,68.938525,128.873,11.8004
175.361225,69.216425,128.9356,11.8096
175.3756,69.23805,129.23055,11.830375
175.488675,69.705,129.261175,11.841375
175.5883,69.77185,129.5414,11.845275
175.757625,69.8306,129.7105,11.849725
175.76995,70.076075,129.752175,11.866075
176.8746,70.082675,129.833975,11.877325
177.053925,70.24605,130.0732,11.885475
177.6157,70.25015,130.306975,11.896625
178.06985,70.698375,130.453475,11.909225
178.6939,70.95565,130.49785,11.946675
178.9372,71.185925,130.499,11.958725
179.23485,71.256775,130.766675,11.995575
179.300325,71.543275,130.835525,12.01975
179.451025,72.051225,130.93035,12.047125
179.47085,72.653525,130.95955,12.074275
179.658325,72.65605,131.0383,12.127025
179.740525,73.033325,131.0845,12.1537
180.461675,73.04635,131.309775,12.1839
180.479225,73.078225,131.3814,12.207425
180.6297,73.104075,131.56575,12.22315
180.6751,73.151125,131.9006,12.236975
181.0155,73.304575,132.39215,12.250725
181.3844,73.39805,132.4144,12.257975
181.6468,73.48275,132.416975,12.277375
181.800775,73.56055,132.4256,12.287875
181.8302,73.90275,132.9398,12.29595
181.846425,73.916625,132.9478,12.3021
182.018675,73.9405,133.0768,12.3106
182.289825,74.0341,133.385475,12.3118
182.799075,74.055725,133.454225,12.31745
182.830925,74.111325,133.833825,12.328675
183.337375,74.438325,133.9686,12.352625
183.42895,74.576725,134.022525,12.3653
183.5259,74.76625,134.2532,12.394775
183.7908,74.76995,134.304675,12.413675
184.29685,74.83445,134.312625,12.451725
185.012575,75.03425,134.377375,12.505725
185.059125,75.223775,134.521175,12.525825
185.5215,75.4065,134.52295,12.55555
185.742525,75.478225,134.624675,12.5835
186.174225,75.767975,135.14045,12.59585
186.304525,75.8056,135.1842,12.604375
186.395275,75.991,135.237125,12.625125
186.431825,76.0238,135.2859,12.6365
186.44505,76.1678,135.360875,12.648575
186.45775,76.27275,135.37095,12.668225
187.428375,76.4276,135.638175,12.6967
187.820875,76.809775,135.708275,12.706425
187.826325,76.8678,136.426425,12.7409
188.364575,77.00485,136.5767,12.762375
188.5219,77.021675,136.757,12.800175
188.58055,77.2639,136.80405,12.83355
189.11725,77.586625,136.9003,12.861375
189.203125,77.83205,136.94455,12.889425
189.223,77.8827,137.56095,12.91635
189.2943,78.043525,137.569975,12.946875
189.4184,78.08515,137.94665,12.9804
189.757225,78.6013,137.973225,13.0001
190.0201,79.208375,138.0408,13.00935
190.096425,79.2545,138.194,13.01785
190.15765,80.0152,138.309375,13.033175
190.219025,80.10745,138.3503,13.05105
191.4886,80.156375,138.39715,13.056375
191.59305,80.33835,138.425775,13.064525
191.9091,80.4531,138.9545,13.0771
191.952775,80.642275,139.102825,13.1084
191.97135,80.81085,139.343125,13.1299
192.320975,80.8882,139.572575,13.177075
192.47215,81.24595,139.67075,13.222325
192.648775,81.844775,139.733175,13.261425
192.712425,81.88515,139.743475,13.3303
193.0017,82.17005,139.92905,13.357375
193.13015,82.179125,140.1313,13.389225
193.36935,82.401,140.4953,13.4179
193.79755,82.49665,140.5026,13.462625
194.158375,82.52565,140.5821,13.466275
194.222525,83.051425,140.6277,13.476125
194.334225,83.08525,140.7387,13.485425
194.60785,83.129625,140.7657,13.49855
194.865775,83.355225,141.142725,13.520775
195.501375,83.38565,141.397425,13.5379
195.73145,83.454325,141.702675,13.549425
195.927,83.51815,141.9649,13.55985
196.04225,83.56465,142.085925,13.571025
197.082025,84.127525,142.3966,13.583225
197.196975,84.167025,142.55985,13.595875
197.46565,84.316025,142.5942,13.612425
197.959275,84.32445,142.722825,13.64005
198.08675,84.37625,142.8511,13.67145
198.3229,84.399625,142.8668,13.701875
199.711875,84.7131,143.03545,13.721075
200.06855,84.760125,143.119875,13.785625
200.077175,85.01735,143.227975,13.828225
200.6679,85.128725,143.610725,13.851375
200.9231,85.33565,143.695325,13.86525
201.12535,85.45,143.7503,13.878725
201.193575,85.504475,143.8234,13.888375
201.2644,85.760125,143.830275,13.914475
201.3071,85.872175,143.9395,13.9231
201.67005,86.038225,143.957675,13.93545
202.2062,86.0597,144.14165,13.9424
202.3486,86.1133,144.147125,13.951625
202.515425,86.3073,144.561575,13.9662
202.809125,86.441925,144.64795,13.9749
203.283925,86.510575,144.713675,13.9852
203.436025,86.749325,144.924375,14.0026
203.50125,87.165875,144.938725,14.02685
204.3014,87.224075,145.37195,14.0514
204.478675,87.28125,145.432,14.115375
204.737,88.08715,145.52815,14.152775
204.9016,88.154525,145.6141,14.1801
205.271325,88.263325,145.641375,14.194525
205.352825,88.388675,145.694275,14.205975
205.366775,88.537425,145.70085,14.210975
205.3722,88.54085,145.832525,14.265525
205.911525,88.66795,145.852125,14.271175
206.047525,89.074625,145.87165,14.278375
206.376525,89.0814,145.8886,14.2929
206.508275,89.43105,145.897125,14.319725
206.579175,89.91925,146.11605,14.32785
206.910575,89.95445,146.1324,14.338525
206.953825,90.014975,146.19985,14.3546
207.0296,90.314175,146.237975,14.386375
207.256875,90.444725,146.9239,14.398125
207.382275,90.49555,147.271525,14.415075
207.393125,90.536575,147.857425,14.4352
207.7419,90.65925,147.96405,14.46915
207.9829,90.693525,148.194475,14.5142
208.241375,90.81395,148.2344,14.540325
208.378375,90.976725,148.334725,14.5896
209.1621,91.3581,148.34795,14.642975
209.6997,91.465075,148.759925,14.6572
209.978075,91.482625,148.89925,14.6959
210.37705,91.500225,149.040475,14.7031
210.5546,91.534425,149.108325,14.709025
210.599075,91.9373,149.158775,14.714525
210.892575,91.983375,149.183725,14.73765
211.142725,92.215525,149.3255,14.765375
211.15225,92.6302,149.615525,14.81355
211.323775,92.985075,149.6451,14.8489
212.558675,93.5733,149.908675,14.872375
212.803075,93.903725,149.992225,14.895
212.873775,94.0695,150.10265,14.908975
212.9023,94.40265,150.1442,14.925625
212.938925,94.42055,150.39475,14.942275
213.076,94.82065,150.495425,14.974775
213.41745,94.866025,150.689,14.98395
213.982925,94.868275,150.898975,14.989975
214.3992,94.872675,150.967575,14.997725
214.491925,94.9172,150.986875,15.017425
214.5281,94.9688,151.10045,15.023225
214.8245,95.40175,151.143525,15.03525
215.083425,95.563125,151.384425,15.067675
215.66345,95.809725,151.454575,15.08755
215.69965,96.976375,151.491575,15.09865
215.752375,97.31405,151.529825,15.12605
216.441875,97.62765,152.066025,15.180525
216.506725,97.830775,152.087775,15.2179
216.5373,97.977175,152.098675,15.326975
216.55565,98.23485,152.267325,15.38085
216.577975,98.32255,152.2986,15.41425
216.73735,98.5254,152.46815,15.422625
216.777875,98.628225,152.723125,15.4336
216.784525,98.827125,152.742325,15.44855
216.875175,98.877725,152.753,15.46785
217.059625,99.06855,152.87685,15.477075
217.30035,99.17125,152.9059,15.487125
217.39125,99.358225,153.01445,15.494125
217.408375,99.654225,153.1148,15.512225
217.504325,99.66185,153.193525,15.528225
217.565425,100.307875,153.2002,15.5379
217.62115,100.506175,153.545425,15.566925
217.78425,100.572825,154.075175,15.580575
218.0374,100.6647,154.281675,15.624425
218.093475,100.828825,154.4132,15.642575
218.1736,100.937175,154.518725,15.673725
218.386975,101.049225,154.541375,15.730075
218.4956,101.158775,154.67655,15.77285
218.703975,101.19475,154.783875,15.80995
218.838225,102.280425,154.92555,15.859325
218.87415,102.295675,154.9418,15.8886
218.878425,102.49815,154.9832,15.9166
219.0869,102.6817,154.991325,15.932425
219.6151,103.17645,155.0253,15.942375
219.682575,103.247025,155.04055,15.9554
221.20145,103.6961,155.12735,15.97615
221.6742,103.70845,155.167,15.98745
221.71085,103.929025,155.201125,15.995175
222.121875,104.2336,155.310975,16.018975
222.402025,104.3192,155.44875,16.03525
222.838175,104.5219,155.49495,16.05315
223.023575,104.57185,155.95655,16.063475
223.150625,104.8031,156.0432,16.092
223.258425,105.026725,156.06035,16.11885
223.57855,105.056625,156.070875,16.140625
223.605575,105.223275,156.095925,16.158575
223.666225,105.839975,156.28405,16.1966
224.490925,106.181125,156.499025,16.224625
224.715825,106.297175,156.737525,16.27435
224.919225,106.30425,156.77715,16.3259
224.981125,106.44705,156.9938,16.3398
225.324,106.538425,157.052175,16.3537
225.36635,106.903025,157.224675,16.38265
225.688425,107.1908,157.429425,16.404875
226.0675,107.33305,157.4954,16.41815
226.086175,107.75425,157.63665,16.455275
226.2104,107.827025,157.659325,16.467175
226.431425,107.855075,157.693525,16.495225
226.478925,107.880375,157.69605,16.56295
226.663525,108.0001,157.77275,16.601475
227.309275,108.06535,157.9694,16.646075
227.35705,108.1758,158.00005,16.719575
