SPK_SPKC01a (inhi),SPK_SPKC04a (inhi),"SPK_SPKC05a (sharp exc, maybe artef)",SPK_SPKC10a (inhi)
16.267125,49.002525,16.01535,63.09295
16.30335,49.091875,16.025975,63.33015
16.3203,49.098375,16.048425,63.4389
16.3416,49.109325,16.068275,63.48515
16.3576,49.11585,16.078325,63.53505
16.394525,49.12515,16.094725,63.6099
16.4055,49.18425,16.1143,63.750325
16.496275,49.453925,16.15665,63.771475
16.5404,49.46685,16.212275,63.798275
16.57715,49.5,16.2581,63.8802
16.7303,49.51355,16.2694,63.96915
16.8197,49.537575,16.2854,64.0706
16.856375,49.604125,16.322325,64.544025
16.9007,49.872725,16.34595,64.5998
17.002575,49.918925,16.3866,64.71685
17.082525,50.232875,16.441325,64.8356
17.186375,50.500925,16.670725,64.863325
17.2242,51.1554,16.69965,64.943875
17.228475,51.173175,16.7571,64.97145
17.253075,51.181925,17.12865,65.164
17.266825,51.20245,17.15455,65.40015
17.295225,51.228625,17.177175,65.5125
17.330475,51.257075,17.2002,65.592125
17.350775,52.3318,17.209825,65.6571
17.367975,52.34805,17.21905,65.871775
17.3907,52.3675,17.2772,65.9731
17.401775,52.43235,17.294325,66.30525
17.406575,52.5096,17.31895,66.3982
17.543175,52.5194,17.36065,66.633175
17.54985,52.589625,17.3909,66.8042
17.572525,52.6558,17.758075,66.8232
17.786825,52.712525,17.767225,66.955275
17.878,52.868925,17.8187,66.981975
17.936625,52.986275,17.832175,67.04115
18.02515,53.092275,17.842525,67.107725
18.1204,53.13585,17.85845,67.1625
18.191925,53.21015,17.874775,67.22495
18.24395,53.23265,18.170225,67.315825
18.24615,53.34715,18.188075,67.427325
18.288525,53.397,18.205375,67.5993
18.308025,53.4881,18.22515,67.649
18.345975,53.59145,19.3717,67.88915
18.4338,53.709775,19.386525,67.93925
18.49725,53.7512,19.3994,67.981675
18.56105,53.841075,19.405775,68.0704
18.6,53.880125,19.416,68.351275
18.61865,53.945675,19.43525,68.370975
18.649675,53.965725,19.44545,68.39675
18.6644,53.9982,19.500475,68.4366
18.6807,54.015075,19.5589,68.49395
18.723525,54.02955,19.602,68.5317
18.74625,54.072675,19.87855,68.673925
18.767525,54.102475,20.225375,68.7042
18.811025,54.11655,20.237575,68.734425
18.822425,54.131525,20.251625,68.82
18.882325,54.1513,20.26695,69.048725
18.98325,54.153125,20.281975,69.077775
19.185375,54.27765,20.30305,69.2417
19.33225,54.296025,20.322525,69.352475
19.335275,54.319775,20.341175,69.42545
19.414825,54.3316,20.363575,69.464275
19.422025,54.378825,20.3757,69.5859
19.57455,54.463775,20.3912,69.61655
19.596375,54.4913,20.418,69.64705
19.6457,54.513,20.453275,69.67245
19.676375,54.530775,20.475275,69.803225
19.74925,54.570075,20.8371,70.05785
19.8485,54.6049,20.846925,70.406175
19.892925,54.61675,20.865225,70.48305
19.966925,54.622325,20.88,70.49315
19.983575,54.653075,20.8984,70.573025
20.119625,54.7082,21.0083,70.77885
20.366675,54.761975,21.302075,70.8016
20.45755,54.832625,21.32775,70.82345
20.593825,54.994425,21.337325,70.938625
20.6283,55.024,21.374075,70.966425
20.847125,55.0546,21.397125,71.2258
20.879225,55.103825,21.4105,71.459325
20.881275,55.1342,21.42345,71.511725
20.939525,55.193775,21.4322,71.53725
21.17325,55.21905,21.441,71.74725
21.236025,55.78435,21.469175,71.7866
21.27005,56.77015,21.4816,71.794
21.275775,58.0594,21.52075,71.855675
21.393875,58.084675,21.541225,72.092425
21.550375,58.0905,21.56375,72.22835
21.559275,58.110525,21.578625,72.388575
21.608025,58.124025,21.64695,72.456275
21.623075,58.327725,21.7256,72.735525
21.634425,58.336575,21.754275,72.960025
21.700275,58.628025,21.7679,73.0711
21.792675,58.895925,21.777375,73.1832
21.8351,58.911475,21.86685,73.2346
22.01225,58.924925,21.88355,73.622625
22.099025,58.95675,22.2826,73.653275
22.12375,59.66435,22.29595,73.6655
22.150275,59.684675,22.305575,73.682225
22.243575,59.734675,22.31615,73.876825
22.27525,59.74625,22.341575,73.9492
22.29025,59.755325,22.35235,74.02395
22.3022,59.829225,22.3616,74.0895
22.3996,60.8674,22.382375,74.143375
22.42935,60.89315,22.392475,74.254
22.45995,60.913625,22.402475,74.277675
22.539,61.1024,22.41375,74.3193
22.549125,61.837475,22.423525,74.404075
22.5862,61.846875,22.437825,74.465525
22.606375,61.8605,22.582775,74.5022
22.616425,61.87155,22.594775,74.84745
22.652075,62.748625,22.6221,74.921675
22.7039,62.7559,22.6457,74.95355
22.735325,62.815625,22.660125,74.987225
22.8303,63.091475,22.671325,75.014075
