SPK_SPKC01a (no effect),SPK_SPKC09a (inhibited)
29.2516,114.66925
29.27915,114.74205
29.297325,114.76955
29.3099,114.86365
29.332725,114.9039
29.358525,115.006975
29.393975,115.04415
29.43825,115.074275
29.465175,115.12615
29.49715,115.35885
29.52925,115.378
29.5505,115.387825
29.5732,115.404325
29.595325,115.417425
29.6222,115.4306
29.64725,115.45955
29.652525,115.494375
29.679325,115.54925
29.6914,115.558775
29.722725,115.58135
29.748675,115.612475
29.7854,115.631725
29.8168,115.664075
29.84175,115.684775
29.86455,115.707375
29.8897,115.734925
29.9172,115.75025
29.95745,115.775375
29.971875,115.88855
30.008675,115.91105
30.0354,115.934925
30.105825,115.95895
30.1445,115.98505
30.18495,116.0275
30.209975,116.107775
30.253075,116.159175
30.2741,116.175125
30.285375,116.21525
30.33525,116.26255
30.380275,116.3037
30.422425,116.3705
30.529375,116.410625
30.567625,116.5373
30.58305,116.559575
30.58815,116.5867
30.59615,116.603625
30.6032,116.627175
30.655775,116.648375
30.71715,116.6779
30.754575,116.73005
30.787625,116.77245
30.8182,116.784325
30.870375,116.8095
30.915475,116.835675
30.98885,116.90785
31.0603,116.93365
31.094525,117.0088
31.119275,117.024975
31.1616,117.063875
31.195925,117.100025
31.224275,117.1348
31.245375,117.17085
31.260975,117.19365
31.266325,117.22255
31.28415,117.235825
31.324975,117.266875
31.376275,117.3009
31.429575,117.321425
31.4589,117.344725
31.5028,117.365525
31.545075,117.40845
31.5788,117.561875
31.62055,117.6292
31.6743,117.65755
31.695775,117.723625
31.723,117.751675
31.772175,117.776
31.8016,117.82735
31.8261,117.98065
31.86395,117.999775
31.92005,118.049375
31.984425,118.0722
32.0008,118.0975
32.0377,118.130425
32.075625,118.162625
32.133825,118.20815
32.171425,118.303025
32.2038,118.343775
32.271925,118.37125
32.329275,118.39035
32.4116,118.4518
32.451525,118.6313
32.485975,118.706525
32.55285,118.724125
32.564975,118.7307
32.608275,118.74975
32.6385,118.77775
32.67275,118.806675
32.73305,118.825625
32.778,118.91055
32.8192,118.968275
32.884875,119.000825
32.90885,119.0092
32.9518,119.018475
32.981375,119.026225
33.008525,119.0595
33.0511,119.072275
33.0884,119.0876
33.136425,119.14075
33.18735,119.15535
33.248775,119.17785
33.253375,119.319275
33.290125,119.34635
33.3126,119.357475
33.336625,119.386025
33.354375,119.403025
33.3873,119.4723
33.419875,119.4883
33.452475,119.503525
33.5168,119.51625
33.5736,119.535125
33.613775,119.548625
33.646125,119.5727
33.674525,119.6308
33.68005,119.66355
33.697325,119.7224
33.730725,119.735875
33.76045,119.804875
33.802325,119.852125
33.82885,119.873225
33.87035,119.926375
33.939725,119.9458
33.999925,119.959875
34.04125,120.001175
34.071275,120.02245
34.113575,120.0705
34.13635,120.109725
34.15765,120.172525
34.199925,120.186025
34.240175,120.19415
34.28335,120.21305
34.3375,120.22365
34.3615,120.244075
34.4038,120.275475
34.4642,120.29385
34.49565,120.3288
34.530075,120.342775
34.564175,120.37335
34.580575,120.411575
34.64475,120.555575
34.6822,120.5988
34.746575,120.64925
34.789625,120.742025
34.85405,120.757925
34.871275,120.765225
34.90875,120.784575
34.930125,120.81285
34.964725,120.8285
34.99545,120.846875
35.012025,120.877825
35.0399,120.907
35.07355,120.947275
35.10775,120.960075
35.12995,120.96985
35.1505,120.983475
35.2104,121.042775
35.2399,121.144975
35.2619,121.1651
35.30655,121.180375
35.336625,121.199625
35.377925,121.207875
35.41175,121.220025
35.4306,121.2331
35.448725,121.256125
35.48665,121.279225
35.547,121.295275
35.5997,121.3026
35.6274,121.321425
35.6751,121.3363
35.69575,121.351825
35.742475,121.3644
35.781225,121.42375
35.845675,121.43405
35.890375,121.44095
35.90465,121.449
35.910125,121.4695
35.955425,121.475525
35.989675,121.516375
36.03545,121.720125
36.0609,121.74145
36.098525,121.783125
36.1352,121.82585
36.143325,121.877175
36.174775,121.938675
36.22375,121.9582
36.272925,121.971975
36.329525,121.986825
36.352,122.009325
36.39015,122.10125
36.438225,122.145425
36.4853,122.16535
36.524975,122.2075
36.551125,122.224425
36.6118,122.31905
36.6537,122.346275
36.705475,122.35605
36.759875,122.373775
36.8,122.387825
36.821625,122.41185
36.831925,122.4283
36.8658,122.479375
36.888925,122.492475
36.92935,122.511325
36.9579,122.540275
37.001075,122.611325
37.0576,122.68565
37.09415,122.7175
37.1365,122.7676
37.1617,122.800225
37.205925,122.832275
37.228325,122.87035
37.30785,122.915275
37.327575,122.93615
37.36495,122.9457
37.3879,122.9714
37.4141,122.987875
37.445875,123.008925
37.46825,123.0267
37.49495,123.048325
37.51625,123.06715
37.5509,123.148
37.578475,123.172525
37.599725,123.1904
37.606975,123.21405
37.638675,123.230425
37.66995,123.2503
37.713975,123.282025
37.733175,123.32825
37.766975,123.338025
37.800925,123.38095
37.836925,123.4172
37.8722,123.4267
37.893725,123.4435
37.92655,123.467275
37.956925,123.506
38.0358,123.5432
38.086175,123.55675
38.136775,123.57375
38.1613,123.582175
38.20215,123.616675
38.234075,123.701
38.2625,123.74825
38.297725,123.830325
38.330725,123.844175
38.345625,123.880475
38.372125,123.9804
38.457325,124.0154
38.4781,124.07505
