SPK_SPKC05a (inhibited),SPK_SPKC08a (excited),SPK_SPKC10a (no effect),SPK_SPKC12a (excitation + inhibition),SPK_SPKC12b (inhibited),SPK_SPKC14a (excited)
6.88795,11.504325,46.5067,16.956,6.086825,25.404075
6.906075,11.5917,46.642825,16.9719,6.10085,25.440325
6.957275,11.622875,46.67765,17.027225,6.128425,25.554575
7.0278,11.667475,46.732625,17.116525,6.160625,25.678125
7.056825,11.72615,46.840475,17.19945,6.1787,25.696225
7.091675,11.777575,46.85925,17.25125,6.204175,25.71025
7.141125,11.861175,46.88315,17.278275,6.2215,25.72365
7.183725,11.94825,47.022825,17.3072,6.23215,25.736225
7.220875,11.977475,47.0517,17.365125,6.25845,25.769025
7.245425,11.9871,47.053,17.40805,6.286775,25.786825
7.278125,11.994825,47.0745,17.460225,6.320825,25.8091
7.305325,12.030625,47.102675,17.50655,6.363075,25.829125
7.3355,12.06225,47.231275,17.5452,6.38075,25.865825
7.391075,12.17935,47.3134,17.56975,6.4059,25.889
7.413975,12.265075,47.669125,17.70545,6.45155,25.930475
7.44205,12.298375,47.7812,17.783325,6.4653,25.9698
7.477675,12.3136,47.849025,17.802975,6.480525,25.9926
7.521375,12.3168,47.95025,17.863225,6.507775,26.155125
7.545475,12.34405,48.1089,17.94915,6.524025,26.280575
7.572025,12.38455,48.216375,18.00995,6.551125,26.5441
7.6227,12.44665,48.23585,18.046775,6.57325,26.57
7.6673,12.479175,48.254775,18.070975,6.618675,26.586775
7.75985,12.51855,48.264325,18.248425,6.63705,26.6064
7.808025,12.5363,48.2808,18.2995,6.677925,26.630125
7.829825,12.5884,48.380375,18.3247,6.724025,26.651475
7.845725,12.615425,48.496475,18.47135,6.73805,26.673825
7.860325,12.641,48.510575,18.509225,6.7667,26.70705
7.87125,12.6691,48.5185,18.562425,6.79075,26.728975
7.9004,12.70275,48.5464,18.644025,6.800875,26.7546
7.907175,12.7238,48.55985,18.693025,6.836575,26.85845
7.92825,12.742475,48.6032,18.742925,6.852875,26.985875
7.9392,12.7944,48.6511,18.845325,6.8846,27.070675
7.9727,12.8349,48.67495,18.9306,6.88865,27.405725
7.99775,12.888025,48.7417,18.9603,6.92865,27.569125
8.032375,12.91405,48.90825,19.011375,6.939,27.590925
8.05195,12.941675,48.95055,19.0554,6.954675,27.73755
8.090675,12.98325,48.97065,19.072175,7.0156,27.7672
8.12035,13.001325,49.024275,19.200675,7.035675,27.783125
8.14315,13.01495,49.049025,19.254075,7.05745,27.816175
8.163425,13.0786,49.069475,19.30275,7.092675,27.846075
8.1811,13.236225,49.1403,19.3265,7.108575,27.87205
8.1897,13.275075,49.20705,19.428325,7.131975,27.893125
8.2043,13.292925,49.23485,19.49415,7.1515,27.91575
8.21645,13.330725,49.279475,19.569375,7.17155,27.9339
8.22435,13.371575,49.3678,19.5952,7.19285,27.959225
8.239575,13.451575,49.4744,19.65515,7.225875,28.01235
8.24405,13.47555,49.766875,19.69915,7.243075,28.300475
8.2579,13.525125,49.8217,19.7582,7.26745,28.395725
8.262825,13.65315,49.89745,19.94545,7.289025,28.41005
8.275025,13.67825,50.229475,19.99835,7.301775,28.4692
8.286875,13.7,50.32305,20.05785,7.31805,28.491275
8.297875,13.712175,50.361375,20.1061,7.33205,29.2085
8.310975,13.724925,50.412975,20.14425,7.346025,29.221975
8.323775,13.756325,50.43925,20.171825,7.358825,29.350025
8.387725,13.784625,50.872925,20.18635,7.378,29.3919
8.413125,13.93675,51.008625,20.2231,7.410875,29.4413
8.4285,13.9563,51.02665,20.3619,7.426025,29.4487
8.447475,13.97735,51.13675,20.387625,7.438575,29.45725
8.471625,14.015025,51.161325,20.6962,7.484225,29.466875
8.481275,14.05395,51.178825,20.736425,7.500925,29.481575
8.492125,14.09235,51.21405,20.7658,7.5171,29.5049
8.5084,14.1113,51.42125,20.851825,7.53255,29.524075
8.528075,14.140975,51.4639,20.914625,7.55305,29.5512
8.545,14.159525,51.485425,20.954625,7.6093,29.570875
8.55515,14.2037,51.54375,21.0085,7.631525,29.596875
8.57175,14.247875,51.74665,21.035975,7.651175,29.615525
8.5835,14.256975,51.789425,21.115925,7.680475,29.650775
8.60085,14.293075,51.81425,21.161225,7.695925,29.72685
8.61865,14.3101,51.891925,21.20545,7.707825,29.785775
8.6279,14.337075,51.98165,21.284825,7.756575,29.852825
8.641725,14.384975,52.071475,21.3322,7.77925,29.89255
8.6593,14.435525,52.1845,21.375425,7.80325,29.990575
8.670575,14.485625,52.390325,21.44725,7.817575,30.04795
8.68135,14.532625,52.407525,21.489975,7.8792,30.1688
8.6913,14.55415,52.505575,21.60435,7.9002,30.208625
8.699175,14.57655,52.522425,21.686425,7.9134,30.238075
8.71525,14.617175,52.5481,21.736275,7.92565,30.26555
8.7196,14.640125,52.567075,21.78375,7.9386,30.27655
8.73595,14.684325,52.679175,21.853175,7.981325,30.29285
8.7508,14.74,52.707925,21.897275,8.0153,30.32625
8.761625,14.78625,52.773125,21.98755,8.0512,30.3906
8.773025,14.8299,52.8496,22.031125,8.062075,30.43345
8.786325,14.861575,52.872625,22.08045,8.164275,30.511975
8.79825,14.874275,52.94395,22.13855,8.175,30.57545
8.81965,14.896075,53.00865,22.1668,8.18565,30.922725
8.8307,14.9239,53.052075,22.191125,8.195,31.022
8.8464,14.958375,53.0981,22.215875,8.2086,31.055925
8.860375,15.0246,53.129575,22.253775,8.22495,31.077475
8.87075,15.08455,53.162625,22.269425,8.237475,31.1226
8.892175,15.123975,53.2263,22.294025,8.26045,31.142225
8.9123,15.256575,53.24645,22.34735,8.270125,32.393925
8.941,15.323525,53.291575,22.36605,8.281675,32.50865
8.97055,15.366425,53.43835,22.40875,8.293775,32.7941
9.002625,15.4207,53.56075,22.412475,8.32635,32.825275
9.010175,15.47155,53.59275,22.531875,8.339125,32.84995
9.0273,15.5116,53.6129,22.586675,8.35165,32.866125
9.0412,15.547675,53.7641,22.616825,8.378275,32.878725
9.064075,15.5689,53.937525,22.652525,8.39075,32.908225
9.089375,15.6162,53.971375,22.68545,8.409725,32.931375
9.109975,15.66475,54.01485,22.782325,8.428175,32.933075
9.159225,15.709175,54.0787,22.883275,8.44725,32.97355
9.186175,15.8128,54.1098,22.91745,8.4581,32.99545
9.195225,15.877325,54.119375,23.04975,8.4831,33.064975
9.217925,15.90165,54.165975,23.11825,8.49695,33.091325
9.245725,15.918625,54.1819,23.174575,8.53095,33.102475
9.2711,16.08265,54.219225,23.237,8.542325,33.397725
9.285525,16.1088,54.271925,23.3094,8.560825,33.4336
9.302875,16.1411,54.36245,23.444375,8.592325,33.451875
9.320275,16.19005,54.409125,23.47325,8.60755,33.512325
9.331175,16.209325,54.45045,23.495275,8.6196,33.6014
9.34085,16.23475,54.56445,23.611775,8.63495,33.637625
9.3539,16.2561,54.7006,23.68945,8.65585,33.7283
9.36725,16.2911,54.724025,23.74065,8.728,33.891325
9.3792,16.31875,54.79585,23.768375,8.748875,33.99505
9.3926,16.4416,54.83595,23.8296,8.76935,34.06205
9.404425,16.461275,54.8539,23.873325,8.8251,34.0847
9.41785,16.4802,54.9751,23.94405,8.83975,34.1277
9.4493,16.5049,55.05765,23.97535,8.862675,34.15975
9.462325,16.558125,55.1434,24.0338,8.878875,34.224775
9.476325,16.587475,55.274,24.085325,8.884,34.283625
9.49705,16.60305,55.317,24.1198,8.923025,34.292475
9.511675,16.6294,55.344175,24.2397,8.944925,34.346075
9.552925,16.66445,55.378975,24.346,8.968025,34.366925
9.587525,16.69,55.412275,24.388075,8.9848,34.875325
9.60145,16.7125,55.504575,24.4037,8.9983,35.24395
9.64135,16.7352,55.568325,24.442775,9.015625,35.4602
9.66815,16.777925,55.6098,24.544825,9.03475,35.4933
9.69155,16.800725,55.645075,24.6716,9.062825,35.512925
9.71255,16.832225,55.6746,24.710525,9.07535,35.5277
9.743425,16.90055,55.829475,24.87545,9.090325,35.5318
9.750225,16.92365,55.894,24.9325,9.101875,35.5423
9.775775,16.98955,55.922525,24.959,9.1364,35.55575
9.821875,17.013625,55.92805,24.9874,9.1514,35.57145
9.841175,17.12965,55.97795,25.023375,9.20055,35.587575
9.860425,17.1552,56.014175,25.0674,9.221425,35.6086
9.926975,17.165125,56.12605,25.0946,9.26275,35.62965
9.94735,17.21985,56.14125,25.15465,9.278975,35.647475
9.963375,17.263075,56.1903,25.187,9.298825,35.7384
9.985125,17.2961,56.262275,25.30145,9.32085,35.756575
10.02025,17.34035,56.3045,25.39805,9.33765,35.777525
10.052375,17.3744,56.367675,25.4169,9.34805,35.78095
10.087225,17.413775,56.5738,25.44015,9.358,35.800825
10.140575,17.44045,56.64135,25.44275,9.370625,35.8221
10.159475,17.4593,56.67795,25.4603,9.407375,35.867675
10.227475,17.477325,56.6931,25.506175,9.416675,36.066475
10.245325,17.504225,56.750775,25.54825,9.422725,36.139475
10.26475,17.535325,56.770925,25.606075,9.4329,36.320975
10.287575,17.574975,56.79245,25.667675,9.4428,36.464975
10.297125,17.64365,56.829825,25.7145,9.464125,36.692575
10.34105,17.68635,56.865075,25.792975,9.48165,36.707225
10.392625,17.703,56.886725,25.901675,9.49845,36.767725
10.4358,17.74365,56.952275,26.01265,9.532375,36.864325
10.489825,17.780175,57.000775,26.0679,9.5567,36.871275
10.51205,17.82145,57.0341,26.087825,9.5718,36.904375
10.535475,17.894825,57.06895,26.1174,9.60985,37.043475
10.559575,17.930325,57.150625,26.1538,9.622775,37.226775
10.590525,17.963225,57.195825,26.268425,9.64785,37.249275
10.640775,18.0206,57.2622,26.308275,9.6934,37.421875
10.68035,18.073425,57.2777,26.3697,9.7039,37.53165
10.708425,18.122475,57.362875,26.4218,9.71985,37.6355
10.729,18.17595,57.379675,26.46375,9.741625,37.6591
10.78755,18.343025,57.389675,26.550675,9.7556,37.680275
10.864675,18.35925,57.417575,26.569275,9.79645,37.691475
10.89745,18.363525,57.422975,26.59085,9.807075,37.710925
10.9076,18.3958,57.438025,26.622675,9.8213,37.731
10.93665,18.4116,57.463375,26.650075,9.833875,37.753475
10.9579,18.436175,57.5707,26.6765,9.8726,37.77595
10.9809,18.4534,57.58685,26.718325,9.895175,37.796975
11.00215,18.491375,57.700375,26.777,9.914225,37.816475
11.0147,18.52185,57.775,26.842825,9.93635,37.830575
11.080825,18.60395,57.81985,26.910425,9.941275,37.844675
11.10005,18.63815,57.9054,26.961,9.973675,37.9491
11.2296,18.68205,58.075275,26.982275,9.986625,37.994775
11.25185,18.736875,58.13275,27.085,10.007875,38.05315
11.279925,18.767425,58.159075,27.131675,10.02965,38.1329
11.303775,18.79965,58.1759,27.19005,10.1082,38.152975
11.31585,18.834625,58.210225,27.291975,10.11945,38.16815
