SPK_SPKC09a (exc),SPK_SPKC14a (no opto-tagging)
303.701,300.7907
303.750525,300.89895
303.837525,300.9837
303.872525,301.052825
303.930175,301.272275
304.0433,301.35765
304.128,301.43085
304.248275,301.5197
304.394125,301.60005
304.455475,302.0665
304.53345,302.1582
304.614225,302.2499
304.679075,302.396525
304.7551,302.490525
304.984925,302.683075
305.0372,302.96925
305.31025,303.067675
305.424525,303.271375
305.54995,303.37425
305.61385,303.565775
305.7339,303.6586
305.78995,303.75735
305.90855,303.921225
306.134125,304.03815
306.21405,304.13005
306.3059,304.362675
306.4137,304.442525
306.47845,304.5413
306.675725,304.648325
306.718725,304.715825
306.777625,305.060325
306.86095,305.15745
306.946075,305.22595
307.058,305.31515
307.138575,305.512375
307.2708,305.5999
307.440525,305.724725
307.5416,305.840075
307.599075,305.942575
307.6736,306.010625
307.8282,306.208625
307.906875,306.303275
308.08895,306.358925
308.25145,306.470125
308.424325,306.582275
308.469875,306.666
308.537025,306.7722
308.985475,306.968075
309.188075,307.08635
309.28635,307.2834
309.511225,307.38865
309.782125,307.528475
309.87075,307.645875
309.93625,307.83115
310.18745,307.9116
310.335725,307.984025
310.453475,308.125725
310.515675,308.410975
310.680425,308.58125
310.758125,308.6563
310.8468,308.729425
310.9469,308.906775
311.198525,308.989925
311.274125,309.08765
311.4056,309.170625
311.497825,309.393925
311.526475,309.47835
311.645475,309.734975
311.925425,309.9495
312.26195,310.226725
312.304675,310.46885
312.44245,310.569325
312.510325,310.6772
312.60845,310.7576
313.233875,310.974525
313.311775,311.16935
313.38615,311.23705
313.5529,311.32295
313.6911,311.41705
314.043825,311.603725
314.13195,311.7082
314.204375,311.7861
314.275975,311.853725
314.5071,311.961725
314.597275,312.03415
314.647375,312.128475
314.72785,312.2822
314.78915,312.410625
314.879625,312.479075
315.104175,312.6485
315.1823,312.76085
315.470525,312.8474
315.641575,312.95645
315.784875,313.015825
316.0255,313.243625
316.225575,313.3072
316.4699,313.36565
316.559175,313.5653
316.650275,313.66365
316.796325,313.756875
316.92695,314.1484
317.049525,314.289675
317.225625,314.373875
317.3509,314.46
317.577825,314.529975
317.71615,314.6154
317.81945,314.680275
317.894125,314.8714
318.0026,315.055325
318.11815,315.190425
318.316825,315.300375
318.408925,315.464975
318.61185,315.56275
318.677275,315.678675
318.73375,315.938275
318.796275,316.052925
318.96145,316.125425
319.61165,316.2069
319.695225,316.320325
319.8316,316.403375
319.93545,316.54785
320.0206,316.67445
320.337275,316.86675
320.419925,316.9426
320.56095,317.06585
320.698675,317.1376
320.82395,317.239525
321.0478,317.33955
321.132275,317.459075
321.270025,317.6825
321.35995,317.74395
321.53945,317.8605
321.5849,317.94055
321.637025,318.1654
321.737725,318.472
322.06895,318.61715
322.29685,318.69375
322.3417,318.8222
322.521275,318.89065
322.857775,318.9497
322.993525,319.0745
323.1141,319.301775
323.278325,319.3702
323.497225,319.480225
323.70115,319.77045
323.81945,319.932425
323.897125,320.006775
324.075525,320.075825
324.298475,320.118025
324.59645,320.234925
325.069525,320.2853
325.417125,320.439425
325.5708,320.62815
325.957,321.835675
326.22935,322.0155
326.60525,322.246075
326.7746,322.3984
326.8839,322.660275
327.0317,322.719
327.140975,322.8584
327.260275,322.963925
327.410425,323.08545
327.502175,323.2366
327.6432,323.38175
327.760975,323.62065
328.004375,323.693625
328.1081,323.916575
328.248525,324.01375
328.440725,324.123825
328.583675,324.21435
328.695475,324.532375
328.808475,324.594525
329.3994,324.7244
329.507875,324.8122
329.5755,324.920725
329.89335,325.0906
330.107425,325.2602
330.249325,325.364625
330.33925,325.465875
330.416125,325.542775
330.5513,325.6374
330.6249,325.726875
330.69445,325.8297
330.923025,326.206825
331.122625,326.3338
331.197625,326.4464
331.608525,326.568225
331.7464,326.667075
331.8497,326.753675
332.059175,326.867725
332.141625,326.9986
332.4862,327.10065
332.619875,327.18125
332.7161,327.257575
332.80405,327.482175
332.94435,327.660325
333.128425,327.788
333.224525,327.913075
333.2907,328.0284
333.425625,328.146275
333.5334,328.2799
333.631925,328.3508
333.7119,328.469225
333.7832,328.61555
333.91705,328.699725
334.0316,328.82705
334.11655,328.911275
334.342025,329.00105
334.689475,329.09135
334.760975,329.2534
334.91945,329.3662
335.0458,329.43545
335.162125,329.548425
335.3102,329.637575
