SPK_SPKC09a (exc),SPK_SPKC14a (no opto-tagging)
280.589375,269.98985
280.807775,270.16025
281.031625,270.246
281.095275,270.351525
281.135275,270.4168
281.1837,270.62365
281.303025,270.723
281.389025,271.034875
281.59815,271.1142
281.625625,271.179725
281.755075,271.250025
281.973325,271.341975
282.0443,271.423775
282.200875,271.48985
282.325925,271.549525
282.3815,271.751175
282.55185,271.9941
282.60565,272.067525
282.707475,272.30245
282.861625,272.37065
282.9574,272.495675
282.9963,272.635375
283.04915,272.7359
283.080625,272.7938
283.327275,272.87505
283.658925,272.9475
283.794275,273.0093
283.83865,273.1413
283.9061,273.2264
283.993775,273.427675
284.089175,273.502325
284.132425,273.5784
284.213925,273.704325
284.270225,273.767325
284.297075,273.83615
284.3301,273.92925
284.394825,274.00415
284.472325,274.0538
284.56395,274.126325
284.603375,274.19735
284.668775,274.433475
284.71945,274.58725
284.78915,274.6482
284.839525,274.738
284.893125,274.9906
284.926075,275.035625
285.046775,275.214075
285.07625,275.291225
285.1873,275.3727
285.4178,275.452975
285.466875,275.5155
285.5877,275.57475
285.7081,275.8889
285.7524,276.04555
285.78965,276.152425
285.9197,276.240825
286.0618,276.30405
286.12625,276.394075
286.2865,276.45915
286.331375,276.561225
286.46625,276.639125
286.6378,276.702975
286.7011,276.7994
286.76375,276.915025
286.8156,277.070375
286.875675,277.14645
286.995575,277.330025
287.0415,277.444125
287.167425,277.53535
287.299725,277.594475
287.351825,277.662475
287.401325,277.8461
287.450825,278.035275
287.538075,278.1206
287.5943,278.228375
287.678,278.364275
287.835025,278.44295
287.890475,278.553625
288.173775,278.631325
288.2356,278.73985
288.29145,278.80875
288.354375,278.995575
288.4354,279.23585
288.4849,279.415225
288.542825,279.574325
288.74195,279.695425
288.80945,279.76405
288.929525,279.8701
288.97895,279.971675
289.091125,280.109025
289.1413,280.19925
289.41095,280.369675
289.58165,280.444325
289.670275,280.513425
289.768425,280.709675
289.816,280.925425
289.922875,281.022425
289.984225,281.114375
290.03925,281.35075
290.125775,281.5907
290.172775,281.662675
290.2343,282.117675
290.273875,282.20715
290.3792,282.33915
290.442675,282.479425
290.513925,282.637275
290.55185,282.732025
290.590975,282.8551
290.652525,282.9179
290.7239,283.0093
290.76785,283.100075
290.8034,283.27065
290.8505,283.3596
290.95435,283.4515
290.9919,283.532475
291.05675,283.6613
291.1112,283.7092
291.26615,283.82105
291.3893,283.96235
291.4231,284.0133
291.451825,284.12965
291.50635,284.432525
291.5624,284.6737
291.631575,284.919975
291.694725,285.034525
291.76495,285.173275
291.7924,285.318575
291.91175,285.423225
291.968725,285.545725
292.075275,285.666675
292.166725,285.86545
292.213975,285.974875
292.360225,286.078125
292.5317,286.161325
292.58915,286.293075
292.66645,286.407175
292.778975,286.49625
292.827025,286.611175
292.87315,286.67635
293.052025,286.7463
293.0954,286.838075
293.143025,286.9199
293.18955,286.98825
293.2329,287.0516
293.322125,287.132975
293.453,287.30265
293.687475,287.4079
293.736525,287.710725
293.849975,287.8357
293.910625,287.94295
293.97625,288.01445
294.03075,288.101825
294.0968,288.17745
294.159625,288.294375
294.278175,288.38965
294.45535,288.484225
294.519225,288.716275
294.56155,288.7984
294.586275,288.856575
294.72555,288.937225
294.75955,289.02285
294.819275,289.08935
294.90075,289.24385
294.993075,289.315425
295.098575,289.6347
295.1589,289.816
295.20685,289.89195
295.354025,289.9779
295.4438,290.047325
295.595525,290.17695
295.6251,290.39715
295.8219,290.486825
295.909925,290.580525
295.9494,290.697125
296.0037,290.84315
296.0317,290.9641
296.2462,291.171875
296.57635,291.28225
296.6331,291.425
296.6861,291.553125
296.733625,291.6827
296.781475,291.775225
296.87665,291.831775
296.935275,291.92135
297.067775,291.9745
297.10825,292.088975
297.173525,292.228425
297.22585,292.297225
297.39135,292.401875
297.58765,292.6336
297.6417,292.70725
297.685975,292.838725
297.74505,293.021675
297.8021,293.145375
297.990325,293.213925
298.0497,293.632175
298.1383,293.70535
298.211625,294.0477
298.254375,294.129225
298.324475,294.2181
298.365325,294.313825
298.46625,294.523725
298.515675,294.66285
298.575125,294.7902
298.656275,294.9241
298.7561,295.103975
298.8667,295.195825
298.9876,295.2564
299.0881,295.3703
299.15755,295.4202
299.3805,295.5276
299.415475,295.5763
299.450825,295.6584
299.5312,295.80765
299.5675,295.948375
299.611775,296.100025
299.736,296.1667
299.824925,296.222125
299.860425,296.35075
299.898125,296.489325
299.993425,296.53435
300.0937,296.692725
300.14,296.7578
300.190525,296.8186
300.35315,296.87485
300.4446,296.926575
300.51415,297.048975
300.571725,297.12925
300.656125,297.22675
300.78835,297.420225
300.9118,297.511225
300.98395,297.697025
301.158525,297.7724
301.203525,297.887975
301.320625,297.99715
301.4354,298.0985
301.475575,298.2073
301.575825,298.286075
301.757725,298.502275
301.8167,298.634425
301.86075,298.7897
302.063275,298.998075
302.28185,299.15775
302.321125,299.335
302.503225,299.437975
302.71855,299.513725
302.804725,299.5996
302.88215,299.8436
303.052875,299.946725
303.1662,300.061875
303.23835,300.220275
303.295,300.301875
303.376125,300.347275
303.461,300.421125
303.5617,300.529775
303.644025,300.594775
