SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC07d,SPK_SPKC08a,SPK_SPKC11a,SPK_SPKC14a
104.5683,105.83045,171.577675,154.73825,115.188125,113.326325,110.9001,170.523
104.5744,105.8419,171.684575,154.776025,115.212625,113.34785,110.965325,170.694925
104.581675,105.849,171.820525,154.887125,115.3297,113.3934,111.038075,170.751875
104.598025,105.85585,171.985975,154.945325,115.491375,113.412325,111.062075,171.005925
104.61285,105.865,172.183075,155.0919,115.817475,113.47515,111.072025,171.050125
104.625525,105.873525,173.210475,155.105075,115.84315,113.5948,111.08175,171.16435
104.65795,105.882575,173.768075,155.2093,115.910875,113.63705,111.182725,171.257425
104.667225,105.891275,174.2149,155.32785,115.952025,113.656675,111.256775,171.402425
104.686725,105.903275,175.14105,155.352625,116.3094,113.670525,111.309525,171.57815
104.700775,105.9198,176.492475,155.456725,116.3325,113.709525,111.4014,171.6168
104.715475,105.93525,177.1145,155.48335,116.789825,113.73775,111.422325,171.72985
104.746175,105.977525,177.2152,155.5428,116.80365,113.7722,111.429325,171.770275
104.759475,105.9881,177.393975,155.641075,116.82435,113.837825,111.442675,172.05285
104.76805,106.01065,178.4706,155.732575,116.8431,113.906325,111.50195,172.34365
104.783475,106.028025,179.679525,155.7591,116.872775,113.93555,111.532975,172.565475
104.801525,106.03955,179.7841,155.7683,116.976,113.974425,111.627275,172.914675
104.813925,106.058825,180.274925,155.87405,117.03655,114.018325,111.705175,172.9604
104.838,106.0782,180.3343,155.9429,117.08235,114.04905,111.7482,173.1182
104.860175,106.0979,180.695025,155.960775,117.0963,114.12035,111.7956,173.41965
104.869225,106.12095,180.85385,156.051675,117.19785,114.36165,111.8306,173.5544
104.870325,106.133775,180.9027,156.1111,117.238375,114.3797,111.932125,173.855075
104.88735,106.149575,181.7025,156.149475,117.261225,114.588825,112.05615,173.9305
104.926675,106.15985,182.23115,156.31855,117.291925,114.604125,112.069875,173.99865
104.944125,106.19105,182.855825,156.367775,117.33375,114.6222,112.096575,174.31885
104.971375,106.199225,183.517525,156.541225,117.39455,114.694675,112.104425,174.610675
104.996425,106.213325,184.25465,156.586075,117.404925,114.7135,112.128225,174.878575
105.0073,106.224725,184.43285,156.629175,117.434875,114.8977,112.2318,175.75
105.015725,106.23375,184.574975,156.72445,117.4946,115.0806,112.246875,175.7695
105.02235,106.250075,184.58825,156.797225,117.56485,115.17615,112.253575,176.225875
105.045675,106.263825,185.18395,156.8459,117.648175,115.289575,112.26275,177.0872
105.06905,106.27985,186.21145,156.9276,117.66975,115.29545,112.307325,178.095525
105.100825,106.2985,186.58805,157.023475,117.679275,115.3274,112.32225,179.44485
105.11995,106.3097,186.741575,157.0407,117.69755,115.3707,112.362075,179.731375
105.149425,106.320725,186.77285,157.0966,117.75845,115.383525,112.5633,179.99765
105.165075,106.33155,187.533925,157.140775,117.77535,115.477775,112.56895,180.182625
105.1737,106.358225,187.8753,157.15325,117.828725,115.518325,112.5702,181.025675
105.1888,106.425975,188.0857,157.172475,117.867125,115.530875,112.611575,181.4288
105.20055,106.4482,188.150675,157.20585,117.8847,115.558475,112.63395,181.684625
105.20725,106.485875,188.82405,157.272025,117.930675,115.573175,112.6664,182.192375
105.22635,106.61855,188.905,157.289075,117.9527,115.6022,112.80775,182.465
105.243125,106.6461,189.44885,157.3338,118.116625,115.742975,112.9153,182.792825
105.254425,106.667875,189.48535,157.378875,118.155075,115.799225,112.936,182.955875
105.268125,106.791975,189.772875,157.6092,118.2222,115.821225,112.981,183.77625
105.287325,106.801425,189.830875,157.678,118.2859,115.850475,113.1131,184.059025
105.293925,106.8186,189.966825,157.690475,118.3152,115.87515,113.159975,184.071225
105.315575,106.862875,190.206825,157.7364,118.34735,115.9965,113.16885,184.2613
105.324275,106.884775,190.372075,157.8059,118.4064,116.009125,113.1747,184.610025
105.3401,106.902425,190.75895,158.073625,118.437225,116.02,113.179225,184.97465
105.35005,106.913625,190.847175,158.113575,118.4638,116.040325,113.189175,185.001175
105.357825,106.922625,191.0384,158.138625,118.5307,116.2266,113.2168,185.03175
105.37085,106.9513,191.9279,158.21275,118.6039,116.3208,113.225325,185.64365
105.3776,106.975025,192.2136,158.23035,118.66565,116.368475,113.25195,186.0721
105.385675,107.0076,192.268175,158.268025,118.9125,116.396175,113.266625,186.257375
105.39965,107.03315,192.47955,158.3434,118.99435,116.452125,113.284425,186.274225
105.409025,107.06245,192.577625,158.41025,119.073275,116.47935,113.383975,187.2296
105.4136,107.091425,192.6723,158.641675,119.0922,116.492675,113.40785,187.341425
105.421975,107.19515,192.9206,158.66985,119.147375,116.568375,113.423325,187.549275
105.433425,107.21625,192.96,158.70065,119.1776,116.62845,113.4341,188.17875
105.43905,107.234575,193.608875,158.73475,119.25635,116.708175,113.484475,188.926
105.450825,107.25955,193.710275,158.795775,119.288075,116.73515,113.5242,188.9452
105.488025,107.2751,194.42385,158.821975,119.37195,116.798125,113.5289,189.0908
105.49515,107.3012,194.47975,158.836075,119.57735,116.8347,113.545525,189.18215
105.500925,107.319925,195.049525,158.8732,119.650175,116.88335,113.57535,189.240875
105.516875,107.35755,195.353175,158.928125,119.700975,116.999225,113.597625,189.43905
105.5236,107.38415,195.40005,158.952475,119.8298,117.038525,113.601575,189.69735
105.554525,107.4091,195.945,158.968425,119.93405,117.054575,113.65945,190.212525
105.565,107.476525,196.19655,158.9883,119.9463,117.08845,113.74965,190.386175
105.572075,107.4824,196.381575,159.010225,119.9873,117.11385,113.843425,190.960425
105.582525,107.53285,196.534125,159.023975,119.9985,117.169575,113.875225,190.97855
105.5932,107.55305,196.7008,159.0765,120.036175,117.18835,113.898125,191.0221
105.603275,107.57035,196.817275,159.087575,120.079225,117.30065,113.949375,191.035725
105.6163,107.58845,197.0656,159.134825,120.165,117.3225,113.969775,191.1195
105.623325,107.600825,198.7254,159.159825,120.223675,117.34495,113.980975,191.235225
105.63465,107.607125,199.15545,159.17785,120.288775,117.3751,113.9968,191.268725
105.6398,107.640575,199.2354,159.2739,120.346725,117.47635,114.1096,191.3901
105.643525,107.661125,199.52525,159.307325,120.38925,117.629075,114.166075,191.448625
105.649625,107.68045,199.57165,159.346825,120.391825,117.651475,114.268625,191.567225
105.65665,107.6964,199.875475,159.376925,120.54325,117.6849,114.308175,191.8108
105.671975,107.72535,199.8957,159.399625,120.63795,117.69825,114.422225,192.12545
105.67955,107.748925,200.15125,159.4056,120.6591,117.767525,114.4661,192.244675
105.6866,107.774775,200.21635,159.446,120.676975,117.806325,114.540325,192.761975
105.74445,107.802825,200.342325,159.56795,120.72145,117.84815,114.59645,192.814275
105.756125,107.828225,200.57275,159.778,120.7595,117.8931,114.66545,193.22275
105.762775,107.888425,201.5027,159.87895,120.7763,117.94035,114.6767,193.734775
105.769775,107.922325,201.78135,159.9177,120.817975,117.9566,114.74525,193.799775
105.77455,107.947575,202.28485,159.981275,120.854325,117.9728,114.758825,193.94575
