SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC02a,SPK_SPKC05a,SPK_SPKC07b,SPK_SPKC09a,SPK_SPKC09b,SPK_SPKC12a,SPK_SPKC14a
254.692875,259.9003,286.162425,303.064125,277.90645,257.6864,410.4102,284.36135,258.60995
254.71095,260.02725,286.464625,303.681225,277.908325,257.9993,414.44925,284.851825,258.630725
254.7634,260.113475,286.560075,303.697125,277.9292,258.103325,414.488125,284.968075,258.69175
254.855475,260.14495,286.5944,304.01155,278.18845,258.236,415.096725,286.0211,258.779075
254.879025,260.214975,286.603725,304.685475,278.97575,258.31365,416.74235,286.122725,258.811725
254.925125,260.280925,286.987525,305.302125,279.00405,258.700775,423.887775,286.227725,258.842375
254.952125,260.482,288.004875,305.96185,279.023225,258.783775,425.7031,286.54815,258.862575
254.9532,260.798225,288.303925,306.25205,279.076275,258.9224,426.025925,286.7886,258.882725
254.969175,260.847725,288.4282,306.859025,279.09815,258.948625,426.308625,286.908825,258.89525
255.031975,261.242625,289.043025,308.120375,279.120925,259.070875,426.427775,287.1787,258.9179
255.039575,261.3157,289.227925,308.325475,279.1374,259.3614,427.0039,287.522725,258.9372
255.0461,261.369675,289.24575,308.434175,279.163525,259.484175,427.110025,287.6648,258.961
255.127075,261.518375,289.260775,308.96255,279.18205,259.858225,427.123475,288.007675,258.9839
255.139875,261.727675,289.959625,309.435425,279.192625,259.869125,432.381425,288.155575,259.021525
255.141225,261.886225,290.06145,309.887,279.211925,259.88895,433.26395,288.61285,259.044325
255.1651,261.935925,290.065075,310.1604,280.112325,259.976575,434.363775,288.92865,259.077025
255.18465,262.1298,290.06685,310.8786,280.168075,260.060575,435.8344,289.434575,259.109075
255.2625,262.2185,290.073075,311.2681,280.183025,260.1828,437.9006,289.533975,259.16215
255.4055,262.302375,290.127,311.403575,280.196,260.34335,437.987525,289.66455,259.2168
255.45945,262.551625,290.153475,311.6006,280.2236,260.488575,438.018675,289.703225,259.222
255.47815,262.5743,290.16345,311.92205,280.22775,260.57635,438.27635,289.817275,259.23355
255.47995,262.602,290.21245,312.507025,280.244675,260.631775,438.291575,290.02265,259.24465
255.518925,262.643775,290.254575,312.8547,280.258175,260.808525,438.3236,290.241825,259.26035
255.579275,262.651825,290.36535,312.97095,280.2763,260.8805,441.764625,290.404075,259.44475
255.596225,262.7214,290.488,312.98455,280.293225,260.9917,446.8271,290.5864,259.467975
255.6091,262.87625,291.981875,313.3381,280.30635,261.1085,447.738275,290.67995,259.6042
255.6447,263.11875,292.795225,313.607575,280.327575,261.2017,450.637625,290.73735,259.6484
255.656675,263.2633,293.68505,313.641,280.343625,261.243825,451.143675,290.864475,259.685125
255.761975,263.3075,294.736575,314.10795,280.360475,261.2864,451.579425,291.020925,259.703075
255.773825,263.400375,294.87875,314.149425,280.38145,261.553675,451.62145,291.062675,259.722425
255.81585,263.5931,294.9584,314.539725,280.448375,261.664425,452.047975,291.30785,259.737775
255.8689,263.6294,295.5481,314.74245,280.483275,261.83385,452.520125,291.726925,259.781225
255.90945,263.7252,295.582125,314.759225,280.502775,262.098725,453.939475,292.02225,259.80285
255.98365,263.73045,295.65115,314.77345,280.528725,262.126025,453.94995,294.803375,259.8388
256.0855,264.1416,296.033575,314.96385,280.577175,262.1449,457.6223,295.455075,259.85385
256.09375,264.191125,296.22105,315.3634,280.605625,262.285125,458.7652,295.531025,259.88695
256.114025,264.604025,296.59345,315.4148,280.662125,262.324925,463.505025,295.79355,260.060775
256.127275,264.735225,297.224275,316.03545,280.68565,262.38565,465.07105,295.83015,260.111825
256.138575,264.80645,297.708875,316.2127,280.70125,262.41535,465.1172,296.165725,260.169925
256.154825,264.833575,298.627825,316.5942,280.7209,262.53905,466.05565,296.20425,260.207575
256.2374,264.943275,298.788725,316.971775,280.76605,262.566,468.504025,296.418875,260.239175
256.252825,265.6601,298.891025,318.6016,280.787275,262.612275,468.508475,297.100775,260.2778
256.3649,265.812775,299.49455,319.14475,280.843325,262.8991,468.74905,297.36465,260.3108
256.48575,265.858675,299.5641,319.78735,280.886675,262.97355,479.160625,297.501,260.357325
256.499875,266.017275,299.66405,319.9188,280.9201,262.974575,,298.6045,260.378675
256.5116,266.065,299.72055,320.0841,280.946575,263.014875,,298.83435,260.403125
256.52295,266.239175,299.9058,320.13535,280.98225,263.06555,,299.273475,260.41995
256.5375,266.978375,299.974375,320.240875,281.0064,263.1575,,299.379825,260.4414
256.63145,267.131925,300.18545,320.68355,281.01665,263.57105,,299.793575,260.47555
256.63355,267.340475,300.411625,321.35825,281.0775,263.648575,,299.908075,260.564725
256.71405,267.52305,300.61595,321.399575,281.23515,263.708375,,300.26705,260.597225
256.7314,267.981125,300.999,321.613225,281.275025,263.826575,,300.633275,260.619625
256.7444,268.119575,301.0712,322.30865,281.291525,263.91375,,300.65925,260.65425
256.766,268.24695,301.19935,322.344425,281.347725,264.213875,,301.06585,260.6904
256.767225,268.51955,301.2385,322.363775,281.419925,264.252425,,301.18725,260.71585
256.7833,268.84195,301.2399,322.928975,281.45375,264.2718,,301.310825,260.743675
256.78635,269.143875,301.2555,323.049975,281.4735,264.41055,,301.47305,260.7826
256.832875,269.236,301.49365,323.05925,281.59665,264.420625,,301.675775,260.9119
256.861275,269.478175,301.69325,323.39445,281.692875,264.670325,,301.694125,260.96285
256.918525,269.65605,301.711375,323.775725,281.716725,264.68725,,301.89185,260.998375
256.933175,269.873675,301.916775,324.70085,281.746525,264.7033,,302.053225,261.01435
257.011675,270.186275,302.115475,324.764875,281.797675,264.734,,302.201375,261.0344
257.051525,270.272375,302.248775,325.0372,281.81535,264.8441,,302.31355,261.06055
257.104575,270.579275,302.9315,325.28375,281.857675,264.9224,,302.380325,261.07815
257.135,270.79155,302.9921,328.874875,281.880325,265.046275,,302.71285,261.1025
257.2051,270.8327,303.041325,329.09475,281.91425,265.0932,,302.798675,261.1314
257.251775,271.289575,303.340175,330.09975,281.98715,265.23835,,302.832675,261.160175
257.259525,271.377925,303.680075,330.79145,282.00865,265.51495,,303.09655,261.195225
257.295375,271.768125,303.90295,330.90625,282.04465,265.599,,303.326925,261.3527
257.308325,272.147375,304.351925,332.49905,282.056925,265.865025,,303.45605,261.395475
257.43195,272.234925,304.471175,332.681775,282.0611,265.886875,,303.602075,261.435525
257.4554,272.33445,304.51865,334.556825,282.118875,265.9028,,303.706925,261.461425
257.546325,272.47655,304.643775,335.225575,282.167975,266.28165,,303.86135,261.48695
257.56535,272.80865,304.65585,335.70465,282.226075,266.692775,,304.038625,261.501475
257.5828,273.302775,304.779625,337.0441,282.29955,266.7373,,304.331725,261.524175
257.5931,273.40075,304.909475,337.601425,282.369325,266.96825,,304.5442,261.54755
257.6233,273.463825,305.83555,338.05195,282.5781,266.998475,,304.847175,261.570775
257.740775,273.567475,306.713125,338.14575,282.5844,267.38195,,305.22845,261.592775
257.776025,273.71505,306.796775,338.333625,282.824275,267.402425,,305.513575,261.6163
257.790125,274.18205,307.013825,338.929625,282.882475,267.737525,,305.6172,261.64665
257.819675,274.847475,309.139025,338.952175,283.399825,267.764575,,305.767075,261.69865
257.860925,274.922625,309.7639,339.057275,283.404875,267.76835,,306.14465,261.716275
257.9055,275.332275,311.401525,339.446125,284.257775,267.8327,,306.34845,261.7432
257.93035,275.3731,311.4525,339.657175,284.3013,267.988875,,306.541475,261.89445
257.968275,275.895725,311.923725,340.269825,286.45095,268.219475,,306.919825,261.9383
257.9826,275.931125,312.466025,340.8569,286.4606,268.250475,,307.217075,261.969
258.0466,275.968075,312.5165,341.030775,286.494675,268.3458,,307.580475,261.989925
258.123525,276.342075,312.94765,341.212,286.5449,268.394275,,308.208225,262.00745
258.160975,276.38805,313.149675,342.30525,287.05155,268.677475,,308.407325,262.02855
258.1848,276.41695,313.179025,342.867175,287.057375,268.772,,308.871375,262.0503
258.238375,276.473325,313.286325,343.752675,287.0618,268.78175,,309.2074,262.0698
258.29555,276.60665,313.463125,344.0985,287.284175,268.825125,,309.8541,262.1073
258.30725,276.627525,313.466525,344.574125,287.2867,268.9929,,311.463325,262.1369
258.45765,276.7557,313.48225,345.01175,289.2551,269.1457,,311.657475,262.15515
258.52405,276.79505,313.7351,345.927475,289.7677,269.242575,,311.80975,262.2302
258.547125,277.053025,313.824725,346.2593,289.780975,269.292325,,312.524575,262.24755
258.5915,277.10635,313.90645,347.160275,289.8076,269.29545,,312.54425,262.276525
258.61305,277.2712,313.965725,350.59475,289.81835,269.366925,,312.609175,262.44475
258.62475,277.3067,313.988675,351.119,289.8843,269.42475,,313.15775,262.46135
258.691625,277.524975,314.074525,351.334225,289.8981,269.577175,,313.71405,262.49145
258.817675,277.582975,314.862075,351.79755,289.937925,269.6699,,313.772475,262.5121
258.829675,277.78485,314.97345,352.373275,289.986175,269.740675,,314.34775,262.52015
258.840575,277.832825,316.257825,352.458325,290.04845,269.78795,,314.49685,262.54295
258.86675,278.012475,316.937875,352.899225,290.0556,269.84625,,314.551975,262.787525
258.993525,278.023375,319.591,353.761425,290.14815,269.890625,,314.604925,262.828275
259.082925,278.1163,319.855675,354.5533,293.03725,269.92745,,314.60825,262.840375
259.09735,278.15265,319.879025,355.089675,295.35715,270.02755,,314.729225,262.861425
259.235625,278.220075,319.919325,357.271275,296.851825,270.26645,,314.8336,262.8764
259.257525,278.284875,319.94465,357.38725,296.8585,270.300925,,314.901575,262.89125
259.3166,278.333075,319.983225,357.7641,297.565025,270.414275,,315.142,262.92165
259.3796,278.342825,320.0875,358.840075,298.6761,270.6234,,315.187025,262.943
259.5399,278.400275,320.6056,358.88295,298.7115,270.833075,,315.201425,263.042225
259.576275,278.438425,320.647925,359.13175,298.7441,270.8786,,315.438525,263.06535
259.628025,278.7232,320.7149,359.5215,298.745675,271.42485,,315.6656,263.0847
259.6892,278.80375,320.71765,360.304325,298.779675,271.4943,,316.8612,263.1109
259.73805,278.81565,320.79555,360.5969,298.80975,271.518175,,317.152225,263.1607
259.77515,278.9513,320.8768,361.0806,298.81655,271.771375,,317.5899,263.19675
259.795375,279.050275,320.8998,361.74175,299.188225,271.80215,,317.839325,263.21335
259.811225,279.3442,320.94835,362.04095,299.27125,271.821475,,318.307825,263.22945
259.850375,279.44465,320.9522,365.126925,299.8658,271.917375,,318.50085,263.241625
259.8613,279.488675,321.477175,365.39735,300.8245,271.99905,,318.814675,263.258625
259.87685,279.499525,321.536125,365.5619,300.852325,272.0495,,319.06075,263.273675
260.060375,279.886075,321.566275,365.650825,300.881175,272.1524,,319.3797,263.2921
260.092675,279.954375,321.612525,365.973325,300.891075,272.16195,,319.799325,263.312075
260.161675,280.01455,321.882575,366.91455,300.903,272.4417,,320.1854,263.3417
260.23875,280.089025,322.0431,367.06555,300.942975,272.483225,,320.2237,263.460925
260.319275,280.178675,322.081175,368.0856,301.090325,272.516725,,320.49755,263.467825
260.332375,280.3735,322.291775,368.9245,301.124975,272.6901,,320.84825,263.497125
260.392775,280.434275,322.371475,369.0608,301.147525,272.83755,,320.967475,263.51705
260.443325,280.549825,322.490825,369.151775,301.16825,272.86215,,321.101275,263.535675
260.4651,280.789575,322.947875,369.537075,301.189875,272.87025,,321.291675,263.5597
260.527,281.121325,323.1954,370.48705,301.246675,272.889625,,321.637025,263.573675
260.5916,281.7589,323.273225,370.786375,301.265725,272.961675,,321.776825,263.59505
260.685975,282.09385,323.27815,373.449175,301.287075,272.987075,,321.904725,263.6153
260.725075,282.30615,323.340275,374.59415,301.31325,273.0011,,322.17455,263.63305
260.76945,282.337625,323.62485,374.6933,301.332175,273.00825,,322.407825,263.6567
260.858975,282.560475,323.7121,375.12295,301.3879,273.041925,,322.716,263.7228
260.94725,282.81515,323.844475,375.736875,301.443575,273.069575,,322.83995,263.7552
261.048075,283.0791,323.99875,377.218875,301.4959,273.099775,,323.150225,263.81795
261.1012,283.224375,324.118825,377.516,301.773375,273.1089,,323.403775,263.867475
261.1783,283.321425,324.23845,377.8197,301.8436,273.164975,,323.666975,263.9666
261.2108,283.52645,324.65725,378.554475,301.894125,273.16755,,323.884275,264.0063
261.24075,284.261025,324.7456,378.678825,302.181075,273.28625,,323.993075,264.02595
261.2674,284.56825,324.91835,378.760675,302.1825,273.36305,,324.468725,264.0404
261.3061,285.067175,325.080775,378.838375,302.2053,273.4267,,324.906625,264.053
261.3526,285.49935,325.089775,379.076725,302.630675,273.461975,,324.9959,264.07115
261.358,285.55765,325.1057,379.708675,302.66895,273.4917,,325.054175,264.089675
261.39915,285.848625,325.160575,381.10465,302.75505,273.5583,,325.41875,264.112125
261.40995,285.9339,325.1766,381.33255,302.898325,273.688625,,325.53735,264.129775
261.492275,285.972225,325.2091,382.374875,302.947525,273.809775,,326.727825,264.147225
261.55435,286.5919,325.2652,383.12385,303.11645,273.859675,,326.955625,264.1766
261.573825,286.65075,325.321225,383.468275,304.031725,273.8719,,327.29435,264.192925
