SPK_SPKC01a (no clear),SPK_SPKC02b (exc),SPK_SPKC07a (exc),SPK_SPKC09c (inhi),SPK_SPKC12b (exc),SPK_SPKC14a (exc),SPK_SPKC15a (inhi/exc),SPK_SPKC16a (inhi/exc?)
357.014,374.50465,367.256675,354.8356,369.578775,356.483675,365.818825,368.768425
357.083375,374.772825,367.330375,354.875925,369.592425,356.50805,365.950925,369.054175
357.112325,375.152025,367.475025,354.89375,369.66095,356.530375,366.026475,369.101875
357.158925,375.456,367.59915,354.925475,369.821475,356.556575,366.0861,369.112175
357.16965,375.72095,367.62535,354.958325,369.933425,356.63125,366.1606,369.1534
357.18845,375.960225,367.64485,354.972525,369.99885,356.65065,366.231675,369.201375
357.23945,376.037525,367.81695,355.007575,370.05135,356.68255,366.294725,369.31225
357.258825,376.142725,367.85355,355.0121,370.128975,356.7288,366.33885,369.33505
357.280075,376.2158,367.880625,355.02945,370.27795,356.777525,366.37475,369.342775
357.328975,376.238925,367.91185,355.0332,370.405025,356.79785,366.575425,369.3934
357.348425,376.24355,368.096225,355.049825,370.452875,356.816575,366.710875,369.413575
357.392475,376.246425,368.140875,355.06255,370.6474,356.84915,366.85135,369.419025
357.421475,376.263125,368.14275,355.083775,370.649125,356.8722,366.916925,369.57705
357.4428,376.29475,368.188225,355.0887,370.7405,356.8961,366.989375,369.61235
357.45685,376.30405,368.2437,355.105475,370.889975,356.9145,367.05875,369.68175
357.480025,376.339475,368.5749,355.1226,370.903975,356.926725,367.133375,369.7349
357.50135,376.349225,368.582625,355.137975,370.954625,356.93985,367.207525,369.748375
357.526575,376.3945,368.640575,355.15515,371.00965,356.96385,367.28245,369.769175
357.5887,376.417375,368.6913,355.1781,371.083125,356.9841,367.34795,369.785125
357.5939,376.703525,368.708625,355.195375,371.5421,357.020725,367.427625,369.8584
357.696175,377.065525,368.716575,355.214525,371.619825,357.044425,367.576425,369.873625
357.754875,377.316075,368.8387,355.246625,371.908425,357.06795,367.64735,369.8848
357.79445,377.370775,368.99975,355.2675,372.060375,357.088125,367.7238,369.890525
357.81085,377.404125,369.1033,355.289475,372.61045,357.115325,367.79775,370.21675
357.876075,377.46395,369.15615,355.31545,372.7452,357.131125,367.86765,370.24165
357.9197,377.71085,369.1957,355.379175,372.912375,357.1939,367.935475,370.247475
357.9407,378.042425,369.228025,355.403775,373.035225,357.2127,368.0071,370.36375
357.96935,378.5153,369.435025,355.42445,373.0857,357.225025,368.0737,370.41415
358.003275,378.622125,369.488675,355.45465,373.147175,357.26145,368.074825,370.51945
358.0497,378.794025,369.528525,355.478825,373.4399,357.28905,368.35285,370.542225
358.096725,379.23575,369.5821,355.503575,373.486175,357.353625,368.49655,370.862075
358.128225,379.2769,369.687125,355.554875,373.683075,357.3676,368.564525,370.936375
358.16645,379.305975,369.690725,355.591725,373.82735,357.479,368.632825,370.96335
358.1948,379.35515,369.719975,355.620925,374.0925,357.495625,368.783175,370.985425
358.302575,379.394925,369.728025,355.65995,374.168875,357.52045,368.855275,371.1245
358.326075,379.523925,369.761625,355.6779,374.34935,357.527,368.9249,371.13665
358.378425,379.58845,369.79635,355.70045,374.377925,357.531375,369.06585,371.159025
358.407925,379.9697,369.80215,355.716975,374.44755,357.615825,369.1422,371.266
358.448025,380.317275,369.832175,355.74305,374.5949,357.685525,369.212575,371.52215
358.492925,380.77385,369.861575,355.764475,374.645825,357.70095,369.346725,371.55345
358.5318,381.074225,369.872675,355.79055,374.928025,357.73435,369.4065,371.5848
358.57055,381.1182,369.879325,355.851125,374.962175,357.768625,369.472325,371.6897
358.610525,381.4153,369.9048,355.869275,375.06435,357.790375,369.562775,371.76275
358.6251,381.44295,369.925425,355.875275,375.22455,357.826525,369.593175,371.884775
358.632375,381.4884,369.988875,355.9031,375.309575,357.8595,369.6589,371.90245
358.683825,381.54125,370.021425,355.927275,375.599925,357.893175,369.72505,371.946525
358.708825,381.58555,370.355,355.93195,375.655975,357.916075,369.77165,372.450525
358.7652,381.617125,370.409125,355.9596,375.692475,357.946775,369.79555,372.72595
358.7963,381.63145,370.438675,355.985525,375.7645,358.0001,369.917125,372.759825
358.8252,381.6873,370.539525,356.031425,375.9595,358.0253,369.98775,373.137625
358.877,381.960475,370.722775,356.052075,375.9874,358.0459,370.064625,373.3781
358.905125,382.055125,370.870325,356.08335,376.0116,358.082575,370.1358,373.42
358.9334,382.419025,370.90645,356.1199,376.1375,358.110325,370.2001,373.428175
358.965825,382.98415,370.9341,356.129575,376.521875,358.1314,370.33115,373.4529
358.992775,383.0395,370.9418,356.145675,376.670775,358.154225,370.39015,373.6208
359.03695,383.101825,370.9742,356.1734,376.738025,358.159525,370.455825,373.72765
359.0817,383.278075,371.01425,356.2064,376.87745,358.189775,370.510075,373.849
359.1117,383.380375,371.130025,356.226875,376.888825,358.21835,370.5735,373.957875
359.14505,383.38335,371.1368,356.2598,377.148575,358.2373,370.648475,373.98955
359.166875,384.103125,371.139675,356.2899,377.198,358.269375,370.677175,374.00485
359.238675,384.17775,371.148625,356.33125,377.2383,358.2994,370.714975,374.085225
359.297875,384.27105,371.1615,356.364225,377.29315,358.323525,370.793275,374.0954
359.326675,384.385825,371.175575,356.387125,377.386775,358.369675,370.875025,374.137
359.363675,384.39525,371.176575,356.405425,377.444225,358.422375,370.944325,374.18255
359.395,384.436075,371.213275,356.429,377.5979,358.443525,371.08685,374.235375
359.435725,384.5202,371.30455,356.45805,377.90955,358.4679,371.142075,374.350125
359.5371,384.814475,371.328075,356.4955,377.973075,358.47635,371.1685,374.35355
