SPK_SPKC08a (no response),SPK_SPKC09a (no response)
234.72635,255.716175
234.81805,255.9915
234.8526,256.080325
234.85615,256.112
234.89835,256.26045
234.8996,256.292675
234.955025,256.3613
234.981025,256.392025
235.0098,256.427375
235.065725,256.556975
235.105275,256.657725
235.13435,256.8309
235.252775,256.881075
235.28295,256.908775
235.35,256.9247
235.420675,256.973275
235.488275,257.077275
235.54055,257.296875
235.574075,257.348275
235.620525,257.51435
235.7771,257.53255
235.79045,257.652175
235.8254,257.6737
235.9243,257.72955
235.993375,257.7905
236.04345,257.821
236.161475,257.945525
236.2909,257.966475
236.341125,258.125625
236.373,258.146875
236.378125,258.171075
236.4126,258.221775
236.464575,258.435925
236.49855,258.494425
236.519675,258.76185
236.54845,258.8807
236.61235,258.918875
236.668225,259.00415
236.684,259.00705
236.7759,259.206575
236.810075,259.321475
236.906575,259.32585
236.914425,259.3615
236.91885,259.392725
236.9719,259.42205
236.986525,259.567925
237.0209,259.612825
237.0601,259.7601
237.070925,260.13685
237.072325,260.19325
237.088025,260.22925
237.12155,260.2337
237.128325,260.33125
237.22355,260.35815
237.275875,260.457175
237.3485,260.70485
237.405975,260.879675
237.426675,260.903425
237.46705,260.905
237.5145,260.95455
237.654225,260.9968
237.75245,261.0226
237.8483,261.03795
237.881325,261.052375
237.93335,261.06355
237.962075,261.33465
238.0391,261.5344
238.163775,261.58645
238.218475,261.674725
238.277875,261.6967
238.353975,261.90045
238.431125,261.904925
238.508775,261.956525
238.546675,262.0138
238.549075,262.109825
238.5719,262.4148
238.57985,262.48475
238.62965,262.523625
238.67965,262.568825
238.7524,262.60125
238.83455,262.7517
238.931125,262.800275
238.995325,262.831225
239.061275,262.920175
239.071925,263.111625
239.164075,263.149825
239.1908,263.165275
239.229675,263.402775
239.283275,263.41495
239.379225,263.480425
239.462875,263.8463
239.4974,263.8984
239.56855,263.952575
239.7118,263.98775
239.782125,264.025025
239.829125,264.078
239.872775,264.31375
239.916975,264.34285
240.02145,264.36045
240.0629,264.364125
240.17185,264.37215
240.191775,264.39355
240.213475,264.438425
240.234025,264.501075
240.2541,264.5437
240.311025,264.602175
240.3123,264.653925
240.350075,264.75075
240.356975,264.92155
240.40815,264.9408
240.442175,264.95475
240.466075,264.992875
240.5017,265.009975
240.5281,265.156625
240.5472,265.343775
240.5782,265.43535
240.66605,265.4494
240.679925,265.579875
240.694175,265.718625
240.7025,265.744875
240.768475,265.76155
240.837925,265.77895
240.95865,265.805475
241.000725,265.82325
241.042725,265.85655
241.07605,266.049225
241.11855,266.21915
241.21855,266.226225
241.25155,266.455075
241.306475,266.665275
241.31715,266.695275
241.32755,266.732
241.361925,266.764425
241.377,266.975975
241.451225,267.094475
241.4736,267.116
241.4995,267.143525
241.522075,267.2515
241.62865,267.25655
241.704625,267.271675
241.75625,267.299075
241.791925,267.567325
241.83525,267.760225
241.86465,267.8003
241.8986,267.813075
241.91145,267.8232
241.91575,267.8523
241.938725,268.119975
241.958825,268.261025
241.993,268.27185
242.001375,268.364475
242.04515,268.383725
242.099775,268.40195
242.1292,268.40865
242.2194,268.45265
242.282575,268.52515
242.330975,268.546575
242.377725,268.558925
242.408425,268.56725
242.443525,268.598
