SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC04c,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC12c
204.615675,223.352175,208.0907,221.8712,216.89975,217.346275,207.3175
204.639925,223.413875,208.152875,221.9842,216.91815,217.390375,207.363975
204.66665,223.55685,208.2829,222.066725,216.932325,217.438025,207.4077
204.681625,223.561325,208.3142,222.12345,217.015625,217.51775,207.43125
204.685125,223.659925,208.33145,222.186775,217.0241,217.609375,207.472375
204.7169,223.665975,208.42035,222.301025,217.235175,217.71105,207.502825
204.73415,223.6809,208.4405,222.368575,217.3904,217.805125,207.52185
204.757125,223.730675,208.462825,222.44545,217.42285,217.8367,207.547175
204.804925,223.79605,208.4861,222.51645,217.429175,217.897725,207.57425
204.82325,223.908325,208.566275,222.581675,217.4733,218.013525,207.6048
204.838625,223.93795,208.59395,222.666625,217.493,218.161575,207.625125
204.850575,224.014925,208.614375,222.81715,217.553625,218.2127,207.655725
204.871175,224.119275,208.64385,222.91565,217.5782,218.273025,207.67605
204.8877,224.16485,208.73835,222.9833,217.687625,218.30815,207.6988
204.9046,224.30325,208.779475,223.06045,217.7046,218.35255,207.751475
204.910475,224.357625,208.81185,223.092925,217.712125,218.483725,207.77425
204.9259,224.446,208.84435,223.102925,217.723825,218.6481,207.8039
204.95275,224.46065,208.910725,223.239475,217.736625,218.713175,207.8314
204.976625,224.535575,208.9404,223.353825,217.7425,218.767625,207.849225
204.99235,224.60705,208.95715,223.44105,217.83335,218.7877,207.871125
205.0051,224.69415,208.9785,223.702,217.870025,218.880825,207.924925
205.04665,224.747775,208.99525,223.776375,217.909225,219.06245,207.94925
205.0631,224.868525,209.0327,223.87935,218.208175,219.13315,207.97335
205.074325,224.9173,209.061925,224.01255,218.210275,219.1685,208.022375
205.0897,224.97825,209.11595,224.177925,218.21625,219.20335,208.05165
205.10485,225.05145,209.163375,224.23675,218.311025,219.25295,208.092675
205.136075,225.11055,209.28875,224.31035,218.334575,219.28045,208.1556
205.176125,225.139225,209.31145,224.4464,218.475175,219.467975,208.179825
205.1967,225.169825,209.347525,224.525425,218.5308,219.5854,208.22225
205.2116,225.202975,209.376775,224.589625,218.6316,219.629275,208.25
205.26225,225.296375,209.43205,224.81415,218.733675,219.674725,208.28025
205.278075,225.319025,209.472425,225.004025,218.748525,219.719925,208.306225
205.3509,225.415725,209.5096,225.077775,218.79785,219.76035,208.322575
