SPK_SPKC07b,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC09b
69.12005,35.135475,65.454425,117.257125
69.1624,35.2234,65.585275,117.8165
69.49335,35.2821,65.664325,118.348625
69.5195,35.3315,65.77855,118.60445
69.615275,35.391825,65.91395,118.6718
69.669025,35.434725,66.189375,118.824725
69.703825,35.49945,66.31465,119.08805
69.877025,35.54285,66.527225,119.156725
69.914175,35.5871,66.6429,119.779625
70.038525,35.705075,66.827575,119.85085
70.153325,35.776275,66.88565,120.13065
70.5274,35.838375,66.966025,121.2308
70.934625,35.936275,67.0512,121.3758
70.96505,36.0422,67.109325,121.575775
71.1412,36.07925,67.165325,122.546575
71.2589,36.166675,67.206,122.939625
71.35415,36.194025,67.238575,123.13425
71.48095,36.260675,67.36775,123.313975
71.5659,36.3935,67.7055,123.50835
71.706925,36.55765,67.96915,123.84185
71.7473,36.655975,68.18715,123.9105
71.771975,36.81165,68.263725,123.9918
71.9803,36.86025,68.476525,124.421525
72.062575,37.00665,68.610775,124.51565
73.12935,37.259175,68.8911,126.1513
73.22985,37.39095,69.1846,126.2031
73.345875,37.5045,69.287625,126.249075
73.379925,37.58525,69.360375,126.411225
73.41075,37.696175,69.550675,126.968425
73.424175,37.76685,69.6674,127.4463
73.735275,37.91865,69.803275,127.465375
73.7754,38.014675,69.904025,127.488925
74.077325,38.1763,69.961325,127.73325
74.9785,38.2047,70.00405,127.87125
75.21445,38.242875,70.0661,128.03055
75.347125,38.28395,70.12065,128.310225
75.50165,38.332875,70.319325,128.36185
76.603875,38.380775,70.411325,128.73585
76.77765,38.449775,70.5513,128.807425
76.810525,38.517625,70.6331,128.974275
77.051325,38.530875,70.685325,129.105225
77.3585,38.566025,70.751675,129.511175
77.438175,38.6435,70.877025,130.38755
77.5237,38.712025,71.05425,130.442075
77.5825,38.749275,71.137925,130.497325
77.614175,38.811225,71.675625,130.595875
77.680175,38.8769,71.801275,130.756725
77.7176,39.027275,71.8468,131.05795
77.75185,39.101225,71.910125,131.568725
77.89665,39.1547,71.9887,131.729875
77.9319,39.26965,72.421475,131.939225
77.95415,39.3963,72.599675,132.004275
78.02385,39.446925,73.22405,132.185025
78.140625,39.7212,73.419225,132.350025
78.584775,39.8232,73.49895,132.427775
78.633075,39.9776,73.60565,132.510225
78.68685,40.164,73.88645,132.618525
78.964025,40.230375,74.117525,132.64235
79.0807,40.303925,74.2899,132.839625
79.27125,40.362875,74.39365,132.94875
79.3809,40.4266,74.72,133.1209
79.39505,40.541175,74.962775,133.285075
79.595,40.61705,75.108875,133.418125
79.90825,40.73445,75.411375,133.4929
80.0284,40.927625,75.665775,133.67255
80.32805,41.002425,75.942075,133.7273
80.37705,41.116825,76.032675,134.362125
80.453775,41.244325,76.2508,134.384025
80.686375,41.317575,76.55085,134.405225
80.862675,41.510675,76.6534,134.41705
81.15865,41.5798,76.7271,134.62415
81.1951,41.6854,76.807375,134.793925
81.444825,41.891975,76.855325,135.2642
81.7895,41.95985,76.915975,135.50585
82.061,42.0559,76.9893,135.872425
82.18225,42.154825,77.10195,136.0322
82.422225,42.214275,77.20595,136.20885
82.6549,42.3205,77.271025,136.431725
82.723825,42.481125,77.377925,136.6492
82.775125,42.700675,77.507525,136.749225
82.847575,42.7994,78.30425,137.0261
82.9118,42.865725,78.518,137.130375
83.196625,42.95865,78.610025,137.1694
83.373325,43.05055,78.746975,137.810975
83.623975,43.205025,78.868375,138.319675
83.7849,43.29675,79.110125,138.6471
83.84035,43.365275,79.190475,138.7475
84.058275,43.448475,79.29065,138.9949
84.391,43.602225,79.485775,139.16365
84.4694,43.81295,79.59615,139.41935
84.696275,43.95585,79.806625,139.97065
84.834875,44.056825,79.881875,140.072
84.904075,44.109675,79.99885,140.311275
85.0906,44.40605,80.149775,140.486625
85.1384,44.45155,80.250125,140.58965
85.39695,44.507725,80.4677,140.807675
85.43205,44.76305,80.563675,141.05015
85.511575,44.834175,81.375025,141.4542
85.750825,44.91225,81.4349,141.539175
85.98705,45.04815,81.50125,141.7331
86.0953,45.251425,81.5511,142.19265
86.157325,45.3447,81.7119,142.327675
86.343075,45.416925,81.773375,142.5152
86.8436,45.529375,81.820125,142.6553
86.95655,45.708125,81.847525,142.718
87.0256,45.7541,81.89715,142.90475
87.07275,45.8268,81.95445,143.01865
87.096175,45.983225,82.1308,143.11605
87.234275,46.062625,82.2333,143.166375
87.355,46.28265,82.52,143.18655
87.857375,46.325525,82.731525,143.198
88.17785,46.3804,83.05775,143.4187
88.270575,46.442,83.200125,143.9549
88.393,46.5164,83.275425,144.106775
88.597675,46.581675,83.349775,144.24805
88.63675,46.658125,83.4219,144.376725
88.713575,46.767075,83.48435,144.65735
89.71475,47.0248,83.52235,144.778675
89.93385,47.2161,83.700425,145.061525
90.248025,47.314225,83.807175,145.1151
90.324375,47.366075,83.89035,145.165975
90.48305,47.500775,83.939825,145.395975
90.58415,47.595575,84.0552,145.417825
90.798975,47.656,84.1456,145.7479
91.034775,47.797775,84.30065,146.0987
91.152775,47.8552,85.150625,147.7219
91.19225,47.899625,85.2285,147.7742
91.2622,47.927575,85.271075,148.000275
91.3136,47.9345,85.31975,148.048925
91.467625,48.080975,85.41155,148.146975
91.53715,48.142725,85.5295,148.198725
91.626625,48.182525,85.574375,148.261875
91.706525,48.216975,85.82295,148.46465
91.758875,48.39635,86.03785,148.511925
91.9592,48.4495,86.160975,148.573475
92.0083,48.49855,86.3038,148.718375
92.11425,48.60785,86.446375,148.793175
92.197225,48.7243,86.5533,148.9476
92.24205,48.794375,86.9253,149.089425
92.277925,48.83415,87.1801,149.10775
92.3312,48.96605,87.344,149.1396
92.682875,49.039575,87.471175,149.233625
92.776125,49.188075,87.641725,149.28175
92.833475,49.245825,87.95895,149.308275
92.89575,49.479625,88.3095,149.376
93.064675,49.6765,88.50595,149.3896
93.110675,49.784075,88.7852,149.72815
93.1431,49.925975,88.856775,149.739225
93.2169,50.034725,88.987875,149.811725
93.4327,50.092,89.1571,149.85705
93.469975,50.139575,89.674025,150.025225
93.499375,50.20435,90.410575,150.726125
93.535025,50.2655,90.9093,150.83035
93.5979,50.327725,91.23365,150.98315
93.65425,50.41255,91.349075,151.194725
93.737275,50.490975,91.5185,151.238825
93.83155,50.546675,91.613225,151.4723
93.922525,50.66515,92.739425,151.742925
94.025825,50.76725,93.41425,152.679225
94.12345,50.89325,93.6544,152.776225
94.15795,51.0299,93.82545,153.07305
94.4113,51.08755,93.90085,153.200775
94.5036,51.16625,93.932875,153.717575
95.014025,51.252025,93.98575,154.2525
95.1114,51.285075,94.06385,154.393775
95.168625,51.385325,94.0957,154.69195
95.289225,51.4077,94.209675,154.798475
95.367575,51.446375,94.25405,154.893425
95.398475,51.8696,94.27925,155.041725
95.4543,51.97365,94.345325,155.27385
95.518225,52.071525,94.385325,155.29775
95.83195,52.187075,94.616125,155.3954
95.872375,52.30715,94.6826,155.683625
95.90265,52.4464,94.756675,155.930875
95.94105,52.54495,94.991325,155.988275
96.0628,52.7499,95.852025,156.19335
96.12005,52.838175,96.491525,156.279725
96.334125,52.870925,96.526725,156.747525
96.522875,53.02015,96.57105,156.898275
96.725975,53.104425,96.627225,156.9609
96.866675,53.216625,96.70245,157.590375
97.05615,53.317775,96.769575,157.7842
97.505075,53.372,96.871025,157.959625
97.558875,53.449725,96.95765,158.033075
97.594275,53.510525,97.08855,158.09995
97.679075,53.604225,97.15575,158.288925
97.703575,53.6658,97.37465,158.648625
97.81015,53.730025,97.6089,158.7193
97.85425,53.91255,97.724975,158.950225
97.906675,54.012025,98.61825,159.034175
98.052525,54.0693,99.1565,159.278675
98.15395,54.168925,99.3688,159.32165
98.216,54.237925,99.7874,159.357125
98.276175,54.295,99.942175,159.9342
98.684375,54.431975,100.00835,160.41885
98.715175,54.492225,100.062825,160.775575
98.83595,54.7793,100.1452,160.83795
98.8963,54.93855,100.199725,161.226075
99.0322,55.1558,100.21775,161.63845
99.1053,55.32645,100.24825,161.714
99.156,55.45255,100.2732,161.987525
99.183075,55.54775,100.30015,162.163125
99.223075,55.62375,100.319375,162.415375
99.287875,55.731,100.3547,162.602675
99.366275,55.7951,100.369175,162.67515
99.418975,55.839875,100.415175,162.880625
99.4505,55.956825,100.4669,163.20485
99.68805,56.252225,100.539575,163.38715
99.763175,56.321475,100.632175,163.445775
99.93615,56.370175,100.898275,163.875825
100.1039,56.3735,101.0472,163.99865
100.319525,56.404725,101.1911,164.4023
100.4014,56.471475,101.4141,164.5444
100.454925,56.50675,101.562825,164.727
100.535375,56.59715,101.645225,164.849475
100.7473,56.6886,101.73685,165.39125
100.796825,57.03085,101.7996,165.44795
100.832725,57.1295,101.8463,165.63035
100.95065,57.267525,101.92975,165.9112
101.081925,57.45625,102.064825,165.96905
101.120075,57.552475,102.15225,166.08565
101.444725,57.621275,102.199375,166.139725
101.526025,57.723825,102.341825,166.24415
101.787025,57.7827,102.4319,166.446325
101.882575,57.93425,102.53425,166.4811
102.275575,57.988425,102.658625,166.5143
102.505675,58.068925,102.838075,166.5471
102.5607,58.12205,102.88675,166.61385
102.5855,58.24945,102.94015,166.776225
102.85565,58.49085,103.03445,166.966725
103.012975,58.543375,103.106,167.2001
103.123025,58.6201,103.11775,167.3027
103.18495,58.681125,103.169625,167.46575
103.2138,58.7702,103.27315,167.536475
103.325075,58.7935,103.361025,167.78635
103.382075,58.951175,103.675225,167.831
103.4048,59.0361,103.86245,167.8596
103.51115,59.08415,103.923925,167.9843
103.642475,59.1707,104.0422,168.33785
