SPK_SPKC06a (short excitation),SPK_SPKC09a (no effect),SPK_SPKC14a (weak inhibition)
164.330525,36.874375,23.2025
164.4469,36.9018,23.21305
164.490125,36.9042,23.331575
164.588275,36.935825,23.348875
164.703125,36.958525,23.4136
164.731375,37.063625,23.4418
164.8929,37.083975,23.4651
164.90755,37.101075,23.47525
164.946325,37.11595,23.512
165.473925,37.1664,23.525625
165.515475,37.2249,23.538475
165.526675,37.261025,23.55705
165.5736,37.287375,23.58245
165.62235,37.3441,23.62695
165.659025,37.349975,23.6402
165.6678,37.36805,23.65975
165.671775,37.37825,23.796825
165.74445,37.388075,23.81005
165.975125,37.511325,23.8455
166.117525,37.53515,23.909475
166.832825,37.548275,23.92845
166.834225,37.579975,23.9501
167.1764,37.5949,23.9777
167.207625,37.6069,23.991525
167.372,37.617575,24.021375
167.631175,37.62685,24.055925
167.662775,37.69905,24.072775
168.041875,37.745225,24.0912
168.082575,37.78105,24.10885
168.43305,37.797625,24.123475
168.577925,37.83385,24.14965
168.651275,37.89085,24.17525
168.938175,37.903525,24.213275
169.220175,37.98615,24.2415
169.4652,38.000725,24.256225
170.139675,38.019525,24.264975
170.606575,38.0375,24.385575
170.889375,38.056275,24.419775
171.063275,38.0963,24.484225
171.360475,38.112525,24.508375
171.40145,38.184175,24.5603
171.704325,38.244475,24.656175
171.7256,38.264175,24.682725
171.741125,38.283025,24.71265
171.951675,38.354025,24.73155
172.5076,38.37085,24.770075
172.61655,38.3734,24.771975
172.636225,38.4052,24.78395
172.65035,38.487975,24.806025
172.66585,38.50605,24.821825
173.015275,38.62245,24.8395
173.0226,38.77565,24.8616
173.82245,38.8044,24.873775
173.9096,38.83245,24.9093
174.34735,38.8511,24.986825
174.360075,38.87485,25.04445
174.396525,39.441175,25.06985
174.611625,39.456675,25.08325
174.649575,39.489125,25.0994
174.9402,39.5166,25.118575
175.3854,39.779475,25.129
175.424575,39.8853,25.155575
175.566975,39.908275,25.177825
176.176375,39.944725,25.252425
176.2318,39.98605,25.26395
176.38345,40.04535,25.2906
176.934825,40.0843,25.3348
176.95795,40.104325,25.35885
177.006825,40.178325,25.37365
177.10815,40.29425,25.395625
177.240275,40.37925,25.45045
177.55905,40.461925,25.4782
177.6757,40.49525,25.4981
177.697775,40.517175,25.54015
177.80855,40.5415,25.55915
177.909325,40.61055,25.576075
177.92065,40.682925,25.593625
177.93115,40.7802,25.60675
178.005,40.855775,25.62775
178.237875,40.897625,25.650725
178.3272,40.931775,25.70055
178.355075,40.988325,25.722825
178.457425,41.076325,25.7362
178.674275,41.16045,25.749075
179.466075,41.181225,25.7611
179.508575,41.22145,25.79525
179.560625,41.31405,25.814525
179.691725,41.322175,25.826175
180.190525,41.332225,25.868675
180.38545,41.3667,25.907875
180.49325,41.377175,25.94755
181.28045,41.423625,26.00545
181.52895,41.46505,26.04495
181.761175,41.5095,26.06175
181.886175,41.560575,26.115175
181.969525,41.57195,26.165575
182.13885,41.58515,26.18195
182.73495,41.62825,26.258675
182.859275,41.646825,26.306925
183.059275,41.664725,26.3313
183.534225,41.797425,26.38695
183.826125,41.8485,26.42115
183.8624,41.8632,26.440525
183.93955,41.897025,26.48485
183.98765,42.0476,26.5148
184.002375,42.1247,26.579825
184.073325,42.1667,26.623175
184.1519,42.196825,26.676825
184.3158,42.2052,26.693475
184.3397,42.216075,26.71265
185.098525,42.2655,26.735075
185.14245,42.29455,26.752425
185.239325,42.336875,26.79095
185.25805,42.427525,26.876675
185.44565,42.45295,26.887225
185.458075,42.493725,26.91895
185.61095,42.563725,26.93695
186.281775,42.5792,26.95975
186.4606,42.620675,26.983975
186.548225,42.66665,27.022875
186.577525,42.689575,27.0464
186.7444,42.7109,27.10525
186.76305,42.756,27.118775
186.7874,42.795975,27.147925
186.80855,42.81105,27.210625
187.22305,42.84765,27.2609
187.460775,42.900225,27.334025
187.602475,42.922825,27.3832
187.744175,42.9579,27.403475
187.7636,42.969775,27.4202
188.086275,42.982675,27.52675
188.1313,42.98445,27.546675
188.156425,43.009375,27.559475
188.43695,43.0545,27.575175
188.70835,43.121575,27.5839
188.8497,43.158,27.650625
189.099025,43.19065,27.68245
189.105625,43.399625,27.7548
189.429425,43.457025,27.771575
189.515325,43.53645,27.8053
189.538575,43.568625,27.8521
189.551025,43.604975,27.873
189.559375,43.815225,27.90495
189.580325,43.853075,27.920825
189.6768,43.869175,27.97015
189.7491,43.8901,27.9856
190.023,43.927325,28.002225
190.07975,43.9629,28.017
190.12935,43.97685,28.027275
190.415025,44.0953,28.049425
190.503975,44.098125,28.061025
190.543325,44.12575,28.1245
190.9243,44.1499,28.133775
191.079625,44.1579,28.1699
191.205025,44.303275,28.1799
191.421975,44.3312,28.2064
191.98465,44.35305,28.234775
192.0809,44.371675,28.292875
192.17195,44.3917,28.32395
192.19125,44.435625,28.334625
192.2681,44.479625,28.352025
192.29445,44.492275,28.361175
192.3922,44.498075,28.4063
192.761825,44.527875,28.4157
192.7729,44.589725,28.530475
193.23755,44.62925,28.550575
193.495325,44.7,28.63455
193.700825,44.837575,28.643025
193.81,44.885675,28.7772
194.147275,44.906825,28.792075
194.3527,44.9274,28.845525
194.46355,44.95765,28.867575
194.65385,44.9886,28.8977
194.689,45.04625,28.91935
194.74165,45.08045,28.958225
194.769575,45.11965,28.982725
194.845575,45.159275,28.99745
194.901175,45.1756,29.01605
194.93345,45.27495,29.035725
195.01285,45.28945,29.057525
195.465375,45.381375,29.07585
195.50935,45.47965,29.085725
195.5366,45.518625,29.12255
195.631525,45.554025,29.14465
195.7319,45.6983,29.159475
195.7797,45.715075,29.234
195.799475,45.793425,29.260375
196.120975,46.013,29.3136
196.37235,46.0362,29.373125
196.5949,46.053175,29.4018
196.678075,46.0763,29.4624
196.852975,46.1858,29.479675
196.962675,46.2342,29.4902
197.0726,46.274375,29.51565
197.6862,46.32905,29.52475
197.9359,46.362575,29.60005
198.14325,46.39865,29.629375
198.62,46.400125,29.651225
198.77665,46.46035,29.67695
198.808025,46.478625,29.70525
198.98365,46.50195,29.7241
199.1876,46.53565,29.760175
199.530725,46.561325,29.792925
199.827275,46.598575,29.80285
199.8714,46.647575,29.81995
199.968225,46.662675,29.84485
200.16715,46.696675,29.8556
200.188425,46.720275,29.876275
200.1916,46.778,29.92535
200.207075,46.796175,29.944075
201.2643,46.868225,29.98985
201.366275,46.944825,30.0328
201.41345,46.9572,30.0505
201.45455,47.030075,30.073825
201.90385,47.1307,30.138775
202.0692,47.148675,30.165275
202.179825,47.24025,30.229875
202.33975,47.261725,30.254075
202.455625,47.286125,30.283625
202.583525,47.325,30.30665
202.8561,47.351475,30.324625
202.890725,47.373675,30.347
203.073825,47.383175,30.4366
203.251675,47.4049,30.461825
203.278675,47.44845,30.4781
203.4692,47.457575,30.505
203.762875,47.5174,30.526175
204.075425,47.55085,30.547125
204.377775,47.57095,30.56745
204.41995,47.579825,30.5786
204.49735,47.6222,30.606375
204.5518,47.697525,30.66195
204.88045,47.718025,30.678575
204.88875,47.761575,30.68805
205.08405,47.84605,30.68935
205.16385,47.90895,30.698375
205.176075,47.9293,30.72615
205.55365,48.079725,30.74315
205.57555,48.0938,30.778275
205.619875,48.107,30.841375
206.1102,48.118375,30.89405
206.172775,48.131075,30.89945
206.2435,48.14705,30.918825
206.273475,48.180225,30.925675
206.330325,48.299575,31.036425
206.652725,48.321925,31.07505
206.897575,48.341075,31.17
207.150875,48.356025,31.1839
207.42125,48.432025,31.26
207.5916,48.4886,31.277275
207.60995,48.525975,31.32215
207.6753,48.5991,31.334575
207.69545,48.746675,31.432625
207.767375,48.763075,31.44465
207.9237,48.79135,31.512975
207.985525,49.06495,31.5417
208.056075,49.202725,31.56545
208.07225,49.215675,31.661225
208.113725,49.384675,31.673425
208.160375,49.403375,31.693875
208.17845,49.418525,31.7323
208.382325,49.465525,31.775575
208.75965,49.4767,31.791925
209.212375,49.546275,31.812525
209.269675,49.737725,31.83875
209.332075,49.7467,31.850825
210.00905,49.792425,31.91875
210.0691,49.802375,31.952675
210.276,49.8131,31.97985
210.48555,49.827875,31.9945
210.6189,49.83885,32.018775
210.751725,49.8507,32.069475
210.8003,49.882775,32.08635
210.812375,50.00105,32.099625
210.9425,50.0099,32.11375
211.229925,50.057325,32.125725
211.330575,50.1069,32.21025
211.41655,50.1354,32.233225
