SPK_SPKC01a (NA),SPK_SPKC01b (weak inhibition),SPK_SPKC03a (no effect),SPK_SPKC07a (excited),SPK_SPKC09a (excited),SPK_SPKC12a (no effect),SPK_SPKC13a (inhibited),SPK_SPKC16a (inhibited)
6.8791,25.1225,59.2388,6.7615,6.497775,27.199425,3.241575,23.8443
6.904925,25.14345,59.316925,6.83015,6.519525,27.5076,3.26095,23.954
6.98205,25.22605,59.51185,6.88285,6.55365,27.583175,3.280225,24.08795
7.02585,25.265225,59.868075,6.91295,6.576,27.739375,3.2882,24.277625
7.06965,25.37485,59.9611,6.9545,6.590875,27.815925,3.299375,24.29535
7.093825,25.4656,59.9869,6.984775,6.61145,27.825975,3.3066,24.4497
7.15125,25.62745,60.0995,7.013275,6.693475,27.929275,3.325875,24.507825
7.19805,25.883325,60.340075,7.055975,6.712325,28.016575,3.346075,24.520725
7.2701,26.148375,60.3815,7.091925,6.73055,28.2193,3.3622,24.5484
7.291575,26.21115,60.7202,7.11255,6.747675,28.286175,3.37565,24.63335
7.333275,26.26925,60.874075,7.146525,6.761425,28.298325,3.379775,24.6655
7.4657,26.34005,61.11165,7.1704,6.763925,28.312275,3.396325,24.740325
7.507625,26.5521,61.175925,7.212575,6.78175,28.3316,3.40875,24.790925
7.525625,26.816125,61.19015,7.30545,6.794825,28.6151,3.423075,25.0118
7.540125,27.1941,61.207025,7.348725,6.816675,28.6591,3.454025,25.194475
7.5595,27.36775,61.397075,7.4727,6.88615,28.8555,3.48025,25.225675
7.6211,27.599375,61.991025,7.530925,6.943225,29.04335,3.52085,25.383175
7.6501,27.796775,62.381175,7.578075,6.9475,29.102375,3.55425,25.39785
7.673125,27.898975,62.590625,7.628675,6.95445,29.10555,3.5709,25.407
7.724425,28.095725,62.6941,7.720475,7.116725,29.1148,3.58015,25.458575
7.7796,28.5745,63.26935,7.840675,7.2359,29.47565,3.61305,25.709625
7.834875,28.64005,63.4102,7.870025,7.253175,29.5924,3.63665,25.79255
7.875525,28.879225,63.7385,7.894325,7.272975,29.692775,3.659225,25.926775
7.901975,29.2809,64.0758,7.917475,7.3027,29.826725,3.68225,26.16855
7.93165,29.899275,64.25005,7.947525,7.3461,29.8608,3.71055,26.169725
7.9519,30.118825,64.25205,7.983225,7.41665,30.056575,3.7322,26.236675
7.977475,30.22935,64.31345,8.03475,7.4524,30.092425,3.763475,26.3233
8.09165,30.391725,64.3855,8.152625,7.50735,30.1878,3.784725,26.4363
8.161525,30.39905,64.591625,8.228075,7.53085,30.391075,3.80025,26.483625
8.2356,30.4618,64.63885,8.274,7.557625,30.4585,3.815475,26.494675
8.276125,30.617125,64.91285,8.31505,7.576725,30.607225,3.840225,26.612625
8.316675,30.643175,65.60755,8.3594,7.596125,30.70845,3.880875,26.905125
8.370975,30.749875,65.66235,8.421525,7.645825,30.7122,3.909675,26.9298
8.42035,30.92965,65.710125,8.483625,7.662025,30.780325,3.943925,27.319575
8.451825,31.3484,65.75695,8.53505,7.712275,31.1627,3.96765,27.485225
8.484375,31.783125,65.900575,8.58365,7.731225,31.165025,4.0001,27.6103
8.5041,32.1591,65.9584,8.6218,7.7715,31.39025,4.012875,27.667675
8.544675,32.46655,66.61035,8.721,7.8351,31.571475,4.02955,27.7392
8.61935,32.5031,66.646825,8.756525,7.87505,31.646975,4.042075,27.852675
8.706475,32.6637,67.019175,8.8366,7.935225,31.776525,4.062675,27.977825
8.732375,33.47315,67.80675,8.87125,8.00115,31.847275,4.07485,27.990225
8.75945,33.5757,67.87505,8.908825,8.022925,31.857775,4.092575,28.137525
8.841975,33.718275,67.9206,8.9483,8.124575,31.8788,4.10495,28.27425
8.910625,33.78385,67.9521,8.979725,8.1324,32.08895,4.122575,28.2934
8.99585,33.903975,68.20365,9.012775,8.152575,32.10585,4.142875,28.582475
9.007,33.9779,68.304475,9.053625,8.240725,32.291575,4.159975,28.748075
9.0766,34.2494,68.3415,9.102375,8.2724,32.3148,4.17345,28.81425
9.114025,35.175025,68.694975,9.150375,8.33695,32.357025,4.194025,28.823825
9.164975,35.26255,69.2488,9.1842,8.412425,32.370375,4.20345,28.847225
9.225175,35.284,69.678075,9.245375,8.525675,32.417425,4.21615,29.084075
9.258275,35.321725,69.81155,9.30895,8.693575,32.4353,4.22095,29.112375
9.27505,35.67265,70.317375,9.372775,8.70705,32.609175,4.236025,29.177975
9.356525,35.89075,70.4299,9.405225,8.744025,32.650625,4.2432,29.393125
9.383475,35.9274,70.460275,9.44145,8.791975,32.658275,4.272,29.412
9.413675,35.960875,70.6777,9.489025,8.807875,32.7288,4.282025,29.6488
9.433825,36.039375,70.85135,9.62315,8.8712,32.964175,4.302325,29.825025
9.474975,36.145675,71.07875,9.6579,8.978025,33.00445,4.349225,29.8905
9.536775,36.2098,71.282,9.690825,8.97965,33.03235,4.3855,29.976625
9.576675,36.28025,71.3202,9.7299,9.0092,33.05815,4.400675,30.0217
9.616875,36.31485,71.887375,9.7544,9.05605,33.069825,4.411925,30.396275
9.662525,36.456825,73.6095,9.775275,9.081575,33.075175,4.46135,30.5722
9.737875,36.64815,73.632925,9.80065,9.12605,33.100075,4.507425,30.59275
9.78905,36.87875,73.982425,9.8423,9.14745,33.1072,4.698,30.7234
9.831875,36.99765,74.7937,9.8964,9.1657,33.183125,4.7294,30.8216
9.860225,37.13405,74.9206,9.962875,9.17865,33.2774,4.745625,30.917725
9.899925,37.2225,74.995125,10.061575,9.19915,33.555175,4.7568,30.932525
9.917675,37.372075,75.31875,10.10085,9.23425,33.5846,4.781,31.189425
9.95655,37.509,75.3594,10.1505,9.2973,33.591775,4.800525,31.19685
9.983225,37.531975,75.50175,10.2138,9.3174,33.69645,4.809325,31.25875
10.00195,37.596075,75.70305,10.251575,9.352625,33.710625,4.8168,31.39905
10.0531,37.645325,75.881125,10.316425,9.39805,33.7331,4.818825,31.5237
10.0988,37.69115,76.1133,10.38195,9.420925,33.7651,4.82295,31.5781
10.132725,37.792375,76.2728,10.4523,9.530475,33.797125,4.82565,31.6119
