SPK_SPKC01a (NA),SPK_SPKC05a (excited),SPK_SPKC05b (no effect),SPK_SPKC05c (NA),SPK_SPKC07a (inhibited),SPK_SPKC13a (excited)
17.485625,114.37035,19.617575,9.14015,10.723075,5.009325
17.637475,115.139125,19.66925,9.2083,10.752575,5.04175
17.7033,115.163125,19.785,9.219025,10.7852,5.059175
17.770425,115.636525,19.834875,9.220125,10.7978,5.069625
17.7867,115.7686,19.881625,9.240825,10.8287,5.08255
17.81245,116.5745,19.9002,9.2852,10.868325,5.098275
17.911375,116.773875,19.91765,9.3055,10.90755,5.1101
18.00115,116.8205,19.944025,9.307675,10.9143,5.122475
18.089475,117.371725,19.9719,9.391575,10.97745,5.1353
18.18905,119.7608,20.191825,9.40665,11.0106,5.148525
18.2396,119.7698,20.42335,9.444925,11.08755,5.18445
18.33965,120.5809,20.436175,9.47745,11.0927,5.189825
18.345675,121.079725,20.63865,9.52605,11.09775,5.19965
18.372,122.004875,20.703175,9.5417,11.172275,5.21615
18.596625,122.80305,20.725675,9.562825,11.17765,5.218325
18.71155,122.82445,20.7676,9.57615,11.268975,5.251975
18.74735,123.616825,20.8286,9.635825,11.295375,5.269225
18.83245,123.62725,20.935675,9.64905,11.32895,5.2854
18.9027,123.672,21.066925,9.7311,11.3492,5.3024
18.970525,126.44015,21.17235,9.7642,11.489425,5.31905
19.00115,126.925125,21.231625,9.794225,11.679275,5.331425
19.340425,127.32555,21.333825,9.804825,11.688025,5.34555
19.35135,127.511,21.44185,9.865925,11.693675,5.35805
19.4444,129.275225,21.541425,9.873925,11.704475,5.38085
19.68085,129.53405,21.6079,9.934575,11.7125,5.3917
19.871775,130.31465,21.81455,9.949025,11.733275,5.393075
19.963625,130.845675,21.89485,9.969975,11.77785,5.4055
20.089325,131.31095,22.0575,10.0068,11.8845,5.42065
20.1063,131.929825,22.16495,10.0615,11.9466,5.4308
20.147275,132.85865,22.22815,10.09585,12.0208,5.4607
20.172775,132.90845,22.27635,10.13335,12.0247,5.477125
20.3689,134.63895,22.314425,10.1447,12.0466,5.49465
20.383375,135.988175,22.353825,10.1517,12.1328,5.514975
20.41075,136.52805,22.382575,10.1665,12.149875,5.535725
20.466975,136.609625,22.405375,10.18025,12.360475,5.54785
20.64005,137.3412,22.446875,10.24585,12.378325,5.56475
20.65545,137.414575,22.477825,10.28525,12.408025,5.586
20.689,137.56465,22.5122,10.3268,12.4421,5.61095
20.726325,137.6121,22.5576,10.34785,12.4602,5.64115
20.771225,137.6582,22.598775,10.41215,12.502125,5.658025
21.05605,137.703425,22.626425,10.443775,12.590575,5.6821
21.078675,137.806625,22.7738,10.4579,12.708375,5.70295
21.20405,138.07945,22.8738,10.476925,12.7324,5.71925
21.34205,138.1344,22.89855,10.514625,12.817475,5.739775
21.378375,138.1901,23.016825,10.534475,12.825075,5.774025
21.3943,138.2236,23.068675,10.58355,12.83015,5.794675
21.42695,138.91675,23.1381,10.612275,12.839825,5.8147
21.48535,139.061675,23.2474,10.671425,12.851475,5.86245
21.530125,140.62605,23.31325,10.7078,12.9211,5.8854
21.57555,141.053125,23.354975,10.7538,12.948575,5.903075
21.6526,141.110375,23.377825,10.850375,13.03185,5.921075
21.727075,142.079875,23.4323,10.91075,13.10395,5.9363
21.818475,142.543175,23.479525,10.99195,13.280875,5.952275
21.880925,142.80405,23.482625,11.0363,13.3046,5.967625
21.930825,143.369225,23.5249,11.0629,13.335975,5.979525
22.04415,143.780025,23.602625,11.087075,13.406775,5.9981
22.321875,144.04095,23.66785,11.0943,13.502475,6.0127
22.50535,144.051925,23.66895,11.10225,13.56495,6.02335
22.51995,144.10045,23.7119,11.122925,13.608975,6.026325
22.530825,144.9357,23.727225,11.1432,13.755525,6.042
22.662175,145.55785,23.8107,11.159675,13.781125,6.057775
22.78185,147.434125,23.8807,11.189825,13.813125,6.09325
22.87495,147.50565,23.8838,11.222575,13.910675,6.110725
22.913775,147.95385,24.0114,11.23375,13.936275,6.1457
22.93195,148.27115,24.11245,11.27795,14.011125,6.165
23.077875,148.547525,24.1873,11.30275,14.035475,6.179925
23.135125,148.795175,24.336425,11.3626,14.081375,6.19495
23.169925,148.9652,24.39805,11.4718,14.16355,6.19665
23.182825,150.46215,24.46155,11.5013,14.313475,6.241725
23.22855,151.1491,24.598325,11.5358,14.3216,6.27025
