SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC13a,SPK_SPKC15a
110.459525,104.2155,112.0892,106.550375,105.2818,132.1822,104.90935,109.2258
110.483725,104.254925,112.10675,106.59295,105.307075,132.241775,104.945525,109.2924
110.5266,104.3052,112.1162,106.60855,105.3296,132.271025,104.9635,109.327375
110.583075,104.342325,112.117875,106.640775,105.35395,132.313575,104.980875,109.354625
110.6239,104.369325,112.133875,106.66385,105.39895,132.463775,105.00335,109.385425
110.6354,104.374675,112.15825,106.692875,105.417925,132.569775,105.017525,109.409825
110.649225,104.4005,112.184175,106.70095,105.431825,132.633075,105.03,109.433375
110.6729,104.413275,112.221125,106.7153,105.448675,132.708675,105.048375,109.486575
110.708275,104.439325,112.3166,106.735,105.475,132.7812,105.070975,109.5124
110.720075,104.455625,112.359225,106.739425,105.490425,132.908375,105.101725,109.5424
110.733425,104.4737,112.397325,106.745375,105.511075,132.963,105.1294,109.577
110.748075,104.47965,112.444625,106.7784,105.530175,133.03075,105.164575,109.654625
110.767225,104.4916,112.501575,106.81195,105.552725,133.0679,105.191975,109.6893
110.79155,104.4948,112.57235,106.845725,105.569275,133.111225,105.218225,109.70605
110.802825,104.505975,112.641775,106.873925,105.58275,133.368575,105.300875,109.755725
110.829875,104.52355,112.700325,106.8978,105.59705,133.49785,105.3133,109.783775
110.85695,104.531425,112.7442,106.928,105.61725,133.513925,105.327025,109.803825
110.883275,104.54195,112.798925,106.956425,105.635975,133.615525,105.345775,109.820325
110.92285,104.556275,112.8397,107.013725,105.6506,133.64325,105.3841,109.844175
110.960525,104.580175,112.863725,107.037475,105.674325,133.676125,105.407925,109.87855
110.994825,104.589275,112.9018,107.080375,105.693025,133.75145,105.434575,109.9011
111.0448,104.602325,112.939375,107.099775,105.703425,133.831125,105.458425,109.920175
111.141475,104.63495,113.008225,107.150075,105.71575,133.9462,105.4829,109.950375
111.1785,104.6491,113.076375,107.184225,105.739475,133.9792,105.515525,109.96985
111.2416,104.676975,113.1355,107.2024,105.752275,134.12355,105.532675,109.989625
111.2703,104.6892,113.18015,107.237175,105.76745,134.192,105.573275,110.0163
111.282275,104.700575,113.30805,107.2434,105.7889,134.1934,105.5958,110.044225
111.29385,104.703275,113.475,107.2687,105.80935,134.404175,105.61545,110.0659
111.3087,104.7091,113.49415,107.316325,105.838675,134.70595,105.62225,110.090025
111.33595,104.75615,113.500025,107.33885,105.87025,134.948575,105.65005,110.109875
111.358925,104.76845,113.573725,107.359975,105.897325,135.123725,105.6746,110.169725
111.374525,104.78185,113.61725,107.406375,105.925975,135.194125,105.695925,110.213
111.434375,104.79185,113.654275,107.472,105.94305,135.3652,105.71725,110.2471
111.4611,104.802075,113.690425,107.5071,105.962475,135.4593,105.734375,110.263725
111.4734,104.812925,113.736275,107.53525,105.994125,135.73445,105.749425,110.301725
111.4896,104.8682,113.766275,107.56155,106.0107,136.0022,105.759175,110.34235
111.5001,104.88345,113.808475,107.594775,106.0368,136.299125,105.7805,110.376575
111.511825,104.885025,113.84855,107.634225,106.062825,136.378725,105.82375,110.396325
111.52785,104.9262,113.890675,107.6716,106.084475,136.5124,105.879925,110.4117
111.553175,104.9337,113.934875,107.69705,106.1183,136.6264,105.90755,110.4373
111.5575,104.953425,114.0498,107.723075,106.1359,136.872225,105.929425,110.473125
111.56785,104.976725,114.086525,107.821175,106.14615,136.951125,105.94735,110.496225
111.602625,104.986225,114.1264,107.840475,106.157375,137.0607,105.97135,110.543
111.62705,105.0058,114.17085,107.8641,106.1739,137.10745,105.9927,110.57995
111.63925,105.012075,114.21705,107.866225,106.188475,137.112575,106.017625,110.63165
111.7151,105.037075,114.2627,107.88425,106.2067,137.460175,106.026975,110.662325
111.749875,105.073925,114.321125,107.908,106.22245,137.682875,106.035125,110.70235
111.789125,105.084975,114.3677,107.943825,106.24275,137.73175,106.048425,110.737225
111.7995,105.1139,114.41865,107.96565,106.255625,137.7542,106.07315,110.77415
111.83045,105.1473,114.462425,107.9859,106.276,137.758325,106.09845,110.795325
111.84485,105.1576,114.514375,107.991075,106.289075,137.95935,106.132875,110.80665
111.863175,105.1805,114.557425,108.04475,106.306575,137.9664,106.149725,110.852325
111.90815,105.196025,114.65025,108.052725,106.320475,138.227825,106.1646,110.8783
111.924475,105.208725,114.726125,108.090875,106.3351,138.37585,106.192325,110.92925
111.977675,105.23,114.820975,108.117825,106.36275,138.620575,106.214425,110.943625
112.004825,105.2451,114.8742,108.134025,106.3752,138.94555,106.243325,110.993325
112.0065,105.25575,114.93795,108.157975,106.385075,139.038575,106.268925,111.019675
112.017425,105.26685,114.97845,108.1773,106.39795,139.20225,106.280125,111.05655
