SPK_SPKC04b (inhib),SPK_SPKC07a (inhi),SPK_SPKC12a (inh),SPK_SPKC15b (inh)
132.00605,191.975925,130.618025,75.59015
132.06375,192.004875,130.7958,75.60735
132.152875,192.04725,131.170275,75.69275
132.471825,192.078475,131.6415,75.8117
132.88905,192.220825,131.670325,75.848425
133.113275,192.247075,131.723,75.899175
133.162975,192.332425,132.006025,75.970875
133.23215,192.371975,132.06375,76.02415
133.505425,192.424475,132.106025,76.199875
133.54825,192.4807,132.152875,76.358
133.59635,192.681125,132.4718,76.485175
133.9762,194.155975,132.889025,76.529075
134.228175,194.181675,133.113275,76.578575
134.295275,194.2677,133.16295,76.627825
134.68595,194.69275,133.232125,76.687375
134.702475,194.80965,133.505425,76.7516
135.176325,194.9544,133.54825,76.818175
135.666275,195.476125,133.59635,76.853625
135.7355,195.56065,133.976225,76.894975
135.9882,195.57105,134.228175,76.9586
135.9962,195.6141,134.29525,77.026475
136.030675,195.639225,134.640625,77.05465
136.55475,195.652,134.685925,77.118925
136.805325,195.874675,134.702475,77.230325
137.680575,196.1829,135.176325,77.374375
138.464575,196.3053,135.666275,77.469875
138.541025,196.340825,135.7355,77.499275
139.02115,196.374825,135.996175,77.53185
139.053475,196.426775,136.030675,77.813225
139.11165,196.883425,136.55475,78.014025
139.150425,197.75065,136.805325,78.0352
139.20365,198.4691,137.680575,78.113725
139.277075,198.4892,138.464575,78.377525
139.4936,198.52845,138.541025,78.424375
139.6716,,139.02115,78.47285
140.09745,,139.05345,78.5243
140.236125,,139.11165,78.60815
140.253575,,139.150425,78.63025
140.29945,,139.20365,78.676025
140.592375,,139.27705,78.707025
140.6955,,139.493575,78.80955
140.876425,,139.6716,78.884025
141.06855,,140.09745,79.0498
141.521575,,140.2361,79.1238
142.313475,,140.253575,79.195225
142.79135,,140.299425,79.2595
142.975275,,140.41255,79.332675
143.08905,,140.592375,79.3933
143.60875,,140.6955,79.4722
144.0791,,140.876425,79.579475
144.415175,,141.068525,79.789925
144.439875,,141.52155,79.828525
144.475925,,142.31345,79.922375
144.8987,,142.79135,79.97345
144.935525,,142.8741,80.01675
145.347325,,142.975275,80.1476
145.91595,,143.089025,80.1794
146.429975,,143.60875,80.240125
146.54915,,144.0791,80.274225
146.76155,,144.415175,80.2973
147.0052,,144.439875,80.4185
147.054975,,144.475925,80.4801
147.327225,,144.8987,80.504125
148.1383,,144.935525,80.54535
148.48355,,144.9878,80.5594
148.63115,,145.347325,80.5812
149.053925,,145.91595,80.64765
149.3575,,146.429975,80.6933
149.8089,,146.54915,80.7281
149.8318,,146.76155,80.786875
149.95065,,147.005175,80.861025
150.0948,,147.05495,80.909825
150.379525,,147.327225,80.9726
150.85635,,148.1383,81.028925
151.539675,,148.4416,81.104525
151.562425,,148.48355,81.1446
151.5834,,148.631125,81.20195
152.842325,,149.053925,81.241825
152.913475,,149.3575,81.296525
153.291575,,149.8089,81.340425
153.350525,,149.831775,81.51785
153.406275,,149.89465,81.56765
153.7651,,149.92965,81.656225
155.01445,,149.95065,81.701725
