SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC14a,SPK_SPKC16a
36.2901,18.95105,148.38155,140.1247,130.401625,27.727525,24.1766
36.3497,19.019575,148.6478,140.250075,130.71575,27.785825,24.239075
36.423825,19.23685,149.25965,140.302775,131.1896,28.20455,24.253025
36.4893,19.2734,149.281975,140.343825,133.1069,28.2401,24.272
36.51685,19.3336,149.557025,140.756275,133.4629,28.24625,24.2883
36.90055,19.397075,149.87455,140.804425,133.614875,28.28355,24.292925
37.2235,19.454325,150.085125,140.873625,133.74515,28.35625,24.31915
37.28855,19.522375,150.583525,141.17745,134.378675,28.442525,24.649575
37.4297,19.620375,151.282875,141.4114,134.6403,28.5781,24.720375
37.485875,19.74955,151.344225,141.731275,134.780675,28.768625,24.7892
37.953075,19.8331,151.7928,141.902875,134.967075,28.819875,24.93
38.172725,19.993125,151.85955,141.947325,135.2288,28.842125,25.020175
38.282175,20.04525,156.1906,142.2431,135.4608,28.92255,25.049025
38.3948,20.126725,156.7769,142.821475,135.952925,29.05455,25.19315
38.4572,20.328775,156.9506,142.90425,137.2848,29.089875,25.24705
38.708975,20.36785,157.5847,143.577075,137.953675,29.21475,25.277875
38.7716,20.5056,157.7567,143.830725,138.0513,29.278575,25.7596
38.8462,20.5448,157.866875,143.936075,138.44925,29.390575,25.8441
39.022775,20.6373,158.499225,144.24135,139.32775,29.498175,26.03995
39.17345,20.735025,160.07385,145.102175,139.721275,29.543925,26.11145
39.5655,20.803625,160.1183,145.266425,139.76985,29.58955,26.17175
39.734975,20.855675,160.19385,145.36675,140.19275,29.69135,26.209025
39.93545,20.953725,162.3716,145.60885,140.377875,29.857425,26.249725
40.01005,21.010975,162.636325,146.863975,142.5701,29.8966,26.281
40.22685,21.081225,164.3425,147.406675,142.83395,29.952,26.330425
40.375475,21.1659,164.39345,147.7263,143.1124,29.99085,26.421425
40.4863,21.39005,166.74425,148.06385,143.989325,30.008925,26.495825
40.523475,21.568625,166.886825,149.57625,144.764325,30.0765,26.6494
40.663875,21.611375,170.41205,150.0471,146.40885,30.0926,26.8017
41.010575,21.648175,171.064725,150.158975,146.46135,30.117775,26.879225
41.064875,21.67515,171.3598,150.19485,147.477575,30.6482,26.91215
41.405175,21.857125,171.4289,150.2891,147.509125,30.6749,26.98195
41.459925,22.030175,172.5317,150.452875,147.7234,30.715975,27.049675
41.585525,22.083075,173.747625,150.563875,147.7673,31.006275,27.117225
41.643925,22.1154,174.9419,150.908625,148.11465,31.0481,27.164575
41.6831,22.16825,175.355275,151.2816,149.11125,31.06485,27.33875
41.75285,22.209725,175.475425,151.305025,149.6266,31.0905,27.3565
41.88005,22.249825,175.50305,151.47775,150.517875,31.1027,27.647025
42.4005,22.4317,177.002775,151.6795,150.662725,31.1491,27.697425
42.473525,22.5002,177.636675,152.214,151.0532,31.4831,27.77965
42.5357,22.552425,179.996475,152.577125,151.318875,31.524475,27.82715
42.644775,22.6741,180.6017,152.622675,151.398275,31.630025,27.838075
42.823575,22.7297,181.31015,152.812425,151.891575,31.741625,28.1759
42.857925,22.841625,182.8034,153.099825,152.35585,31.798825,28.1917
42.977775,22.880475,183.056,153.25375,152.590675,31.97885,28.2663
42.99535,22.980025,185.34435,153.3315,152.681375,32.0247,28.352225
43.3448,23.129925,186.17605,153.367225,152.767325,32.0347,28.5713
43.424625,23.247675,186.63125,153.4429,153.398275,32.045225,28.613225
43.735975,23.343775,186.869625,153.964575,153.450625,32.151175,28.737975
43.9186,23.404425,187.002275,154.089375,153.711625,32.2715,28.9684
43.977375,23.4731,188.2936,154.178075,154.12335,32.28395,28.9732
44.300325,23.8593,188.32865,154.558575,154.946625,32.337825,28.984575
