SPK_SPKC09c (exc),SPK_SPKC11a (exc),SPK_SPKC13a (exc),SPK_SPKC13b (inhib)
824.214275,807.97425,805.035075,806.461
824.38305,808.02155,805.2844,806.477775
824.5,808.0398,805.30945,806.492475
824.680575,808.068725,805.32995,806.499275
824.769275,808.14355,805.345725,806.540375
824.838175,808.168775,805.361025,806.593725
824.933175,808.199325,805.38005,806.62465
825.026825,808.27585,805.39195,806.675875
825.204375,808.3429,805.425725,806.72695
825.26435,808.437,805.4479,806.7651
825.414825,808.49275,805.484875,806.780625
825.55585,808.5337,805.5095,806.8508
825.67615,808.5583,805.544925,806.872275
825.791275,808.584125,805.562575,806.891375
826.006175,808.60465,805.5743,806.9307
826.1167,808.640375,805.5775,806.956525
826.26315,808.723625,805.5968,806.989775
826.503425,808.8359,805.6222,807.038975
826.525575,808.896225,805.638875,807.058325
826.823575,808.924225,805.64925,807.0865
826.83395,808.95545,805.6638,807.147825
826.981275,809.005225,805.674,807.205125
827.121075,809.059425,805.7403,807.225775
827.139425,809.1521,805.771075,807.2729
827.2226,809.1821,805.78415,807.286275
827.53745,809.193175,805.804275,807.332325
827.765525,809.252325,805.820625,807.359425
827.8733,809.272275,805.824525,807.375825
827.975225,809.2902,805.8408,807.39995
828.01135,809.321875,805.864,807.422675
828.137875,809.3722,805.913275,807.46615
828.138975,809.405575,805.9316,807.4869
828.4189,809.4404,805.980475,807.52095
828.535925,809.4764,806.02045,807.549825
828.628275,809.5081,806.062975,807.563525
828.749025,809.69435,806.081025,807.577725
829.213225,809.742475,806.15405,807.589775
829.2155,809.7557,806.164525,807.604075
829.42255,809.768425,806.244925,807.621225
829.4407,809.8224,806.250475,807.64185
829.5431,809.866225,806.3588,807.67805
829.68825,809.9176,806.4554,807.72975
829.822375,809.99335,806.506925,807.78215
829.959125,810.02305,806.513125,807.79735
830.06315,810.04585,806.52655,807.824325
830.12465,810.065075,806.542525,807.855425
830.25305,810.099275,806.563175,807.9237
830.36755,810.143075,806.6132,807.960475
830.421325,810.177975,806.626825,807.9822
830.576875,810.281625,806.6416,808.004175
830.66585,810.2941,806.680725,808.01835
830.826125,810.38215,806.7478,808.048
830.915375,810.417375,806.789825,808.080075
831.07415,810.5578,806.809825,808.113925
831.10925,810.665525,806.8423,808.156375
831.16115,810.741,806.85345,808.17975
831.27395,810.7842,806.88985,808.2018
831.55655,810.82515,806.93765,808.2539
831.6665,810.848775,806.9555,808.269425
831.745375,810.86635,806.97375,808.29385
831.828075,810.901925,807.002825,808.33365
831.94995,810.92285,807.0697,808.353125
831.979975,810.937975,807.083075,808.37525
832.06685,810.95885,807.145975,808.3924
832.17205,810.988575,807.15885,808.432975
832.453725,811.048775,807.189225,808.45205
832.64355,811.101225,807.19315,808.473275
832.786675,811.1437,807.21125,808.4862
832.936325,811.224225,807.325175,808.50315
832.989475,811.338625,807.41475,808.537625
833.14135,811.412925,807.43455,808.562775
833.268875,811.4784,807.511525,808.582975
833.5113,811.506825,807.591425,808.6006
833.52725,811.5324,807.607875,808.6053
833.640175,811.570375,807.642875,808.62585
833.7538,811.628425,807.712875,808.642325
833.808175,811.713675,807.717825,808.65555
833.8546,811.7675,807.764475,808.675725
833.96865,811.82445,807.785175,808.715575
834.105475,811.855675,807.8072,808.741825
834.214325,811.8855,807.8355,808.76835
834.2914,811.917375,807.869125,808.793975
834.43315,811.94705,807.881475,808.83695
834.5644,811.974075,807.8949,808.843425
834.673075,812.05855,807.9267,808.8656
834.75965,812.1269,807.938725,808.88055
834.92345,812.310475,807.979575,808.89945
834.947975,812.37875,807.99905,808.91565
835.07095,812.465325,808.0066,808.956575
835.324525,812.495,808.0381,808.97345
835.4783,812.512975,808.071875,808.99705
835.59735,812.542025,808.085325,809.011925
835.765725,812.58215,808.096675,809.0324
835.908,812.61905,808.138,809.046975
836.011225,812.67505,808.17155,809.06885
836.1425,812.767625,808.199875,809.111075
836.23565,812.853025,808.2233,809.13345
836.426325,812.886275,808.2262,809.164575
836.534275,812.911525,808.287925,809.1716
836.648925,812.946825,808.3075,809.17915
836.765175,812.98285,808.328475,809.199175
836.84685,813.0086,808.34765,809.2448
836.897375,813.032475,808.38875,809.268125
837.105825,813.059175,808.409925,809.2831
837.194725,813.077025,808.474925,809.307175
837.4125,813.102425,808.51525,809.3237
837.444075,813.125925,808.521675,809.391625
837.570075,813.14905,808.546725,809.40805
837.6473,813.1855,808.555525,809.416325
837.84805,813.250925,808.579325,809.436625
837.925125,813.2977,808.65405,809.474225
838.031775,813.33075,808.692425,809.494
838.048,813.357225,808.704675,809.527275
838.133075,813.375425,808.744325,809.54465
838.287525,813.395075,808.931925,809.570525
838.431975,813.41605,808.940725,809.593425
838.543625,813.46095,808.95925,809.6398
838.6582,813.475475,809.025925,809.67515
838.838125,813.505,809.086575,809.697325
838.985525,813.702275,809.122175,809.743175
839.07315,813.78025,809.141875,809.76675
839.32395,813.874025,809.150525,809.8051
839.501575,814.060075,809.176775,809.812875
839.7222,814.10305,809.186975,809.83455
839.9156,814.143175,809.194625,809.873
840.0947,814.18265,809.198125,809.89365
840.264775,814.332675,809.217225,809.917975
840.266075,814.3788,809.224625,809.96955
840.472225,814.423425,809.231925,809.984525
840.486875,814.445775,809.2465,810.00695
840.645375,814.470725,809.295325,810.022725
840.984475,814.529575,809.342375,810.04495
841.276625,814.570975,809.3594,810.05745
841.403725,814.594975,809.3841,810.0756
841.452025,814.62185,809.451375,810.0889
841.489925,814.68235,809.490175,810.112825
841.78535,814.7227,809.614525,810.13495
841.83535,814.7831,809.62975,810.15165
842.152875,814.835875,809.656975,810.2025
842.39665,814.877525,809.713775,810.2378
843.0086,814.906725,809.722075,810.25665
843.052825,814.92985,809.723725,810.2779
843.17645,814.952025,809.74825,810.2943
843.224575,814.977575,809.7626,810.32105
843.41895,815.0252,809.80655,810.340975
843.54905,815.047825,809.8423,810.361525
843.995,815.12705,809.8614,810.38105
844.722375,815.1374,809.9071,810.410175
845.069025,815.2119,809.93765,810.45045
845.24585,815.315475,809.944775,810.486175
845.926275,815.366175,810.025275,810.50195
846.046,815.45695,810.03565,810.52095
846.0697,815.531125,810.0671,810.556125
846.377325,815.63945,810.09075,810.5895
846.4817,815.6871,810.12575,810.6153
846.648425,815.73505,810.1707,810.678425
846.9819,815.7838,810.27395,810.72045
847.01755,815.88385,810.302675,810.746625
847.882625,815.965125,810.387175,810.784075
848.1186,815.994475,810.443075,810.821425
848.52325,816.0721,810.465175,810.844675
848.812,816.1561,810.492475,810.87655
848.970775,816.29465,810.548675,810.911275
849.2981,816.3367,810.62795,810.93545
849.388225,816.375475,810.694675,810.96275
849.472825,816.443925,810.772825,811.0122
849.501325,816.5604,810.78165,811.02745
