SPK_SPKC10a,SPK_SPKC11a,SPK_SPKC11c,SPK_SPKC13a
198.43355,,214.2462,
198.472025,,214.4284,
198.5516,,214.4862,
198.715175,,214.526225,
198.7285,,214.594325,
198.750725,,214.6444,
198.8466,,214.795825,
198.8959,,215.26465,
199.0585,,215.299725,
199.5209,,215.4419,
199.565625,,215.477075,
199.671975,,215.56905,
199.688475,,215.62015,
200.027925,,215.6946,
200.076275,,215.884275,
200.085975,,216.154775,
200.13105,,216.26505,
200.408125,,216.876675,
200.7656,,216.989625,
200.783125,,217.078075,
200.83505,,217.23475,
200.899825,,217.26155,
200.9426,,217.39875,
200.949475,,217.650125,
201.24265,,218.0099,
201.274025,,218.058,
201.81755,,218.196975,
201.8594,,218.6068,
201.940025,,218.8258,
202.301575,,219.09015,
202.333075,,219.142125,
202.39815,,219.287775,
202.468575,,219.54045,
202.68135,,219.6085,
202.70925,,219.872425,
202.808025,,220.1112,
202.862075,,220.270575,
202.92325,,220.353675,
202.971325,,220.481825,
202.987075,,220.64455,
202.998525,,220.74265,
203.023425,,220.833975,
203.039575,,220.975625,
203.059925,,221.228425,
203.09305,,221.288,
203.1903,,221.503125,
203.2667,,221.6105,
203.293375,,221.638,
203.34215,,221.843725,
203.37435,,221.97165,
203.38965,,222.018875,
203.4249,,222.077,
203.439675,,222.25395,
203.466925,,222.789875,
203.476275,,222.81825,
203.48835,,223.051575,
203.4987,,223.29685,
203.54925,,223.3662,
203.56315,,223.6387,
203.607175,,223.82575,
203.70655,,223.913625,
203.752825,,223.930775,
203.835075,,223.970825,
203.874325,,224.0222,
203.904075,,224.359475,
203.93255,,224.4116,
203.94905,,224.5956,
203.98225,,224.656675,
204.0144,,224.807075,
204.055475,,224.86255,
204.064675,,224.887625,
204.10745,,225.229375,
204.133025,,225.262825,
204.1989,,225.276075,
204.478425,,225.4055,
204.526,,225.542175,
204.60025,,225.575025,
204.71815,,225.623075,
204.7806,,225.6443,
204.80625,,225.7854,
204.852075,,225.969375,
204.887875,,226.06595,
204.949,,226.17165,
204.96155,,226.2055,
204.969925,,226.2363,
204.984525,,226.3324,
205.018175,,226.388625,
205.056,,226.61365,
205.105475,,226.91805,
205.1924,,226.9487,
205.243825,,226.991625,
205.2675,,227.434925,
205.29255,,227.5251,
205.316,,227.6743,
205.372125,,227.94055,
205.4059,,228.000625,
205.555225,,228.07485,
205.642725,,228.180175,
205.676625,,228.1951,
205.6991,,228.372375,
205.7257,,229.019475,
205.82065,,229.110775,
205.958025,,229.2232,
205.984,,229.48155,
206.0325,,229.8161,
206.056,,230.066975,
206.0702,,230.45485,
206.0821,,230.4611,
206.1325,,230.499575,
206.1515,,230.51225,
206.193875,,230.721625,
206.204475,,230.9311,
206.215425,,231.28915,
206.22935,,231.36735,
206.2828,,231.5208,
206.324875,,231.5296,
206.494775,,231.8179,
206.555725,,232.29915,
206.581275,,232.438425,
206.59435,,232.4844,
206.6056,,232.6681,
206.6198,,232.735825,
206.6535,,232.791075,
206.67645,,233.04035,
206.719575,,233.0535,
206.7856,,233.340625,
206.8388,,233.433475,
206.892475,,233.486875,
206.9419,,233.5487,
206.96065,,233.8611,
206.982175,,234.11195,
206.992275,,234.1489,
207.012925,,234.162625,
207.2709,,234.298925,
207.374325,,234.62895,
207.419625,,234.755675,
207.563,,235.0767,
207.586975,,235.162875,
207.62325,,235.239125,
207.6446,,235.267225,
207.6632,,235.31065,
207.6959,,235.4301,
207.7581,,235.672125,
207.769275,,235.7579,
207.79065,,235.77715,
207.8325,,236.144225,
207.8451,,236.4147,
207.910725,,236.4498,
207.921575,,236.78875,
208.00865,,236.8451,
208.037675,,237.007925,
208.06385,,237.320025,
208.099325,,237.806475,
208.1123,,237.8462,
208.175725,,237.966875,
208.19225,,238.119125,
208.2095,,238.6808,
208.29495,,238.689075,
208.3184,,238.900575,
208.3787,,239.121625,
208.421075,,239.519975,
208.438875,,239.54625,
208.51835,,240.104275,
208.601475,,240.16255,
208.63915,,240.632825,
208.653175,,241.6591,
208.671625,,241.681275,
208.690975,,241.72065,
208.7473,,242.48795,
208.780775,,242.5404,
208.80335,,242.610075,
208.82285,,242.9042,
208.840875,,242.9213,
208.857525,,243.126925,
208.86675,,243.267875,
208.87505,,243.62065,
208.88355,,243.940375,
208.8927,,244.1951,
208.921,,244.34165,
208.9581,,244.592525,
209.000675,,244.779175,
209.028775,,244.8676,
209.05785,,245.1605,
209.143925,,245.261975,
209.1641,,245.3126,
209.1823,,245.46755,
209.195375,,245.554675,
209.22685,,245.6399,
209.296025,,245.67925,
209.334525,,245.7032,
209.3572,,245.77295,
209.383525,,245.977025,
209.395075,,246.020225,
209.410625,,246.08825,
209.464675,,246.366325,
209.556575,,247.035825,
209.7454,,247.2872,
209.7588,,247.38625,
209.846075,,247.443,
209.90975,,247.4813,
