SPK_SPKC02b,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC13a
3247.257075,3230.049275,3213.23865,3207.346825,3233.712825
3247.333175,3230.0637,3213.2457,3207.4473,3233.848675
3247.599525,3230.35535,3213.262,3207.46385,3233.951325
3247.852075,3230.378525,3213.32595,3207.48175,3234.102775
3247.8607,3230.6589,3213.329625,3207.5042,3234.25385
3247.9085,3230.69405,3213.4236,3207.527,3234.3949
3247.9263,3230.7335,3213.440775,3207.57695,3234.4464
3247.937025,3230.93535,3213.468775,3207.5952,3234.48455
3248.207075,3230.99325,3213.51925,3207.67355,3234.7431
3248.223075,3231.05035,3213.63275,3207.69985,3234.764575
3248.2463,3231.554225,3213.75295,3207.711975,3235.05485
3248.31585,3231.688825,3213.766425,3207.748925,3235.10195
3248.47655,3232.012575,3213.779925,3207.7955,3235.138975
3248.647375,3232.03375,3213.794475,3207.829775,3235.363975
3248.672825,3232.066875,3213.8667,3207.926325,3235.45255
3249.180525,3232.088575,3213.90945,3207.964925,3235.562675
3249.597975,3232.374175,3213.9237,3207.98875,3236.01155
3249.75715,3232.7766,3213.9392,3208.007,3236.04765
3249.827325,3232.847225,3213.997425,3208.018725,3236.1295
3249.912875,3232.959575,3214.0296,3208.044,3236.251025
3249.939925,3233.0418,3214.06775,3208.0824,3236.47065
3250.047725,3233.20055,3214.098375,3208.1055,3236.53915
3250.231325,3233.235925,3214.1686,3208.154975,3236.573075
3250.283575,3233.3415,3214.2113,3208.17045,3236.76555
3250.7911,3233.450725,3214.3102,3208.1886,3236.887375
3250.89065,3233.462525,3214.3483,3208.21795,3236.907125
3250.908125,3233.480475,3214.4089,3208.25005,3236.971475
3251.28965,3233.650925,3214.4446,3208.2625,3236.976625
3251.885825,3233.759325,3214.5038,3208.277625,3237.34135
3252.0565,3233.881475,3214.52695,3208.297525,3237.380275
3252.062575,3233.925075,3214.5407,3208.347775,3237.417675
3252.0709,3233.9345,3214.64025,3208.3858,3237.456175
3252.075475,3234.024225,3214.676525,3208.4167,3237.699175
3252.5167,3234.102775,3214.71385,3208.4306,3238.148825
3252.5818,3234.16505,3214.75735,3208.4399,3238.26485
3252.70875,3234.25785,3214.8168,3208.45045,3238.4704
3252.80055,3234.827875,3214.963225,3208.457425,3238.713075
3252.8453,3234.83645,3214.989425,3208.48905,3238.778325
3252.846725,3235.0381,3215.071875,3208.503075,3238.9134
3252.8672,3235.182175,3215.14,3208.545975,3238.956625
3252.901875,3235.22825,3215.15495,3208.582025,3239.05615
3252.9366,3235.296775,3215.203125,3208.5839,3239.19615
3253.013075,3235.42825,3215.235175,3208.60425,3239.263375
3253.041625,3235.4318,3215.2604,3208.61135,3239.29725
3253.0574,3235.4778,3215.28605,3208.618675,3239.4766
3253.11685,3235.483225,3215.300975,3208.637625,3239.65995
3253.18965,3235.487975,3215.3182,3208.648525,3239.728175
3253.25705,3235.500425,3215.45985,3208.668625,3239.796575
3253.350325,3235.613325,3215.490075,3208.6786,3239.83595
3253.49145,3235.634525,3215.518525,3208.697675,3239.926325
3253.503975,3235.88095,3215.55745,3208.73215,3239.9522
3253.51905,3235.916925,3215.59615,3208.7861,3239.96365
3253.684975,3235.94475,3215.719,3208.797925,3240.0648
3253.700725,3235.986875,3215.796825,3208.832675,3240.1042
3254.170225,3236.04475,3215.814475,3208.8623,3240.271125
3254.205875,3236.10815,3215.829725,3208.877025,3240.390275
3254.28325,3236.571125,3215.836575,3208.904075,3240.820225
3254.299775,3236.626525,3215.905975,3208.91595,3240.93695
3254.3081,3236.755725,3215.9164,3208.926825,3241.180325
3254.3142,3236.80065,3215.9562,3208.94065,3241.246275
3254.5563,3236.8086,3215.993825,3208.950475,3241.3823
3254.72845,3236.86325,3216.0112,3208.958675,3241.44795
3254.77735,3237.164,3216.1183,3208.964825,3241.625675
3254.8882,3237.254075,3216.1237,3209.04205,3241.844075
3254.933775,3237.3414,3216.1429,3209.0705,3241.870275
3255.004575,3237.38035,3216.323375,3209.085975,3242.301125
3255.039425,3237.406225,3216.371975,3209.09025,3242.31895
3255.250325,3237.494975,3216.380425,3209.1084,3242.570325
3255.4672,3237.528275,3216.390075,3209.16,3242.780075
3255.474675,3237.5688,3216.4004,3209.19195,3242.889625
3255.51865,3237.6633,3216.416025,3209.207775,3243.06025
3255.583875,3237.890425,3216.4569,3209.24355,3243.08195
3255.60005,3237.966425,3216.472675,3209.2487,3243.2196
3255.744075,3238.2081,3216.517525,3209.26695,3243.2908
3256.0578,3238.495425,3216.531075,3209.289475,3243.312375
3256.23305,3238.519875,3216.542825,3209.3048,3243.4651
3256.268175,3238.598325,3216.571575,3209.3463,3243.6298
3256.298775,3238.65585,3216.72075,3209.3911,3243.742525
3256.354925,3238.713075,3216.72775,3209.425425,3244.058175
3256.393475,3238.761,3216.741325,3209.458225,3244.31805
3256.410825,3238.830025,3216.7759,3209.471975,3244.417725
3256.743825,3238.956625,3216.860925,3209.486625,3244.456025
3256.89665,3239.056125,3216.88605,3209.5026,3244.594075
3257.18755,3239.196175,3216.9182,3209.598325,3244.81615
3257.261325,3239.380475,3216.983775,3209.640475,3245.114725
3257.327075,3239.450575,3217.09545,3209.66785,3245.361275
3257.4288,3239.4541,3217.227675,3209.69235,3245.44515
3257.44485,3239.4637,3217.3121,3209.719625,3245.806525
3257.4531,3239.473525,3217.389,3209.757475,3245.91
3257.5326,3239.48655,3217.398,3209.776725,3246.0566
3257.5375,3239.50125,3217.444025,3209.77805,3246.105225
3257.602675,3239.550375,3217.525675,3209.79365,3246.254325
3257.74875,3239.7497,3217.554375,3209.81725,3246.47435
3257.816875,3239.9522,3217.56225,3209.8328,3246.559125
3258.037425,3239.954175,3217.7505,3209.85775,3246.589025
3258.072475,3240.1141,3217.79725,3209.907375,3246.7069
3258.1511,3240.1395,3217.9171,3209.96385,3246.882925
3258.29315,3240.192425,3217.965425,3209.9997,3246.8945
3258.3077,3240.25615,3217.98525,3210.0195,3247.041825
3258.332275,3240.3226,3218.004925,3210.021525,3247.12335
3258.40015,3240.617575,3218.010775,3210.027475,3247.21325
3258.414875,3240.93695,3218.0869,3210.028875,3247.25245
3258.428175,3241.20745,3218.133075,3210.1122,3247.38705
3258.474725,3241.3873,3218.169725,3210.126925,3247.476125
3258.537825,3241.418725,3218.216625,3210.14445,3247.5246
3258.5661,3241.42665,3218.3104,3210.167475,3247.581375
3258.83445,3241.6571,3218.345675,3210.203125,3247.650175
3258.9991,3241.854,3218.4324,3210.23755,3247.677075
3259.193225,3242.088725,3218.46895,3210.262575,3247.8055
3259.605425,3242.11885,3218.52015,3210.325825,3247.8168
3259.8683,3242.1713,3218.551725,3210.3382,3247.8305
3259.963525,3242.20055,3218.5725,3210.4232,3247.8332
3260.01105,3242.499625,3218.618925,3210.46465,3247.8837
3260.023725,3242.953475,3218.633475,3210.4944,3247.893925
3260.11865,3243.315525,3218.68015,3210.510075,3247.895325
