SPK_SPKC07a (inhi),SPK_SPKC10a (no opto-tagging),SPK_SPKC16a (no clear)
507.12765,520.1725,553.01595
507.185275,520.4173,553.30245
507.213275,520.443525,553.463725
507.2524,520.526075,553.550325
507.272675,520.590975,553.8361
507.28775,520.818875,553.9302
507.317325,520.841125,554.2459
507.3383,520.898175,554.437475
507.3773,520.9149,554.5181
507.6096,520.92245,554.5527
507.62585,520.9323,554.678375
507.6403,520.999675,554.737675
507.658,521.30665,554.858525
507.67245,521.3954,555.26455
507.67955,521.497625,555.577875
507.69625,521.665325,555.874025
507.7203,521.829625,556.05115
507.74135,522.0816,556.085075
507.77645,522.17985,556.160725
507.7971,522.193225,557.441275
507.95255,522.227825,557.772875
508.004875,522.229625,557.85875
508.017225,522.374225,557.88
508.0452,522.58975,558.400325
508.05655,522.65415,559.91855
508.062525,522.70375,561.073575
508.074,522.7223,561.9078
508.08125,522.9025,562.192025
508.0888,522.93895,562.316875
508.096175,522.979675,562.4818
508.101925,523.17965,563.1391
508.1097,523.254625,563.191925
508.1168,523.452525,563.5745
508.130025,523.48215,563.759625
508.1428,523.72665,563.907625
508.1543,523.748,564.190325
508.165825,523.7912,564.446325
508.18445,523.8178,565.0843
508.194975,523.92675,566.0671
508.202375,523.986375,566.55905
508.20935,524.008275,566.798425
508.217425,524.162625,567.270925
508.228675,524.204125,567.4039
508.23555,524.23755,567.51815
508.243875,524.260525,567.91475
508.259525,524.2952,568.3575
508.267425,524.440275,568.737125
508.29615,524.4926,569.2468
508.30605,524.5102,569.43395
508.3127,524.56545,569.629525
508.3276,524.57025,569.955725
508.34135,524.73235,570.121075
508.3713,524.999825,571.2972
508.392775,525.0291,571.3194
508.423625,525.05645,571.9396
508.48865,525.099225,572.30525
508.503625,525.249375,572.807725
508.5256,525.3243,573.099575
508.5324,525.5346,573.6339
508.539625,525.637825,573.781325
508.552325,525.758525,573.938
508.5602,525.793375,574.8594
508.56885,526.0298,575.084375
508.58925,526.05245,575.31215
508.596475,526.21575,575.668575
508.601825,526.2246,576.27
508.610725,526.3439,576.4897
508.6196,526.734725,576.667075
508.6407,526.77575,576.9461
508.663275,526.826775,576.97445
508.698,526.943475,577.362975
508.711725,527.13105,577.446825
508.72315,527.202875,577.843525
508.73915,527.3312,577.923125
508.7487,527.593275,577.98755
508.801,527.6112,578.29545
508.815875,527.636,578.703175
508.826325,527.6887,578.785475
508.859375,527.865725,578.7996
508.88095,527.947275,579.0714
508.902225,528.05295,579.18845
508.9203,528.343,579.50335
508.954375,528.5366,579.599975
508.968125,528.5989,579.684325
508.978375,528.654725,580.0654
508.987025,528.6761,580.243125
509.0089,528.729075,580.32585
509.02085,528.96575,580.486625
509.03115,529.3727,581.526575
509.0397,529.413975,582.35785
509.047425,529.476375,582.99425
509.07295,529.583975,583.2015
509.089,529.632275,583.23855
509.0986,529.641575,583.28595
509.10695,529.740775,583.343425
509.116,530.02955,583.44715
