SPK_SPKC04a (inhibited),SPK_SPKC09b (inhibited),"SPK_SPKC11a (NA, artefact)",SPK_SPKC12a (excited)
27.009125,244.350225,58.616825,207.69285
27.040825,244.53655,58.6237,207.904875
27.209825,244.78645,59.198375,209.0732
27.579125,244.816125,59.5187,209.1658
27.59465,245.0352,59.781025,209.17435
27.6768,245.24015,59.970925,210.263025
27.808375,246.650875,60.486875,210.27285
27.8327,246.754925,61.114475,210.393575
27.9571,246.828475,61.389725,210.44425
27.999475,247.6072,61.582375,210.66405
28.0584,248.172625,61.952625,210.869375
28.155675,248.425325,62.13485,211.788425
28.189975,248.563425,62.5339,212.74795
28.371625,248.90285,62.943475,212.815275
28.531775,249.03615,63.83675,213.2251
28.6657,249.11045,64.033975,214.176525
28.822175,249.15975,64.143175,214.220925
28.831,249.241325,64.622875,214.61485
28.882175,249.382225,64.8033,214.635375
28.952325,249.488425,64.96075,214.650425
29.08005,249.58235,65.152,215.547275
29.11925,249.748425,65.46255,215.872525
29.16635,250.014575,66.274675,215.95445
29.293025,250.294225,66.37775,216.036025
29.333025,250.380475,66.410675,216.0425
29.36135,250.4441,67.3795,216.685875
29.446925,250.64915,67.8199,218.105175
29.48165,251.679025,68.092325,218.22095
29.519675,251.78755,68.4331,218.602725
29.594,252.163825,68.890975,218.68455
29.641275,252.238875,68.94905,219.32885
29.685425,252.73245,70.09035,219.60975
29.86875,253.0657,71.02375,219.959475
29.87725,253.27185,71.624125,220.006775
29.961125,253.31765,73.26745,220.13315
30.007325,253.655675,73.84365,220.762675
30.046775,253.6733,74.124025,221.27905
30.071225,253.693075,74.61275,221.925175
30.090025,253.74755,74.79435,222.135975
30.1048,253.863025,74.839575,222.375075
30.16815,254.7025,75.8872,222.39525
30.462775,254.8053,76.309425,222.443125
30.494025,254.85145,76.86315,222.463175
30.52455,255.181525,76.975075,222.8561
30.726475,255.49735,77.0266,223.3491
30.7475,255.7823,78.413325,223.35895
30.758575,255.96005,78.682925,223.4004
30.795725,255.99975,79.159575,223.514625
30.89925,256.281025,79.399225,223.563875
30.994675,256.3519,79.8638,223.720225
31.025275,256.67395,80.562125,223.86695
31.20075,256.727225,80.72965,224.104225
31.21835,257.04015,80.8935,225.041325
31.25355,257.17165,81.268675,225.1769
31.270075,258.0292,81.5584,225.1907
31.294625,258.4667,82.617625,225.6784
31.338125,258.98565,83.11605,225.713425
31.492775,259.1695,83.19475,225.7407
31.721575,259.236575,83.46825,225.8032
31.750425,259.28535,84.1514,225.89395
31.860075,259.38095,84.20835,226.08525
31.9232,259.62395,84.3902,226.2091
32.05355,259.73885,84.720925,226.28645
32.153925,260.082525,85.909425,226.6926
32.5413,260.789675,86.509425,226.695075
32.580225,261.144725,86.573975,226.697425
32.6245,261.18495,86.70265,227.1654
32.636125,261.2824,86.9026,227.420025
32.6821,261.297575,88.5873,228.44295
32.7353,261.355575,88.8738,228.661
32.787025,261.4955,89.127525,229.188325
32.87815,261.54205,90.200675,229.354925
32.972225,261.684225,90.960825,229.382575
33.011375,262.7597,91.9038,229.471525
33.076025,263.243575,92.96395,229.5249
33.09445,263.350025,93.160975,229.7461
33.10615,264.1093,93.5071,229.78545
33.1401,264.12835,93.59405,229.867125
33.141875,264.210075,94.7179,229.87255
33.33785,264.374675,96.064,230.374075
33.59165,264.46875,96.3191,230.40045
33.628925,264.547525,96.369725,230.7075
33.65125,264.604625,97.59415,231.414975
33.8902,264.7366,97.6102,231.517125
33.89955,265.466225,98.3186,231.910425
33.9374,265.73825,98.379,232.034675
33.95025,266.161825,98.4971,232.1031
34.280875,267.456425,100.1445,232.331675
34.322525,267.472475,101.099025,232.412375
34.390525,267.820075,101.213375,232.492625
34.456275,268.01595,103.2873,233.01745
34.8217,268.476075,106.0674,233.953825
