SPK_SPKC06a (excited),SPK_SPKC12a (no effect),SPK_SPKC12b (NA),SPK_SPKC16a (no effect),SPK_SPKC16b (short inhibition)
20.691775,34.274625,14.001475,206.71545,118.218325
20.792425,34.382475,14.018,207.389375,118.274425
20.9824,34.542375,14.047775,207.731075,118.4601
21.0795,34.820825,14.07335,207.9607,118.652725
21.09635,34.9502,14.099475,208.393175,118.7499
21.15845,35.095825,14.146425,208.45205,118.791075
21.1832,35.16675,14.1751,208.576275,118.918575
21.205325,35.178175,14.1978,208.63575,119.045425
21.21425,35.182925,14.2169,208.7966,119.076925
21.249575,35.286025,14.23565,208.927775,119.231425
21.27315,35.292875,14.254825,208.949475,119.5559
21.30705,35.29685,14.265775,209.07905,119.6521
21.341625,35.44075,14.27385,209.25215,119.777025
21.457725,35.4606,14.281125,209.372725,119.9131
21.489375,35.838725,14.28925,209.919275,119.931375
21.709475,35.882475,14.3024,210.242075,120.141075
21.71125,35.909775,14.314825,210.260625,120.44515
21.78585,35.9663,14.325575,210.655225,120.47655
21.798675,36.039975,14.38575,211.154575,120.831375
21.8636,36.23685,14.4272,211.321875,120.9378
21.913725,36.687225,14.43895,211.411775,121.1933
21.9711,36.705225,14.459975,211.7339,121.297875
22.010875,36.7147,14.4741,211.9801,121.358525
22.03035,36.86675,14.492125,212.171,121.379625
22.04005,37.098875,14.49875,213.3007,121.51865
22.108425,37.1,14.51055,213.36985,121.5841
22.161775,37.139775,14.52105,213.555575,121.599275
22.2183,37.195975,14.527525,213.56125,121.642525
22.3185,37.226825,14.5492,214.4367,121.67725
22.32485,37.2413,14.561475,214.625825,121.743125
22.329575,37.2597,14.578325,214.971225,121.7813
22.454325,37.279925,14.608175,215.0609,121.84925
22.495675,37.367225,14.620975,215.095625,122.244875
22.645,37.396925,14.64175,215.121475,122.4868
22.738375,37.43745,14.670875,215.20875,122.576275
22.7632,37.460325,14.68555,215.380375,122.638125
22.7898,37.58165,14.729025,215.42325,122.751575
22.88905,37.649975,14.767275,215.491375,122.7976
23.064375,37.678425,14.777975,215.62445,122.811675
23.0972,37.683375,14.785025,215.7254,123.026825
23.1278,37.72185,14.791575,215.8666,123.047775
23.133775,37.79335,14.798025,215.936875,123.290875
23.211175,37.91775,14.83405,216.05815,123.313425
23.39395,38.167375,14.881025,216.290275,123.56585
23.52445,38.2913,14.923275,216.34665,123.585875
23.6607,38.320875,14.9502,216.377525,123.62375
23.71315,38.3814,14.994025,217.20855,123.97605
23.7899,38.45585,15.029,217.43845,124.166725
23.8038,38.51855,15.03075,217.5202,124.2587
23.90175,38.5511,15.0462,217.576575,124.462525
23.992225,38.8579,15.0776,217.691675,124.697375
24.098325,39.0911,15.098575,217.7606,124.72655
24.146175,39.31995,15.120825,218.2066,124.796775
24.186,39.411925,15.14855,218.5095,124.80915
24.28985,39.44465,15.16915,218.5458,124.8472
24.360125,39.687125,15.1912,218.839225,124.88605
24.3733,39.702625,15.21515,219.0968,124.904825
24.4316,39.724875,15.23805,219.13655,124.943225
24.477725,39.760425,15.2829,219.31405,125.319975
24.507425,39.8,15.31715,219.802025,125.44115
