SPK_SPKC10a (exc),SPK_SPKC10b (exc),SPK_SPKC11a (inhi),SPK_SPKC13a (exc),SPK_SPKC14b (inhi)
294.5162,267.906975,258.89325,266.833175,258.90325
294.5725,267.91905,258.901575,266.853,258.921
294.670275,267.94255,258.90615,266.8998,258.94265
294.7311,267.98115,258.917375,266.950925,258.96925
294.891475,268.009325,258.923025,266.9792,258.982525
294.947325,268.05135,258.92865,267.0462,258.996025
295.166525,268.0583,258.946475,267.082325,259.006475
295.2238,268.081275,258.956725,267.113525,259.0182
295.2586,268.11995,258.96825,267.14925,259.036
295.580625,268.15775,258.9839,267.18635,259.0487
295.9083,268.170925,259.007125,267.21995,259.067
295.9523,268.1816,259.02295,267.269675,259.083975
295.990275,268.268375,259.02975,267.31855,259.10555
296.015825,268.28635,259.042075,267.348475,259.12685
296.083,268.302925,259.05355,267.386575,259.14625
296.101325,268.325025,259.0665,267.42565,259.1637
296.289975,268.3443,259.08785,267.458425,259.189125
296.3908,268.3904,259.107,267.4914,259.214675
296.449275,268.40865,259.130975,267.5264,259.23865
296.47495,268.424325,259.161775,267.56615,259.2658
296.585775,268.524025,259.18495,267.5911,259.33835
296.684475,268.60645,259.210475,267.647025,259.361125
296.71935,268.6494,259.235725,267.7243,259.382675
296.7923,268.6668,259.263675,267.7502,259.4186
297.049475,268.67725,259.325575,267.7779,259.444825
297.164175,268.691575,259.3576,267.8075,259.4568
297.20255,268.7022,259.37195,267.8382,259.478175
297.21625,268.73845,259.381225,267.871675,259.4909
297.279025,268.75835,259.39405,267.931725,259.510875
297.413375,268.8431,259.407975,267.952825,259.52565
297.496625,268.86605,259.4209,268.001975,259.541575
297.610475,268.888125,259.432075,268.04065,259.564725
297.6733,268.916025,259.444925,268.115725,259.589825
297.70115,268.97685,259.457775,268.17745,259.6384
297.726925,269.035225,259.4742,268.21105,259.6609
297.742175,269.09575,259.482775,268.232675,259.67135
297.863625,269.15855,259.499175,268.254425,259.686675
297.93745,269.175575,259.514,268.28285,259.703075
297.98695,269.197275,259.52575,268.303175,259.71635
298.014625,269.2079,259.5492,268.32695,259.729875
298.07825,269.241875,259.567325,268.35465,259.7419
298.143475,269.27485,259.588125,268.37095,259.75515
298.159425,269.3547,259.615425,268.4035,259.7731
298.339925,269.450125,259.647975,268.44275,259.80065
298.451525,269.45865,259.67975,268.4702,259.835525
298.493925,269.465625,259.69185,268.497275,259.915575
298.670625,269.47745,259.71195,268.51715,259.958825
298.689325,269.505375,259.733425,268.553875,259.988925
298.75045,269.5337,259.778475,268.58715,260.023575
298.840575,269.6608,259.821825,268.647025,260.040225
298.957225,269.710725,259.872175,268.7006,260.061225
298.987425,269.731925,259.902875,268.712075,260.074925
299.0444,269.779425,259.9317,268.72165,260.093825
299.2093,269.845425,259.9465,268.7539,260.121925
299.2906,269.9573,259.969525,268.77595,260.138
299.363825,269.9946,259.98585,268.78755,260.148625
299.65825,270.07085,260.0048,268.8182,260.16335
299.80775,270.102925,260.026325,268.842,260.18025
299.90195,270.115725,260.037925,268.8639,260.197125
299.935625,270.122025,260.05415,268.900375,260.24
299.9944,270.174775,260.069475,268.934525,260.310375
300.188925,270.196075,260.0798,268.9869,260.366275
300.5881,270.22005,260.09855,269.036375,260.417475
300.74525,270.2625,260.1102,269.118575,260.425425
300.84305,270.32475,260.138075,269.175125,260.44955
300.934825,270.417825,260.158425,269.2079,260.4573
300.974925,270.52315,260.17945,269.223,260.465325
301.02145,270.552925,260.1966,269.262875,260.4749
301.072625,270.56945,260.248875,269.313975,260.482825
301.2382,270.580425,260.37455,269.3426,260.491175
301.3056,270.602,260.40515,269.3894,260.500275
301.3597,270.610125,260.42255,269.468875,260.50925
301.433525,270.62835,260.435,269.49175,260.52735
301.48115,270.648875,260.444125,269.5255,260.54025
301.530875,270.682625,260.454725,269.54525,260.55535
301.74305,270.729025,260.468025,269.5681,260.573325
301.860325,270.88125,260.479675,269.615525,260.591825
302.15025,270.934525,260.4872,269.661025,260.625575
302.1884,270.9587,260.51225,269.712675,260.6549
302.376125,270.9854,260.530875,269.775375,260.6948
302.506425,271.01985,260.673675,269.826775,260.730425
302.53195,271.048975,260.7479,269.846975,260.7605
302.64125,271.23495,260.798825,269.921725,260.780825
302.698675,271.3149,260.81505,269.964325,260.798975
302.7736,271.341975,260.83095,270.04945,260.809825
303.0751,271.370075,260.852975,270.075475,260.8202
303.132825,271.3884,260.871175,270.134875,260.827825
303.149325,271.422175,260.887225,270.1538,260.835125
303.511575,271.4463,260.904825,270.17565,260.84405
