SPK_SPKC01c,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a
546.8881,555.155075,575.3148,550.19785,553.10105
546.92835,555.169,575.341475,550.207575,553.12385
546.948325,555.202925,575.35395,550.224175,553.145675
546.96955,555.216725,575.4198,550.24215,553.1738
546.9919,555.246725,575.6007,550.2713,553.20005
547.011475,555.3212,575.611575,550.2829,553.221725
547.0365,555.335575,575.632425,550.311375,553.2548
547.056325,555.354825,575.659625,550.341075,553.305675
547.078475,555.362625,575.67135,550.3504,553.32995
547.1018,555.371225,575.70655,550.37135,553.356175
547.1371,555.469625,575.756525,550.373675,553.3836
547.1548,555.483775,575.829075,550.3825,553.402475
547.175875,555.5173,575.84295,550.386925,553.42395
547.1941,555.535475,575.846575,550.397475,553.434475
547.2099,555.59365,575.851975,550.42705,553.446075
547.226775,555.696875,575.859825,550.458425,553.464375
547.239,555.7568,575.9517,550.495225,553.476775
547.2458,555.821875,576.168275,550.5261,553.49445
547.25245,555.852425,576.179275,550.57085,553.517575
547.261525,555.868225,576.194975,550.5907,553.54395
547.2673,555.924225,576.270275,550.6132,553.57165
547.274225,555.95235,576.286325,550.62455,553.62655
547.282525,555.9858,576.304025,550.627175,553.645475
547.29475,556.001375,576.307875,550.643025,553.667925
547.307225,556.0163,576.343475,550.65555,553.6926
547.321175,556.048225,576.357775,550.657825,553.7078
547.341625,556.10605,576.369125,550.65995,553.7319
547.375125,556.115975,576.402375,550.67555,553.746525
547.382575,556.124625,576.4118,550.6783,553.753225
547.391725,556.1343,576.44645,550.681025,553.767175
547.400425,556.159975,576.4564,550.690575,553.7786
547.408825,556.188675,576.468325,550.709775,553.81805
547.4138,556.197725,576.557325,550.7813,553.83975
547.419975,556.216125,576.685575,550.783125,553.919175
547.42595,556.226725,576.7005,550.79025,553.9343
547.430175,556.328475,576.928,550.80425,553.9633
547.43775,556.367625,577.018525,550.816575,553.990325
547.44015,556.379825,577.051775,550.843275,554.014425
547.443975,556.39675,577.088625,550.87975,554.029
547.44715,556.40355,577.1154,550.895825,554.0555
547.450425,556.446625,577.1197,550.946925,554.071575
547.457375,556.469125,577.14455,550.972125,554.09105
547.459825,556.4874,577.163725,550.995175,554.1101
547.463325,556.508225,577.3117,551.015925,554.14
547.471425,556.533525,577.493,551.0513,554.159775
547.47685,556.5446,577.50565,551.0545,554.2106
547.481125,556.60785,577.538425,551.0822,554.250225
547.48545,556.621125,577.7024,551.097525,554.278975
547.49025,556.676925,577.9499,551.10015,554.28855
