SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
107.501425,106.654925,126.815075,108.12985,107.8565,105.54355
107.516125,106.70445,126.8218,108.14655,107.8608,105.56305
107.547875,106.75895,127.319,108.166625,107.8866,105.579325
107.56265,106.786875,127.44255,108.182425,107.923275,105.594875
107.57455,106.8144,127.51135,108.197975,107.96435,105.6056
107.604575,106.86355,127.72085,108.2139,108.013175,105.612675
107.714375,106.8878,127.819675,108.2329,108.02865,105.6357
107.731325,106.93045,127.8977,108.243325,108.070025,105.6511
107.751925,106.93845,128.1067,108.2588,108.106575,105.668275
107.798025,106.960125,128.374325,108.2723,108.132075,105.669525
107.84485,106.9788,128.419975,108.297475,108.149125,105.6847
107.8595,106.993575,128.511675,108.31735,108.17,105.722825
107.873525,107.008975,128.723675,108.331475,108.181125,105.742325
107.90105,107.02505,128.7248,108.365325,108.202575,105.7586
107.923875,107.0355,128.736975,108.391075,108.246575,105.784175
107.961725,107.0485,128.75615,108.40255,108.26885,105.79375
107.97165,107.061725,128.78135,108.424225,108.2925,105.80195
107.99235,107.088925,128.91315,108.440675,108.31015,105.814375
108.01855,107.10455,129.00345,108.505,108.36655,105.82755
108.089,107.140125,129.08155,108.54725,108.396875,105.848425
108.1119,107.1829,129.322225,108.561275,108.4158,105.8625
108.191825,107.2584,129.376525,108.575525,108.4552,105.881675
108.22585,107.280175,129.46825,108.589175,108.47525,105.9298
108.25835,107.292025,129.635675,108.6296,108.4877,106.01675
108.2879,107.305975,129.70975,108.657225,108.524175,106.050275
108.318775,107.316625,129.921975,108.688975,108.5559,106.076775
108.372175,107.34835,130.0047,108.706675,108.570275,106.098125
108.432875,107.3571,130.05415,108.724575,108.60145,106.1309
108.450125,107.368875,130.387675,108.766,108.642,106.14655
108.4733,107.385125,130.528625,108.821625,108.692225,106.167975
108.500625,107.4016,130.62505,108.846475,108.723325,106.195725
108.516225,107.412325,130.66095,108.897775,108.74265,106.2117
108.55565,107.428875,130.6852,108.92755,108.776,106.228875
108.575775,107.4393,130.7259,108.948925,108.81005,106.274525
108.620975,107.4661,130.816825,108.964975,108.8593,106.2912
108.645725,107.485425,130.972725,108.985175,108.892,106.315475
108.66095,107.508025,131.034775,108.996725,108.912725,106.348025
108.7009,107.560525,131.0489,109.005375,108.9627,106.36825
108.725275,107.5799,131.111975,109.0753,108.9822,106.3883
108.7307,107.738125,131.17205,109.095525,108.9991,106.42285
108.758375,107.75945,131.3383,109.1194,109.021925,106.438675
108.773925,107.790775,131.438075,109.1468,109.051425,106.471675
108.836925,107.809075,131.54625,109.167725,109.06445,106.4938
108.88205,107.819475,131.6028,109.21165,109.07855,106.504775
108.905025,107.8326,131.671775,109.230525,109.099075,106.52135
108.924675,107.864625,131.72305,109.2492,109.112025,106.538875
108.972575,107.883875,131.9875,109.2774,109.1361,106.560225
109.009625,107.910075,132.0082,109.365075,109.15805,106.57505
109.06485,107.933875,132.0311,109.41465,109.17855,106.59085
109.093575,107.95805,132.0393,109.441575,109.220975,106.5919
109.192325,107.972975,132.123425,109.477625,109.275925,106.62285
109.2268,107.98625,132.23565,109.523225,109.317175,106.63845
109.237825,108.00385,132.360025,109.5447,109.3421,106.664425
109.262825,108.0298,132.546175,109.57885,109.376475,106.690175
109.2723,108.0483,132.616575,109.604925,109.39805,106.72705
109.290275,108.067325,132.662,109.638125,109.430625,106.75485
109.30785,108.1024,132.778825,109.696025,109.460375,106.764975
109.34435,108.1406,132.992275,109.73165,109.492925,106.7772
109.49555,108.203675,133.0128,109.7713,109.54055,106.7902
109.507675,108.236025,133.0302,109.8258,109.568475,106.820675
109.51775,108.252925,133.123625,109.857775,109.598175,106.841175
109.5516,108.278875,133.241575,109.868225,109.622225,106.8781
109.573575,108.3042,133.257525,109.883025,109.6535,106.89695
109.624125,108.334775,133.275925,109.897925,109.692,106.911775
109.679825,108.359225,133.290525,109.92045,109.757975,106.924925
109.70835,108.3788,133.3297,109.936825,109.815825,106.95435
109.715775,108.422525,133.389325,109.9429,109.844175,106.9693
109.73,108.44095,133.436175,109.95385,109.855475,106.98085
109.76455,108.4656,133.52815,109.964525,109.863525,106.991625
109.786575,108.513825,133.638175,109.9795,109.86945,106.999475
109.821725,108.53695,133.691675,109.999075,109.8741,107.0103
109.900125,108.5509,133.883125,110.19835,109.8946,107.024875
109.926475,108.56665,133.924875,110.2113,109.898875,107.048425
109.948525,108.587875,133.952125,110.22685,109.919025,107.06505
109.990475,108.619975,134.0097,110.26735,109.92935,107.07735
110.062225,108.653425,134.059425,110.29185,109.94905,107.107
110.12365,108.689875,134.198625,110.316125,109.976675,107.138775
110.1563,108.7134,134.224075,110.355325,110.0159,107.16235
110.175025,108.74715,134.243125,110.464675,110.052075,107.18215
110.19175,108.77985,134.2707,110.479275,110.12455,107.2124
110.224125,108.801825,134.289775,110.485725,110.16965,107.246125
110.24065,108.8301,134.37095,110.489575,110.18265,107.26615
110.2887,108.907225,134.41995,110.501625,110.193825,107.301775
110.292675,108.9379,134.495925,110.5048,110.20245,107.345025
110.313875,108.974175,134.533375,110.507975,110.212175,107.36945
110.402475,109.029625,134.6435,110.51115,110.223575,107.3892
110.43015,109.0794,134.742025,110.514475,110.24725,107.4045
110.49025,109.1079,134.810575,110.543575,110.277425,107.41685
110.50645,109.146375,135.018375,110.55255,110.32145,107.44775
110.5116,109.178425,135.245775,110.567575,110.41225,107.45915
110.515275,109.223025,135.44625,110.628925,110.449,107.529525
110.607775,109.243125,135.597125,110.75205,110.482575,107.544375
110.654925,109.26545,136.014975,110.78255,110.4952,107.555925
110.687025,109.294825,136.131525,110.80995,110.5156,107.58975
110.7494,109.324225,136.163825,110.83365,110.5204,107.625275
110.787175,109.4302,136.296925,110.8603,110.529375,107.64235
110.812425,109.468575,136.400225,110.898825,110.562125,107.654675
110.8397,109.497775,136.51235,110.9659,110.5923,107.672775
110.861675,109.51125,136.5803,111.006025,110.64155,107.730775
110.891225,109.524825,136.6144,111.149325,110.70105,107.763275
110.932075,109.5924,136.69325,111.167775,110.738975,107.776025
110.94865,109.642425,136.716075,111.188875,110.79665,107.790925
110.972725,109.690925,136.75195,111.209725,110.845125,107.795375
111.007975,109.7121,136.81895,111.2176,110.8576,107.810875
111.032625,109.73435,136.962775,111.220425,110.871975,107.82645
111.059425,109.7461,137.00215,111.226625,110.883175,107.83815
111.086425,109.788025,137.0495,111.2344,110.91015,107.849975
111.13925,109.8701,137.176925,111.242025,110.950125,107.87295
111.177125,109.909125,137.241775,111.2537,110.999775,107.884375
111.228225,109.92915,137.291025,111.2639,111.0404,107.957125
111.2718,109.957675,137.3637,111.280325,111.107025,107.984575
111.34195,109.9785,137.558925,111.287375,111.1569,108.012975
111.3606,110.1523,137.604925,111.296575,111.21415,108.047125
111.38465,110.180925,137.637625,111.3077,111.229675,108.06795
111.4078,110.187525,137.70385,111.3298,111.23845,108.0839
111.44125,110.19275,137.819525,111.3377,111.257625,108.102175
111.449025,110.202275,137.881325,111.351075,111.289475,108.115625
111.478825,110.20685,137.936175,111.35935,111.3038,108.1243
111.536275,110.236975,138.031375,111.372925,111.323925,108.136975
111.5559,110.258875,138.16405,111.382975,111.34205,108.154425
111.577475,110.283525,138.23115,111.39305,111.35785,108.169525
111.5958,110.294575,138.2722,111.408125,111.3752,108.193925
111.61445,110.321725,138.522625,111.422525,111.391025,108.211975
111.630475,110.405325,138.61725,111.47085,111.4244,108.2277
111.64425,110.432425,138.8968,111.4863,111.4422,108.249425
111.656475,110.449525,138.942775,111.49695,111.463125,108.30475
111.67805,110.49275,139.05005,111.51125,111.48895,108.31515
111.7395,110.5098,139.304325,111.522275,111.509725,108.326675
111.813575,110.5282,139.675675,111.547225,111.52705,108.34095
111.833775,110.596075,139.808475,111.5728,111.5446,108.371
111.845625,110.649575,139.813875,111.62075,111.5869,108.38645
111.871975,110.730975,139.85895,111.6842,111.624825,108.39705
111.889925,110.7427,139.976175,111.779625,111.720125,108.420825
111.903325,110.761575,140.08125,111.809525,111.755375,108.43485
111.92225,110.81385,140.107775,111.823575,111.786775,108.45485
111.9874,110.8532,140.1421,111.841725,111.835075,108.45815
112.012225,110.87375,140.319275,111.8596,111.84985,108.465975
112.0779,110.90535,140.4042,111.87985,111.8755,108.47875
112.11605,110.91445,140.461275,111.913625,111.9009,108.52365
112.152375,110.93675,140.510025,111.9528,111.947225,108.535625
112.161175,110.96555,140.583325,112.023525,111.996675,108.549675
112.18085,111.0217,140.643425,112.093475,112.033275,108.565025
112.247775,111.0624,140.69975,112.1535,112.0763,108.58515
112.297775,111.10785,140.78095,112.1902,112.12055,108.613575
112.323825,111.11185,140.825025,112.216275,112.134975,108.6339
112.334175,111.135325,140.8472,112.276775,112.164825,108.65895
112.356275,111.1623,140.86365,112.334975,112.222175,108.675025
112.4066,111.1844,140.9016,112.3631,112.2492,108.688875
