SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC12b,SPK_SPKC13a,SPK_SPKC13b
176.4756,,67.401925,187.864925,43.87225,49.495875
177.158675,,67.455375,188.003425,43.9777,49.779775
177.5655,,67.792425,188.0714,44.088725,49.959475
180.55375,,68.315225,188.1118,44.131075,50.176875
180.714175,,68.459325,188.153025,44.221775,50.242925
180.73875,,68.603,188.195125,44.7836,50.4856
181.562675,,68.800625,188.2117,44.97105,50.525475
182.0632,,68.804625,188.26005,45.23345,50.608825
182.7846,,69.083625,188.3088,45.794975,50.65525
182.87495,,69.207625,188.34525,45.84805,50.69495
182.9094,,69.310825,188.373075,46.0788,50.755975
183.52475,,69.4664,188.438775,46.147875,50.822775
184.408775,,69.652625,188.470575,46.26425,50.9715
184.6439,,69.7891,188.515675,46.577475,51.03445
185.675025,,69.96915,188.691475,46.7582,51.111825
185.70995,,70.09745,188.74645,46.788225,51.16385
186.62325,,70.266525,188.854025,47.34805,51.233025
186.836025,,70.306175,188.91395,47.433325,51.532575
188.598625,,70.85875,188.985325,47.640275,51.582075
189.54765,,71.117025,189.0564,47.805425,51.67575
190.834475,,71.13075,189.146925,47.98775,51.780125
191.429075,,71.30405,189.16565,48.10205,51.86065
191.908775,,71.4381,189.21765,48.104175,51.9165
191.915075,,71.540025,189.3458,48.388725,51.94955
192.330875,,71.874425,189.44555,49.16765,52.315525
192.36425,,71.987475,189.484675,49.3258,53.03525
192.404725,,72.244775,189.5887,49.472625,53.05805
194.438625,,72.392625,189.67115,49.53575,53.0935
194.5697,,72.498725,189.80195,49.845525,53.16955
194.72265,,72.64005,189.86335,49.990025,53.25845
195.2119,,72.83135,189.9102,50.112625,53.34565
195.657275,,72.900925,189.945325,50.214375,53.4013
195.864475,,72.995825,190.129325,50.329125,53.415
196.3052,,73.167925,190.264975,50.507625,53.489575
196.326175,,73.186075,190.31695,50.6764,53.534025
196.412725,,73.304825,190.349025,50.933475,53.58265
196.45685,,73.350825,190.398875,51.0917,53.67835
196.48555,,73.4406,190.499775,51.14335,53.792275
196.4997,,73.569175,190.57095,51.336425,53.8778
196.52285,,73.717025,190.64665,51.458125,54.024475
196.57015,,73.900275,190.783425,51.605,54.074925
196.596825,,74.09105,190.948725,51.63595,54.13045
196.6095,,74.316925,190.99465,51.670325,54.169775
196.9956,,74.478775,191.01065,51.706175,54.193975
197.0566,,74.50295,191.079375,51.751575,54.26155
197.341725,,74.64465,191.2364,51.8193,54.314725
197.471625,,74.6864,191.37955,51.849975,54.33725
197.66105,,74.964275,191.446825,51.875475,54.368625
197.839125,,75.07825,191.5131,51.888275,54.4011
198.0065,,75.132275,191.6597,51.920425,54.539325
198.046725,,75.18475,191.736525,52.010175,54.584125
198.05015,,75.3337,191.79855,52.224225,54.70155
198.06775,,75.430525,191.971025,52.27505,55.882725
198.290625,,75.4468,192.088275,52.325525,56.01965
198.326475,,75.49595,193.773575,52.46565,56.078875
198.339,,75.528175,193.85665,52.6545,56.164
198.60755,,75.637,193.942575,52.85715,56.299775
198.65505,,75.72735,194.0455,52.922575,56.338875
198.671575,,75.9229,194.0899,52.991125,56.463975
198.7186,,76.019225,194.181875,53.28065,56.52765
198.791575,,76.068025,194.31605,53.3717,56.816425
198.85525,,76.131425,194.572775,53.437775,57.080075
198.86205,,76.231875,194.763775,53.601875,57.238775
199.63895,,76.47455,194.95675,53.6639,57.325725
199.7355,,76.548925,195.0808,53.75065,57.73775
199.994875,,76.770275,195.246825,53.85,57.849
,,76.946475,195.412875,53.901475,57.899
,,77.077025,195.49865,53.9364,57.954
,,77.099425,196.25005,54.01615,58.044575
,,77.25375,196.326325,54.062325,58.319875
,,77.396,196.430375,54.138,58.393825
,,77.61685,196.8142,54.253225,58.46435
,,78.0255,196.89785,54.323975,58.51805
,,78.071875,197.00575,54.428725,58.609225
,,78.229175,197.12575,54.518175,58.6541
,,78.394225,197.293225,54.567575,58.8669
,,78.543675,197.3737,54.614225,58.910975
,,78.5483,197.52205,54.68175,58.993125
,,78.685425,198.04675,54.7833,59.094825
,,78.83745,198.4673,54.8625,59.133425
,,78.943125,199.084625,54.958575,59.361225
,,79.006225,199.22365,55.179425,59.460575
,,79.062675,199.3459,55.237925,59.7576
