SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC13b,SPK_SPKC13c
42.3503,3687.72315,3776.339975,,,3643.201925
43.0842,3688.06985,3782.1765,,,3643.6645
43.873675,3688.519575,3782.315575,,,3643.93335
43.94435,3688.621225,3782.41595,,,3645.086975
44.0984,3688.990375,3782.461675,,,3645.256275
44.2166,3689.27725,3783.77375,,,3645.5318
44.274925,3691.9948,3787.58,,,3645.547
44.3008,3695.856825,3789.5922,,,3645.961375
44.3569,3696.198475,3789.606075,,,3646.05115
44.577625,3696.5323,3790.471575,,,3646.285025
45.249875,3696.80795,3791.08685,,,3646.41295
45.475725,3696.913925,3793.683625,,,3646.567075
45.521325,3696.97795,3794.044225,,,3646.911
45.906475,3696.99455,,,,3647.41295
47.06115,3697.132675,,,,3647.804275
47.11345,3697.147375,,,,3649.01195
47.2592,3697.15755,,,,3649.068875
47.5086,3697.683625,,,,3649.14265
47.733575,3702.934525,,,,3649.162275
47.7788,3703.299575,,,,3649.4606
47.86995,3703.419325,,,,3649.610125
48.1042,3703.75375,,,,3649.677375
48.24125,3704.43685,,,,3649.77615
48.7303,3704.585825,,,,3649.930775
49.1151,3704.834525,,,,3650.029925
49.808775,3705.246525,,,,3650.253925
49.8593,3705.95745,,,,3650.55325
50.8337,3706.87575,,,,3650.97045
52.6725,3707.9922,,,,3651.174325
52.983075,3708.394825,,,,3651.318725
53.08925,3708.578225,,,,3651.51055
54.22545,3708.617775,,,,3651.802575
54.3069,3711.7077,,,,3652.27765
55.5019,3711.87025,,,,3652.4334
55.745925,3713.171575,,,,3652.907975
56.3389,3714.271625,,,,3653.023975
56.721475,3714.674225,,,,3653.19875
57.667325,3715.159875,,,,3653.352375
58.090825,3715.52145,,,,3653.67115
58.156925,3717.242125,,,,3654.128875
58.23525,3718.657225,,,,3654.157475
58.5418,3719.002075,,,,3654.6402
58.70575,3719.3185,,,,3655.032675
58.891725,3721.68255,,,,3655.40935
59.757625,3721.9888,,,,3655.571925
59.807125,3722.3288,,,,3655.7508
