SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC16a
21.4435,7.267875,17.06605,33.5102,21.10145,23.729675
21.48,7.318625,17.078225,33.5257,21.177025,23.767825
21.500825,7.3242,17.1159,33.8092,21.289825,23.784275
21.54365,7.344025,17.158775,34.10995,21.295625,23.807225
21.6467,7.41205,17.170425,34.333525,21.30445,23.863825
21.719075,7.440075,17.1756,34.437575,21.315225,23.878675
21.783875,7.450675,17.293175,34.6231,21.34445,23.88715
21.82715,7.463,17.310475,34.6439,21.3676,24.169525
21.85245,7.4784,17.569,34.6776,21.4572,24.31055
22.055125,7.51195,17.584725,34.7377,21.46995,24.497825
22.14655,7.5776,17.594275,34.7426,21.47735,24.524075
22.252675,7.630575,17.601325,34.7446,21.653875,24.850825
22.255925,7.6638,17.741475,34.77935,21.6619,24.8699
22.3102,7.69985,17.760675,34.800275,21.68045,24.874975
22.3724,7.720375,17.925425,35.090075,21.6904,24.9049
22.398475,7.79345,17.9478,35.67105,21.714,24.966575
22.5021,7.800425,17.99105,35.913075,21.7292,24.984025
22.5484,7.82185,17.998775,35.940975,21.74835,25.472475
22.7484,7.8365,18.010125,36.0734,21.75685,25.4926
22.776225,7.87095,18.0114,36.35095,21.785275,25.767
22.809275,7.87925,18.021475,36.6941,21.80015,25.803425
22.8799,7.9479,18.049425,37.057675,21.817025,26.04985
23.183525,7.971425,18.070175,37.116225,22.25895,26.11995
23.282,8.06955,18.1064,37.131275,22.2602,26.130175
23.292225,8.105375,18.13655,37.23005,22.284675,26.1357
23.414875,8.119375,18.1436,37.323675,22.2972,26.180925
23.53965,8.15485,18.32725,37.5629,22.316225,26.374225
23.795725,8.183,18.330825,37.6557,22.473225,26.793075
23.84725,8.1919,18.362475,37.742875,22.4877,26.8597
23.8541,8.200675,18.372775,37.774275,22.552875,27.1764
24.08765,8.208525,18.39915,38.1506,22.6641,27.20655
24.11495,8.222425,18.471175,38.226925,23.104925,27.512025
24.133475,8.32175,18.67215,38.3231,23.124075,27.8603
24.212725,8.32735,18.686175,38.335725,23.13535,27.8621
24.310825,8.334025,18.7014,38.372875,23.144025,27.871
24.34965,8.355525,18.72375,38.402125,23.16715,28.05445
24.4914,8.364375,18.839725,38.449175,23.16925,28.171625
24.654325,8.373025,18.918675,38.499375,23.2084,28.2599
24.67355,8.40935,19.049325,38.55885,23.266225,28.48085
24.831225,8.428175,19.0653,38.610775,23.270275,28.494075
24.857975,8.4686,19.068225,39.011,23.328825,28.5657
24.875925,8.474725,19.075325,39.023125,23.6277,28.61075
24.902775,8.503275,19.09835,39.062275,23.81185,28.621475
24.94595,8.532025,19.1507,39.53675,23.821475,28.868425
25.1022,8.538275,19.35615,39.83965,23.84995,28.9832
25.2728,8.547975,19.4721,39.90515,23.887175,28.985725
25.29945,8.615275,19.480125,39.961175,23.9181,29.023375
25.48415,8.727875,19.4879,40.23165,23.982375,29.24095
25.517825,8.790625,19.563525,40.25595,24.0237,29.315925
25.634875,8.79775,19.573575,40.43005,24.0845,29.341375
25.8171,8.83095,19.666575,40.517225,24.550175,29.46045
25.90415,8.846175,19.745375,40.8338,24.6493,29.51685
25.97785,8.86185,19.752125,40.912475,24.869925,29.568175
26.159875,8.9594,19.98865,41.568675,24.88115,29.61765
26.175875,9.0093,20.0297,41.574925,24.892725,29.9959
26.187325,9.137225,20.05235,41.836125,24.945775,30.051325
26.202375,9.180675,20.10195,42.056975,24.949125,30.171925
26.273375,9.20135,20.115925,42.47515,25.070525,30.249
26.294775,9.203575,20.324225,42.78545,25.189675,30.33755
26.423275,9.3133,20.553525,42.871475,25.39095,30.402725
26.474975,9.388275,20.721675,43.412375,25.3941,30.469875
26.50345,9.5501,20.88725,43.509075,25.40475,30.5252
26.521525,9.658975,20.89465,43.709725,25.42805,30.6515
26.563475,9.664475,20.939,44.2229,25.613675,30.706675
26.808525,9.6659,21.038,44.557975,25.76035,30.77395
27.045275,9.67355,21.04045,44.56565,25.817575,30.882375
27.0887,9.67985,21.071475,44.570625,25.928625,30.89925
27.1134,9.6824,21.10485,44.603475,26.01965,30.909425
27.171275,9.6901,21.113875,45.155125,26.06205,30.9645
27.181775,9.692775,21.133825,45.1836,26.14415,30.9748
27.243825,9.694625,21.14935,45.29505,26.1629,31.0373
27.289,9.69685,21.16905,45.366625,26.214275,31.443875
27.354425,9.719475,21.194,45.768125,26.325475,31.447875
27.456675,9.7249,21.20065,45.929,26.435025,31.46855
27.476525,9.72795,21.237475,45.946375,26.4589,31.501675
27.50475,9.74085,21.265075,46.078925,26.536475,31.52555
27.602925,9.750125,21.27815,46.328025,26.566675,31.722
27.811075,9.761675,21.30355,46.499475,26.626925,32.030825
27.844775,9.769475,21.3313,46.705575,26.711325,32.0414
27.92355,9.78735,21.3594,46.722575,26.79315,32.101975
27.975775,9.798125,21.361225,47.2261,26.854625,32.10365
28.01295,9.80495,21.383025,47.489175,26.8698,32.150275
28.082575,9.85035,21.4103,47.6704,27.08595,32.27595
28.322425,9.863125,21.431175,47.748425,27.143,32.433925
28.436175,9.8885,21.432575,48.309625,27.155075,32.576225
28.457425,9.9189,21.468975,48.388,27.1691,32.7154
28.476325,9.9311,21.479625,48.39225,27.185925,32.994
28.506575,9.97675,21.525275,48.433025,27.205075,33.058475
28.5522,9.98755,21.5553,48.553725,27.217725,33.347025
28.6066,9.992225,21.57235,48.6114,27.3292,33.54255
28.65075,10.031925,21.598075,49.016725,27.354225,33.575825
28.76755,10.04565,21.6108,49.086525,27.4426,33.646125
28.8162,10.0838,21.801675,49.093,27.550575,33.721
28.965825,10.104475,21.8556,49.116175,27.673825,34.07385
28.994625,10.1176,21.8625,49.21905,27.792775,34.120975
29.096275,10.1218,21.96665,49.382275,27.831425,34.12245
29.155175,10.1493,22.0662,49.769,27.872125,34.137075
29.210225,10.2158,22.09145,50.170175,27.8858,34.234525
29.4199,10.32155,22.198775,50.17635,28.0613,34.62285
29.5365,10.34515,22.239475,50.260075,28.354575,34.665525
29.73005,10.36355,22.25565,50.306275,28.3649,34.7563
29.903475,10.419125,22.297225,50.35655,28.387975,34.892
30.089675,10.4466,22.35465,50.35975,28.4237,35.13175
30.10335,10.468025,22.358975,50.369075,28.499225,35.1674
30.12905,10.492625,22.42385,50.38445,28.506425,35.182375
30.30785,10.503375,22.429225,50.4406,28.527725,35.24435
30.3366,10.510425,22.4404,50.556675,28.6623,35.5365
30.394225,10.51465,22.46375,50.5752,28.786275,35.7937
30.509475,10.53205,22.50285,50.621575,28.903625,35.914425
30.586125,10.5467,22.539875,50.943875,28.935075,35.95425
30.7899,10.571175,22.551375,50.96485,28.94195,35.967925
30.944575,10.57665,22.59265,50.972875,28.980875,36.100275
31.044225,10.595625,22.595325,50.984775,29.012075,36.239575
31.11745,10.64145,22.6241,51.01465,29.1279,36.393925
31.150975,10.808725,22.74735,51.4465,29.3516,36.419125
31.159775,10.82365,22.920825,51.618825,29.35475,36.501375
31.4449,10.848825,22.929075,52.30335,29.4428,36.607125
31.486325,10.880225,23.043925,52.346775,29.487875,36.6846
31.572975,10.92955,23.119875,52.385025,29.50365,36.865525
31.622075,10.960925,23.132375,52.45475,29.504775,37.049675
31.645425,10.999075,23.144075,52.5034,29.5157,37.08455
31.681175,11.04175,23.1603,52.958425,29.5344,37.10115
31.71175,11.119725,23.174225,53.49285,29.56665,37.123325
31.762325,11.191875,23.2275,53.793975,29.712825,37.128725
31.871125,11.241175,23.2666,55.03875,29.74765,37.3452
31.9819,11.281775,23.272775,55.047025,29.790025,37.449175
32.025475,11.29015,23.278675,55.07275,29.98865,37.538875
32.16015,11.2953,23.39415,55.09555,30.0511,37.5573
32.163775,11.298375,23.46255,55.2907,30.114725,37.59985
32.17905,11.323175,23.5315,55.50425,30.167125,37.6734
32.19475,11.332425,23.79415,55.5648,30.191125,37.926675
32.298875,11.35365,23.7987,55.708575,30.227475,37.956625
32.31865,11.355225,24.059975,55.7556,30.249775,38.105925
32.556225,11.396075,24.16095,56.251025,30.43155,38.171775
32.616025,11.404125,24.320675,57.021775,30.538275,38.316025
32.812775,11.4102,24.36375,57.15375,30.688275,38.3212
32.8281,11.43035,24.3833,57.302475,30.790125,38.333525
32.881625,11.440725,24.446425,57.7341,30.964625,38.368525
32.900675,11.458925,24.470375,57.8008,30.986925,38.408375
32.99425,11.47635,24.516975,58.1074,30.997675,38.41105
33.25035,11.494175,24.6432,58.184625,31.00085,38.42035
33.3412,11.53145,24.66465,58.4528,31.01085,38.55495
33.42675,11.54095,24.792075,58.77445,31.052125,38.7649
33.438875,11.623125,24.81645,58.803525,31.086825,38.858275
33.508325,11.66925,24.915875,58.8508,31.107,38.954025
33.579575,11.709225,24.924925,59.110325,31.233775,39.047425
33.616925,11.7906,24.9568,59.45415,31.31305,39.06195
33.6753,11.834475,24.98855,59.5702,31.4318,39.072625
33.758525,11.869925,24.994675,59.594025,31.454725,39.32285
33.832975,11.889475,25.02205,59.59945,31.456,39.402875
33.865575,11.912375,25.091375,59.615475,31.47215,39.4228
34.075625,11.926575,25.11705,60.0192,31.50775,39.4286
34.085625,11.943,25.267375,60.272425,31.60405,39.467325
34.0934,11.9831,25.35035,60.286875,31.6326,39.689625
34.105,12.0141,25.39665,60.380925,31.730575,39.804175
34.16315,12.0446,25.407775,60.401825,32.1941,39.866425
34.281825,12.084525,25.418375,60.795625,32.219625,39.989525
34.3097,12.11405,25.443075,61.0764,32.27325,40.3188
34.339,12.16325,25.44555,61.2751,32.2909,40.38995
34.67105,12.166875,25.44865,61.33435,32.421025,40.4328
34.95525,12.238175,25.4666,62.2042,32.535575,40.53435
35.0247,12.2602,25.483925,62.7206,32.89555,40.89825
35.066475,12.383525,25.5261,63.062775,32.98785,40.901075
35.1434,12.431775,25.557775,63.38365,33.255425,40.9031
35.3274,12.4499,25.566675,63.815975,33.467375,40.9651
35.372475,12.464525,25.770775,63.822775,33.492925,41.046975
35.567325,12.532025,25.795125,63.86025,33.53915,41.0912
35.619425,12.533425,25.8122,63.986225,33.594725,41.132725
35.7166,12.56425,25.815575,64.264,33.6418,41.245375
35.7606,12.580475,26.159325,64.35595,33.701225,41.2824
35.77575,12.589675,26.18705,64.447375,33.728075,41.3519
35.80335,12.6038,26.199175,64.97175,33.8356,41.4937
35.912875,12.60795,26.2797,65.613725,33.906175,41.606725
35.931,12.648725,26.280775,65.654975,34.05945,41.754225
35.972175,12.668825,26.342,65.9894,34.094925,41.8753
35.99945,12.683475,26.43245,66.259475,34.096075,41.9059
36.054875,12.7112,26.45215,66.296025,34.1228,42.09195
36.224475,12.754675,26.4728,66.3278,34.224225,42.288875
36.369575,12.771675,26.48105,66.3354,34.639275,42.314075
36.438,12.8069,26.5236,66.35005,34.651325,42.457175
36.501575,12.84265,26.57375,66.7064,34.71255,42.501625
36.5352,12.9261,26.61245,66.7222,34.74,42.58935
36.6435,13.060675,26.74965,66.86565,34.756325,42.827025
36.670575,13.12265,26.83825,67.663775,34.998275,42.8794
36.714825,13.180775,26.852975,67.968,35.096075,43.038725
36.76445,13.2448,26.864075,68.18325,35.128725,43.15125
36.8422,13.280125,26.891825,68.5543,35.152725,43.366625
37.00145,13.3462,27.047775,68.624525,35.440325,43.409575
37.0513,13.421225,27.060775,68.690175,35.76325,43.44025
37.074075,13.459125,27.0896,68.815125,35.8753,43.464375
37.084675,13.512575,27.185975,68.833325,35.876825,43.90975
37.113025,13.525725,27.204975,68.87035,35.9308,43.911
37.1636,13.54855,27.22725,68.906225,35.949,43.912875
37.178575,13.561425,27.275875,68.9181,36.020775,43.9147
37.41965,13.604925,27.39725,68.931125,36.095775,43.9423
37.449425,13.62825,27.452925,69.323875,36.175475,44.073525
37.552175,13.69005,27.508225,69.782325,36.42195,44.094275
37.5765,13.708275,27.852175,69.9662,36.77805,44.3448
37.65855,13.7308,27.86875,70.336775,36.7894,44.745175
37.9008,13.7471,27.89855,71.030225,37.132975,44.92695
38.20305,13.83835,28.028625,71.153775,37.1874,45.11205
38.236675,13.89285,28.14545,71.72985,37.242825,45.1237
38.279625,13.934925,28.1918,72.1474,37.3068,45.161475
38.3087,13.956175,28.335225,72.1541,37.3311,45.236625
38.3942,13.9634,28.438525,72.215675,37.66105,45.294825
