SPK_SPKC02a (NA),SPK_SPKC05b (NA),SPK_SPKC06a (weak excitation),SPK_SPKC10a (short excitation),SPK_SPKC11a (no effect)
69.94375,135.42585,11.03705,12.45785,15.91465
70.016875,135.481925,11.083275,12.484925,15.921175
70.20935,137.622625,11.130175,12.504525,15.97405
70.36995,137.73915,11.1864,12.565125,15.982875
70.503025,137.80025,11.2755,12.57945,16.0252
70.894125,137.9206,11.314,12.616425,16.1132
71.254625,137.932625,11.342775,12.642625,16.135525
71.2972,138.162375,11.384775,12.6747,16.172475
71.353175,138.480875,11.422,12.68865,16.311275
71.6497,138.519775,11.4566,12.70665,16.358075
71.974875,138.668525,11.498725,12.749825,16.446325
72.011775,138.87135,11.5811,12.7814,16.46495
72.221575,139.077775,11.6322,12.805675,16.525625
72.37795,139.742525,11.6513,12.82565,16.661375
72.417975,139.763075,11.682175,12.85965,16.8111
72.496925,140.063125,11.7122,12.9233,16.84555
72.59115,140.101125,11.772475,12.964175,16.861575
73.18755,140.447375,11.8158,12.989675,16.934825
73.5316,140.589025,11.877275,13.038475,16.9641
74.01945,140.6972,11.933675,13.064825,17.149475
74.139575,141.115975,11.957175,13.113975,17.225025
74.185925,141.1369,11.9816,13.1537,17.27005
74.317175,141.642675,12.00155,13.20015,17.31595
74.45775,141.756625,12.04875,13.2512,17.39855
75.006675,141.946225,12.073,13.268125,17.41055
75.0602,142.00935,12.09055,13.42395,17.4238
75.133975,142.0452,12.1016,13.435975,17.5782
75.4549,142.2408,12.1421,13.461,17.607425
75.882675,142.323725,12.181575,13.484175,17.759375
76.215675,142.431575,12.221075,13.501675,17.7809
76.876425,142.47355,12.2483,13.523475,17.842925
77.099975,143.441975,12.267775,13.545175,17.925325
77.19935,143.685325,12.3101,13.579625,17.963725
77.32805,144.409825,12.3883,13.6347,18.03295
77.609925,145.053375,12.406325,13.666825,18.0583
77.7693,145.296175,12.429825,13.685775,18.166225
77.807825,145.893925,12.465125,13.722125,18.2023
77.8496,146.031275,12.5232,13.763375,18.242525
79.24125,146.15995,12.58245,13.849525,18.279525
79.254575,146.381125,12.614625,13.963675,18.383425
79.32505,146.4613,12.6244,13.98345,18.391425
79.52895,146.484075,12.677675,14.0259,18.398475
79.69835,146.731625,12.697075,14.037625,18.402175
79.75975,146.832475,12.715825,14.08955,18.407075
79.8594,147.6509,12.799275,14.116125,18.444525
79.947275,147.78115,12.836575,14.2486,18.459275
80.005975,147.803425,13.00635,14.270375,18.5196
80.197725,148.145025,13.13915,14.3094,18.541125
80.233825,148.1818,13.178525,14.324575,18.581475
80.498375,148.4413,13.204475,14.340725,18.643625
80.653225,148.6447,13.23605,14.353425,18.65435
80.7377,149.51855,13.27615,14.36855,18.6959
81.12215,149.61695,13.314525,14.382175,18.7474
81.362975,149.6495,13.35225,14.4485,18.77305
81.49315,149.8194,13.402,14.51605,18.783975
81.65705,150.3958,13.450175,14.611125,18.813075
