SPK_SPKC04a (excited),SPK_SPKC04b (excited),SPK_SPKC12a (excited)
17.3916,297.65365,276.742425
17.407,298.620775,276.93695
17.41325,298.679325,277.176175
17.425675,299.71915,277.778425
17.44865,300.203375,277.79665
17.498925,300.5355,278.30965
17.5206,300.637775,278.54565
17.540925,300.78495,278.961925
17.571225,301.75005,279.102675
17.610175,302.12905,279.3715
17.65155,302.151775,279.569575
17.6782,302.497275,279.79475
17.69695,302.519775,279.868525
17.719575,302.5951,279.964775
17.72605,302.86265,279.989275
17.75005,303.121225,280.0454
17.771525,303.1582,281.880675
17.774525,303.1708,282.08155
17.814925,303.1769,282.289775
17.82775,303.942675,282.296175
17.86425,304.853075,283.24415
17.8918,305.90325,283.591875
17.926275,306.097,284.095625
17.93245,306.704525,284.238525
17.9605,306.90905,285.042575
18.01545,306.911275,285.05325
18.05875,307.0721,285.2961
18.0843,307.117625,285.46535
18.100675,307.20635,285.8352
18.1174,307.290825,286.2238
18.13215,307.449675,286.651025
18.14045,307.92745,287.419775
18.145075,307.930925,287.72575
18.17665,307.9652,288.133525
18.189625,308.0427,288.2864
18.201975,308.04765,288.4629
18.2184,309.06105,288.727775
18.23325,309.251475,288.93665
18.25885,309.4297,289.182025
18.277775,309.952,289.20125
18.312575,311.59015,289.381
18.361625,312.1485,289.55915
18.37045,312.16265,290.4393
18.3892,312.4225,290.513325
18.398325,313.025025,290.8321
18.4547,313.852775,290.8363
18.474175,313.901025,291.0052
18.514875,313.96485,291.046925
18.5526,314.2902,291.06465
18.561775,314.409975,291.35605
18.5838,314.62965,291.38815
18.61165,314.782775,291.9646
18.64765,315.1766,292.12805
18.664125,315.41265,292.32215
18.686075,315.501475,292.553
18.6957,315.88935,292.660675
18.71085,316.1093,292.707225
18.7536,316.20385,292.715175
18.762025,316.452875,292.724175
18.7733,316.587875,292.775775
18.818425,316.624275,293.013525
18.857875,316.9597,293.339775
18.870275,317.019425,293.393375
18.91115,317.085075,293.435125
18.960175,317.122875,293.665725
18.985425,317.143275,294.4753
19.007125,317.4261,294.7124
19.036975,317.776075,294.8812
19.045125,317.853575,295.060925
19.093725,318.19825,295.073825
19.129075,319.223175,295.108625
19.141625,319.490775,295.551625
19.15575,319.831575,296.13655
19.1774,320.104575,296.420175
19.211325,320.3949,296.4674
19.214525,320.456775,296.97815
19.2192,320.7927,297.25345
19.252275,320.809925,297.295325
19.2875,321.0214,297.346725
19.30935,321.200625,297.550675
19.3307,321.21125,299.27915
19.3352,321.2205,299.474125
19.38325,321.77275,299.781725
19.4063,321.834025,300.27155
19.426475,322.35,300.50495
19.44965,322.358475,300.6065
19.4773,322.658675,301.369475
19.491075,322.6729,301.46495
19.50335,323.141525,301.932075
