SPK_SPKC03a (late inhi),SPK_SPKC11a (inhi)
357.22365,386.088875
357.25235,386.16125
357.262425,386.200075
357.27775,386.25365
357.299375,386.309875
357.336075,386.35615
357.374725,386.385
357.39355,386.424975
357.411975,386.4769
357.439425,386.576025
357.453275,386.6226
357.469175,386.677975
357.485875,386.72855
357.496375,386.807775
357.5138,386.86445
357.5257,386.906125
357.542125,386.940325
357.562025,386.990925
357.579125,387.0238
357.599175,387.0501
357.634875,387.10865
357.668125,387.155725
357.703025,387.231375
357.73355,387.29595
357.750675,387.34015
357.760675,387.37395
357.7684,387.41045
357.77935,387.459925
357.7924,387.509675
357.812325,387.630525
357.82825,387.686125
357.847275,387.744125
357.873475,387.781025
357.8924,387.8703
357.93475,387.975925
358.043675,388.0482
358.0589,388.1012
358.083225,388.186525
358.091275,388.21985
358.1013,388.252375
358.120475,388.2996
358.13925,388.34155
358.217725,388.383725
358.256875,388.446475
358.36,388.4739
358.367875,388.478475
358.37275,388.509625
358.399725,388.531625
358.4061,388.581025
358.426825,388.6239
358.473875,388.6778
358.596425,388.7156
358.6522,388.749675
358.678875,388.86255
358.711475,388.931325
358.72445,389.029725
358.751675,389.080575
358.77995,389.158475
358.84585,389.232225
358.9091,389.305125
358.9437,389.38705
358.9512,389.4296
358.9584,389.47195
358.979175,389.515525
358.998725,389.5511
359.020675,389.6274
359.0435,389.67705
359.0672,389.735825
359.087225,389.78595
359.128225,389.85455
359.244875,389.92625
359.2766,390.01165
359.2925,390.04735
359.312,390.10735
359.325025,390.1633
359.32975,390.2582
359.33745,390.449375
359.345675,390.518475
359.35495,390.54805
359.381325,390.605375
359.39,390.7154
359.5128,390.79885
359.55645,390.854975
359.657225,390.89945
359.687275,390.96005
359.7003,391.00675
359.704625,391.104475
359.7185,391.17205
359.74455,391.229325
359.766925,391.29605
359.785425,391.348275
359.799725,391.383175
359.930625,391.41535
360.004225,391.458225
360.024225,391.502175
360.04255,391.556925
360.05385,391.586375
360.067675,391.625075
360.079925,391.6547
360.107675,391.6822
360.1429,391.70985
360.17455,391.753125
360.278925,391.814825
360.331625,391.86265
360.376,391.90905
360.406525,391.93935
360.4379,391.9674
360.454475,392.060225
360.47615,392.121075
360.488425,392.157225
360.495725,392.1973
360.507375,392.231625
360.529425,392.287025
360.559675,392.3271
360.631725,392.35175
360.657725,392.384525
360.69305,392.4113
360.714175,392.4695
360.741325,392.48995
360.7597,392.555475
360.798925,392.613625
360.93595,392.707675
361.011775,392.76325
361.113375,392.783625
361.13285,392.818175
361.145675,392.85705
361.15605,392.949875
361.17025,392.987725
361.204775,393.0248
361.28575,393.0569
361.403225,393.094325
361.4416,393.1343
361.454175,393.1747
361.493575,393.197675
361.519825,393.24575
361.54205,393.284825
361.563275,393.312625
361.5919,393.3481
361.6496,393.435975
361.675575,393.4922
361.73965,393.518475
361.76155,393.5665
361.7978,393.638375
361.824275,393.6506
361.851775,393.709775
361.86935,393.780225
361.887075,393.81705
361.916525,393.879175
361.9394,393.923925
361.970725,393.941725
362.02735,393.94975
362.09885,393.97255
362.1597,394.01585
362.199825,394.098425
362.225225,394.112875
362.323925,394.19105
362.37385,394.243475
362.450725,394.30195
362.48235,394.350425
362.5218,394.4122
362.6468,394.459625
362.7099,394.542
362.809025,394.58295
362.85575,394.635075
362.883625,394.6963
362.90795,394.75825
362.923375,394.811925
362.9484,394.86895
362.985,394.9075
363.01415,394.9377
363.100925,395.02985
363.15185,395.0954
363.1935,395.14255
363.239775,395.190825
363.288775,395.2363
363.3161,395.2839
363.34135,395.325075
363.4362,395.363825
363.463125,395.424
363.492625,395.48545
363.514825,395.55495
363.544275,395.621075
363.562625,395.6433
363.5806,395.711725
363.6108,395.785975
363.629575,395.83885
363.64515,395.90315
363.677625,395.972025
363.699725,396.0059
363.7728,396.062575
363.828125,396.104575
363.86485,396.155825
363.9137,396.2193
363.95375,396.27165
363.99685,396.30275
364.037725,396.38675
364.0712,396.4392
364.112775,396.4959
364.14135,396.53915
364.169375,396.641625
364.196225,396.682225
364.247475,396.785675
364.282775,396.853675
364.317825,396.9208
364.335975,396.972025
364.350075,397.010825
364.3663,397.0627
364.378025,397.131875
364.404425,397.185075
364.4199,397.2204
364.441825,397.25725
364.463325,397.315625
364.48115,397.3857
364.50435,397.459075
364.52315,397.5184
364.544925,397.555
364.563075,397.5895
364.584525,397.6941
364.614675,397.75535
364.632475,397.8099
364.64535,397.847025
364.68205,397.88895
364.731925,397.921475
364.763725,397.95
364.7868,397.98435
364.80085,398.049625
364.830425,398.196425
364.851425,398.258075
364.86805,398.34745
364.92145,398.381825
364.945725,398.491775
364.9616,398.5784
364.985,398.630775
365.0116,398.70105
365.046125,398.7378
365.084975,398.776275
365.137275,398.835475
365.152575,398.90085
365.20005,398.9611
365.24535,399.0224
365.278875,399.10095
365.326,399.2089
365.375975,399.258875
365.430575,399.29365
365.473675,399.332025
365.51015,399.398925
365.535775,399.47785
365.55195,399.522625
365.5966,399.600775
365.61515,399.6656
365.633225,399.730275
365.6681,399.82215
365.69975,399.886425
365.71885,399.9495
365.735125,399.975
365.75035,400.008675
365.7695,400.04775
365.8035,400.1169
365.8233,400.217875
365.8597,400.271075
365.878075,400.30575
365.90495,400.3446
365.9254,400.5401
365.968125,400.60395
366.0114,400.648475
366.02645,400.716075
366.0532,400.7704
366.074375,400.797175
366.09735,400.82545
366.16525,400.8761
366.217275,400.93495
366.2448,400.995125
366.264425,401.04075
366.284275,401.103725
366.303175,401.2317
366.323125,401.2707
366.366925,401.322475
366.402275,401.326
366.4472,401.4094
366.495,401.483025
366.564475,401.5331
366.597325,401.5709
366.616075,401.600325
366.625525,401.641575
366.638775,401.690825
366.655925,401.717725
366.6755,401.851725
366.696025,401.9149
366.715925,401.96685
366.72885,402.0014
366.74895,402.042825
366.772175,402.0907
366.789425,402.198925
366.8069,402.245225
366.827275,402.303025
366.84405,402.36175
366.866175,402.390675
366.8919,402.462075
366.9093,402.5103
366.925225,402.564575
366.9419,402.608775
366.973325,402.654175
366.993525,402.698525
367.011575,402.73415
367.052075,402.763875
367.0724,402.8883
367.0932,402.934125
367.125675,402.994425
367.15465,403.080225
367.18715,403.083075
367.222975,403.1236
367.25015,403.17115
367.279075,403.215375
367.309,403.25665
367.332825,403.3194
367.372525,403.363525
367.40455,403.378675
367.4415,403.40885
367.49845,403.419675
367.5229,403.467975
367.54245,403.508275
367.614675,403.567275
367.672125,403.63175
367.700325,403.661225
367.723075,403.707825
367.73685,403.73515
367.753325,403.77415
367.7732,403.830725
367.790575,403.86625
367.807175,403.92075
367.82515,403.9773
367.83955,404.012725
367.863225,404.0484
367.89005,404.085325
367.926,404.115125
367.962525,404.1722
368.10345,404.251875
368.13855,404.308175
368.168125,404.341025
368.188,404.3743
368.200475,404.4201
368.2367,404.46515
368.25365,404.4959
368.27175,404.5905
368.2939,404.622725
368.320075,404.6412
368.35025,404.681825
368.38125,404.72105
368.412875,404.74455
368.45885,404.7911
368.515925,404.897775
368.540825,404.96335
368.566,404.995
368.589575,405.038575
368.610675,405.073
368.6384,405.1347
368.657125,405.267075
368.6796,405.299375
368.713975,405.333025
368.735075,405.374425
368.7716,405.427225
368.796475,405.589075
368.930475,405.648075
368.99215,405.675375
369.039625,405.7174
369.086625,405.757325
369.105125,405.83935
369.136475,405.883125
369.175275,405.9369
369.267,405.990825
369.31545,406.026875
369.391175,406.070875
369.4324,406.120925
369.53645,406.253075
369.5641,406.288225
369.619775,406.362275
369.73085,406.394525
369.81145,406.446225
369.83655,406.535375
369.858275,406.599975
369.88775,406.712575
369.90295,406.781425
369.930325,406.84555
369.9472,406.902075
369.9771,406.95915
369.99775,407.0088
370.03355,407.060925
370.20585,407.10625
370.329125,407.157
370.381925,407.264
370.429375,407.3531
370.451325,407.406625
370.555275,407.4549
370.66165,407.4955
370.75025,407.555025
370.814975,407.617675
370.8745,407.672725
370.949275,407.77185
370.9844,407.830475
371.015125,407.8908
371.032175,407.9511
371.042725,407.99565
371.0658,408.098875
371.08235,408.1732
371.091225,408.29695
371.119275,408.34495
371.14715,408.348475
371.1683,408.40825
371.192225,408.45305
371.2584,408.489875
371.298475,408.545075
371.3166,408.640075
371.34475,408.7265
371.367775,408.8264
371.395875,408.9196
371.418,408.963225
371.44735,408.9803
371.4924,408.992225
371.5241,409.02765
371.580425,409.08165
371.61505,409.165425
371.65765,409.2349
371.6886,409.302525
371.79365,409.3477
371.88635,409.38795
371.9142,409.459075
371.938725,409.495975
371.9807,409.505525
372.0067,409.61215
372.0275,409.648675
372.116775,409.690625
372.156875,409.736825
372.18185,409.78575
372.204775,409.838025
372.2205,409.880625
372.250025,409.92525
372.269125,409.968425
372.279825,410.0073
372.293475,410.07395
372.314,410.1474
372.33825,410.19095
372.3585,410.25665
372.37575,410.33515
372.41575,410.3674
372.456675,410.435275
372.50465,410.470125
372.5354,410.535725
372.574025,410.6228
372.6064,410.68425
372.62865,410.772325
372.63565,410.8285
372.66565,410.89595
372.677975,410.949325
372.68715,411.00845
372.699025,411.038425
372.71115,411.051975
372.7299,411.078475
372.7592,411.12715
372.77515,411.20315
372.790975,411.24925
372.811225,411.30895
372.82475,411.386125
372.847975,411.41985
372.8738,411.4509
372.9051,411.546075
372.9236,411.5827
372.932825,411.6468
372.9456,411.703075
372.96505,411.8297
372.996525,411.843325
373.012375,411.84715
373.061375,411.892525
373.091775,411.89395
373.121975,411.987825
373.14335,412.031525
373.1785,412.06935
373.206125,412.100225
373.25665,412.13805
373.283275,412.161175
373.30965,412.2126
