SPK_SPKC05a (excited),SPK_SPKC07a (excited),SPK_SPKC08a (inhibited),SPK_SPKC13b (no effect),SPK_SPKC16a (excited)
23.19195,23.261,19.2758,7.732775,7.486
23.235325,23.2788,19.44545,7.75165,7.527875
23.26655,23.380275,19.80545,7.766725,7.612525
23.4649,23.39555,19.895775,7.78575,7.664675
23.5047,23.414825,20.10815,7.814625,7.701425
23.516825,23.4798,20.245275,7.857,7.727875
23.5277,23.7645,20.33675,7.9008,7.75195
23.5744,23.87245,20.381525,7.915025,7.789875
23.7027,24.117875,20.54125,7.972575,7.813525
23.91325,24.19925,20.607875,8.0293,7.9728
23.935575,24.323675,20.673425,8.0619,7.9836
23.951375,24.7121,20.74995,8.088625,7.992025
23.983275,24.77825,20.80195,8.096,8.012
24.038025,24.874875,20.890375,8.127425,8.021925
24.115175,24.936475,20.961775,8.17915,8.0786
24.3469,25.0091,21.067525,8.259375,8.087675
24.381925,25.060125,21.1219,8.293975,8.144225
24.4207,25.25105,21.123225,8.3057,8.161375
24.46415,25.266275,21.194775,8.3406,8.18585
24.6618,25.5968,21.24895,8.3662,8.193475
24.86945,25.668675,21.433525,8.3878,8.27905
25.11455,25.7133,21.8715,8.43085,8.29595
25.189925,25.74085,22.060875,8.465825,8.312975
25.587525,25.775,22.0929,8.49535,8.3324
25.87065,25.85055,22.203575,8.5906,8.3848
25.894875,25.90345,22.3709,8.62415,8.415475
25.931175,26.081525,22.467025,8.67155,8.45765
25.951025,26.18925,22.532075,8.7018,8.478525
26.045925,26.2618,22.620375,8.7227,8.5047
26.093075,26.3059,22.866,8.739325,8.56465
26.137875,26.402075,22.996175,8.76365,8.611
26.5544,26.428825,23.1624,8.819675,8.63
26.635525,26.55625,23.3103,8.88505,8.679975
26.6443,26.60935,23.3602,8.916025,8.707
26.66465,26.62975,23.388275,8.954175,8.724725
26.68825,26.79925,23.4188,8.97965,8.739375
26.735725,26.937175,23.470475,9.000125,8.766175
27.05635,26.998375,23.513475,9.0264,8.774625
27.09425,27.2203,23.5343,9.0807,8.980725
27.136925,27.305925,23.675475,9.1942,9.014775
27.18045,27.377,23.735375,9.218475,9.026775
27.230375,27.41735,23.789975,9.24095,9.048675
27.2728,27.441175,23.839625,9.276625,9.075875
27.3928,27.49665,23.875325,9.284325,9.14505
27.59205,27.5367,23.90395,9.328125,9.16385
27.6289,27.64735,23.9553,9.3461,9.228125
27.722875,27.727475,24.003375,9.36735,9.24845
27.857925,27.759025,24.0926,9.40415,9.251575
27.9593,27.76785,24.17345,9.462525,9.26045
28.0979,27.8206,24.204775,9.516525,9.2811
28.17135,27.91795,24.403075,9.577525,9.34725
28.211,28.343225,24.530675,9.598025,9.366475
28.375775,28.409475,24.620525,9.624425,9.3765
28.4042,28.496,24.681425,9.628075,9.393375
28.422075,28.62855,24.737875,9.648325,9.50745
28.4765,28.76945,24.803025,9.6841,9.55205
28.54135,28.84205,24.8651,9.70565,9.563875
28.5824,28.887875,24.881775,9.7368,9.572525
28.7529,29.105825,24.925875,9.769625,9.579775
28.7989,29.423675,25.017475,9.799275,9.585075
28.813725,29.5249,25.085875,9.82335,9.601725
28.846125,29.69135,25.162825,9.829125,9.6161
28.9535,29.880325,25.246075,9.847925,9.62525
28.996475,30.00005,25.27265,9.889075,9.6422
29.053075,30.1385,25.329525,9.91545,9.6575
29.090675,30.21315,25.3777,9.941025,9.700225
29.248475,30.263125,25.41845,9.9929,9.767475
29.354925,30.3153,25.554925,10.024525,9.7752
29.430675,30.414175,25.6707,10.08455,9.8126
29.47945,30.507975,25.71355,10.1001,9.835025
29.587275,30.553275,25.72775,10.14225,9.843275
29.631575,30.6678,25.7711,10.264875,9.853525
29.788625,30.85335,25.830525,10.36135,9.860425
29.853175,30.9922,25.9051,10.386575,9.875225
29.89455,31.0475,26.1156,10.406225,9.89345
29.90645,31.126275,26.2073,10.45605,9.90745
29.95815,31.3301,26.267225,10.48415,9.913125
30.0134,31.41475,26.29245,10.564875,9.938925
30.08005,31.49125,26.31965,10.594075,9.968975
30.1384,31.5488,26.363275,10.6551,10.0014
30.301775,31.6135,26.460325,10.686325,10.0718
30.3461,31.685525,26.58375,10.73915,10.084775
30.4007,31.788325,26.61695,10.783525,10.150575
30.44555,31.84075,26.66315,10.8709,10.20695
30.515275,31.955425,26.88155,10.89895,10.24645
30.5638,32.049725,26.9077,10.988175,10.2587
30.62105,32.165575,26.940825,11.060775,10.2753
30.721025,32.27345,26.988475,11.115725,10.2897
30.8413,32.368775,27.040425,11.160575,10.304425
30.894,32.4704,27.10475,11.215525,10.31585
31.0167,32.524,27.229775,11.260975,10.33835
31.0543,32.607475,27.282575,11.353125,10.347675
31.139225,32.75665,27.327,11.369475,10.36765
31.19445,32.92195,27.423025,11.383825,10.413625
31.28115,33.013575,27.482375,11.3961,10.43065
31.358825,33.130275,27.5136,11.401575,10.447125
31.437125,33.239875,27.5761,11.444175,10.4893
31.505375,33.31645,27.650375,11.4618,10.4968
31.608025,33.37485,27.6964,11.468725,10.52025
31.7585,33.4837,27.75905,11.47185,10.52975
31.7986,33.582675,27.807975,11.492125,10.545125
31.85245,33.670525,27.953425,11.5036,10.644125
31.99115,33.707,28.03975,11.51535,10.716
32.147125,33.763975,28.13395,11.5245,10.723375
32.178725,33.8362,28.20725,11.54005,10.738325
32.193275,33.882125,28.249075,11.548525,10.7547
32.248725,33.9826,28.36395,11.565,10.769875
32.31465,34.02735,28.480175,11.575675,10.779675
32.374175,34.1435,28.5603,11.591925,10.8031
32.499125,34.19505,28.633,11.6191,10.83515
32.5362,34.2484,28.712025,11.62095,10.843675
32.569525,34.3532,28.756925,11.653125,10.8509
32.6248,34.482875,28.818225,11.684125,10.854875
32.717825,34.53725,28.88575,11.693625,10.87425
32.745575,34.590525,29.049725,11.730425,10.8892
32.802475,34.66955,29.1037,11.744075,10.896025
32.849175,34.92545,29.174475,11.7591,10.927625
32.90185,35.01315,29.238075,11.779825,10.956075
32.949775,35.114825,29.3252,11.8067,11.251325
33.07545,35.159325,29.432175,11.87755,11.2596
33.160625,35.346875,29.5056,11.895025,11.2663
33.22455,35.565075,29.559825,11.953925,11.29945
33.263325,35.639325,29.747725,12.008225,11.3152
33.311375,35.7362,29.83525,12.037825,11.32275
33.332475,35.84655,30.0026,12.086775,11.344
33.439725,36.192175,30.049925,12.135175,11.36845
33.4811,36.29255,30.127875,12.13835,11.377675
33.512475,36.41455,30.179525,12.156025,11.39455
33.629475,36.540125,30.269375,12.17725,11.40425
33.75915,36.690525,30.38835,12.1999,11.4086
33.795975,36.842375,30.514825,12.2331,11.41495
33.81535,37.0887,30.599,12.243775,11.42535
33.84855,37.142075,30.669975,12.266925,11.470125
33.898275,37.297075,30.754,12.300425,11.4767
33.958975,37.40995,30.887025,12.330925,11.489475
33.991225,37.4819,30.94805,12.379075,11.54605
34.095225,37.514175,31.01675,12.42705,11.55265
34.15925,37.5434,31.1068,12.460025,11.560275
34.18625,37.584625,31.1656,12.47995,11.57295
34.252825,37.639275,31.242875,12.5168,11.588225
34.320425,38.004525,31.31305,12.548475,11.6369
34.3425,38.1296,31.4127,12.601775,11.646775
34.39505,38.16885,31.4764,12.629825,11.653775
34.492325,38.2538,31.639825,12.652175,11.66675
34.563425,38.478275,31.710525,12.7263,11.67595
34.63875,38.664925,31.836375,12.752025,11.694825
34.67485,38.742275,31.920125,12.815025,11.721425
34.8072,38.782925,31.999275,12.8596,11.748225
34.8705,38.9247,32.090175,12.935125,11.851175
34.887125,38.99705,32.1564,12.9651,11.863875
34.994375,39.0879,32.215075,13.00785,11.92425
35.039925,39.160375,32.281675,13.052675,12.0319
35.0638,39.248225,32.37835,13.0854,12.081825
35.08665,39.466,32.44065,13.120525,12.085575
35.135125,39.52225,32.6075,13.158175,12.087825
35.18675,39.5238,32.691975,13.186875,12.105025
35.2645,39.695475,32.776025,13.223925,12.1161
35.32235,39.8071,32.8674,13.295775,12.1237
35.38245,40.05155,32.943225,13.3562,12.129375
35.414075,40.101675,33.01455,13.415075,12.1356
35.46775,40.172075,33.10705,13.4474,12.172475
35.49105,40.293625,33.23095,13.488075,12.175025
35.525,40.426425,33.3126,13.55145,12.1873
35.57925,40.58545,33.377925,13.575975,12.197425
35.637425,40.709575,33.471,13.613,12.3638
35.65405,40.870775,33.544575,13.643725,12.3674
35.661275,40.9611,33.588625,13.72935,12.394525
35.702625,41.061175,33.6744,13.775125,12.49915
35.784875,41.106225,33.719675,13.840875,12.513225
35.797025,41.223825,33.798225,13.8831,12.535725
35.8458,41.3292,33.823975,13.931925,12.54745
35.887075,41.473575,33.833225,13.951875,12.553075
35.959475,41.731575,33.886225,13.9758,12.566225
35.978225,41.84595,33.947575,14.011775,12.652825
36.00495,41.91665,33.99675,14.04225,12.775025
36.031725,41.96215,34.071975,14.057325,12.782725
36.07655,42.022275,34.1147,14.0686,12.78825
36.101525,42.154675,34.157325,14.085175,12.81905
36.1652,42.550575,34.204275,14.096175,12.8779
36.219775,42.59955,34.3163,14.1262,12.951475
36.313,42.64945,34.36305,14.15385,12.9752
36.352825,42.7338,34.413425,14.19375,13.050875
36.4025,42.80625,34.46515,14.22815,13.094875
36.437525,42.9107,34.568925,14.253175,13.104625
36.489375,42.96445,34.6448,14.287025,13.1159
36.54195,43.03585,34.713,14.289075,13.1265
36.555925,43.1198,34.801025,14.3162,13.143175
36.608375,43.171825,34.89095,14.40215,13.163525
36.653175,43.219175,34.966525,14.4823,13.23505
36.74795,43.2995,35.00705,14.5124,13.24445
36.770975,43.53525,35.073275,14.5561,13.259125
36.8159,43.59385,35.133875,14.5778,13.274425
36.828375,43.6845,35.180275,14.615125,13.29335
36.890025,43.758575,35.240825,14.626525,13.31945
36.955075,43.87055,35.2998,14.642575,13.336475
36.975425,43.911475,35.3327,14.6638,13.378175
37.018675,43.999925,35.380125,14.689175,13.5245
37.07125,44.1717,35.4062,14.748375,13.534125
37.173325,44.312675,35.44055,14.769,13.57635
37.2325,44.38615,35.49525,14.80725,13.594875
37.431025,44.6004,35.5685,14.838075,13.82645
37.608225,44.662175,35.6049,14.8729,13.833525
37.640175,44.7333,35.68175,14.902075,13.840275
37.688875,44.830375,35.7264,14.9275,13.858175
37.746975,44.92795,35.79705,15.032025,13.863675
37.8262,44.971925,35.84395,15.101825,13.8734
37.858,45.123525,35.925475,15.1346,13.97905
37.93665,45.1719,35.967525,15.18985,14.010575
37.980875,45.298025,36.0539,15.239175,14.0631
38.009975,45.342725,36.1358,15.271575,14.09165
38.01795,45.4763,36.180025,15.352925,14.119125
38.019825,45.5143,36.244225,15.4025,14.14615
38.0435,45.620325,36.3106,15.460825,14.159675
38.109825,45.682175,36.42975,15.554275,14.168
38.1279,45.797875,36.484875,15.5809,14.2208
38.1924,45.90355,36.53565,15.6243,14.252675
38.250425,46.031075,36.639275,15.65775,14.285575
38.286225,46.09385,36.696975,15.685825,14.2968
38.32555,46.16215,36.74785,15.7379,14.31675
38.4129,46.189775,36.7964,15.762575,14.326625
38.488425,46.305625,36.8424,15.854175,14.3361
38.66695,46.399425,36.8577,15.874625,14.359375
38.71455,46.509325,36.918575,15.893825,14.365925
38.74825,46.6449,37.042125,15.934625,14.38395
38.81135,46.726875,37.1061,15.961,14.400875
38.85995,46.78865,37.1798,15.984075,14.44855
38.906375,46.855525,37.2182,16.0196,14.49745
38.976975,46.9074,37.2766,16.035975,14.55105
39.103175,47.072,37.35985,16.09685,14.585475
39.142425,47.191775,37.446625,16.129775,14.63345
39.188725,47.245725,37.492175,16.159575,14.662675
39.222325,47.47175,37.55175,16.18465,14.66825
39.252925,47.550375,37.665175,16.2232,14.67895
39.36275,47.587825,37.71805,16.234025,14.6919
39.39585,47.623175,37.7855,16.249075,14.69985
39.5158,47.675275,37.859625,16.27035,14.75755
39.582725,47.76005,38.0014,16.3096,14.825
39.6258,47.878625,38.0424,16.34795,14.83195
39.658325,47.98235,38.103875,16.35095,14.865075
39.698525,48.0368,38.133775,16.358675,14.875825
39.762275,48.10075,38.1719,16.37555,14.8991
39.79655,48.159925,38.208575,16.38755,14.924875
39.886475,48.2325,38.26495,16.4135,14.963625
39.919025,48.296625,38.390025,16.4562,15.034725
39.976825,48.367475,38.487125,16.481275,15.109275
39.987825,48.410325,38.562825,16.4921,15.123275
40.039675,48.412775,38.5992,16.5118,15.1285
40.18915,48.442575,38.7732,16.529975,15.13295
40.211775,48.5613,38.826475,16.56005,15.185525
40.2437,48.636225,38.88165,16.586025,15.224525
40.328575,48.689275,38.948575,16.64975,15.233075
40.404075,48.73155,38.99875,16.71805,15.332025
40.4203,48.800325,39.04835,16.789575,15.343925
40.483825,49.0457,39.1777,16.829175,15.358125
40.52895,49.233775,39.300975,16.86945,15.36525
40.584175,49.28515,39.349625,16.910125,15.4172
40.6168,49.4124,39.473675,16.9404,15.44375
40.625375,49.461675,39.520475,16.96755,15.63475
40.665275,49.655925,39.5925,16.979975,15.6626
40.7099,49.70175,39.6448,16.993225,15.672025
40.75895,49.758875,39.690775,17.005425,15.679875
40.802625,49.8916,39.737275,17.0286,15.68715
40.823975,50.046375,39.80485,17.051925,15.695675
40.846075,50.086725,39.843125,17.07245,15.7056
41.052675,50.246875,39.91225,17.09455,15.71295
41.117425,50.299975,39.98385,17.107,15.722075
41.20595,50.5254,40.054875,17.127325,15.728775
41.227725,50.597725,40.11705,17.1431,15.772775
41.321625,50.672225,40.189925,17.1523,15.793875
41.38665,50.814375,40.2358,17.1604,15.8015
41.41675,50.9101,40.2476,17.16655,15.925675
41.460625,51.02295,40.304075,17.1687,15.9353
41.49285,51.06995,40.3596,17.210825,15.945075
41.609175,51.174225,40.45,17.2308,15.956925
41.647475,51.239675,40.494075,17.255125,15.962625
41.6839,51.382975,40.553375,17.294875,15.973825
41.794375,51.456525,40.61925,17.316475,15.981025
41.8809,51.588525,40.6878,17.3454,15.988
41.978075,51.7343,40.728825,17.38845,15.997725
42.0208,51.79575,40.775675,17.456475,16.03025
42.0972,52.018925,40.8324,17.4806,16.052225
42.12945,52.093875,40.8809,17.50595,16.095825
42.2424,52.19365,40.90065,17.515975,16.114075
42.301025,52.27165,40.96115,17.56485,16.16165
42.378225,52.40515,41.00485,17.583325,16.22795
42.408975,52.473575,41.04825,17.6155,16.234275
42.419575,52.5541,41.097875,17.64245,16.23735
42.5003,52.622125,41.195075,17.68585,16.241925
42.566375,52.6923,41.25215,17.743575,16.262925
42.614125,52.867075,41.301675,17.76705,16.291375
42.70115,52.9476,41.396225,17.793525,16.2982
42.802825,52.993825,41.4751,17.832825,16.305225
42.856375,53.092325,41.5289,17.863925,16.31795
42.92385,53.25625,41.563625,17.891975,16.3349
43.032975,53.2858,41.6123,17.90895,16.367375
43.07945,53.375475,41.69245,17.9236,16.376325
43.156,53.459325,41.72495,17.9424,16.385175
43.18375,53.542575,41.78845,17.9815,16.387575
43.281025,53.58105,41.910925,18.004925,16.39315
43.327925,53.6432,41.954375,18.0262,16.433275
43.329375,53.7726,42.01715,18.06925,16.559675
43.38825,53.84625,42.096475,18.0864,16.576525
43.4206,53.931075,42.187325,18.136475,16.59115
43.4742,53.9821,42.284425,18.1551,16.612275
43.5214,54.1472,42.345575,18.18405,16.6526
43.547475,54.22805,42.418475,18.22695,16.676525
43.56585,54.268775,42.51395,18.258975,16.6941
43.636125,54.4071,42.795225,18.290875,16.73595
43.6944,54.575225,42.875375,18.313625,16.7544
43.7619,54.666225,42.9507,18.3367,16.80635
43.805975,54.78985,43.0579,18.36335,16.894525
43.823525,54.8759,43.126475,18.390375,16.940725
43.861275,55.0244,43.16425,18.4348,16.949575
43.95505,55.155825,43.207525,18.509775,16.9565
43.958425,55.2117,43.2485,18.55965,16.970825
43.9965,55.272975,43.290125,18.60055,16.99185
44.03595,55.378325,43.344675,18.6049,17.0059
44.111925,55.4937,43.419775,18.621425,17.02235
44.19705,55.58425,43.469125,18.676275,17.03
44.309825,55.6155,43.506,18.7105,17.03775
44.4847,55.686525,43.592175,18.730825,17.05855
44.529025,55.7553,43.640175,18.7805,17.154175
44.641825,55.80465,43.693575,18.804775,17.2267
44.681975,55.83835,43.75755,18.8344,17.236825
44.746875,55.91645,43.841,18.854025,17.252
